<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OW20C231900.PL,D,20220324,000000,379,379,379,379,5,5
OW20C231900.PL,D,20220325,000000,391.8,391.8,391.8,391.8,2,7
OW20C231900.PL,D,20220328,000000,365.5,365.5,365.5,365.5,2,7
OW20C231900.PL,D,20220406,000000,349.65,349.65,349.65,349.65,1,8
OW20C231900.PL,D,20220425,000000,201.15,201.15,201.15,201.15,1,9
OW20C231900.PL,D,20220504,000000,151,151,151,151,1,9
OW20C231900.PL,D,20220506,000000,129.5,129.5,129.5,129.5,1,9
OW20C231900.PL,D,20220513,000000,107,107,107,107,4,9
OW20C231900.PL,D,20220516,000000,135.25,135.7,135.25,135.7,2,10
OW20C231900.PL,D,20220524,000000,171.9,171.9,169.6,169.6,3,10
OW20C231900.PL,D,20220525,000000,136,136,136,136,3,8
OW20C231900.PL,D,20220531,000000,158.8,174.6,158.8,174.6,4,10
OW20C231900.PL,D,20220610,000000,106.05,106.05,106.05,106.05,2,12
OW20C231900.PL,D,20220624,000000,80,80,80,80,1,13
OW20C231900.PL,D,20220628,000000,100.2,100.2,100.2,100.2,1,13
OW20C231900.PL,D,20220629,000000,92.95,92.95,92.95,92.95,5,18
OW20C231900.PL,D,20220706,000000,70,70,70,70,6,12
OW20C231900.PL,D,20220829,000000,34.61,34.61,34.61,34.61,5,7
OW20C231900.PL,D,20220831,000000,29,29,29,29,1,8
OW20C231900.PL,D,20220901,000000,22.39,22.39,20.3,20.3,21,25
OW20C231900.PL,D,20220902,000000,17.97,17.97,17.83,17.83,26,46
OW20C231900.PL,D,20220905,000000,21.84,21.84,21.84,21.84,5,51
