<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OW20E221875.PL,D,20220427,000000,60.1,60.1,60.1,60.1,1,1
OW20E221875.PL,D,20220428,000000,83.75,83.75,83.75,83.75,2,3
OW20E221875.PL,D,20220429,000000,47.02,47.02,47.02,47.02,8,9
OW20E221875.PL,D,20220504,000000,26.83,26.83,26.83,26.83,2,11
OW20E221875.PL,D,20220505,000000,35,35,17,17,6,11
OW20E221875.PL,D,20220506,000000,12.62,15.5,9.27,15.5,8,15
OW20E221875.PL,D,20220509,000000,11.41,11.41,8,10.13,4,17
OW20E221875.PL,D,20220510,000000,7.07,7.07,5.5,5.5,6,15
OW20E221875.PL,D,20220511,000000,5.3,5.3,5.3,5.3,5,20
OW20E221875.PL,D,20220512,000000,1.5,2,1.5,2,9,21
OW20E221875.PL,D,20220513,000000,2,5.99,2,5.99,17,34
OW20E221875.PL,D,20220516,000000,5.11,5.11,2,2,4,37
OW20E221875.PL,D,20220517,000000,2.36,7,2.36,5,46,51
OW20E221875.PL,D,20220518,000000,2,3.4,2,2.55,15,54
OW20E221875.PL,D,20220520,000000,0.01,0.01,0.01,0.01,1,54
