<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OW20G221650.PL,D,20220421,000000,437.25,437.25,437.25,437.25,1,1
OW20G221650.PL,D,20220422,000000,340,340,340,340,1,1
OW20G221650.PL,D,20220504,000000,216.2,216.2,216.2,216.2,2,2
OW20G221650.PL,D,20220506,000000,140,140,140,140,2,2
OW20G221650.PL,D,20220527,000000,181,206.8,181,206.8,3,1
OW20G221650.PL,D,20220530,000000,201,201,201,201,1,1
OW20G221650.PL,D,20220613,000000,86.7,86.7,86.7,86.7,10,11
OW20G221650.PL,D,20220620,000000,79.55,79.55,79.55,79.55,2,13
OW20G221650.PL,D,20220622,000000,75.8,75.8,75.8,75.8,1,13
OW20G221650.PL,D,20220623,000000,62.65,71.2,62.65,64,6,13
OW20G221650.PL,D,20220630,000000,63.95,67,63.95,67,3,16
OW20G221650.PL,D,20220701,000000,69,69,69,69,1,17
OW20G221650.PL,D,20220704,000000,49,49,45,48.48,3,20
OW20G221650.PL,D,20220705,000000,47.1,47.1,26,30,17,35
OW20G221650.PL,D,20220706,000000,26,38,24.87,35.1,10,32
OW20G221650.PL,D,20220707,000000,47,58.7,47,58.7,7,30
OW20G221650.PL,D,20220708,000000,74,74,74,74,1,30
OW20G221650.PL,D,20220712,000000,49.26,49.26,49.26,49.26,1,30
OW20G221650.PL,D,20220713,000000,24,34,17.79,24,87,50
OW20G221650.PL,D,20220714,000000,19,20.47,3.5,3.5,82,108
OW20G221650.PL,D,20220715,000000,2.02,5,0.29,0.29,58,106
