<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OW20I222600.PL,D,20210920,000000,42,42,42,42,10,10
OW20I222600.PL,D,20210922,000000,47.29,47.29,47.29,47.29,1,10
OW20I222600.PL,D,20210923,000000,54,54,54,54,4,14
OW20I222600.PL,D,20210928,000000,35.98,35.98,35.98,35.98,2,14
OW20I222600.PL,D,20210930,000000,37.97,37.97,37.97,37.97,4,18
OW20I222600.PL,D,20211011,000000,65.4,81.3,65.4,81.3,4,19
OW20I222600.PL,D,20211015,000000,80.7,80.7,80.7,80.7,2,19
OW20I222600.PL,D,20211018,000000,84,90.6,84,90.6,5,17
OW20I222600.PL,D,20211110,000000,49.7,49.7,49.7,49.7,1,17
OW20I222600.PL,D,20211116,000000,42.82,42.82,42.82,42.82,13,4
OW20I222600.PL,D,20211119,000000,20.62,20.62,20.62,20.62,10,14
OW20I222600.PL,D,20211125,000000,23.05,23.31,20.79,20.79,25,32
OW20I222600.PL,D,20211202,000000,21.24,21.24,21.24,21.24,10,32
OW20I222600.PL,D,20211206,000000,22.38,22.38,22.38,22.38,10,22
OW20I222600.PL,D,20211207,000000,26.85,26.85,26.85,26.85,2,22
OW20I222600.PL,D,20211215,000000,22.22,22.22,22.22,22.22,10,32
OW20I222600.PL,D,20211227,000000,24,24,24,24,200,232
OW20I222600.PL,D,20220110,000000,28.36,28.36,28.36,28.36,1,232
OW20I222600.PL,D,20220112,000000,48,48,48,48,1,233
OW20I222600.PL,D,20220118,000000,36.7,39,36.7,36.93,4,236
OW20I222600.PL,D,20220124,000000,30.66,30.66,21.91,21.91,20,244
OW20I222600.PL,D,20220126,000000,24,24,24,24,1,243
OW20I222600.PL,D,20220211,000000,13.95,13.95,13.95,13.95,10,253
OW20I222600.PL,D,20220225,000000,6,6,6,6,1,252
OW20I222600.PL,D,20220228,000000,9.9,9.9,9.9,9.9,199,53
OW20I222600.PL,D,20220302,000000,7.24,7.24,7.24,7.24,1,52
OW20I222600.PL,D,20220304,000000,5.95,5.95,5.95,5.95,17,69
OW20I222600.PL,D,20220329,000000,15,17.1,15,17.1,11,80
OW20I222600.PL,D,20220331,000000,20.16,20.16,20.16,20.16,5,85
OW20I222600.PL,D,20220406,000000,9.8,9.8,9.8,9.8,200,285
OW20I222600.PL,D,20220407,000000,9,9,9,9,200,485
OW20I222600.PL,D,20220408,000000,11.28,11.28,8.5,8.5,107,592
OW20I222600.PL,D,20220411,000000,7,7,7,7,200,792
OW20I222600.PL,D,20220419,000000,7.2,7.2,5,5,400,1192
OW20I222600.PL,D,20220421,000000,5.25,5.25,4,4,225,1417
OW20I222600.PL,D,20220422,000000,3.01,3.01,3,3,230,1647
OW20I222600.PL,D,20220426,000000,3.57,3.57,3.57,3.57,1,1648
OW20I222600.PL,D,20220427,000000,3,3,3,3,1500,148
OW20I222600.PL,D,20220527,000000,0.5,0.5,0.5,0.5,8,141
OW20I222600.PL,D,20220606,000000,1,1,1,1,6,141
OW20I222600.PL,D,20220623,000000,0.19,0.19,0.19,0.19,10,141
OW20I222600.PL,D,20220627,000000,0.19,0.19,0.19,0.19,1,141
OW20I222600.PL,D,20220727,000000,0.3,0.3,0.3,0.3,1,141
OW20I222600.PL,D,20220728,000000,0.3,0.3,0.3,0.3,2,141
