<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OW20O231400.PL,D,20220506,000000,69.45,69.45,69.45,69.45,1,1
OW20O231400.PL,D,20220509,000000,60.65,60.65,60.65,60.65,1,1
OW20O231400.PL,D,20220510,000000,67.95,67.95,67.95,67.95,1,2
OW20O231400.PL,D,20220512,000000,65.45,73.45,65.45,72.55,3,4
OW20O231400.PL,D,20220513,000000,61.4,61.4,61.4,61.4,1,5
OW20O231400.PL,D,20220530,000000,38.31,38.31,38.31,38.31,10,12
OW20O231400.PL,D,20220603,000000,40.62,40.62,40.62,40.62,1,13
OW20O231400.PL,D,20220608,000000,41.15,41.15,41.15,41.15,1,14
OW20O231400.PL,D,20220609,000000,51.4,51.4,51.4,51.4,1,15
OW20O231400.PL,D,20220610,000000,57.1,57.1,57.1,57.1,1,15
OW20O231400.PL,D,20220623,000000,54.75,54.75,54.75,54.75,1,16
OW20O231400.PL,D,20220628,000000,50.6,50.6,50.6,50.6,1,17
OW20O231400.PL,D,20220629,000000,49.95,49.95,49.95,49.95,10,27
OW20O231400.PL,D,20220701,000000,47.7,47.7,47.7,47.7,2,29
OW20O231400.PL,D,20220705,000000,56.35,56.35,56.35,56.35,5,34
OW20O231400.PL,D,20220713,000000,54.75,55.7,54.75,55.7,2,34
OW20O231400.PL,D,20220719,000000,47.74,47.74,47.74,47.74,1,34
OW20O231400.PL,D,20220720,000000,43.85,43.85,43.85,43.85,1,34
OW20O231400.PL,D,20220721,000000,44.35,44.35,44.35,44.35,1,34
OW20O231400.PL,D,20220722,000000,38.09,38.09,38.09,38.09,1,35
OW20O231400.PL,D,20220805,000000,40.4,40.4,40.4,40.4,1,36
OW20O231400.PL,D,20220816,000000,31.19,31.19,31.19,31.19,2,36
OW20O231400.PL,D,20220817,000000,36.85,36.85,36.85,36.85,1,37
OW20O231400.PL,D,20220818,000000,38.15,39.15,34.53,34.53,28,38
OW20O231400.PL,D,20220819,000000,39.45,39.45,36.95,36.95,2,40
OW20O231400.PL,D,20220822,000000,40.45,40.45,40.45,40.45,1,40
OW20O231400.PL,D,20220823,000000,46.36,46.36,46.36,46.36,2,42
OW20O231400.PL,D,20220824,000000,47.99,47.99,47.99,47.99,10,52
OW20O231400.PL,D,20220902,000000,82.45,82.45,82.45,82.45,1,51
