<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OW20U221300.PL,D,20220524,000000,13.27,13.27,13.27,13.27,1,1
OW20U221300.PL,D,20220601,000000,10,10,10,10,2,3
OW20U221300.PL,D,20220613,000000,22.85,22.85,22.85,22.85,3,6
OW20U221300.PL,D,20220614,000000,21.86,21.86,21.86,21.86,1,7
OW20U221300.PL,D,20220617,000000,20,20,16.57,16.57,6,8
OW20U221300.PL,D,20220620,000000,19.21,19.21,16.04,16.25,7,13
OW20U221300.PL,D,20220621,000000,13.5,14,13.5,14,6,18
OW20U221300.PL,D,20220622,000000,13.5,14.99,13.5,14.99,6,21
OW20U221300.PL,D,20220623,000000,13.75,14.35,13.75,14.35,4,25
OW20U221300.PL,D,20220627,000000,12.99,12.99,12.99,12.99,3,28
OW20U221300.PL,D,20220628,000000,10,10,10,10,1,29
OW20U221300.PL,D,20220629,000000,7.75,7.75,7.75,7.75,1,30
OW20U221300.PL,D,20220630,000000,8.61,8.61,8.61,8.61,10,40
OW20U221300.PL,D,20220701,000000,7.75,7.75,7.75,7.75,2,42
OW20U221300.PL,D,20220704,000000,7.45,7.45,7.45,7.45,1,43
OW20U221300.PL,D,20220705,000000,9.99,11.99,9.95,11.99,5,46
OW20U221300.PL,D,20220706,000000,8.85,8.85,8.85,8.85,1,47
OW20U221300.PL,D,20220707,000000,7.5,7.5,7,7,14,61
OW20U221300.PL,D,20220708,000000,6,6,6,6,15,71
OW20U221300.PL,D,20220711,000000,7.05,7.05,6,6,59,130
OW20U221300.PL,D,20220712,000000,9.25,9.25,9.25,9.25,2,132
OW20U221300.PL,D,20220713,000000,9.99,10.28,9.99,10.28,12,141
OW20U221300.PL,D,20220714,000000,9.45,12.5,9.32,11.45,11,147
OW20U221300.PL,D,20220718,000000,6.18,6.18,6.18,6.18,1,147
OW20U221300.PL,D,20220719,000000,5.85,5.85,5.3,5.3,5,152
OW20U221300.PL,D,20220720,000000,3.52,3.52,3.52,3.52,2,152
OW20U221300.PL,D,20220721,000000,6.08,6.08,6.08,6.08,8,160
OW20U221300.PL,D,20220725,000000,4,4,4,4,39,197
OW20U221300.PL,D,20220727,000000,4.64,4.65,4.64,4.65,3,200
OW20U221300.PL,D,20220729,000000,3,3.2,2.8,2.8,16,214
OW20U221300.PL,D,20220805,000000,2.98,3,2.98,3,3,214
OW20U221300.PL,D,20220816,000000,1.5,1.5,1.5,1.5,2,216
OW20U221300.PL,D,20220817,000000,1.99,1.99,1.99,1.99,2,218
OW20U221300.PL,D,20220822,000000,1,1,1,1,2,218
OW20U221300.PL,D,20220824,000000,1,1.25,1,1.25,5,218
OW20U221300.PL,D,20220825,000000,1.25,1.25,1.25,1.25,2,220
OW20U221300.PL,D,20220826,000000,1.02,1.68,0.81,1.68,3,221
OW20U221300.PL,D,20220829,000000,1.1,1.1,1.1,1.1,5,221
OW20U221300.PL,D,20220830,000000,1.2,1.99,1.02,1.99,72,192
OW20U221300.PL,D,20220831,000000,1,1,1,1,7,185
OW20U221300.PL,D,20220901,000000,2,3.5,2,3.5,38,182
OW20U221300.PL,D,20220902,000000,4.5,4.5,2.8,2.8,11,186
OW20U221300.PL,D,20220905,000000,3.05,3.05,2,2,39,223
