<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
3RG_MV,D,20120314,000000,74.12,74.12,74.12,74.12,0,0
3RG_MV,D,20120315,000000,74.3,74.47,71.54,72.83,0,0
3RG_MV,D,20120316,000000,72.83,73.07,71.01,73.01,0,0
3RG_MV,D,20120319,000000,73.12,73.12,72.65,72.65,0,0
3RG_MV,D,20120320,000000,73.12,73.12,70.49,71.83,0,0
3RG_MV,D,20120321,000000,72.13,72.13,69.84,71.19,0,0
3RG_MV,D,20120322,000000,71.25,71.25,66.26,71.07,0,0
3RG_MV,D,20120323,000000,71.25,71.25,66.85,70.37,0,0
3RG_MV,D,20120326,000000,71.25,71.25,71.25,71.25,0,0
3RG_MV,D,20120327,000000,66.85,71.25,66.85,70.37,0,0
3RG_MV,D,20120328,000000,70.95,70.95,70.25,70.25,0,0
3RG_MV,D,20120329,000000,70.25,71.19,70.07,71.19,0,0
3RG_MV,D,20120330,000000,71.25,71.25,71.19,71.25,0,0
3RG_MV,D,20120402,000000,70.95,70.95,70.95,70.95,0,0
3RG_MV,D,20120403,000000,70.95,70.95,68.32,70.95,0,0
3RG_MV,D,20120404,000000,70.95,70.95,68.32,70.37,0,0
3RG_MV,D,20120405,000000,70.95,70.95,70.37,70.37,0,0
3RG_MV,D,20120410,000000,70.37,70.95,68.02,70.72,0,0
3RG_MV,D,20120411,000000,69.78,90.09,67.44,90.09,0,0
3RG_MV,D,20120412,000000,86.31,87.21,83.96,83.96,0,0
3RG_MV,D,20120413,000000,85.78,85.78,82.15,82.3,0,0
3RG_MV,D,20120416,000000,82.15,82.15,77.23,79.2,0,0
3RG_MV,D,20120417,000000,79.42,79.42,76.4,79.42,0,0
3RG_MV,D,20120418,000000,78.51,79.2,76.02,79.2,0,0
3RG_MV,D,20120419,000000,79.2,79.2,79.2,79.2,0,0
3RG_MV,D,20120420,000000,79.2,79.2,68.91,68.91,0,0
3RG_MV,D,20120423,000000,68.91,70.72,67.55,67.55,0,0
3RG_MV,D,20120424,000000,63.54,66.56,63.54,66.56,0,0
3RG_MV,D,20120425,000000,66.56,66.79,66.56,66.56,0,0
3RG_MV,D,20120426,000000,68.08,68.08,64.67,65.05,0,0
3RG_MV,D,20120427,000000,65.05,66.41,65.05,66.41,0,0
3RG_MV,D,20120430,000000,65.05,66.41,64.29,66.41,0,0
3RG_MV,D,20120502,000000,66.41,66.41,65.73,65.73,0,0
3RG_MV,D,20120504,000000,65.81,65.81,60.97,65.81,0,0
3RG_MV,D,20120507,000000,66.41,66.41,62.02,66.03,0,0
3RG_MV,D,20120508,000000,65.96,65.96,65.81,65.88,0,0
3RG_MV,D,20120509,000000,63.54,63.54,60.66,63.46,0,0
3RG_MV,D,20120510,000000,64.29,64.29,60.66,64.29,0,0
3RG_MV,D,20120511,000000,64.29,65.73,64.29,65.73,0,0
3RG_MV,D,20120514,000000,65.73,65.73,63.76,63.76,0,0
3RG_MV,D,20120515,000000,63.76,66.03,63.54,63.54,0,0
3RG_MV,D,20120516,000000,60.66,65.96,60.51,65.96,0,0
3RG_MV,D,20120517,000000,65.81,65.96,60.51,60.51,0,0
3RG_MV,D,20120518,000000,59.76,63.39,58.24,63.39,0,0
3RG_MV,D,20120521,000000,64.97,64.97,64.97,64.97,0,0
3RG_MV,D,20120522,000000,64.22,64.22,64.22,64.22,0,0
3RG_MV,D,20120523,000000,62.02,63.46,62.02,63.46,0,0
3RG_MV,D,20120524,000000,60.51,60.51,60.51,60.51,0,0
3RG_MV,D,20120525,000000,60.51,63.16,60.51,63.16,0,0
3RG_MV,D,20120528,000000,63.16,64.29,63.16,64.29,0,0
3RG_MV,D,20120529,000000,64.29,65.96,62.78,65.96,0,0
3RG_MV,D,20120530,000000,65.96,65.96,63.76,65.96,0,0
3RG_MV,D,20120531,000000,65.96,65.96,65.96,65.96,0,0
3RG_MV,D,20120601,000000,65.96,66.49,63.54,63.54,0,0
3RG_MV,D,20120604,000000,64.67,64.67,64.67,64.67,0,0
3RG_MV,D,20120605,000000,64.67,66.19,63.54,63.54,0,0
3RG_MV,D,20120606,000000,63.54,66.19,61.65,66.11,0,0
3RG_MV,D,20120608,000000,66.41,69.06,65.05,69.06,0,0
3RG_MV,D,20120611,000000,69.51,69.51,65.96,67.24,0,0
3RG_MV,D,20120612,000000,67.17,67.24,67.17,67.24,0,0
3RG_MV,D,20120613,000000,69.44,69.44,64.14,66.56,0,0
3RG_MV,D,20120614,000000,67.92,67.92,66.56,67.92,0,0
3RG_MV,D,20120615,000000,69.44,69.44,69.44,69.44,0,0
3RG_MV,D,20120618,000000,69.13,69.44,64.14,69.44,0,0
3RG_MV,D,20120619,000000,69.51,69.59,63.92,69.59,0,0
3RG_MV,D,20120620,000000,69.66,69.66,66.56,69.51,0,0
3RG_MV,D,20120621,000000,69.51,70.27,63.54,70.27,0,0
3RG_MV,D,20120622,000000,68.08,70.27,65.13,70.27,0,0
3RG_MV,D,20120625,000000,70.27,70.27,68.08,68.83,0,0
3RG_MV,D,20120626,000000,69.59,69.59,69.59,69.59,0,0
3RG_MV,D,20120627,000000,69.51,69.59,69.51,69.59,0,0
3RG_MV,D,20120628,000000,70.42,70.42,70.42,70.42,0,0
3RG_MV,D,20120629,000000,70.57,70.57,70.57,70.57,0,0
3RG_MV,D,20120702,000000,70.35,70.35,63.54,66.49,0,0
3RG_MV,D,20120703,000000,66.49,66.49,63.46,63.54,0,0
3RG_MV,D,20120704,000000,63.46,63.46,63.46,63.46,0,0
3RG_MV,D,20120705,000000,63.46,64.82,63.46,64.82,0,0
3RG_MV,D,20120706,000000,64.75,64.75,64.6,64.6,0,0
3RG_MV,D,20120709,000000,65.05,66.03,65.05,66.03,0,0
3RG_MV,D,20120710,000000,66.49,66.49,64.37,65.73,0,0
3RG_MV,D,20120711,000000,65.73,65.73,62.02,62.78,0,0
3RG_MV,D,20120712,000000,63.24,63.24,59.76,62.48,0,0
3RG_MV,D,20120713,000000,62.48,62.48,62.48,62.48,0,0
3RG_MV,D,20120716,000000,62.55,62.55,62.55,62.55,0,0
3RG_MV,D,20120717,000000,62.55,62.55,62.55,62.55,0,0
3RG_MV,D,20120718,000000,62.55,62.55,62.48,62.48,0,0
3RG_MV,D,20120719,000000,62.55,62.55,59.83,59.83,0,0
3RG_MV,D,20120720,000000,59.83,59.83,57.71,57.71,0,0
3RG_MV,D,20120723,000000,57.49,58.24,56.73,58.24,0,0
3RG_MV,D,20120724,000000,58.24,58.24,58.24,58.24,0,0
3RG_MV,D,20120725,000000,58.24,60.44,58.24,60.44,0,0
3RG_MV,D,20120726,000000,60.29,60.44,59.76,60.44,0,0
3RG_MV,D,20120727,000000,60.44,60.44,60.44,60.44,0,0
3RG_MV,D,20120730,000000,60.44,64.29,57.86,62.48,0,0
3RG_MV,D,20120731,000000,62.48,63.16,60.51,62.48,0,0
3RG_MV,D,20120801,000000,64.14,64.14,62.48,64.14,0,0
3RG_MV,D,20120802,000000,64.14,64.14,64.14,64.14,0,0
3RG_MV,D,20120806,000000,62.55,64.07,62.55,64.07,0,0
3RG_MV,D,20120807,000000,64.07,64.07,59.76,60.51,0,0
3RG_MV,D,20120808,000000,60.44,60.44,60.44,60.44,0,0
3RG_MV,D,20120809,000000,60.44,60.44,60.44,60.44,0,0
3RG_MV,D,20120810,000000,59.76,60.44,57.79,60.44,0,0
3RG_MV,D,20120813,000000,59.3,59.3,57.71,57.71,0,0
3RG_MV,D,20120814,000000,57.71,58.24,57.71,58.24,0,0
3RG_MV,D,20120816,000000,58.24,58.24,58.24,58.24,0,0
3RG_MV,D,20120817,000000,57.49,58.24,56.88,57.49,0,0
3RG_MV,D,20120820,000000,57.49,57.49,56.73,57.49,0,0
3RG_MV,D,20120821,000000,57.49,57.49,57.49,57.49,0,0
3RG_MV,D,20120822,000000,57.49,57.49,57.34,57.49,0,0
3RG_MV,D,20120823,000000,57.49,58.17,51.81,58.17,0,0
3RG_MV,D,20120824,000000,57.79,58.24,57.79,58.24,0,0
3RG_MV,D,20120827,000000,58.24,58.24,58.24,58.24,0,0
3RG_MV,D,20120828,000000,58.24,58.24,58.24,58.24,0,0
3RG_MV,D,20120829,000000,58.24,58.24,55.82,58.24,0,0
3RG_MV,D,20120830,000000,58.24,58.24,58.24,58.24,0,0
3RG_MV,D,20120831,000000,58.24,59,58.24,58.92,0,0
3RG_MV,D,20120903,000000,58.92,63.31,58.92,63.16,0,0
3RG_MV,D,20120904,000000,64.22,64.22,61.65,61.95,0,0
3RG_MV,D,20120905,000000,61.95,62.02,61.95,61.95,0,0
3RG_MV,D,20120906,000000,62.02,62.02,59.38,61.65,0,0
3RG_MV,D,20120907,000000,61.8,62.1,61.65,62.1,0,0
3RG_MV,D,20120910,000000,61.65,62.1,61.65,61.65,0,0
3RG_MV,D,20120911,000000,61.65,61.65,59.38,59.38,0,0
3RG_MV,D,20120912,000000,59.38,59.38,59.38,59.38,0,0
3RG_MV,D,20120913,000000,59.53,59.53,57.11,59.38,0,0
3RG_MV,D,20120914,000000,59.6,59.6,59.6,59.6,0,0
3RG_MV,D,20120917,000000,59.68,61.34,59.6,61.34,0,0
3RG_MV,D,20120918,000000,61.65,61.65,61.34,61.65,0,0
3RG_MV,D,20120919,000000,61.65,61.65,59,61.65,0,0
3RG_MV,D,20120921,000000,59,61.19,59,61.19,0,0
3RG_MV,D,20120924,000000,57.86,60.66,57.86,60.66,0,0
3RG_MV,D,20120926,000000,60.66,60.66,60.51,60.51,0,0
3RG_MV,D,20120928,000000,60.44,60.66,57.86,60.66,0,0
3RG_MV,D,20121002,000000,59.76,59.76,59.76,59.76,0,0
3RG_MV,D,20121003,000000,59,59.76,57.86,58.85,0,0
3RG_MV,D,20121004,000000,58.85,58.85,56.88,57.86,0,0
3RG_MV,D,20121005,000000,56.96,58.24,56.96,58.24,0,0
3RG_MV,D,20121008,000000,58.24,58.24,58.24,58.24,0,0
3RG_MV,D,20121009,000000,58.24,58.24,57.11,58.24,0,0
3RG_MV,D,20121010,000000,58.24,58.24,58.24,58.24,0,0
3RG_MV,D,20121011,000000,58.24,58.24,58.24,58.24,0,0
3RG_MV,D,20121012,000000,58.24,58.24,58.24,58.24,0,0
3RG_MV,D,20121015,000000,58.24,58.24,58.24,58.24,0,0
3RG_MV,D,20121016,000000,58.24,58.24,55.9,58.09,0,0
3RG_MV,D,20121017,000000,58.09,58.09,55.82,56.65,0,0
3RG_MV,D,20121018,000000,56.65,56.65,56.65,56.65,0,0
3RG_MV,D,20121019,000000,56.65,56.65,56.65,56.65,0,0
3RG_MV,D,20121022,000000,56.65,56.73,56.65,56.73,0,0
3RG_MV,D,20121024,000000,56.73,58.24,56.73,58.24,0,0
3RG_MV,D,20121025,000000,58.24,59.45,56.88,59.45,0,0
3RG_MV,D,20121026,000000,59.38,59.38,59.38,59.38,0,0
3RG_MV,D,20121029,000000,59,59.45,59,59.38,0,0
3RG_MV,D,20121030,000000,59.38,59.45,56.73,59.45,0,0
