<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABS_MV,D,20071119,000000,112.832,112.832,112.832,112.832,0,0
ABS_MV,D,20071120,000000,112.927,114.627,111.616,114.627,0,0
ABS_MV,D,20071121,000000,115.615,115.615,113.715,114.627,0,0
ABS_MV,D,20071122,000000,114.627,114.627,109.63,109.63,0,0
ABS_MV,D,20071123,000000,109.63,115.615,109.63,115.615,0,0
ABS_MV,D,20071126,000000,115.615,119.605,115.615,117.601,0,0
ABS_MV,D,20071127,000000,117.601,117.601,117.601,117.601,0,0
ABS_MV,D,20071128,000000,117.601,119.605,117.601,119.605,0,0
ABS_MV,D,20071129,000000,119.605,120.603,119.605,120.603,0,0
ABS_MV,D,20071203,000000,112.927,119.605,110.732,119.605,0,0
ABS_MV,D,20071205,000000,128.573,128.573,128.573,128.573,0,0
ABS_MV,D,20071206,000000,120.603,120.603,120.603,120.603,0,0
ABS_MV,D,20071207,000000,121.591,121.591,118.598,118.598,0,0
ABS_MV,D,20071210,000000,119.605,120.603,119.605,120.603,0,0
ABS_MV,D,20071211,000000,116.299,120.603,116.299,120.603,0,0
ABS_MV,D,20071212,000000,119.51,152.418,118.598,152.418,0,0
ABS_MV,D,20071213,000000,153.036,153.036,153.036,153.036,0,0
ABS_MV,D,20071214,000000,153.036,153.036,153.036,153.036,0,0
ABS_MV,D,20071217,000000,154.898,154.898,151.183,153.663,0,0
ABS_MV,D,20071219,000000,154.898,154.898,151.183,154.898,0,0
ABS_MV,D,20071220,000000,148.704,154.898,148.704,148.704,0,0
ABS_MV,D,20071221,000000,154.261,154.261,148.704,154.261,0,0
ABS_MV,D,20071227,000000,150.195,150.195,149.939,149.939,0,0
ABS_MV,D,20071228,000000,143.735,157.377,143.735,154.898,0,0
ABS_MV,D,20080102,000000,154.898,154.898,154.898,154.898,0,0
ABS_MV,D,20080103,000000,154.898,154.898,150.062,150.062,0,0
ABS_MV,D,20080104,000000,150.062,150.062,150.062,150.062,0,0
ABS_MV,D,20080107,000000,148.704,153.663,148.704,153.663,0,0
ABS_MV,D,20080108,000000,153.663,155.515,151.183,155.031,0,0
ABS_MV,D,20080109,000000,148.818,148.818,148.704,148.704,0,0
ABS_MV,D,20080110,000000,153.53,153.53,153.53,153.53,0,0
ABS_MV,D,20080114,000000,153.663,153.663,153.663,153.663,0,0
ABS_MV,D,20080116,000000,146.224,146.224,142.5,142.5,0,0
ABS_MV,D,20080117,000000,148.58,148.58,147.459,147.459,0,0
ABS_MV,D,20080121,000000,153.663,153.663,153.663,153.663,0,0
ABS_MV,D,20080122,000000,148.704,148.704,136.306,146.348,0,0
ABS_MV,D,20080123,000000,146.842,148.704,146.842,148.704,0,0
ABS_MV,D,20080125,000000,148.704,149.939,148.704,149.939,0,0
ABS_MV,D,20080128,000000,142.5,152.418,142.5,152.418,0,0
ABS_MV,D,20080129,000000,153.663,154.898,153.663,154.898,0,0
ABS_MV,D,20080201,000000,154.261,154.898,154.261,154.898,0,0
ABS_MV,D,20080204,000000,152.418,159.847,152.418,154.898,0,0
ABS_MV,D,20080205,000000,158.118,159.847,158.118,159.847,0,0
ABS_MV,D,20080206,000000,154.898,154.898,154.898,154.898,0,0
ABS_MV,D,20080207,000000,159.847,161.092,154.898,154.898,0,0
ABS_MV,D,20080208,000000,160.959,161.092,154.898,161.092,0,0
ABS_MV,D,20080213,000000,161.092,161.092,161.092,161.092,0,0
ABS_MV,D,20080214,000000,161.092,161.092,161.092,161.092,0,0
ABS_MV,D,20080215,000000,161.092,161.092,161.092,161.092,0,0
ABS_MV,D,20080219,000000,161.092,161.092,161.092,161.092,0,0
ABS_MV,D,20080220,000000,161.092,164.189,161.092,164.189,0,0
ABS_MV,D,20080221,000000,164.189,167.286,164.189,167.286,0,0
ABS_MV,D,20080222,000000,167.286,173.48,167.286,167.286,0,0
ABS_MV,D,20080225,000000,161.709,167.162,161.348,167.162,0,0
ABS_MV,D,20080226,000000,164.189,164.189,164.189,164.189,0,0
ABS_MV,D,20080227,000000,167.162,170.383,162.963,162.963,0,0
ABS_MV,D,20080228,000000,169.775,170.383,161.709,170.383,0,0
ABS_MV,D,20080229,000000,170.383,172.872,169.775,169.775,0,0
ABS_MV,D,20080303,000000,171,172.872,167.286,169.775,0,0
ABS_MV,D,20080304,000000,171.627,171.627,162.963,162.963,0,0
ABS_MV,D,20080305,000000,161.092,161.092,161.092,161.092,0,0
ABS_MV,D,20080306,000000,158.612,170.886,158.612,166.668,0,0
ABS_MV,D,20080307,000000,158.736,161.092,153.663,153.663,0,0
ABS_MV,D,20080310,000000,167.286,167.286,167.286,167.286,0,0
ABS_MV,D,20080312,000000,159.847,168.511,159.847,168.511,0,0
ABS_MV,D,20080313,000000,167.286,168.511,164.816,164.816,0,0
ABS_MV,D,20080317,000000,161.092,161.092,161.092,161.092,0,0
ABS_MV,D,20080320,000000,150.423,150.423,150.195,150.195,0,0
ABS_MV,D,20080325,000000,150.195,150.195,150.195,150.195,0,0
ABS_MV,D,20080326,000000,150.195,150.195,150.195,150.195,0,0
ABS_MV,D,20080327,000000,150.195,155.753,150.195,154.261,0,0
ABS_MV,D,20080328,000000,157.007,157.007,157.007,157.007,0,0
ABS_MV,D,20080331,000000,156.883,156.883,156.883,156.883,0,0
ABS_MV,D,20080401,000000,150.689,155.895,150.556,155.895,0,0
ABS_MV,D,20080402,000000,157.757,157.871,157.757,157.871,0,0
