<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACG_PE,D,20110811,000000,3.98243,3.98243,3.98243,3.98243,0,0
ACG_PE,D,20110812,000000,3.98243,3.98243,3.84661,3.98243,0,0
ACG_PE,D,20110816,000000,3.89192,3.98243,3.89192,3.98243,0,0
ACG_PE,D,20110817,000000,3.89192,3.98243,3.89192,3.98243,0,0
ACG_PE,D,20110818,000000,3.89192,3.98243,3.89192,3.93713,0,0
ACG_PE,D,20110819,000000,3.84661,3.93713,3.84661,3.93713,0,0
ACG_PE,D,20110822,000000,3.89192,3.89192,3.89192,3.89192,0,0
ACG_PE,D,20110823,000000,3.89192,3.89192,3.89192,3.89192,0,0
ACG_PE,D,20110824,000000,3.89192,3.93713,3.89192,3.93713,0,0
ACG_PE,D,20110825,000000,3.93713,3.93713,3.48455,3.48455,0,0
ACG_PE,D,20110826,000000,3.43934,3.48455,3.43934,3.48455,0,0
ACG_PE,D,20110829,000000,3.48455,3.62046,3.48455,3.62046,0,0
ACG_PE,D,20110830,000000,3.52976,3.62046,3.52976,3.62046,0,0
ACG_PE,D,20110831,000000,3.52976,3.7561,3.52976,3.7561,0,0
ACG_PE,D,20110901,000000,3.48455,3.84661,3.48455,3.84661,0,0
ACG_PE,D,20110902,000000,3.84661,3.84661,3.84661,3.84661,0,0
ACG_PE,D,20110905,000000,3.84661,3.84661,3.84661,3.84661,0,0
ACG_PE,D,20110906,000000,3.57506,3.84661,3.57506,3.84661,0,0
ACG_PE,D,20110909,000000,3.7107,3.84661,3.62046,3.84661,0,0
ACG_PE,D,20110912,000000,3.7561,3.84661,3.62046,3.84661,0,0
ACG_PE,D,20110913,000000,3.7107,3.84661,3.62046,3.84661,0,0
ACG_PE,D,20110914,000000,3.66567,3.84661,3.66567,3.84661,0,0
ACG_PE,D,20110915,000000,3.66567,3.84661,3.66567,3.84661,0,0
ACG_PE,D,20110919,000000,3.7561,3.84661,3.7561,3.84661,0,0
ACG_PE,D,20110920,000000,3.84661,3.89192,3.84661,3.89192,0,0
ACG_PE,D,20110921,000000,3.7561,3.84661,3.7561,3.84661,0,0
ACG_PE,D,20110922,000000,3.7107,3.7107,3.66567,3.66567,0,0
ACG_PE,D,20110923,000000,3.62046,3.66567,3.57506,3.57506,0,0
ACG_PE,D,20110926,000000,3.52976,3.66567,3.52976,3.62046,0,0
ACG_PE,D,20110927,000000,3.57506,3.62046,3.52976,3.52976,0,0
ACG_PE,D,20110928,000000,3.7107,3.7107,3.52976,3.66567,0,0
ACG_PE,D,20110929,000000,3.52976,3.66567,3.52976,3.62046,0,0
ACG_PE,D,20110930,000000,3.52735,3.62287,3.52735,3.52735,0,0
ACG_PE,D,20111003,000000,3.52976,3.52976,3.52976,3.52976,0,0
ACG_PE,D,20111004,000000,3.52976,3.52976,3.52976,3.52976,0,0
ACG_PE,D,20111005,000000,3.52976,3.52976,3.52976,3.52976,0,0
ACG_PE,D,20111006,000000,3.52976,3.52976,3.52976,3.52976,0,0
ACG_PE,D,20111007,000000,3.7107,3.7107,3.52976,3.7107,0,0
ACG_PE,D,20111011,000000,3.62046,3.7107,3.62046,3.7107,0,0
ACG_PE,D,20111012,000000,3.52976,3.7107,3.52976,3.7107,0,0
ACG_PE,D,20111013,000000,3.66567,3.66567,3.66567,3.66567,0,0
ACG_PE,D,20111014,000000,3.57506,3.7107,3.57506,3.7107,0,0
ACG_PE,D,20111017,000000,3.62046,3.7107,3.62046,3.7107,0,0
ACG_PE,D,20111018,000000,3.7107,3.7107,3.7107,3.7107,0,0
ACG_PE,D,20111019,000000,3.7107,3.7107,3.7107,3.7107,0,0
ACG_PE,D,20111020,000000,3.57506,3.7107,3.57506,3.66567,0,0
ACG_PE,D,20111021,000000,3.62046,3.7107,3.62046,3.7107,0,0
ACG_PE,D,20111024,000000,3.7107,3.7107,3.7107,3.7107,0,0
ACG_PE,D,20111025,000000,3.62046,3.7561,3.62046,3.7107,0,0
ACG_PE,D,20111026,000000,3.66567,3.7107,3.66567,3.7107,0,0
ACG_PE,D,20111027,000000,3.66567,3.84661,3.66567,3.84661,0,0
ACG_PE,D,20111028,000000,3.7107,3.8014,3.7107,3.8014,0,0
ACG_PE,D,20111031,000000,3.80372,3.89423,3.80372,3.89423,0,0
ACG_PE,D,20111102,000000,3.7107,3.7561,3.7107,3.7107,0,0
ACG_PE,D,20111103,000000,3.89192,3.89192,3.7107,3.7561,0,0
ACG_PE,D,20111104,000000,3.8014,3.84661,3.7561,3.8014,0,0
ACG_PE,D,20111107,000000,3.84661,3.89192,3.7107,3.89192,0,0
ACG_PE,D,20111108,000000,3.89192,3.89192,3.89192,3.89192,0,0
ACG_PE,D,20111109,000000,3.7561,3.84661,3.7561,3.8014,0,0
ACG_PE,D,20111114,000000,3.7561,3.8014,3.7561,3.8014,0,0
ACG_PE,D,20111115,000000,3.7561,3.8014,3.7561,3.8014,0,0
ACG_PE,D,20111116,000000,3.7107,3.8014,3.7107,3.8014,0,0
ACG_PE,D,20120302,000000,4.30114,4.30114,4.30114,4.30114,0,0
ACG_PE,D,20120305,000000,4.34441,4.57056,4.34441,4.43492,0,0
ACG_PE,D,20120306,000000,4.43687,4.52738,4.43687,4.52738,0,0
ACG_PE,D,20120307,000000,4.48208,4.48208,4.34644,4.34644,0,0
ACG_PE,D,20120308,000000,4.43687,4.52738,4.1656,4.43687,0,0
ACG_PE,D,20120309,000000,4.38962,4.43492,4.29919,4.38962,0,0
ACG_PE,D,20120312,000000,4.43492,4.43492,4.20859,4.34441,0,0
ACG_PE,D,20120313,000000,4.34441,4.34441,4.16337,4.34441,0,0
ACG_PE,D,20120314,000000,4.34441,4.34441,4.25389,4.25389,0,0
ACG_PE,D,20120315,000000,4.25389,4.29919,4.25389,4.29919,0,0
ACG_PE,D,20120316,000000,4.34441,4.34441,4.25389,4.29919,0,0
ACG_PE,D,20120319,000000,4.25389,4.29919,4.16337,4.25389,0,0
ACG_PE,D,20120320,000000,4.43492,4.43492,4.07286,4.20859,0,0
ACG_PE,D,20120321,000000,4.16337,4.34441,4.16337,4.29919,0,0
ACG_PE,D,20120322,000000,4.29919,4.34441,4.25389,4.29919,0,0
ACG_PE,D,20120323,000000,4.30114,4.30114,4.21072,4.21072,0,0
ACG_PE,D,20120326,000000,4.29919,4.29919,4.20859,4.20859,0,0
ACG_PE,D,20120327,000000,4.38962,4.38962,4.20859,4.20859,0,0
ACG_PE,D,20120328,000000,4.25389,4.57056,4.16337,4.52544,0,0
ACG_PE,D,20120329,000000,4.61595,4.61595,4.52544,4.61595,0,0
ACG_PE,D,20120330,000000,4.61781,4.61781,4.52738,4.61781,0,0
ACG_PE,D,20120402,000000,4.61781,4.61781,4.48208,4.5725,0,0
ACG_PE,D,20120403,000000,4.5725,4.61781,4.52738,4.52738,0,0
ACG_PE,D,20120404,000000,4.52738,4.5725,4.52738,4.52738,0,0
ACG_PE,D,20120405,000000,4.52738,4.52738,4.52738,4.52738,0,0
ACG_PE,D,20120410,000000,4.61781,4.61781,4.52738,4.52738,0,0
ACG_PE,D,20120411,000000,4.42177,4.62262,4.32134,4.62262,0,0
ACG_PE,D,20120412,000000,4.62262,4.62262,4.52238,4.52238,0,0
ACG_PE,D,20120413,000000,4.5725,4.5725,4.5725,4.5725,0,0
ACG_PE,D,20120416,000000,4.42177,4.42177,4.17051,4.37155,0,0
ACG_PE,D,20120417,000000,4.37155,4.47217,4.37155,4.42177,0,0
ACG_PE,D,20120418,000000,4.32134,4.42177,4.27094,4.42177,0,0
