<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACP_MV,D,20070813,000000,1955.7,1955.7,1955.7,1955.7,0,0
ACP_MV,D,20070814,000000,1920.14,1920.14,1920.14,1920.14,0,0
ACP_MV,D,20070816,000000,1872.73,1872.73,1872.73,1872.73,0,0
ACP_MV,D,20070817,000000,1955.7,1955.7,1955.7,1955.7,0,0
ACP_MV,D,20070820,000000,1908.3,1908.3,1908.3,1908.3,0,0
ACP_MV,D,20070821,000000,1860.88,1860.88,1860.88,1860.88,0,0
ACP_MV,D,20070822,000000,1941.47,1941.47,1941.47,1941.47,0,0
ACP_MV,D,20070823,000000,1908.3,1908.3,1908.3,1908.3,0,0
ACP_MV,D,20070824,000000,1898.8,1898.8,1898.8,1898.8,0,0
ACP_MV,D,20070827,000000,1898.8,1898.8,1898.8,1898.8,0,0
ACP_MV,D,20070828,000000,1908.3,1908.3,1908.3,1908.3,0,0
ACP_MV,D,20070829,000000,1943.85,1943.85,1943.85,1943.85,0,0
ACP_MV,D,20070830,000000,1825.33,1825.33,1825.33,1825.33,0,0
ACP_MV,D,20070831,000000,1941.47,1941.47,1941.47,1941.47,0,0
ACP_MV,D,20070903,000000,1932,1932,1932,1932,0,0
ACP_MV,D,20070904,000000,1920.14,1920.14,1920.14,1920.14,0,0
ACP_MV,D,20070905,000000,1908.3,1908.3,1908.3,1908.3,0,0
ACP_MV,D,20070906,000000,1896.45,1896.45,1896.45,1896.45,0,0
ACP_MV,D,20070907,000000,1872.73,1872.73,1872.73,1872.73,0,0
ACP_MV,D,20070910,000000,1852.58,1852.58,1852.58,1852.58,0,0
ACP_MV,D,20070911,000000,1872.73,1872.73,1872.73,1872.73,0,0
ACP_MV,D,20070912,000000,1540.87,1540.87,1540.87,1540.87,0,0
ACP_MV,D,20070913,000000,1661.75,1661.75,1661.75,1661.75,0,0
ACP_MV,D,20070914,000000,1683.08,1683.08,1683.08,1683.08,0,0
ACP_MV,D,20070917,000000,1705.62,1705.62,1705.62,1705.62,0,0
ACP_MV,D,20070918,000000,1712.73,1712.73,1712.73,1712.73,0,0
ACP_MV,D,20070919,000000,1872.73,1872.73,1872.73,1872.73,0,0
ACP_MV,D,20070920,000000,1872.73,1872.73,1872.73,1872.73,0,0
ACP_MV,D,20070921,000000,1856.13,1856.13,1856.13,1856.13,0,0
ACP_MV,D,20070924,000000,1825.33,1825.33,1825.33,1825.33,0,0
ACP_MV,D,20070925,000000,1801.62,1801.62,1801.62,1801.62,0,0
ACP_MV,D,20070926,000000,1782.65,1782.65,1782.65,1782.65,0,0
ACP_MV,D,20070927,000000,1781.46,1781.46,1781.46,1781.46,0,0
ACP_MV,D,20070928,000000,1757.78,1757.78,1757.78,1757.78,0,0
ACP_MV,D,20071001,000000,1750.66,1750.66,1750.66,1750.66,0,0
ACP_MV,D,20071002,000000,1751.84,1751.84,1751.84,1751.84,0,0
ACP_MV,D,20071003,000000,1767.23,1767.23,1767.23,1767.23,0,0
ACP_MV,D,20071004,000000,1777.91,1777.91,1777.91,1777.91,0,0
ACP_MV,D,20071005,000000,1801.62,1801.62,1801.62,1801.62,0,0
ACP_MV,D,20071008,000000,1849.03,1849.03,1849.03,1849.03,0,0
ACP_MV,D,20071009,000000,1846.66,1846.66,1846.66,1846.66,0,0
ACP_MV,D,20071010,000000,1908.3,1908.3,1908.3,1908.3,0,0
ACP_MV,D,20071011,000000,1899.99,1899.99,1899.99,1899.99,0,0
ACP_MV,D,20071012,000000,1894.07,1894.07,1894.07,1894.07,0,0
ACP_MV,D,20071015,000000,1869.17,1869.17,1869.17,1869.17,0,0
ACP_MV,D,20071016,000000,1830.07,1830.07,1830.07,1830.07,0,0
ACP_MV,D,20071017,000000,1846.66,1846.66,1846.66,1846.66,0,0
ACP_MV,D,20071018,000000,1825.33,1825.33,1825.33,1825.33,0,0
ACP_MV,D,20071019,000000,1834.8,1834.8,1834.8,1834.8,0,0
ACP_MV,D,20071022,000000,1822.94,1822.94,1822.94,1822.94,0,0
ACP_MV,D,20071023,000000,1834.8,1834.8,1834.8,1834.8,0,0
ACP_MV,D,20071024,000000,1818.21,1818.21,1818.21,1818.21,0,0
ACP_MV,D,20071025,000000,1801.62,1801.62,1801.62,1801.62,0,0
ACP_MV,D,20071026,000000,1789.76,1789.76,1789.76,1789.76,0,0
ACP_MV,D,20071029,000000,1803.99,1803.99,1803.99,1803.99,0,0
ACP_MV,D,20071030,000000,1860.88,1860.88,1860.88,1860.88,0,0
ACP_MV,D,20071031,000000,1884.59,1884.59,1884.59,1884.59,0,0
ACP_MV,D,20071102,000000,1851.39,1851.39,1851.39,1851.39,0,0
ACP_MV,D,20071105,000000,1896.45,1896.45,1896.45,1896.45,0,0
ACP_MV,D,20071106,000000,1927.25,1927.25,1927.25,1927.25,0,0
ACP_MV,D,20071107,000000,1891.71,1891.71,1891.71,1891.71,0,0
ACP_MV,D,20071108,000000,1896.45,1896.45,1896.45,1896.45,0,0
ACP_MV,D,20071109,000000,1924.9,1936.76,1868,1908.3,0,0
ACP_MV,D,20071112,000000,1905.93,1908.3,1889.33,1896.45,0,0
ACP_MV,D,20071113,000000,1896.45,1955.7,1896.45,1920.14,0,0
ACP_MV,D,20071114,000000,1969.93,1988.89,1934.37,1955.7,0,0
ACP_MV,D,20071115,000000,1967.55,1967.55,1872.73,1896.45,0,0
ACP_MV,D,20071116,000000,1896.45,1920.14,1872.73,1920.14,0,0
ACP_MV,D,20071119,000000,1890.51,1962.81,1890.51,1908.3,0,0
ACP_MV,D,20071120,000000,1901.18,1901.18,1849.03,1896.45,0,0
ACP_MV,D,20071121,000000,1868,1872.73,1845.47,1858.51,0,0
ACP_MV,D,20071122,000000,1886.97,1886.97,1840.74,1872.73,0,0
ACP_MV,D,20071123,000000,1901.18,1920.14,1896.45,1896.45,0,0
ACP_MV,D,20071126,000000,1908.3,1908.3,1827.7,1827.7,0,0
ACP_MV,D,20071127,000000,1838.37,1872.73,1838.37,1847.83,0,0
