<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALI_PE,D,20140828,000000,10.139,10.139,10.139,10.139,0,0
ALI_PE,D,20140829,000000,9.664,10.139,9.664,10.139,0,0
ALI_PE,D,20140901,000000,9.743,9.902,9.664,9.822,0,0
ALI_PE,D,20140902,000000,9.743,10.06,9.664,9.743,0,0
ALI_PE,D,20140903,000000,9.822,9.822,9.584,9.822,0,0
ALI_PE,D,20140904,000000,9.664,10.218,9.664,10.218,0,0
ALI_PE,D,20140905,000000,10.06,10.218,9.98,10.06,0,0
ALI_PE,D,20140908,000000,10.06,10.218,9.98,10.139,0,0
ALI_PE,D,20140909,000000,10.218,10.298,10.06,10.139,0,0
ALI_PE,D,20140910,000000,10.06,10.298,10.06,10.298,0,0
ALI_PE,D,20140911,000000,10.298,10.298,10.06,10.218,0,0
ALI_PE,D,20140912,000000,10.218,10.218,10.139,10.218,0,0
ALI_PE,D,20140915,000000,10.06,10.218,10.06,10.139,0,0
ALI_PE,D,20140916,000000,10.06,10.139,9.98,9.98,0,0
ALI_PE,D,20140917,000000,9.98,10.06,9.98,10.06,0,0
ALI_PE,D,20140918,000000,9.98,10.298,9.98,10.218,0,0
ALI_PE,D,20140919,000000,10.139,10.298,9.902,10.298,0,0
ALI_PE,D,20140922,000000,10.139,10.377,10.139,10.377,0,0
ALI_PE,D,20140923,000000,10.377,10.377,10.218,10.377,0,0
ALI_PE,D,20140924,000000,10.377,10.377,9.98,10.298,0,0
ALI_PE,D,20140925,000000,10.298,10.377,10.06,10.298,0,0
ALI_PE,D,20140926,000000,10.456,10.456,10.139,10.377,0,0
ALI_PE,D,20140929,000000,10.377,10.456,10.377,10.377,0,0
ALI_PE,D,20140930,000000,10.377,10.456,10.218,10.377,0,0
ALI_PE,D,20141001,000000,10.377,10.377,10.218,10.298,0,0
ALI_PE,D,20141002,000000,10.298,10.456,10.139,10.456,0,0
ALI_PE,D,20141003,000000,10.456,10.456,10.456,10.456,0,0
ALI_PE,D,20141006,000000,10.456,10.456,10.456,10.456,0,0
