<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AML_MV,D,20140717,000000,343.12,343.12,343.12,343.12,0,0
AML_MV,D,20140718,000000,343.61,345.57,343.12,345.57,0,0
AML_MV,D,20140721,000000,344.99,346.85,344.1,345.08,0,0
AML_MV,D,20140722,000000,346.06,346.06,340.19,340.19,0,0
AML_MV,D,20140723,000000,341.16,342.15,341.16,342.15,0,0
AML_MV,D,20140724,000000,344.59,344.59,326.52,333.45,0,0
AML_MV,D,20140725,000000,334.42,336.28,334.42,336.28,0,0
AML_MV,D,20140728,000000,340.19,344.1,337.27,344.1,0,0
AML_MV,D,20140729,000000,344.1,344.1,342.15,343.91,0,0
AML_MV,D,20140730,000000,344.01,344.01,338.24,342.15,0,0
AML_MV,D,20140731,000000,339.71,342.64,339.71,342.15,0,0
AML_MV,D,20140801,000000,342.15,342.15,332.37,332.37,0,0
AML_MV,D,20140804,000000,336.28,342.15,332.37,332.37,0,0
AML_MV,D,20140805,000000,332.47,336.68,332.47,336.68,0,0
AML_MV,D,20140806,000000,336.57,341.95,333.34,341.95,0,0
AML_MV,D,20140807,000000,337.27,342.15,332.37,337.27,0,0
AML_MV,D,20140808,000000,337.27,340.19,333.64,340.19,0,0
AML_MV,D,20140811,000000,336.28,340.19,336.28,340.19,0,0
AML_MV,D,20140812,000000,340.19,340.69,337.35,340.19,0,0
AML_MV,D,20140813,000000,338.24,340.19,338.24,340.19,0,0
AML_MV,D,20140814,000000,334.33,340.19,333.73,340.1,0,0
AML_MV,D,20140818,000000,340.1,340.19,340.1,340.19,0,0
AML_MV,D,20140819,000000,340.19,340.19,334.42,340.19,0,0
AML_MV,D,20140820,000000,340.19,340.88,336.5,340.19,0,0
AML_MV,D,20140821,000000,342.06,353.39,342.06,353.39,0,0
AML_MV,D,20140822,000000,354.37,358.76,353.98,353.98,0,0
AML_MV,D,20140825,000000,356.32,356.32,350.75,351.93,0,0
AML_MV,D,20140826,000000,350.36,358.76,350.36,358.76,0,0
AML_MV,D,20140827,000000,359.07,368.53,359.07,368.45,0,0
AML_MV,D,20140828,000000,369.51,376.27,356.92,364.53,0,0
AML_MV,D,20140829,000000,364.34,374.41,360.73,368.53,0,0
AML_MV,D,20140901,000000,369.51,375.28,368.53,371.39,0,0
AML_MV,D,20140902,000000,374.41,386.14,371.39,386.14,0,0
AML_MV,D,20140903,000000,389.56,397.28,389.16,392.01,0,0
AML_MV,D,20140904,000000,392.01,392.01,384.67,390.05,0,0
AML_MV,D,20140905,000000,390.05,400.3,389.16,398.35,0,0
AML_MV,D,20140908,000000,394.94,398.16,394.94,397.87,0,0
AML_MV,D,20140909,000000,397.38,397.38,390.05,391.04,0,0
AML_MV,D,20140910,000000,389.06,389.06,383.21,386.14,0,0
AML_MV,D,20140911,000000,383.21,387.03,383.21,386.23,0,0
AML_MV,D,20140912,000000,386.63,397.38,386.53,397.38,0,0
AML_MV,D,20140915,000000,397.87,397.87,390.05,395.83,0,0
AML_MV,D,20140916,000000,395.83,395.83,391.04,391.81,0,0
AML_MV,D,20140917,000000,391.81,394.94,391.04,394.85,0,0
AML_MV,D,20140918,000000,394.85,395.92,393.07,393.76,0,0
AML_MV,D,20140919,000000,393.95,398.35,393.95,396.89,0,0
AML_MV,D,20140922,000000,396.89,400.71,396.89,398.65,0,0
AML_MV,D,20140923,000000,396.41,396.41,391.12,392.69,0,0
AML_MV,D,20140924,000000,392.69,392.69,391.52,391.52,0,0
AML_MV,D,20140925,000000,392.01,394.34,391.04,392.49,0,0
AML_MV,D,20140926,000000,391.52,392.01,391.04,391.91,0,0
AML_MV,D,20140929,000000,391.04,392.98,391.04,392.98,0,0
AML_MV,D,20140930,000000,391.12,397.87,391.04,397.87,0,0
AML_MV,D,20141001,000000,397.87,410.59,397.87,405.69,0,0
AML_MV,D,20141002,000000,405.69,407.64,401.1,407.16,0,0
AML_MV,D,20141003,000000,405.2,405.2,396.89,400.22,0,0
AML_MV,D,20141006,000000,402.46,402.46,398.35,399.52,0,0
AML_MV,D,20141007,000000,396.99,399.32,394.56,399.32,0,0
AML_MV,D,20141008,000000,394.43,397.87,392.98,397.87,0,0
AML_MV,D,20141009,000000,397.77,397.77,392.98,393.66,0,0
AML_MV,D,20141010,000000,392.3,394.43,384.27,394.43,0,0
AML_MV,D,20141013,000000,391.52,395.92,391.52,395.92,0,0
AML_MV,D,20141014,000000,395.92,395.92,393.57,394.73,0,0
AML_MV,D,20141015,000000,394.73,410.59,394.43,400.82,0,0
AML_MV,D,20141016,000000,400.82,408.42,396.02,405.48,0,0
AML_MV,D,20141017,000000,405.2,409.11,405.2,409.01,0,0
AML_MV,D,20141020,000000,409.01,415.47,409.01,414.49,0,0
AML_MV,D,20141021,000000,414.38,418.1,412.25,418.1,0,0
AML_MV,D,20141022,000000,418.39,425.24,417.62,425.24,0,0
AML_MV,D,20141023,000000,421.34,428.66,410.87,420.35,0,0
AML_MV,D,20141024,000000,420.26,423.68,420.07,423.68,0,0
AML_MV,D,20141027,000000,423.18,423.28,416.45,422.7,0,0
AML_MV,D,20141028,000000,422.31,422.31,416.55,422.12,0,0
AML_MV,D,20141029,000000,422.12,422.12,415.96,420.26,0,0
AML_MV,D,20141030,000000,420.16,421.91,410.38,420.35,0,0
AML_MV,D,20141031,000000,420.35,425.14,420.35,425.14,0,0
AML_MV,D,20141103,000000,426.23,431.11,424.75,430.13,0,0
AML_MV,D,20141104,000000,431.6,433.06,431.11,431.11,0,0
AML_MV,D,20141105,000000,431.6,432.09,428.18,430.03,0,0
AML_MV,D,20141106,000000,430.13,430.13,427.2,427.2,0,0
AML_MV,D,20141107,000000,427.2,429.63,426.23,426.23,0,0
AML_MV,D,20141110,000000,427,427.4,426.23,426.23,0,0
