<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRA_MV,D,20121220,000000,36.76,36.76,36.76,36.76,0,0
BRA_MV,D,20121221,000000,34.54,34.61,27.69,32.88,0,0
BRA_MV,D,20121227,000000,29.67,32.12,26.35,28.65,0,0
BRA_MV,D,20121228,000000,28.43,28.43,27.2,27.2,0,0
BRA_MV,D,20130102,000000,28.43,28.43,24.75,26.45,0,0
BRA_MV,D,20130103,000000,26.45,26.45,24.75,24.75,0,0
BRA_MV,D,20130104,000000,24.75,26.21,24.75,26.21,0,0
BRA_MV,D,20130107,000000,25.71,25.71,25.71,25.71,0,0
BRA_MV,D,20130108,000000,25.71,28.18,25.34,28.18,0,0
BRA_MV,D,20130109,000000,26.45,32.14,26.45,32.14,0,0
BRA_MV,D,20130110,000000,28.43,33.2,25.71,25.98,0,0
BRA_MV,D,20130111,000000,26.68,26.68,24.85,26.31,0,0
BRA_MV,D,20130114,000000,26.31,26.58,26.31,26.58,0,0
BRA_MV,D,20130115,000000,26.58,30.41,24.85,27.69,0,0
BRA_MV,D,20130116,000000,27.44,27.44,27.44,27.44,0,0
BRA_MV,D,20130117,000000,27.44,27.44,27.44,27.44,0,0
BRA_MV,D,20130118,000000,26.58,26.58,25.71,25.71,0,0
BRA_MV,D,20130121,000000,25.71,30.16,25.71,29.67,0,0
BRA_MV,D,20130122,000000,29.67,29.67,26.45,26.45,0,0
BRA_MV,D,20130123,000000,26.58,26.58,26.45,26.45,0,0
BRA_MV,D,20130124,000000,26.7,26.7,26.7,26.7,0,0
BRA_MV,D,20130125,000000,26.7,29.67,26.7,29.22,0,0
BRA_MV,D,20130128,000000,26.7,26.7,26.43,26.7,0,0
BRA_MV,D,20130129,000000,26.7,26.7,26.7,26.7,0,0
BRA_MV,D,20130130,000000,26.7,26.7,26.33,26.33,0,0
BRA_MV,D,20130131,000000,26.33,26.7,26.33,26.7,0,0
BRA_MV,D,20130201,000000,26.7,26.7,26.45,26.7,0,0
BRA_MV,D,20130204,000000,26.7,26.7,25.22,26.68,0,0
BRA_MV,D,20130205,000000,26.68,28.7,26.68,28.7,0,0
BRA_MV,D,20130206,000000,26.82,28.16,26.7,26.7,0,0
BRA_MV,D,20130207,000000,26.7,26.7,26.7,26.7,0,0
BRA_MV,D,20130208,000000,26.23,27.2,25.59,25.59,0,0
BRA_MV,D,20130211,000000,25.09,26.58,24.8,25.71,0,0
BRA_MV,D,20130212,000000,25.71,25.71,25.71,25.71,0,0
BRA_MV,D,20130213,000000,25.71,26.58,25.71,26.58,0,0
BRA_MV,D,20130214,000000,26.58,26.58,25.96,25.96,0,0
BRA_MV,D,20130215,000000,25.71,25.71,25.71,25.71,0,0
BRA_MV,D,20130218,000000,25.71,26.55,25.71,26.55,0,0
BRA_MV,D,20130219,000000,26.55,26.55,25.46,25.46,0,0
BRA_MV,D,20130220,000000,25.46,25.46,25.46,25.46,0,0
BRA_MV,D,20130221,000000,25.46,26.58,24.87,25.88,0,0
BRA_MV,D,20130222,000000,25.88,25.88,24.77,25.24,0,0
BRA_MV,D,20130225,000000,24.77,24.77,24.72,24.72,0,0
BRA_MV,D,20130226,000000,24.7,25.71,24.7,25.71,0,0
BRA_MV,D,20130227,000000,25.69,28.04,24.72,24.72,0,0
BRA_MV,D,20130228,000000,24.72,24.72,24.72,24.72,0,0
BRA_MV,D,20130301,000000,24.23,24.33,24.23,24.33,0,0
BRA_MV,D,20130304,000000,24.35,25.22,24.35,25.22,0,0
BRA_MV,D,20130305,000000,25.22,25.22,25.22,25.22,0,0
BRA_MV,D,20130306,000000,25.22,25.22,25.22,25.22,0,0
BRA_MV,D,20130307,000000,25.22,25.22,25.22,25.22,0,0
BRA_MV,D,20130308,000000,25.22,25.24,25.22,25.22,0,0
BRA_MV,D,20130311,000000,24.97,24.97,24.97,24.97,0,0
BRA_MV,D,20130312,000000,24.48,24.48,24.48,24.48,0,0
BRA_MV,D,20130313,000000,24.48,24.48,24.48,24.48,0,0
BRA_MV,D,20130314,000000,24.48,24.48,24.48,24.48,0,0
BRA_MV,D,20130315,000000,24.48,24.48,24.48,24.48,0,0
BRA_MV,D,20130318,000000,24.35,24.35,24.35,24.35,0,0
BRA_MV,D,20130319,000000,24.97,27.94,24.97,25.71,0,0
BRA_MV,D,20130320,000000,24.97,26.23,24.97,26.23,0,0
BRA_MV,D,20130321,000000,25.22,25.22,25.22,25.22,0,0
BRA_MV,D,20130322,000000,25.22,25.22,25.22,25.22,0,0
BRA_MV,D,20130326,000000,24.72,24.72,22.25,24.72,0,0
BRA_MV,D,20130327,000000,23.49,24.72,23.49,23.49,0,0
BRA_MV,D,20130328,000000,23.12,24.72,23.12,24.72,0,0
BRA_MV,D,20130402,000000,24.7,24.72,23.49,24.7,0,0
BRA_MV,D,20130403,000000,24.7,24.72,24.7,24.72,0,0
BRA_MV,D,20130404,000000,24.7,24.7,24.7,24.7,0,0
BRA_MV,D,20130405,000000,24.7,25.02,24.7,25.02,0,0
BRA_MV,D,20130408,000000,25.02,25.25,25.02,25.25,0,0
BRA_MV,D,20130409,000000,25.27,25.27,25.27,25.27,0,0
BRA_MV,D,20130417,000000,25.02,25.02,23.9,23.9,0,0
BRA_MV,D,20130418,000000,24.02,25.02,24.02,24.07,0,0
BRA_MV,D,20130419,000000,24.15,24.77,24.15,24.77,0,0
BRA_MV,D,20130422,000000,24.77,26.25,24.77,26.25,0,0
BRA_MV,D,20130423,000000,26.25,26.25,25.22,25.27,0,0
BRA_MV,D,20130429,000000,24.77,24.77,24.05,24.05,0,0
BRA_MV,D,20130430,000000,24.05,24.05,24.05,24.05,0,0
BRA_MV,D,20130506,000000,24.05,26.25,24.05,25.02,0,0
BRA_MV,D,20130508,000000,25.02,25.12,23.5,23.5,0,0
BRA_MV,D,20130509,000000,23.5,25.02,23.5,25.02,0,0
BRA_MV,D,20130510,000000,25.1,25.1,23.47,24.4,0,0
BRA_MV,D,20130513,000000,24.52,25.45,24.52,25.45,0,0
BRA_MV,D,20130514,000000,24.07,24.07,24.07,24.07,0,0
BRA_MV,D,20130515,000000,24.07,24.77,24.07,24.77,0,0
BRA_MV,D,20130516,000000,24.77,28.48,24.77,28.48,0,0
BRA_MV,D,20130517,000000,28.48,28.78,28.48,28.78,0,0
BRA_MV,D,20130520,000000,28.78,28.78,27.2,27.53,0,0
BRA_MV,D,20130523,000000,27.5,28.78,27.5,28.78,0,0
BRA_MV,D,20130524,000000,28.53,28.53,28.53,28.53,0,0
BRA_MV,D,20130527,000000,28.53,30.03,28.53,29.15,0,0
BRA_MV,D,20130528,000000,29.03,29.15,27.73,27.85,0,0
BRA_MV,D,20130529,000000,28.25,28.98,28.25,28.98,0,0
BRA_MV,D,20130531,000000,29.15,29.53,29.15,29.53,0,0
BRA_MV,D,20130603,000000,29.73,29.73,29.73,29.73,0,0
BRA_MV,D,20130604,000000,29.73,29.73,29.73,29.73,0,0
BRA_MV,D,20130605,000000,29.73,29.73,29.73,29.73,0,0
BRA_MV,D,20130606,000000,29.73,29.73,29.73,29.73,0,0
BRA_MV,D,20130607,000000,29.73,29.73,29.73,29.73,0,0
BRA_MV,D,20130610,000000,29.73,35.03,29.73,35.03,0,0
BRA_MV,D,20130611,000000,35.03,35.03,35.03,35.03,0,0
BRA_MV,D,20130612,000000,35.03,35.03,34.78,34.78,0,0
BRA_MV,D,20130613,000000,33.66,33.66,28.13,28.65,0,0
BRA_MV,D,20130614,000000,28.78,28.78,28.78,28.78,0,0
BRA_MV,D,20130617,000000,28.78,28.78,26.27,26.27,0,0
BRA_MV,D,20130619,000000,26.27,26.27,26.27,26.27,0,0
BRA_MV,D,20130620,000000,25.02,25.02,25.02,25.02,0,0
BRA_MV,D,20130621,000000,25.02,25.02,25.02,25.02,0,0
BRA_MV,D,20130624,000000,25.02,25.52,25.02,25.52,0,0
BRA_MV,D,20130625,000000,25.05,25.05,25.02,25.02,0,0
BRA_MV,D,20130626,000000,25.52,25.52,25.27,25.27,0,0
BRA_MV,D,20130627,000000,25.77,25.77,24.8,24.8,0,0
BRA_MV,D,20130703,000000,25.02,25.52,25.02,25.52,0,0
BRA_MV,D,20130712,000000,25.52,26.02,25.52,26.02,0,0
BRA_MV,D,20130715,000000,26.27,26.27,25.25,25.25,0,0
BRA_MV,D,20130716,000000,25.22,25.22,25.22,25.22,0,0
BRA_MV,D,20130717,000000,25.22,25.22,23.97,23.97,0,0
BRA_MV,D,20130719,000000,24.02,24.02,21.85,22.52,0,0
BRA_MV,D,20130722,000000,22.52,22.52,22.02,22.02,0,0
BRA_MV,D,20130723,000000,22.02,22.02,22.02,22.02,0,0
BRA_MV,D,20130724,000000,22.02,22.02,22.02,22.02,0,0
BRA_MV,D,20130725,000000,22.02,22.02,22.02,22.02,0,0
BRA_MV,D,20130726,000000,22.02,22.02,22.02,22.02,0,0
BRA_MV,D,20130729,000000,22.02,22.02,22.02,22.02,0,0
BRA_MV,D,20130730,000000,22.02,22.02,20.92,20.92,0,0
BRA_MV,D,20130731,000000,21.02,21.02,20.27,20.42,0,0
BRA_MV,D,20130801,000000,20.27,20.27,20.02,20.02,0,0
BRA_MV,D,20130802,000000,20.02,21.02,20.02,20.19,0,0
BRA_MV,D,20130805,000000,20.22,21.07,20.19,20.19,0,0
BRA_MV,D,20130807,000000,20.19,20.19,20.19,20.19,0,0
BRA_MV,D,20130808,000000,20.19,20.19,20.19,20.19,0,0
BRA_MV,D,20130809,000000,20.19,20.19,20.02,20.02,0,0
BRA_MV,D,20130814,000000,20.02,20.02,19.82,19.82,0,0
BRA_MV,D,20130816,000000,19.82,19.82,19.04,19.27,0,0
BRA_MV,D,20130819,000000,19.02,19.02,17.52,17.52,0,0
BRA_MV,D,20130821,000000,17.04,17.04,16.92,16.92,0,0
BRA_MV,D,20130822,000000,16.92,16.92,16.92,16.92,0,0
BRA_MV,D,20130823,000000,16.92,16.92,16.92,16.92,0,0
BRA_MV,D,20130826,000000,16.92,16.92,13.04,15.76,0,0
BRA_MV,D,20130827,000000,14.66,14.66,13.26,13.26,0,0
BRA_MV,D,20130828,000000,13.31,13.66,13.31,13.66,0,0
BRA_MV,D,20130829,000000,14.31,17.02,14.31,17.02,0,0
BRA_MV,D,20130830,000000,17.02,17.02,17.02,17.02,0,0
BRA_MV,D,20130904,000000,16.52,19.27,15.54,17.52,0,0
BRA_MV,D,20130905,000000,17.52,20.02,17.52,20.02,0,0
BRA_MV,D,20130906,000000,19.99,19.99,19.02,19.02,0,0
BRA_MV,D,20130910,000000,19.89,21.02,19.89,21.02,0,0
BRA_MV,D,20130911,000000,20.49,23.52,20.49,23.52,0,0
BRA_MV,D,20130912,000000,23.52,23.52,22.52,22.52,0,0
BRA_MV,D,20130913,000000,22.77,22.77,22.77,22.77,0,0
BRA_MV,D,20130916,000000,22.62,22.62,22.62,22.62,0,0
BRA_MV,D,20130917,000000,22.62,22.62,22.62,22.62,0,0
BRA_MV,D,20130918,000000,22.62,22.62,21.49,21.49,0,0
BRA_MV,D,20130919,000000,21.57,22.62,21.57,22.62,0,0
BRA_MV,D,20130920,000000,22.62,23,22.15,22.27,0,0
BRA_MV,D,20130930,000000,21.52,21.52,21.27,21.27,0,0
BRA_MV,D,20131001,000000,21.27,21.27,21.27,21.27,0,0
