<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BST_PE,D,20070813,000000,61.6,61.6,61.6,61.6,0,0
BST_PE,D,20070814,000000,67.8,67.8,67.8,67.8,0,0
BST_PE,D,20070816,000000,65.7,65.7,65.7,65.7,0,0
BST_PE,D,20070817,000000,65.8,65.8,65.8,65.8,0,0
BST_PE,D,20070820,000000,72,72,72,72,0,0
BST_PE,D,20070821,000000,72,72,72,72,0,0
BST_PE,D,20070822,000000,66.5,66.5,66.5,66.5,0,0
BST_PE,D,20070823,000000,69.7,69.7,69.7,69.7,0,0
BST_PE,D,20070824,000000,63.7,63.7,63.7,63.7,0,0
BST_PE,D,20070827,000000,69,69,69,69,0,0
BST_PE,D,20070828,000000,70.7,70.7,70.7,70.7,0,0
BST_PE,D,20070829,000000,70,70,70,70,0,0
BST_PE,D,20070830,000000,65.8,65.8,65.8,65.8,0,0
BST_PE,D,20070831,000000,68.6,68.6,68.6,68.6,0,0
BST_PE,D,20070903,000000,68.2,68.2,68.2,68.2,0,0
BST_PE,D,20070904,000000,66,66,66,66,0,0
BST_PE,D,20070905,000000,64.4,64.4,64.4,64.4,0,0
BST_PE,D,20070906,000000,66.5,66.5,66.5,66.5,0,0
BST_PE,D,20070907,000000,70,70,70,70,0,0
BST_PE,D,20070910,000000,70,70,70,70,0,0
BST_PE,D,20070911,000000,70,70,70,70,0,0
BST_PE,D,20070912,000000,72.7,72.7,72.7,72.7,0,0
BST_PE,D,20070913,000000,75.4,75.4,75.4,75.4,0,0
BST_PE,D,20070914,000000,81.2,81.2,81.2,81.2,0,0
BST_PE,D,20070917,000000,82.6,82.6,82.6,82.6,0,0
BST_PE,D,20070918,000000,82.6,82.6,82.6,82.6,0,0
BST_PE,D,20070919,000000,82.5,82.5,82.5,82.5,0,0
BST_PE,D,20070920,000000,81.2,81.2,81.2,81.2,0,0
BST_PE,D,20070921,000000,81.2,81.2,81.2,81.2,0,0
BST_PE,D,20070924,000000,81.2,81.2,81.2,81.2,0,0
BST_PE,D,20070925,000000,81.2,81.2,81.2,81.2,0,0
BST_PE,D,20070926,000000,81.2,81.2,81.2,81.2,0,0
BST_PE,D,20070927,000000,75.5,75.5,75.5,75.5,0,0
BST_PE,D,20070928,000000,75.4,75.4,75.4,75.4,0,0
