<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CMP_MV,D,20070813,000000,326.009,326.009,326.009,326.009,0,0
CMP_MV,D,20070814,000000,332.824,332.824,332.824,332.824,0,0
CMP_MV,D,20070816,000000,326.009,326.009,326.009,326.009,0,0
CMP_MV,D,20070817,000000,324.516,324.516,324.516,324.516,0,0
CMP_MV,D,20070820,000000,323.042,323.042,323.042,323.042,0,0
CMP_MV,D,20070821,000000,324.516,324.516,324.516,324.516,0,0
CMP_MV,D,20070822,000000,352.689,352.689,352.689,352.689,0,0
CMP_MV,D,20070823,000000,351.196,351.196,351.196,351.196,0,0
CMP_MV,D,20070824,000000,343.789,343.789,343.789,343.789,0,0
CMP_MV,D,20070827,000000,337.865,337.865,337.865,337.865,0,0
CMP_MV,D,20070828,000000,349.722,349.722,349.722,349.722,0,0
CMP_MV,D,20070829,000000,337.865,337.865,337.865,337.865,0,0
CMP_MV,D,20070830,000000,328.966,328.966,328.966,328.966,0,0
CMP_MV,D,20070831,000000,328.966,328.966,328.966,328.966,0,0
CMP_MV,D,20070903,000000,322.16,322.16,322.16,322.16,0,0
CMP_MV,D,20070904,000000,313.56,313.56,313.56,313.56,0,0
CMP_MV,D,20070905,000000,302.596,302.596,302.596,302.596,0,0
CMP_MV,D,20070906,000000,311.195,311.195,311.195,311.195,0,0
CMP_MV,D,20070907,000000,312.669,312.669,312.669,312.669,0,0
CMP_MV,D,20070910,000000,305.262,305.262,305.262,305.262,0,0
CMP_MV,D,20070911,000000,304.67,304.67,304.67,304.67,0,0
CMP_MV,D,20070912,000000,304.069,304.069,304.069,304.069,0,0
CMP_MV,D,20070913,000000,305.262,305.262,305.262,305.262,0,0
CMP_MV,D,20070914,000000,309.702,309.702,309.702,309.702,0,0
CMP_MV,D,20070917,000000,293.405,293.405,293.405,293.405,0,0
CMP_MV,D,20070918,000000,300.812,300.812,300.812,300.812,0,0
CMP_MV,D,20070919,000000,296.231,296.231,296.231,296.231,0,0
CMP_MV,D,20070920,000000,299.038,299.038,299.038,299.038,0,0
CMP_MV,D,20070921,000000,299.038,299.038,299.038,299.038,0,0
CMP_MV,D,20070924,000000,299.338,299.338,299.338,299.338,0,0
CMP_MV,D,20070925,000000,299.338,299.338,299.338,299.338,0,0
CMP_MV,D,20070926,000000,296.371,296.371,296.371,296.371,0,0
CMP_MV,D,20070927,000000,296.371,296.371,296.371,296.371,0,0
CMP_MV,D,20070928,000000,296.371,296.371,296.371,296.371,0,0
CMP_MV,D,20071001,000000,290.438,290.438,290.438,290.438,0,0
CMP_MV,D,20071002,000000,291.922,291.922,291.922,291.922,0,0
CMP_MV,D,20071003,000000,291.922,291.922,291.922,291.922,0,0
CMP_MV,D,20071004,000000,294.888,294.888,294.888,294.888,0,0
CMP_MV,D,20071005,000000,294.588,294.588,294.588,294.588,0,0
CMP_MV,D,20071008,000000,300.521,300.521,300.521,300.521,0,0
CMP_MV,D,20071009,000000,307.918,307.918,307.918,307.918,0,0
CMP_MV,D,20071010,000000,305.262,305.262,305.262,305.262,0,0
CMP_MV,D,20071011,000000,306.754,306.754,306.754,306.754,0,0
CMP_MV,D,20071012,000000,302.295,302.295,302.295,302.295,0,0
CMP_MV,D,20071015,000000,299.338,299.338,299.338,299.338,0,0
CMP_MV,D,20071016,000000,296.371,296.371,296.371,296.371,0,0
CMP_MV,D,20071017,000000,288.964,288.964,288.964,288.964,0,0
CMP_MV,D,20071018,000000,288.964,288.964,288.964,288.964,0,0
CMP_MV,D,20071019,000000,280.074,280.074,280.074,280.074,0,0
CMP_MV,D,20071022,000000,269.691,269.691,269.691,269.691,0,0
CMP_MV,D,20071023,000000,269.4,269.4,269.4,269.4,0,0
CMP_MV,D,20071024,000000,265.251,265.251,265.251,265.251,0,0
CMP_MV,D,20071025,000000,259.318,259.318,259.318,259.318,0,0
CMP_MV,D,20071026,000000,257.844,257.844,257.844,257.844,0,0
CMP_MV,D,20071029,000000,265.251,265.251,265.251,265.251,0,0
CMP_MV,D,20071030,000000,265.251,265.251,265.251,265.251,0,0
CMP_MV,D,20071031,000000,263.768,263.768,263.768,263.768,0,0
CMP_MV,D,20071102,000000,260.801,260.801,260.801,260.801,0,0
CMP_MV,D,20071105,000000,263.768,263.768,263.768,263.768,0,0
CMP_MV,D,20071106,000000,266.734,266.734,266.734,266.734,0,0
CMP_MV,D,20071107,000000,266.734,266.734,266.734,266.734,0,0
CMP_MV,D,20071108,000000,264.65,264.65,264.65,264.65,0,0
CMP_MV,D,20071109,000000,263.768,264.65,257.844,264.65,0,0
CMP_MV,D,20071112,000000,263.768,264.65,263.768,263.768,0,0
CMP_MV,D,20071113,000000,264.369,264.369,258.135,263.768,0,0
CMP_MV,D,20071114,000000,261.393,287.472,261.393,278.582,0,0
CMP_MV,D,20071115,000000,272.667,278.582,257.844,273.409,0,0
CMP_MV,D,20071116,000000,266.734,273.409,260.801,273.099,0,0
CMP_MV,D,20071119,000000,272.667,273.099,265.251,269.691,0,0
CMP_MV,D,20071120,000000,269.992,269.992,256.952,266.734,0,0
CMP_MV,D,20071121,000000,260.801,264.369,258.135,264.369,0,0
CMP_MV,D,20071122,000000,260.801,261.702,251.911,260.801,0,0
CMP_MV,D,20071123,000000,260.801,260.801,260.801,260.801,0,0
CMP_MV,D,20071126,000000,257.844,257.844,253.404,257.844,0,0
CMP_MV,D,20071127,000000,254.878,254.878,248.944,248.944,0,0
CMP_MV,D,20071128,000000,248.944,251.911,248.804,248.804,0,0
CMP_MV,D,20071129,000000,251.911,251.911,243.03,245.987,0,0
CMP_MV,D,20071130,000000,243.03,248.944,241.538,248.944,0,0
CMP_MV,D,20071203,000000,250.437,250.437,246.128,246.128,0,0
CMP_MV,D,20071204,000000,243.03,243.03,241.538,243.03,0,0
CMP_MV,D,20071205,000000,245.987,245.987,237.088,245.987,0,0
CMP_MV,D,20071206,000000,240.064,240.064,234.431,237.088,0,0
CMP_MV,D,20071207,000000,234.131,234.131,231.173,234.131,0,0
CMP_MV,D,20071210,000000,234.131,234.131,229.69,231.173,0,0
CMP_MV,D,20071211,000000,231.173,325.905,231.173,325.905,0,0
CMP_MV,D,20071212,000000,325.905,336.354,325.905,336.354,0,0
CMP_MV,D,20071213,000000,334.26,335.087,334.26,334.26,0,0
CMP_MV,D,20071214,000000,330.073,336.354,330.073,336.354,0,0
CMP_MV,D,20071217,000000,336.354,336.354,325.905,332.176,0,0
CMP_MV,D,20071218,000000,332.176,338.429,332.176,338.429,0,0
CMP_MV,D,20071219,000000,334.26,334.26,325.483,325.483,0,0
CMP_MV,D,20071220,000000,317.541,317.541,292.466,297.489,0,0
CMP_MV,D,20071221,000000,301.676,321.728,300.831,313.373,0,0
CMP_MV,D,20071227,000000,320.892,321.296,309.186,321.296,0,0
CMP_MV,D,20071228,000000,321.296,321.296,313.166,317.541,0,0
CMP_MV,D,20080102,000000,321.296,321.296,321.296,321.296,0,0
CMP_MV,D,20080103,000000,313.373,329.454,313.373,329.238,0,0
CMP_MV,D,20080104,000000,329.238,334.26,323.812,334.26,0,0
CMP_MV,D,20080107,000000,325.905,325.905,317.963,323.812,0,0
CMP_MV,D,20080108,000000,322.779,322.779,317.541,321.728,0,0
CMP_MV,D,20080109,000000,315.457,315.457,297.076,302.718,0,0
CMP_MV,D,20080110,000000,302.718,302.718,275.756,291.847,0,0
CMP_MV,D,20080111,000000,287.885,288.307,274.085,279.943,0,0
CMP_MV,D,20080114,000000,292.466,292.466,292.466,292.466,0,0
CMP_MV,D,20080115,000000,283.698,283.698,278.685,278.685,0,0
CMP_MV,D,20080116,000000,277.859,277.859,265.317,270.959,0,0
CMP_MV,D,20080117,000000,273.672,273.672,268.03,271.175,0,0
CMP_MV,D,20080118,000000,273.249,279.098,271.175,271.175,0,0
CMP_MV,D,20080121,000000,271.175,271.175,255.291,259.055,0,0
CMP_MV,D,20080122,000000,250.691,262.397,240.251,262.397,0,0
CMP_MV,D,20080123,000000,260.294,275.136,260.294,275.136,0,0
CMP_MV,D,20080124,000000,276.188,313.373,276.188,313.373,0,0
CMP_MV,D,20080125,000000,313.373,313.373,299.16,309.186,0,0
CMP_MV,D,20080128,000000,299.995,299.995,296.653,296.653,0,0
CMP_MV,D,20080129,000000,301.244,301.244,301.244,301.244,0,0
CMP_MV,D,20080130,000000,305.018,305.018,296.653,304.586,0,0
CMP_MV,D,20080131,000000,305.018,305.018,305.018,305.018,0,0
CMP_MV,D,20080201,000000,316.715,317.963,311.279,317.963,0,0
CMP_MV,D,20080204,000000,325.905,328.825,322.141,328.825,0,0
CMP_MV,D,20080205,000000,317.963,330.073,317.541,330.073,0,0
CMP_MV,D,20080206,000000,320.47,329.66,320.47,329.66,0,0
CMP_MV,D,20080207,000000,327.989,330.909,321.728,330.909,0,0
CMP_MV,D,20080208,000000,330.505,333.631,330.505,333.631,0,0
CMP_MV,D,20080211,000000,332.176,332.176,332.176,332.176,0,0
CMP_MV,D,20080212,000000,332.176,332.589,332.176,332.589,0,0
CMP_MV,D,20080213,000000,333.416,333.416,330.073,330.073,0,0
CMP_MV,D,20080214,000000,334.26,344.287,334.26,344.287,0,0
CMP_MV,D,20080215,000000,344.287,344.287,338.429,340.109,0,0
CMP_MV,D,20080218,000000,344.484,344.484,336.758,344.287,0,0
CMP_MV,D,20080219,000000,344.287,344.287,337.189,338.429,0,0
CMP_MV,D,20080220,000000,334.26,338.429,334.26,338.429,0,0
CMP_MV,D,20080221,000000,334.26,352.642,334.26,352.642,0,0
CMP_MV,D,20080222,000000,352.848,356.819,346.793,355.148,0,0
CMP_MV,D,20080225,000000,357.035,376.045,357.035,367.69,0,0
CMP_MV,D,20080226,000000,363.503,367.258,357.242,366.855,0,0
CMP_MV,D,20080227,000000,367.474,367.69,361.41,367.69,0,0
CMP_MV,D,20080228,000000,371.858,371.858,363.297,367.258,0,0
CMP_MV,D,20080229,000000,367.474,367.474,367.474,367.474,0,0
CMP_MV,D,20080303,000000,355.984,365.587,355.984,365.587,0,0
CMP_MV,D,20080304,000000,359.532,365.587,356.19,362.677,0,0
CMP_MV,D,20080305,000000,356.19,366.432,356.19,366.432,0,0
CMP_MV,D,20080306,000000,369.981,376.045,369.981,371.229,0,0
CMP_MV,D,20080307,000000,367.69,369.981,363.503,369.981,0,0
CMP_MV,D,20080310,000000,365.803,376.665,365.803,374.158,0,0
CMP_MV,D,20080311,000000,374.374,376.045,371.858,371.858,0,0
CMP_MV,D,20080312,000000,376.045,376.045,371.858,371.858,0,0
CMP_MV,D,20080313,000000,373.952,373.952,359.335,369.774,0,0
CMP_MV,D,20080314,000000,372.497,372.497,361.832,371.445,0,0
CMP_MV,D,20080317,000000,359.335,363.503,353.477,363.09,0,0
CMP_MV,D,20080318,000000,363.503,363.503,363.503,363.503,0,0
CMP_MV,D,20080319,000000,359.335,366.432,355.984,359.335,0,0
CMP_MV,D,20080320,000000,361.41,361.41,356.406,356.406,0,0
CMP_MV,D,20080325,000000,355.148,356.406,355.148,356.406,0,0
CMP_MV,D,20080326,000000,359.335,359.335,359.335,359.335,0,0
CMP_MV,D,20080327,000000,359.335,364.545,359.335,364.545,0,0
CMP_MV,D,20080328,000000,364.348,367.69,357.242,367.69,0,0
CMP_MV,D,20080331,000000,375.2,375.2,375.2,375.2,0,0
CMP_MV,D,20080401,000000,375.623,375.623,366.019,366.019,0,0
CMP_MV,D,20080402,000000,371.858,371.858,371.858,371.858,0,0
CMP_MV,D,20080403,000000,371.858,371.858,359.335,359.335,0,0
CMP_MV,D,20080404,000000,355.148,355.148,352.435,353.064,0,0
CMP_MV,D,20080407,000000,352.219,352.219,347.638,347.835,0,0
CMP_MV,D,20080408,000000,349.3,349.3,346.793,346.793,0,0
CMP_MV,D,20080409,000000,344.7,344.7,335.518,337.602,0,0
CMP_MV,D,20080410,000000,334.26,343.451,334.26,343.451,0,0
CMP_MV,D,20080411,000000,343.451,343.451,341.78,341.78,0,0
CMP_MV,D,20080414,000000,340.944,343.451,340.109,343.451,0,0
CMP_MV,D,20080415,000000,343.451,343.451,340.522,340.522,0,0
CMP_MV,D,20080416,000000,342.616,342.616,340.109,342.193,0,0
CMP_MV,D,20080417,000000,342.193,342.193,342.193,342.193,0,0
CMP_MV,D,20080418,000000,333.002,334.26,333.002,334.26,0,0
CMP_MV,D,20080421,000000,333.002,333.002,324.234,324.234,0,0
CMP_MV,D,20080422,000000,325.905,325.905,311.899,317.757,0,0
CMP_MV,D,20080423,000000,316.715,316.715,309.186,313.373,0,0
CMP_MV,D,20080424,000000,318.386,320.47,311.692,317.541,0,0
CMP_MV,D,20080425,000000,313.983,323.183,313.983,323.183,0,0
CMP_MV,D,20080428,000000,327.989,333.002,318.799,333.002,0,0
CMP_MV,D,20080429,000000,331.744,331.744,323.812,323.812,0,0
CMP_MV,D,20080430,000000,322.141,322.141,319.625,319.625,0,0
CMP_MV,D,20080505,000000,323.399,326.318,321.728,325.905,0,0
CMP_MV,D,20080506,000000,321.728,321.728,321.728,321.728,0,0
CMP_MV,D,20080507,000000,321.728,330.073,319.625,330.073,0,0
CMP_MV,D,20080508,000000,330.073,330.073,323.812,323.812,0,0
CMP_MV,D,20080509,000000,317.541,319.625,317.541,319.625,0,0
CMP_MV,D,20080512,000000,317.541,317.541,312.115,312.115,0,0
CMP_MV,D,20080513,000000,309.186,309.186,309.186,309.186,0,0
CMP_MV,D,20080514,000000,313.983,313.983,309.186,309.186,0,0
CMP_MV,D,20080515,000000,309.186,309.186,305.018,305.018,0,0
CMP_MV,D,20080516,000000,298.324,298.324,287.669,292.466,0,0
CMP_MV,D,20080519,000000,288.307,288.307,274.085,286.214,0,0
CMP_MV,D,20080520,000000,279.943,285.791,279.943,285.791,0,0
CMP_MV,D,20080521,000000,285.791,285.791,285.791,285.791,0,0
CMP_MV,D,20080523,000000,284.12,287.462,279.943,287.462,0,0
CMP_MV,D,20080526,000000,286.42,286.42,278.272,278.272,0,0
CMP_MV,D,20080527,000000,279.943,279.943,279.943,279.943,0,0
CMP_MV,D,20080528,000000,279.314,279.314,271.578,271.578,0,0
CMP_MV,D,20080529,000000,271.578,279.52,271.578,275.756,0,0
CMP_MV,D,20080530,000000,279.52,279.52,279.52,279.52,0,0
CMP_MV,D,20080602,000000,284.543,284.543,284.543,284.543,0,0
CMP_MV,D,20080603,000000,284.543,284.543,278.685,284.12,0,0
CMP_MV,D,20080604,000000,284.543,284.543,284.543,284.543,0,0
CMP_MV,D,20080605,000000,288.307,288.307,288.307,288.307,0,0
CMP_MV,D,20080606,000000,288.307,296.653,288.307,296.24,0,0
CMP_MV,D,20080609,000000,296.653,296.653,284.12,292.466,0,0
CMP_MV,D,20080610,000000,292.466,293.311,292.466,293.311,0,0
CMP_MV,D,20080611,000000,290.391,293.311,288.307,293.311,0,0
CMP_MV,D,20080612,000000,294.982,294.982,286.42,288.307,0,0
CMP_MV,D,20080613,000000,284.956,295.404,284.956,295.404,0,0
CMP_MV,D,20080616,000000,296.653,298.737,296.653,298.737,0,0
CMP_MV,D,20080617,000000,302.915,302.915,292.466,292.466,0,0
CMP_MV,D,20080618,000000,290.391,296.437,284.327,294.353,0,0
CMP_MV,D,20080619,000000,294.569,294.569,284.12,292.062,0,0
CMP_MV,D,20080620,000000,286.42,287.885,286.214,287.885,0,0
CMP_MV,D,20080623,000000,288.091,288.091,284.12,284.12,0,0
CMP_MV,D,20080624,000000,283.914,283.914,283.914,283.914,0,0
CMP_MV,D,20080625,000000,271.578,284.12,271.578,284.12,0,0
CMP_MV,D,20080626,000000,288.307,288.307,282.027,288.307,0,0
CMP_MV,D,20080627,000000,279.943,282.027,279.943,282.027,0,0
CMP_MV,D,20080630,000000,283.698,283.698,268.246,275.343,0,0
CMP_MV,D,20080701,000000,273.672,273.672,265.317,271.578,0,0
CMP_MV,D,20080702,000000,268.659,268.659,259.468,266.359,0,0
CMP_MV,D,20080703,000000,266.781,269.494,266.781,269.494,0,0
CMP_MV,D,20080704,000000,266.781,266.781,266.781,266.781,0,0
CMP_MV,D,20080707,000000,266.781,266.781,266.781,266.781,0,0
CMP_MV,D,20080708,000000,259.055,259.055,259.055,259.055,0,0
CMP_MV,D,20080709,000000,261.139,261.139,259.468,259.468,0,0
CMP_MV,D,20080710,000000,259.055,259.055,253.62,253.62,0,0
CMP_MV,D,20080711,000000,251.949,251.949,246.926,246.926,0,0
CMP_MV,D,20080714,000000,245.884,245.884,245.884,245.884,0,0
CMP_MV,D,20080715,000000,245.884,245.884,225.625,239.407,0,0
CMP_MV,D,20080716,000000,232.309,232.309,226.038,229.793,0,0
CMP_MV,D,20080717,000000,229.38,232.309,229.38,232.309,0,0
CMP_MV,D,20080718,000000,228.132,228.132,228.132,228.132,0,0
CMP_MV,D,20080721,000000,218.096,229.793,218.096,229.793,0,0
CMP_MV,D,20080722,000000,231.051,231.051,231.051,231.051,0,0
CMP_MV,D,20080723,000000,231.051,237.322,231.051,237.322,0,0
CMP_MV,D,20080724,000000,239.2,246.1,239.2,246.1,0,0
CMP_MV,D,20080725,000000,244.016,244.016,241.716,241.716,0,0
CMP_MV,D,20080728,000000,245.255,245.255,238.158,242.542,0,0
CMP_MV,D,20080729,000000,245.687,245.687,245.687,245.687,0,0
CMP_MV,D,20080730,000000,242.345,251.949,242.345,249.855,0,0
CMP_MV,D,20080731,000000,249.442,249.442,249.442,249.442,0,0
CMP_MV,D,20080801,000000,249.442,249.442,249.442,249.442,0,0
CMP_MV,D,20080804,000000,246.513,246.513,233.98,233.98,0,0
CMP_MV,D,20080805,000000,237.322,237.322,230.638,232.309,0,0
CMP_MV,D,20080806,000000,232.309,232.309,225.625,225.625,0,0
CMP_MV,D,20080807,000000,227.09,227.296,227.09,227.296,0,0
CMP_MV,D,20080808,000000,227.296,227.296,221.025,222.067,0,0
CMP_MV,D,20080811,000000,220.828,221.241,220.19,221.241,0,0
CMP_MV,D,20080812,000000,221.241,221.241,213.919,215.599,0,0
CMP_MV,D,20080813,000000,215.599,215.599,201.471,208.906,0,0
CMP_MV,D,20080814,000000,208.906,213.093,208.906,213.093,0,0
CMP_MV,D,20080818,000000,215.186,227.925,214.341,227.925,0,0
