<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CNT_MV,D,20070813,000000,167.97,167.97,167.97,167.97,0,0
CNT_MV,D,20070814,000000,167.03,167.03,167.03,167.03,0,0
CNT_MV,D,20070816,000000,150.05,150.05,150.05,150.05,0,0
CNT_MV,D,20070817,000000,159.39,159.39,159.39,159.39,0,0
CNT_MV,D,20070820,000000,154.25,154.25,154.25,154.25,0,0
CNT_MV,D,20070821,000000,151.69,151.69,151.69,151.69,0,0
CNT_MV,D,20070822,000000,173.96,173.96,173.96,173.96,0,0
CNT_MV,D,20070823,000000,186.82,186.82,186.82,186.82,0,0
CNT_MV,D,20070824,000000,185.1,185.1,185.1,185.1,0,0
CNT_MV,D,20070827,000000,185.96,185.96,185.96,185.96,0,0
CNT_MV,D,20070828,000000,181.25,181.25,181.25,181.25,0,0
CNT_MV,D,20070829,000000,183.99,183.99,183.99,183.99,0,0
CNT_MV,D,20070830,000000,177.82,177.82,177.82,177.82,0,0
CNT_MV,D,20070831,000000,182.54,182.54,182.54,182.54,0,0
CNT_MV,D,20070903,000000,184.76,184.76,184.76,184.76,0,0
CNT_MV,D,20070904,000000,186.65,186.65,186.65,186.65,0,0
CNT_MV,D,20070905,000000,185.1,185.1,185.1,185.1,0,0
CNT_MV,D,20070906,000000,183.31,183.31,183.31,183.31,0,0
CNT_MV,D,20070907,000000,174.73,174.73,174.73,174.73,0,0
CNT_MV,D,20070910,000000,171.14,171.14,171.14,171.14,0,0
CNT_MV,D,20070911,000000,176.53,176.53,176.53,176.53,0,0
CNT_MV,D,20070912,000000,172.94,172.94,172.94,172.94,0,0
CNT_MV,D,20070913,000000,176.12,176.12,176.12,176.12,0,0
CNT_MV,D,20070914,000000,181.67,181.67,181.67,181.67,0,0
CNT_MV,D,20070917,000000,188.53,188.53,188.53,188.53,0,0
CNT_MV,D,20070918,000000,192.56,192.56,192.56,192.56,0,0
CNT_MV,D,20070919,000000,201.22,201.22,201.22,201.22,0,0
CNT_MV,D,20070920,000000,196.16,196.16,196.16,196.16,0,0
CNT_MV,D,20070921,000000,190.93,190.93,190.93,190.93,0,0
CNT_MV,D,20070924,000000,189.3,189.3,189.3,189.3,0,0
CNT_MV,D,20070925,000000,188.29,188.29,188.29,188.29,0,0
CNT_MV,D,20070926,000000,186.82,186.82,186.82,186.82,0,0
CNT_MV,D,20070927,000000,186.99,186.99,186.99,186.99,0,0
CNT_MV,D,20070928,000000,186.39,186.39,186.39,186.39,0,0
CNT_MV,D,20071001,000000,179.97,179.97,179.97,179.97,0,0
CNT_MV,D,20071002,000000,180.82,180.82,180.82,180.82,0,0
CNT_MV,D,20071003,000000,176.19,176.19,176.19,176.19,0,0
CNT_MV,D,20071004,000000,173.2,173.2,173.2,173.2,0,0
CNT_MV,D,20071005,000000,184.69,184.69,184.69,184.69,0,0
CNT_MV,D,20071008,000000,191.36,191.36,191.36,191.36,0,0
CNT_MV,D,20071009,000000,191.44,191.44,191.44,191.44,0,0
CNT_MV,D,20071010,000000,194.8,194.8,194.8,194.8,0,0
CNT_MV,D,20071011,000000,195.13,195.13,195.13,195.13,0,0
CNT_MV,D,20071012,000000,189.39,189.39,189.39,189.39,0,0
CNT_MV,D,20071015,000000,185.2,185.2,185.2,185.2,0,0
CNT_MV,D,20071016,000000,178.07,178.07,178.07,178.07,0,0
CNT_MV,D,20071017,000000,181.67,181.67,181.67,181.67,0,0
CNT_MV,D,20071018,000000,178,178,178,178,0,0
CNT_MV,D,20071019,000000,174.57,174.57,174.57,174.57,0,0
CNT_MV,D,20071022,000000,173.88,173.88,173.88,173.88,0,0
CNT_MV,D,20071023,000000,175.26,175.26,175.26,175.26,0,0
CNT_MV,D,20071024,000000,171.4,171.4,171.4,171.4,0,0
CNT_MV,D,20071025,000000,180.3,180.3,180.3,180.3,0,0
CNT_MV,D,20071026,000000,178.24,178.24,178.24,178.24,0,0
CNT_MV,D,20071029,000000,177.47,177.47,177.47,177.47,0,0
CNT_MV,D,20071030,000000,171.31,171.31,171.31,171.31,0,0
CNT_MV,D,20071031,000000,172.17,172.17,172.17,172.17,0,0
CNT_MV,D,20071102,000000,168.82,168.82,168.82,168.82,0,0
CNT_MV,D,20071105,000000,154.25,154.25,154.25,154.25,0,0
CNT_MV,D,20071106,000000,145.68,145.68,145.68,145.68,0,0
CNT_MV,D,20071107,000000,131.89,131.89,131.89,131.89,0,0
CNT_MV,D,20071108,000000,130.34,130.34,130.34,130.34,0,0
CNT_MV,D,20071109,000000,136.25,138.83,131.11,133.68,0,0
CNT_MV,D,20071112,000000,135.14,135.14,132.83,133.68,0,0
CNT_MV,D,20071113,000000,132.92,136.25,128.54,133.17,0,0
CNT_MV,D,20071114,000000,136.43,137.11,130.26,131.97,0,0
CNT_MV,D,20071115,000000,127.7,131.97,118.69,118.79,0,0
CNT_MV,D,20071116,000000,113.97,118.79,102.84,109.69,0,0
CNT_MV,D,20071119,000000,109.69,112.18,106.09,106.09,0,0
CNT_MV,D,20071120,000000,104.64,104.64,94.265,97.694,0,0
CNT_MV,D,20071121,000000,91.862,91.862,83.21,83.21,0,0
CNT_MV,D,20071122,000000,70.271,79.698,70.271,79.698,0,0
CNT_MV,D,20071123,000000,77.56,82.184,77.56,81.752,0,0
CNT_MV,D,20071126,000000,84.837,91.174,77.985,84.587,0,0
CNT_MV,D,20071127,000000,80.47,87.58,80.47,83.81,0,0
CNT_MV,D,20071128,000000,85.69,87.751,82.697,86.307,0,0
CNT_MV,D,20071129,000000,89.981,91.618,88.187,90.067,0,0
CNT_MV,D,20071130,000000,92.551,108.83,92.551,108.83,0,0
CNT_MV,D,20071203,000000,110.55,114.07,102.75,110.21,0,0
CNT_MV,D,20071204,000000,108.41,109.95,105.24,106.27,0,0
CNT_MV,D,20071205,000000,107.9,110.21,107.54,109.26,0,0
CNT_MV,D,20071206,000000,110.55,113.12,109.36,111.15,0,0
CNT_MV,D,20071207,000000,113.04,123.05,111.83,121,0,0
CNT_MV,D,20071210,000000,119.97,126.59,119.89,121.52,0,0
CNT_MV,D,20071211,000000,122.63,122.63,118.43,118.69,0,0
CNT_MV,D,20071212,000000,110.63,117.15,110.63,116.54,0,0
CNT_MV,D,20071213,000000,116.54,116.54,107.97,110.3,0,0
CNT_MV,D,20071214,000000,107.11,109.69,103.7,105.32,0,0
CNT_MV,D,20071217,000000,99.409,99.409,96.583,97.27,0,0
CNT_MV,D,20071218,000000,98.467,98.467,88.7,95.123,0,0
CNT_MV,D,20071219,000000,98.128,98.128,93.24,93.926,0,0
CNT_MV,D,20071220,000000,93.747,94.699,92.551,92.814,0,0
CNT_MV,D,20071221,000000,93.149,94.699,92.551,92.551,0,0
CNT_MV,D,20071227,000000,94.265,95.726,92.551,94.265,0,0
CNT_MV,D,20071228,000000,94.953,94.953,92.986,92.986,0,0
