<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DIG_PE,D,20111017,000000,6.4022,6.4022,6.4022,6.4022,0,0
DIG_PE,D,20111018,000000,6.4022,6.4022,6.4022,6.4022,0,0
DIG_PE,D,20111019,000000,6.3262,6.7072,6.3262,6.3262,0,0
DIG_PE,D,20111020,000000,6.6309,6.6309,6.3262,6.6309,0,0
DIG_PE,D,20111021,000000,6.6309,6.6309,6.6309,6.6309,0,0
DIG_PE,D,20111024,000000,6.6309,6.6309,6.6309,6.6309,0,0
DIG_PE,D,20111025,000000,6.5547,6.5547,6.5547,6.5547,0,0
DIG_PE,D,20111026,000000,6.5547,6.5547,6.5547,6.5547,0,0
DIG_PE,D,20111027,000000,6.5547,6.5547,6.2498,6.5547,0,0
DIG_PE,D,20111028,000000,6.5547,6.5547,6.3262,6.5547,0,0
DIG_PE,D,20111031,000000,6.7833,6.7833,6.5547,6.5547,0,0
DIG_PE,D,20111102,000000,6.4784,6.5547,6.4784,6.5547,0,0
DIG_PE,D,20111103,000000,6.4784,7.1644,6.4784,7.1644,0,0
DIG_PE,D,20111104,000000,7.012,7.6217,7.012,7.6217,0,0
DIG_PE,D,20111107,000000,7.4693,7.6217,7.4693,7.6217,0,0
DIG_PE,D,20111108,000000,7.6217,7.8503,7.5455,7.7742,0,0
DIG_PE,D,20111109,000000,7.7742,7.7742,7.698,7.7742,0,0
DIG_PE,D,20111110,000000,7.7742,7.7742,7.698,7.698,0,0
DIG_PE,D,20111114,000000,7.698,7.698,7.698,7.698,0,0
DIG_PE,D,20111115,000000,7.698,7.698,7.317,7.6217,0,0
DIG_PE,D,20111116,000000,7.698,7.698,7.6217,7.698,0,0
DIG_PE,D,20111117,000000,7.698,7.7742,7.6217,7.6217,0,0
DIG_PE,D,20111118,000000,7.698,7.698,7.317,7.317,0,0
DIG_PE,D,20111121,000000,7.698,7.698,7.6217,7.6217,0,0
DIG_PE,D,20111122,000000,7.6217,7.6217,7.6217,7.6217,0,0
DIG_PE,D,20111123,000000,7.6217,7.6217,7.2406,7.6217,0,0
DIG_PE,D,20111124,000000,7.6217,7.6217,7.5455,7.6217,0,0
DIG_PE,D,20111125,000000,7.6217,7.6217,7.2406,7.6217,0,0
DIG_PE,D,20111128,000000,7.698,7.698,7.2406,7.2406,0,0
DIG_PE,D,20111129,000000,7.2406,7.2406,7.2406,7.2406,0,0
DIG_PE,D,20111130,000000,7.0129,7.389,7.0129,7.389,0,0
DIG_PE,D,20111201,000000,7.6217,7.6217,7.5455,7.6217,0,0
DIG_PE,D,20111202,000000,7.317,7.6217,7.317,7.6217,0,0
DIG_PE,D,20111205,000000,7.698,7.698,7.317,7.3931,0,0
DIG_PE,D,20111206,000000,7.5455,7.5455,7.2406,7.4693,0,0
DIG_PE,D,20111207,000000,7.5455,7.5455,7.3931,7.3931,0,0
DIG_PE,D,20111208,000000,7.5455,7.5455,7.317,7.317,0,0
DIG_PE,D,20111209,000000,7.3931,7.4693,7.3931,7.4693,0,0
DIG_PE,D,20111212,000000,7.6217,7.6217,7.1644,7.1644,0,0
DIG_PE,D,20111213,000000,7.5455,7.5455,7.2406,7.317,0,0
DIG_PE,D,20111214,000000,7.5455,7.5455,7.2406,7.2406,0,0
DIG_PE,D,20111215,000000,7.2406,7.2406,7.2406,7.2406,0,0
DIG_PE,D,20111216,000000,7.5455,7.5455,7.2406,7.4693,0,0
DIG_PE,D,20111219,000000,7.6217,7.6217,7.5455,7.5455,0,0
DIG_PE,D,20111220,000000,7.698,7.698,7.5455,7.6217,0,0
DIG_PE,D,20111221,000000,7.6217,7.6217,7.6217,7.6217,0,0
DIG_PE,D,20111222,000000,7.6217,7.6217,7.5455,7.6217,0,0
DIG_PE,D,20111223,000000,7.6217,7.6217,7.6217,7.6217,0,0
DIG_PE,D,20111227,000000,7.6217,7.6217,7.3931,7.6217,0,0
DIG_PE,D,20111228,000000,7.6217,7.6217,7.6217,7.6217,0,0
DIG_PE,D,20111229,000000,7.6217,7.6217,7.5455,7.6217,0,0
DIG_PE,D,20111230,000000,7.5478,7.6984,7.4726,7.4726,0,0
DIG_PE,D,20120102,000000,7.698,7.698,7.4693,7.4693,0,0
DIG_PE,D,20120103,000000,7.6217,7.6217,7.6217,7.6217,0,0
DIG_PE,D,20120104,000000,7.6217,7.6217,7.4693,7.4693,0,0
DIG_PE,D,20120105,000000,7.4693,7.4693,7.4693,7.4693,0,0
DIG_PE,D,20120109,000000,7.6217,7.6217,7.6217,7.6217,0,0
DIG_PE,D,20120110,000000,7.6217,7.6217,7.6217,7.6217,0,0
DIG_PE,D,20120111,000000,7.4693,7.5455,7.4693,7.5455,0,0
DIG_PE,D,20120112,000000,7.5455,7.5455,7.4693,7.4693,0,0
DIG_PE,D,20120113,000000,7.4693,7.4693,7.317,7.3931,0,0
DIG_PE,D,20120116,000000,7.2406,7.5455,7.2406,7.5455,0,0
DIG_PE,D,20120117,000000,7.5455,7.5455,7.5455,7.5455,0,0
DIG_PE,D,20120118,000000,7.5455,7.698,7.5455,7.6217,0,0
DIG_PE,D,20120119,000000,7.6217,7.6217,7.6217,7.6217,0,0
DIG_PE,D,20120120,000000,7.6217,7.8503,7.6217,7.8503,0,0
DIG_PE,D,20120123,000000,7.9266,8.0028,7.9266,7.9266,0,0
DIG_PE,D,20120124,000000,8.0028,8.0028,7.9266,7.9266,0,0
DIG_PE,D,20120125,000000,7.9266,7.9266,7.9266,7.9266,0,0
DIG_PE,D,20120126,000000,7.8503,8.6889,7.8503,8.6889,0,0
DIG_PE,D,20120127,000000,8.6889,8.9176,8.5363,8.9176,0,0
DIG_PE,D,20120130,000000,8.9176,8.9176,8.765,8.765,0,0
DIG_PE,D,20120131,000000,8.7682,8.7682,8.7682,8.7682,0,0
