<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DTR_MV,D,20110601,000000,11.45,11.45,11.45,11.45,0,0
DTR_MV,D,20110602,000000,11.32,11.32,10.86,10.86,0,0
DTR_MV,D,20110603,000000,11.08,11.08,10.75,10.75,0,0
DTR_MV,D,20110606,000000,10.97,10.97,10.63,10.63,0,0
DTR_MV,D,20110607,000000,10.63,10.63,10.63,10.63,0,0
DTR_MV,D,20110608,000000,10.68,10.72,10.63,10.63,0,0
DTR_MV,D,20110609,000000,10.63,10.63,10.63,10.63,0,0
DTR_MV,D,20110610,000000,10.63,10.63,10.63,10.63,0,0
DTR_MV,D,20110614,000000,10.44,10.72,10.41,10.41,0,0
DTR_MV,D,20110615,000000,10.41,10.72,10.41,10.72,0,0
DTR_MV,D,20110616,000000,10.86,10.86,10.86,10.86,0,0
DTR_MV,D,20110617,000000,10.86,10.86,10.86,10.86,0,0
DTR_MV,D,20110620,000000,10.86,10.86,10.86,10.86,0,0
DTR_MV,D,20110622,000000,10.86,10.86,10.86,10.86,0,0
DTR_MV,D,20110624,000000,10.86,10.86,10.86,10.86,0,0
DTR_MV,D,20110627,000000,10.52,10.75,10.41,10.75,0,0
DTR_MV,D,20110629,000000,10.52,10.52,10.52,10.52,0,0
DTR_MV,D,20110630,000000,10.19,10.41,10.04,10.41,0,0
DTR_MV,D,20110701,000000,10.04,10.41,10.04,10.41,0,0
DTR_MV,D,20110704,000000,10.41,10.41,10.41,10.41,0,0
DTR_MV,D,20110706,000000,9.86,9.86,9.86,9.86,0,0
DTR_MV,D,20110707,000000,9.64,10.08,9.64,10.08,0,0
DTR_MV,D,20110711,000000,10.08,10.41,10.08,10.41,0,0
DTR_MV,D,20110712,000000,10.41,10.41,10.41,10.41,0,0
DTR_MV,D,20110713,000000,10.41,10.41,10.41,10.41,0,0
DTR_MV,D,20110714,000000,10.41,10.41,9.64,9.64,0,0
DTR_MV,D,20110720,000000,9.86,9.86,9.86,9.86,0,0
DTR_MV,D,20110722,000000,9.53,9.86,9.53,9.86,0,0
DTR_MV,D,20110727,000000,10.08,10.08,10.08,10.08,0,0
DTR_MV,D,20110728,000000,10.08,10.08,10.08,10.08,0,0
DTR_MV,D,20110729,000000,10.08,10.08,9.31,9.68,0,0
DTR_MV,D,20110803,000000,9.53,9.53,8.88,8.88,0,0
DTR_MV,D,20110804,000000,8.88,8.88,8.86,8.86,0,0
DTR_MV,D,20110805,000000,8.86,8.86,8.86,8.86,0,0
DTR_MV,D,20110808,000000,8.86,8.86,8.86,8.86,0,0
DTR_MV,D,20110809,000000,8.86,8.86,8.84,8.84,0,0
DTR_MV,D,20110810,000000,8.86,8.86,8.64,8.64,0,0
DTR_MV,D,20110811,000000,8.84,8.84,8.84,8.84,0,0
DTR_MV,D,20110812,000000,8.86,8.86,8.86,8.86,0,0
DTR_MV,D,20110816,000000,8.64,8.64,8.64,8.64,0,0
DTR_MV,D,20110817,000000,8.84,9.31,8.84,9.31,0,0
DTR_MV,D,20110818,000000,9.26,9.26,9.26,9.26,0,0
DTR_MV,D,20110822,000000,9.26,9.31,9.26,9.31,0,0
DTR_MV,D,20110823,000000,9.19,9.31,9.19,9.31,0,0
DTR_MV,D,20110825,000000,8.97,9.31,8.75,9.31,0,0
DTR_MV,D,20110826,000000,8.86,8.86,8.86,8.86,0,0
DTR_MV,D,20110829,000000,8.84,8.86,8.84,8.86,0,0
DTR_MV,D,20110830,000000,8.86,8.86,8.86,8.86,0,0
DTR_MV,D,20110831,000000,8.86,8.86,8.86,8.86,0,0
DTR_MV,D,20110901,000000,8.86,8.86,8.86,8.86,0,0
DTR_MV,D,20110905,000000,8.86,8.86,8.86,8.86,0,0
DTR_MV,D,20110908,000000,8.64,8.64,8.64,8.64,0,0
DTR_MV,D,20110912,000000,8.42,8.42,7.82,7.82,0,0
DTR_MV,D,20110913,000000,7.87,8.86,7.87,8.86,0,0
DTR_MV,D,20110914,000000,8.75,8.86,8.75,8.86,0,0
DTR_MV,D,20110915,000000,8.82,8.82,8.82,8.82,0,0
DTR_MV,D,20110916,000000,8.82,8.82,8.64,8.64,0,0
DTR_MV,D,20110919,000000,8.82,8.82,8.82,8.82,0,0
DTR_MV,D,20110920,000000,8.82,8.82,8.82,8.82,0,0
DTR_MV,D,20110921,000000,8.64,8.64,8.64,8.64,0,0
DTR_MV,D,20110922,000000,8.64,8.64,8.64,8.64,0,0
DTR_MV,D,20110926,000000,8.64,8.64,8.64,8.64,0,0
DTR_MV,D,20110927,000000,8.64,8.64,8.53,8.53,0,0
DTR_MV,D,20110928,000000,8.64,8.64,8.64,8.64,0,0
DTR_MV,D,20110930,000000,8.64,8.64,8.64,8.64,0,0
DTR_MV,D,20111003,000000,8.64,8.64,7.98,7.98,0,0
DTR_MV,D,20111004,000000,7.98,8.6,7.98,8.6,0,0
DTR_MV,D,20111005,000000,8.64,8.64,8.2,8.2,0,0
DTR_MV,D,20111006,000000,8.18,8.18,8.18,8.18,0,0
DTR_MV,D,20111007,000000,8.18,8.64,8.18,8.64,0,0
DTR_MV,D,20111010,000000,8.64,8.64,8.35,8.35,0,0
DTR_MV,D,20111011,000000,8.42,8.64,8.42,8.64,0,0
DTR_MV,D,20111012,000000,8.64,8.82,8.64,8.82,0,0
DTR_MV,D,20111018,000000,8.75,8.86,8.64,8.86,0,0
DTR_MV,D,20111019,000000,8.86,8.86,8.53,8.53,0,0
DTR_MV,D,20111020,000000,8.42,8.42,8.42,8.42,0,0
