<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ECH_MV,D,20070813,000000,763.524,763.524,763.524,763.524,0,0
ECH_MV,D,20070814,000000,743.692,743.692,743.692,743.692,0,0
ECH_MV,D,20070816,000000,684.605,684.605,684.605,684.605,0,0
ECH_MV,D,20070817,000000,661.056,661.056,661.056,661.056,0,0
ECH_MV,D,20070820,000000,647.424,647.424,647.424,647.424,0,0
ECH_MV,D,20070821,000000,627.18,627.18,627.18,627.18,0,0
ECH_MV,D,20070822,000000,647.022,647.022,647.022,647.022,0,0
ECH_MV,D,20070823,000000,681.72,681.72,681.72,681.72,0,0
ECH_MV,D,20070824,000000,687.5,687.5,687.5,687.5,0,0
ECH_MV,D,20070827,000000,719.723,719.723,719.723,719.723,0,0
ECH_MV,D,20070828,000000,714.345,714.345,714.345,714.345,0,0
ECH_MV,D,20070829,000000,702.383,702.383,702.383,702.383,0,0
ECH_MV,D,20070830,000000,695.352,695.352,695.352,695.352,0,0
ECH_MV,D,20070831,000000,718.901,718.901,718.901,718.901,0,0
ECH_MV,D,20070903,000000,735.438,735.438,735.438,735.438,0,0
ECH_MV,D,20070904,000000,742.861,742.861,742.861,742.861,0,0
ECH_MV,D,20070905,000000,734.196,734.196,734.196,734.196,0,0
ECH_MV,D,20070906,000000,723.028,723.028,723.028,723.028,0,0
ECH_MV,D,20070907,000000,717.248,717.248,717.248,717.248,0,0
ECH_MV,D,20070910,000000,701.543,701.543,701.543,701.543,0,0
ECH_MV,D,20070911,000000,698.247,698.247,698.247,698.247,0,0
ECH_MV,D,20070912,000000,707.332,707.332,707.332,707.332,0,0
ECH_MV,D,20070913,000000,702.785,702.785,702.785,702.785,0,0
ECH_MV,D,20070914,000000,685.847,685.847,685.847,685.847,0,0
ECH_MV,D,20070917,000000,702.383,702.383,702.383,702.383,0,0
ECH_MV,D,20070918,000000,702.383,702.383,702.383,702.383,0,0
ECH_MV,D,20070919,000000,704.036,704.036,704.036,704.036,0,0
ECH_MV,D,20070920,000000,718.901,718.901,718.901,718.901,0,0
ECH_MV,D,20070921,000000,760.219,760.219,760.219,760.219,0,0
ECH_MV,D,20070924,000000,744.103,744.103,744.103,744.103,0,0
ECH_MV,D,20070925,000000,735.438,735.438,735.438,735.438,0,0
ECH_MV,D,20070926,000000,731.301,731.301,731.301,731.301,0,0
ECH_MV,D,20070927,000000,739.154,739.154,739.154,739.154,0,0
ECH_MV,D,20070928,000000,735.438,735.438,735.438,735.438,0,0
ECH_MV,D,20071001,000000,721.385,721.385,721.385,721.385,0,0
ECH_MV,D,20071002,000000,707.743,707.743,707.743,707.743,0,0
ECH_MV,D,20071003,000000,710.227,710.227,710.227,710.227,0,0
ECH_MV,D,20071004,000000,717.248,717.248,717.248,717.248,0,0
ECH_MV,D,20071005,000000,732.954,732.954,732.954,732.954,0,0
ECH_MV,D,20071008,000000,755.672,755.672,755.672,755.672,0,0
ECH_MV,D,20071009,000000,783.768,783.768,783.768,783.768,0,0
ECH_MV,D,20071010,000000,788.717,788.717,788.717,788.717,0,0
ECH_MV,D,20071011,000000,789.557,789.557,789.557,789.557,0,0
ECH_MV,D,20071012,000000,843.686,843.686,843.686,843.686,0,0
ECH_MV,D,20071015,000000,853.602,853.602,853.602,853.602,0,0
ECH_MV,D,20071016,000000,855.255,855.255,855.255,855.255,0,0
ECH_MV,D,20071017,000000,866.814,866.814,866.814,866.814,0,0
ECH_MV,D,20071018,000000,837.075,837.075,837.075,837.075,0,0
ECH_MV,D,20071019,000000,865.983,865.983,865.983,865.983,0,0
ECH_MV,D,20071022,000000,839.549,839.549,839.549,839.549,0,0
ECH_MV,D,20071023,000000,850.296,850.296,850.296,850.296,0,0
ECH_MV,D,20071024,000000,846.982,846.982,846.982,846.982,0,0
ECH_MV,D,20071025,000000,845.329,845.329,845.329,845.329,0,0
ECH_MV,D,20071026,000000,843.686,843.686,843.686,843.686,0,0
ECH_MV,D,20071029,000000,859.382,859.382,859.382,859.382,0,0
ECH_MV,D,20071030,000000,828.811,828.811,828.811,828.811,0,0
ECH_MV,D,20071031,000000,817.644,817.644,817.644,817.644,0,0
ECH_MV,D,20071102,000000,786.662,786.662,786.662,786.662,0,0
ECH_MV,D,20071105,000000,802.368,802.368,802.368,802.368,0,0
ECH_MV,D,20071106,000000,761.05,761.05,761.05,761.05,0,0
ECH_MV,D,20071107,000000,727.165,727.165,727.165,727.165,0,0
ECH_MV,D,20071108,000000,698.247,698.247,698.247,698.247,0,0
ECH_MV,D,20071109,000000,709.807,710.638,685.847,694.942,0,0
ECH_MV,D,20071112,000000,692.467,694.942,669.329,669.329,0,0
ECH_MV,D,20071113,000000,669.329,669.329,665.183,667.658,0,0
ECH_MV,D,20071114,000000,669.329,681.72,662.289,665.183,0,0
ECH_MV,D,20071115,000000,665.183,665.183,598.253,603.221,0,0
ECH_MV,D,20071116,000000,590.821,619.739,562.314,609.822,0,0
ECH_MV,D,20071119,000000,595.779,611.484,595.779,605.695,0,0
ECH_MV,D,20071120,000000,596.19,611.484,578.43,611.484,0,0
ECH_MV,D,20071121,000000,603.221,603.221,603.221,603.221,0,0
ECH_MV,D,20071122,000000,588.337,636.275,588.337,623.884,0,0
ECH_MV,D,20071123,000000,619.739,635.444,619.739,626.359,0,0
ECH_MV,D,20071126,000000,628.011,632.139,594.939,594.939,0,0
ECH_MV,D,20071127,000000,598.673,603.221,593.305,594.939,0,0
ECH_MV,D,20071128,000000,611.064,611.064,594.939,607.759,0,0
ECH_MV,D,20071129,000000,624.305,631.728,615.611,619.739,0,0
ECH_MV,D,20071130,000000,619.739,633.801,619.739,619.739,0,0
ECH_MV,D,20071203,000000,619.739,632.549,619.739,628.842,0,0
ECH_MV,D,20071204,000000,632.139,632.139,620.57,628.011,0,0
ECH_MV,D,20071205,000000,628.011,659.413,626.359,630.075,0,0
ECH_MV,D,20071206,000000,638.339,641.224,611.484,611.484,0,0
ECH_MV,D,20071207,000000,615.611,636.275,614.79,631.317,0,0
