<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EEX_MV,D,20090716,000000,12.661,12.661,12.661,12.661,0,0
EEX_MV,D,20090717,000000,12.477,12.477,10.234,11.108,0,0
EEX_MV,D,20090720,000000,11.166,11.234,10.671,11.166,0,0
EEX_MV,D,20090721,000000,11.166,11.166,10.603,11.166,0,0
EEX_MV,D,20090722,000000,10.603,10.855,9.3598,9.671,0,0
EEX_MV,D,20090723,000000,10.603,10.671,10.545,10.671,0,0
EEX_MV,D,20090724,000000,10.545,10.545,9.2922,10.418,0,0
EEX_MV,D,20090727,000000,10.166,10.166,8.3018,8.9815,0,0
EEX_MV,D,20090728,000000,8.9232,8.9232,7.36,7.7969,0,0
EEX_MV,D,20090729,000000,7.8649,7.8649,7.7386,7.8649,0,0
EEX_MV,D,20090730,000000,7.8649,7.8649,6.7967,7.4862,0,0
EEX_MV,D,20090731,000000,7.4279,7.5445,6.6123,6.923,0,0
EEX_MV,D,20090803,000000,6.923,7.6124,6.2433,7.36,0,0
EEX_MV,D,20090804,000000,7.4862,7.4862,6.3016,6.991,0,0
EEX_MV,D,20090805,000000,6.991,7.2337,6.6706,7.1075,0,0
EEX_MV,D,20090806,000000,6.991,6.991,6.3599,6.8647,0,0
EEX_MV,D,20090807,000000,6.7386,6.8647,6.6123,6.7967,0,0
EEX_MV,D,20090810,000000,6.923,7.7969,6.923,7.7386,0,0
EEX_MV,D,20090811,000000,7.7969,7.9232,7.1075,7.1075,0,0
EEX_MV,D,20090812,000000,6.991,7.36,6.991,7.3017,0,0
EEX_MV,D,20090813,000000,7.3017,7.7969,7.3017,7.6124,0,0
EEX_MV,D,20090814,000000,7.6124,7.7969,7.36,7.36,0,0
EEX_MV,D,20090817,000000,7.5445,8.4183,7.5445,8.1076,0,0
EEX_MV,D,20090818,000000,8.1076,8.6125,8.1076,8.5445,0,0
EEX_MV,D,20090819,000000,8.6125,10.234,8.36,10.234,0,0
