<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EMC_MV,D,20070813,000000,200.6,200.6,200.6,200.6,0,0
EMC_MV,D,20070814,000000,186.44,186.44,186.44,186.44,0,0
EMC_MV,D,20070816,000000,165.2,165.2,165.2,165.2,0,0
EMC_MV,D,20070817,000000,170.51,170.51,170.51,170.51,0,0
EMC_MV,D,20070820,000000,169.92,169.92,169.92,169.92,0,0
EMC_MV,D,20070821,000000,175.82,175.82,175.82,175.82,0,0
EMC_MV,D,20070822,000000,168.15,168.15,168.15,168.15,0,0
EMC_MV,D,20070823,000000,171.69,171.69,171.69,171.69,0,0
EMC_MV,D,20070824,000000,167.86,167.86,167.86,167.86,0,0
EMC_MV,D,20070827,000000,159.3,159.3,159.3,159.3,0,0
EMC_MV,D,20070828,000000,161.9,161.9,161.9,161.9,0,0
EMC_MV,D,20070829,000000,161.37,161.37,161.37,161.37,0,0
EMC_MV,D,20070830,000000,161.37,161.37,161.37,161.37,0,0
EMC_MV,D,20070831,000000,165.14,165.14,165.14,165.14,0,0
EMC_MV,D,20070903,000000,167.27,167.27,167.27,167.27,0,0
EMC_MV,D,20070904,000000,161.78,161.78,161.78,161.78,0,0
EMC_MV,D,20070905,000000,161.07,161.07,161.07,161.07,0,0
EMC_MV,D,20070906,000000,161.66,161.66,161.66,161.66,0,0
EMC_MV,D,20070907,000000,169.04,169.04,169.04,169.04,0,0
EMC_MV,D,20070910,000000,168.15,168.15,168.15,168.15,0,0
EMC_MV,D,20070911,000000,166.97,166.97,166.97,166.97,0,0
EMC_MV,D,20070912,000000,168.15,168.15,168.15,168.15,0,0
EMC_MV,D,20070913,000000,168.09,168.09,168.09,168.09,0,0
EMC_MV,D,20070914,000000,168.09,168.09,168.09,168.09,0,0
EMC_MV,D,20070917,000000,167.8,167.8,167.8,167.8,0,0
EMC_MV,D,20070918,000000,165.2,165.2,165.2,165.2,0,0
EMC_MV,D,20070919,000000,173.46,173.46,173.46,173.46,0,0
EMC_MV,D,20070920,000000,173.46,173.46,173.46,173.46,0,0
EMC_MV,D,20070921,000000,169.04,169.04,169.04,169.04,0,0
EMC_MV,D,20070924,000000,168.15,168.15,168.15,168.15,0,0
EMC_MV,D,20070925,000000,168.15,168.15,168.15,168.15,0,0
EMC_MV,D,20070926,000000,162.72,162.72,162.72,162.72,0,0
EMC_MV,D,20070927,000000,165.08,165.08,165.08,165.08,0,0
EMC_MV,D,20070928,000000,159.3,159.3,159.3,159.3,0,0
EMC_MV,D,20071001,000000,159.3,159.3,159.3,159.3,0,0
EMC_MV,D,20071002,000000,157.53,157.53,157.53,157.53,0,0
EMC_MV,D,20071003,000000,152.81,152.81,152.81,152.81,0,0
EMC_MV,D,20071004,000000,151.63,151.63,151.63,151.63,0,0
EMC_MV,D,20071005,000000,163.37,163.37,163.37,163.37,0,0
EMC_MV,D,20071008,000000,162.25,162.25,162.25,162.25,0,0
EMC_MV,D,20071009,000000,161.6,161.6,161.6,161.6,0,0
EMC_MV,D,20071010,000000,164.49,164.49,164.49,164.49,0,0
EMC_MV,D,20071011,000000,162.25,162.25,162.25,162.25,0,0
EMC_MV,D,20071012,000000,162.25,162.25,162.25,162.25,0,0
EMC_MV,D,20071015,000000,165.2,165.2,165.2,165.2,0,0
EMC_MV,D,20071016,000000,161.66,161.66,161.66,161.66,0,0
EMC_MV,D,20071017,000000,164.61,164.61,164.61,164.61,0,0
EMC_MV,D,20071018,000000,164.02,164.02,164.02,164.02,0,0
EMC_MV,D,20071019,000000,162.84,162.84,162.84,162.84,0,0
EMC_MV,D,20071022,000000,159.3,159.3,159.3,159.3,0,0
EMC_MV,D,20071023,000000,159.24,159.24,159.24,159.24,0,0
EMC_MV,D,20071024,000000,156.41,156.41,156.41,156.41,0,0
EMC_MV,D,20071025,000000,144.55,144.55,144.55,144.55,0,0
EMC_MV,D,20071026,000000,150.45,150.45,150.45,150.45,0,0
EMC_MV,D,20071029,000000,150.39,150.39,150.39,150.39,0,0
EMC_MV,D,20071030,000000,150.45,150.45,150.45,150.45,0,0
EMC_MV,D,20071031,000000,150.39,150.39,150.39,150.39,0,0
EMC_MV,D,20071102,000000,150.87,150.87,150.87,150.87,0,0
EMC_MV,D,20071105,000000,150.39,150.39,150.39,150.39,0,0
EMC_MV,D,20071106,000000,144.55,144.55,144.55,144.55,0,0
EMC_MV,D,20071107,000000,144.49,144.49,144.49,144.49,0,0
EMC_MV,D,20071108,000000,143.37,143.37,143.37,143.37,0,0
EMC_MV,D,20071109,000000,144.49,144.55,141.43,143.37,0,0
EMC_MV,D,20071112,000000,144.49,144.49,143.37,143.96,0,0
EMC_MV,D,20071113,000000,144.55,144.55,141.9,144.55,0,0
EMC_MV,D,20071114,000000,144.55,144.55,139.77,144.55,0,0
EMC_MV,D,20071115,000000,141.9,144.55,137.47,143.96,0,0
EMC_MV,D,20071116,000000,141.9,143.96,129.8,136.88,0,0
EMC_MV,D,20071119,000000,132.75,136.88,132.75,135.7,0,0
EMC_MV,D,20071121,000000,136.88,136.88,118,128.62,0,0
EMC_MV,D,20071122,000000,128.62,133.87,104.43,133.87,0,0
EMC_MV,D,20071123,000000,136.59,136.59,123.9,130.39,0,0
EMC_MV,D,20071126,000000,136.88,136.88,126.26,131.57,0,0
EMC_MV,D,20071127,000000,132.75,132.75,112.16,122.13,0,0
EMC_MV,D,20071128,000000,123.9,123.9,113.1,118,0,0
EMC_MV,D,20071129,000000,125.67,125.67,118,118,0,0
EMC_MV,D,20071130,000000,123.31,123.31,118,118,0,0
EMC_MV,D,20071203,000000,126.26,126.26,117,118,0,0
EMC_MV,D,20071204,000000,112.81,118,112.81,118,0,0
EMC_MV,D,20071205,000000,118,120.78,118,120.78,0,0
EMC_MV,D,20071206,000000,119.18,122.13,114.46,118,0,0
EMC_MV,D,20071207,000000,113.93,117.41,113.93,117.41,0,0
EMC_MV,D,20071210,000000,118,118,115.88,115.88,0,0
EMC_MV,D,20071212,000000,113.28,113.28,112.1,112.1,0,0
EMC_MV,D,20071213,000000,112.1,112.1,106.2,112.1,0,0
EMC_MV,D,20071214,000000,112.1,112.1,106.2,112.1,0,0
EMC_MV,D,20071217,000000,106.5,106.5,101.48,101.48,0,0
EMC_MV,D,20071218,000000,99.12,99.12,99.12,99.12,0,0
EMC_MV,D,20071219,000000,98.53,99.95,97.35,97.35,0,0
EMC_MV,D,20071220,000000,95.58,100.3,95.58,100.3,0,0
EMC_MV,D,20071221,000000,97.35,100.89,97.35,100.89,0,0
EMC_MV,D,20071227,000000,106.79,106.79,103.25,103.25,0,0
EMC_MV,D,20071228,000000,103.25,103.25,94.99,102.37,0,0
EMC_MV,D,20080102,000000,96.47,100.89,96.47,100.89,0,0
EMC_MV,D,20080103,000000,103.25,111.81,103.25,104.02,0,0
EMC_MV,D,20080104,000000,109.15,109.15,109.15,109.15,0,0
EMC_MV,D,20080107,000000,104.14,115.05,104.14,112.1,0,0
EMC_MV,D,20080108,000000,112.69,115.05,107.97,114.46,0,0
EMC_MV,D,20080109,000000,114.76,115.05,101.48,115.05,0,0
EMC_MV,D,20080110,000000,106.26,113.28,106.26,109.15,0,0
EMC_MV,D,20080111,000000,105.67,107.38,103.25,107.38,0,0
EMC_MV,D,20080114,000000,103.66,103.66,103.66,103.66,0,0
EMC_MV,D,20080115,000000,103.66,103.66,98.06,98.06,0,0
EMC_MV,D,20080116,000000,94.4,100.24,94.4,99.71,0,0
EMC_MV,D,20080117,000000,103.25,103.25,94.81,94.81,0,0
EMC_MV,D,20080118,000000,94.4,100.3,91.75,91.75,0,0
EMC_MV,D,20080121,000000,94.4,100.07,89.09,89.09,0,0
EMC_MV,D,20080122,000000,97.94,97.94,86.73,97.35,0,0
EMC_MV,D,20080123,000000,100.18,100.3,100.18,100.3,0,0
EMC_MV,D,20080124,000000,103.25,103.25,98.83,98.83,0,0
EMC_MV,D,20080125,000000,101.54,101.54,97.65,97.65,0,0
EMC_MV,D,20080128,000000,94.11,94.11,94.11,94.11,0,0
EMC_MV,D,20080129,000000,103.49,103.49,95.64,95.64,0,0
EMC_MV,D,20080130,000000,102.66,102.66,97.35,97.35,0,0
EMC_MV,D,20080131,000000,97.35,107.09,97.35,107.09,0,0
EMC_MV,D,20080201,000000,115.05,115.05,109.45,109.45,0,0
EMC_MV,D,20080204,000000,114.46,114.46,106.26,106.26,0,0
EMC_MV,D,20080205,000000,99.24,100.36,99.24,100.36,0,0
EMC_MV,D,20080206,000000,106.14,106.2,106.14,106.2,0,0
EMC_MV,D,20080207,000000,109.15,110.92,109.15,110.92,0,0
EMC_MV,D,20080208,000000,107.68,107.68,106.2,106.2,0,0
EMC_MV,D,20080211,000000,112.1,112.1,100.12,106.14,0,0
EMC_MV,D,20080212,000000,106.2,106.2,106.2,106.2,0,0
EMC_MV,D,20080213,000000,106.2,112.1,106.2,112.1,0,0
EMC_MV,D,20080214,000000,112.1,113.87,112.1,112.69,0,0
EMC_MV,D,20080215,000000,107.68,107.68,106.2,106.2,0,0
EMC_MV,D,20080218,000000,109.09,109.09,109.09,109.09,0,0
EMC_MV,D,20080221,000000,98.71,109.09,98.71,108.5,0,0
EMC_MV,D,20080222,000000,106.2,109.15,106.2,109.15,0,0
EMC_MV,D,20080225,000000,109.74,109.74,109.74,109.74,0,0
EMC_MV,D,20080303,000000,100.89,100.89,98.83,98.83,0,0
EMC_MV,D,20080304,000000,112.04,112.04,98.83,101.48,0,0
EMC_MV,D,20080306,000000,102.54,102.54,102.54,102.54,0,0
EMC_MV,D,20080310,000000,102.37,102.37,102.37,102.37,0,0
EMC_MV,D,20080311,000000,97.47,103.19,97.35,103.19,0,0
EMC_MV,D,20080312,000000,111.39,111.39,103.19,103.19,0,0
EMC_MV,D,20080313,000000,100.3,103.19,100.3,100.3,0,0
EMC_MV,D,20080314,000000,106.14,106.2,106.14,106.2,0,0
EMC_MV,D,20080317,000000,103.25,106.2,97.35,103.25,0,0
EMC_MV,D,20080318,000000,94.52,100.3,94.52,100.3,0,0
EMC_MV,D,20080320,000000,97.35,100.3,97.35,100.3,0,0
EMC_MV,D,20080325,000000,100.3,106.14,100.3,106.14,0,0
EMC_MV,D,20080327,000000,100.3,106.14,100.3,100.3,0,0
EMC_MV,D,20080328,000000,94.99,100.3,94.99,100.3,0,0
EMC_MV,D,20080331,000000,106.2,106.2,106.2,106.2,0,0
EMC_MV,D,20080401,000000,103.25,103.25,100.89,100.89,0,0
EMC_MV,D,20080403,000000,100.3,100.3,98.53,100.3,0,0
EMC_MV,D,20080407,000000,100.3,106.2,100.3,106.2,0,0
EMC_MV,D,20080409,000000,103.25,103.25,103.25,103.25,0,0
EMC_MV,D,20080410,000000,103.25,103.25,103.25,103.25,0,0
EMC_MV,D,20080411,000000,100.36,100.36,97.35,97.35,0,0
EMC_MV,D,20080414,000000,100.89,100.89,100.89,100.89,0,0
EMC_MV,D,20080415,000000,102.96,102.96,102.96,102.96,0,0
EMC_MV,D,20080416,000000,103.13,103.13,97.94,100.3,0,0
EMC_MV,D,20080418,000000,95.29,100.24,95.29,100.24,0,0
EMC_MV,D,20080421,000000,95.23,100.24,94.52,100.24,0,0
EMC_MV,D,20080422,000000,95.23,99.12,94.4,94.4,0,0
EMC_MV,D,20080423,000000,94.4,94.4,92.93,93.99,0,0
EMC_MV,D,20080424,000000,95.58,95.58,92.34,95.58,0,0
EMC_MV,D,20080425,000000,95.35,95.35,95.35,95.35,0,0
EMC_MV,D,20080428,000000,94.4,97.94,94.4,96.47,0,0
EMC_MV,D,20080429,000000,97.65,97.65,97.65,97.65,0,0
EMC_MV,D,20080430,000000,93.81,99.12,92.75,99.12,0,0
EMC_MV,D,20080505,000000,94.17,97.06,89.45,97.06,0,0
EMC_MV,D,20080506,000000,92.63,99.12,92.63,99.12,0,0
EMC_MV,D,20080507,000000,94.4,97.35,89.68,97.35,0,0
EMC_MV,D,20080508,000000,92.45,101.72,92.45,101.72,0,0
EMC_MV,D,20080509,000000,96.76,104.96,96.76,103.78,0,0
EMC_MV,D,20080515,000000,102.66,102.66,97.53,102.43,0,0
EMC_MV,D,20080516,000000,99.12,99.12,94.4,98.47,0,0
