<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GOP_MV,D,20200417,000000,218.62,218.62,218.62,218.62,0,0
GOP_MV,D,20200420,000000,242.47,242.47,209.77,235.96,0,0
GOP_MV,D,20200421,000000,238.49,238.49,220.86,226.07,0,0
GOP_MV,D,20200422,000000,218.62,218.62,211.42,213.65,0,0
GOP_MV,D,20200423,000000,220.61,242.66,213.65,213.65,0,0
GOP_MV,D,20200424,000000,203.71,206.4,181.85,206.4,0,0
GOP_MV,D,20200427,000000,206.93,215.27,200.67,203.28,0,0
GOP_MV,D,20200428,000000,203.23,203.28,190.25,202.76,0,0
GOP_MV,D,20200429,000000,202.76,202.76,192.85,193.89,0,0
GOP_MV,D,20200430,000000,193.89,193.89,182.01,189.99,0,0
GOP_MV,D,20200504,000000,198.59,208.49,198.06,208.49,0,0
GOP_MV,D,20200505,000000,218.91,218.91,207.45,212.14,0,0
GOP_MV,D,20200506,000000,212.66,212.66,201.35,201.45,0,0
GOP_MV,D,20200507,000000,207.34,207.34,198.27,198.33,0,0
GOP_MV,D,20200508,000000,198.27,201.66,192.85,196.5,0,0
GOP_MV,D,20200511,000000,198.06,198.06,190.25,193.27,0,0
GOP_MV,D,20200512,000000,194.73,194.73,187.12,189.72,0,0
GOP_MV,D,20200513,000000,191.03,191.03,183.47,190.25,0,0
GOP_MV,D,20200514,000000,192.74,192.74,182.43,185.04,0,0
GOP_MV,D,20200515,000000,185.04,191.19,182.95,189.99,0,0
GOP_MV,D,20200518,000000,190.77,190.77,185.58,190.22,0,0
GOP_MV,D,20200519,000000,188.17,190.25,187.67,188.17,0,0
GOP_MV,D,20200520,000000,187.69,202.18,187.69,201.72,0,0
GOP_MV,D,20200521,000000,201.72,201.72,194.42,197.1,0,0
GOP_MV,D,20200522,000000,195.25,195.25,189.21,191.81,0,0
GOP_MV,D,20200525,000000,188.21,188.21,185.04,187.38,0,0
