<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INL_PB,D,20080121,000000,1.87707,1.87707,1.87707,1.87707,0,0
INL_PB,D,20080122,000000,1.79442,1.9729,1.79442,1.9729,0,0
INL_PB,D,20080123,000000,1.98171,2.04711,1.95982,2.04711,0,0
INL_PB,D,20080124,000000,2.0601,2.06882,2.0601,2.06882,0,0
INL_PB,D,20080125,000000,2.04711,2.07318,1.98598,2.07318,0,0
INL_PB,D,20080128,000000,1.95982,2.04711,1.95982,2.04711,0,0
INL_PB,D,20080129,000000,1.95982,2.03394,1.95982,2.03394,0,0
INL_PB,D,20080130,000000,2.03394,2.08626,1.94247,2.08626,0,0
INL_PB,D,20080131,000000,2.05574,2.12977,2.04711,2.04711,0,0
INL_PB,D,20080201,000000,2.04711,2.04711,1.98598,2.03821,0,0
INL_PB,D,20080204,000000,1.98171,1.98171,1.90769,1.9293,0,0
INL_PB,D,20080205,000000,1.85963,1.9293,1.82058,1.92086,0,0
INL_PB,D,20080206,000000,1.85537,1.87707,1.85537,1.87707,0,0
INL_PB,D,20080207,000000,1.79442,1.79442,1.79442,1.79442,0,0
INL_PB,D,20080208,000000,1.9293,1.9293,1.86835,1.86835,0,0
INL_PB,D,20080211,000000,1.79869,1.85537,1.77262,1.85537,0,0
INL_PB,D,20080212,000000,1.85091,1.85537,1.85091,1.85537,0,0
INL_PB,D,20080213,000000,1.86835,1.9293,1.7857,1.84684,0,0
INL_PB,D,20080214,000000,1.87707,1.87707,1.83793,1.87262,0,0
INL_PB,D,20080215,000000,1.87707,1.87707,1.81622,1.87707,0,0
INL_PB,D,20080218,000000,1.86399,1.86399,1.86399,1.86399,0,0
INL_PB,D,20080219,000000,1.86399,1.86399,1.79869,1.85537,0,0
INL_PB,D,20080220,000000,1.85091,1.85537,1.75528,1.83366,0,0
INL_PB,D,20080221,000000,1.76409,1.83366,1.75528,1.81186,0,0
INL_PB,D,20080222,000000,1.81186,1.81186,1.81186,1.81186,0,0
INL_PB,D,20080225,000000,1.77262,1.81622,1.73338,1.81622,0,0
INL_PB,D,20080226,000000,1.81622,1.81622,1.73338,1.81186,0,0
INL_PB,D,20080227,000000,1.71149,1.80305,1.71149,1.79869,0,0
INL_PB,D,20080228,000000,1.79869,1.79869,1.00176,1.00176,0,0
INL_PB,D,20080229,000000,0.988583,0.993037,0.988583,0.993037,0,0
INL_PB,D,20080303,000000,0.997303,0.997303,0.997303,0.997303,0,0
INL_PB,D,20080304,000000,0.953797,0.997303,0.953797,0.993037,0,0
INL_PB,D,20080305,000000,0.945077,0.975503,0.932092,0.975503,0,0
INL_PB,D,20080306,000000,0.997303,0.997303,0.932092,0.993037,0,0
INL_PB,D,20080307,000000,0.940907,0.984317,0.940907,0.984317,0,0
INL_PB,D,20080310,000000,0.984317,0.984317,0.975503,0.975503,0,0
INL_PB,D,20080311,000000,0.923277,0.966783,0.910197,0.953797,0,0
