<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ITM_PE,D,20110810,000000,17.9,17.9,17.9,17.9,0,0
ITM_PE,D,20110811,000000,18,19.7,17.1,19.7,0,0
ITM_PE,D,20110812,000000,19.7,23.3,19.7,22.7,0,0
ITM_PE,D,20110816,000000,21.6,23.6,20.6,23.6,0,0
ITM_PE,D,20110817,000000,22.3,23.4,13.9,13.9,0,0
ITM_PE,D,20110818,000000,13.9,15,13.9,15,0,0
ITM_PE,D,20110819,000000,13.9,15,13.3,15,0,0
ITM_PE,D,20110822,000000,14.2,15.4,13.9,15,0,0
ITM_PE,D,20110823,000000,15.1,16.3,14.9,16.3,0,0
ITM_PE,D,20110824,000000,15.2,16.7,15.2,16.5,0,0
ITM_PE,D,20110825,000000,16.7,16.7,16.1,16.5,0,0
ITM_PE,D,20110826,000000,16.5,16.7,15.4,16.5,0,0
ITM_PE,D,20110829,000000,16.5,16.5,15.2,16.5,0,0
ITM_PE,D,20110830,000000,16.3,16.3,15.6,16.2,0,0
ITM_PE,D,20110831,000000,15.6,16.7,15.6,16.7,0,0
ITM_PE,D,20110901,000000,15.9,16.6,15.3,16.6,0,0
ITM_PE,D,20110902,000000,15.7,17,15.3,17,0,0
ITM_PE,D,20110905,000000,16.9,16.9,16.9,16.9,0,0
ITM_PE,D,20110906,000000,16.9,16.9,16,16.8,0,0
ITM_PE,D,20110907,000000,16.6,16.9,16.6,16.9,0,0
ITM_PE,D,20110908,000000,16.9,16.9,16.9,16.9,0,0
ITM_PE,D,20110909,000000,16.9,16.9,16.2,16.2,0,0
ITM_PE,D,20110912,000000,16,16.7,16,16.7,0,0
ITM_PE,D,20110913,000000,16,16.2,15.4,16.2,0,0
ITM_PE,D,20110914,000000,16.2,16.2,16.2,16.2,0,0
ITM_PE,D,20110915,000000,16.2,16.2,16.2,16.2,0,0
ITM_PE,D,20110916,000000,16.2,16.2,16.1,16.1,0,0
ITM_PE,D,20110919,000000,16.2,16.2,16.2,16.2,0,0
ITM_PE,D,20110920,000000,16.2,16.2,16.2,16.2,0,0
ITM_PE,D,20110921,000000,14.9,16.2,13.6,16.2,0,0
ITM_PE,D,20110922,000000,15.2,16.7,15.2,16.7,0,0
ITM_PE,D,20110923,000000,15,16.7,15,16.7,0,0
ITM_PE,D,20110926,000000,16.6,16.6,15.8,15.8,0,0
ITM_PE,D,20110927,000000,16.1,16.2,16.1,16.2,0,0
ITM_PE,D,20110928,000000,16.5,16.5,16.5,16.5,0,0
ITM_PE,D,20110929,000000,16.7,16.7,15.9,16.5,0,0
ITM_PE,D,20110930,000000,16.4,16.4,16.3,16.3,0,0
ITM_PE,D,20111003,000000,16,16,16,16,0,0
ITM_PE,D,20111004,000000,16,16,16,16,0,0
ITM_PE,D,20111006,000000,16,16,16,16,0,0
ITM_PE,D,20111007,000000,15.3,16,15.3,16,0,0
ITM_PE,D,20111010,000000,16,16,16,16,0,0
ITM_PE,D,20111011,000000,16,16,16,16,0,0
ITM_PE,D,20111012,000000,16,16,16,16,0,0
ITM_PE,D,20111013,000000,16,16,16,16,0,0
ITM_PE,D,20111014,000000,16,16.5,16,16.5,0,0
ITM_PE,D,20111017,000000,16.5,16.5,16.5,16.5,0,0
ITM_PE,D,20111018,000000,16.5,16.5,15.3,16.5,0,0
ITM_PE,D,20111020,000000,16.5,16.5,16.5,16.5,0,0
ITM_PE,D,20111021,000000,16.3,16.3,16.2,16.2,0,0
ITM_PE,D,20111024,000000,15.6,16.2,14.8,16.2,0,0
ITM_PE,D,20111025,000000,16.2,16.2,16.2,16.2,0,0
ITM_PE,D,20111026,000000,16.2,16.2,16.2,16.2,0,0
ITM_PE,D,20111027,000000,16.2,16.2,16.2,16.2,0,0
ITM_PE,D,20111028,000000,16.2,16.2,16.2,16.2,0,0
ITM_PE,D,20111102,000000,16.2,16.2,16.2,16.2,0,0
ITM_PE,D,20111103,000000,16.2,16.2,16.2,16.2,0,0
ITM_PE,D,20111104,000000,16.2,16.2,16.2,16.2,0,0
ITM_PE,D,20111107,000000,16.2,16.2,16.2,16.2,0,0
ITM_PE,D,20111108,000000,16.2,16.2,16.2,16.2,0,0
ITM_PE,D,20111109,000000,16.3,16.3,16.2,16.2,0,0
ITM_PE,D,20111110,000000,16.2,16.2,16.2,16.2,0,0
ITM_PE,D,20111114,000000,16.2,16.2,15.8,16.1,0,0
ITM_PE,D,20111115,000000,16.2,16.2,16.1,16.2,0,0
ITM_PE,D,20111116,000000,16,16.3,16,16.2,0,0
ITM_PE,D,20111117,000000,16.2,16.2,16.2,16.2,0,0
ITM_PE,D,20111118,000000,15.8,16.2,15.8,16.2,0,0
ITM_PE,D,20111121,000000,16.2,16.2,16.2,16.2,0,0
ITM_PE,D,20111122,000000,16.2,16.4,14.9,14.9,0,0
ITM_PE,D,20111123,000000,14.6,14.6,14,14.5,0,0
ITM_PE,D,20111124,000000,14.9,14.9,14.5,14.5,0,0
ITM_PE,D,20111125,000000,14.9,14.9,14.9,14.9,0,0
ITM_PE,D,20111128,000000,14.6,16.9,14.6,16.9,0,0
ITM_PE,D,20111129,000000,17.4,20.4,17.4,20.4,0,0
