<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JSW_PB,D,20110706,000000,1.9212,1.9212,1.9212,1.9212,0,0
JSW_PB,D,20110707,000000,1.9212,1.9814,1.9212,1.9729,0,0
JSW_PB,D,20110708,000000,1.9814,2.0074,1.9729,1.9987,0,0
JSW_PB,D,20110711,000000,1.9814,1.9987,1.9384,1.9557,0,0
JSW_PB,D,20110712,000000,1.9384,1.9643,1.9212,1.9643,0,0
JSW_PB,D,20110713,000000,1.9557,1.9987,1.9557,1.9987,0,0
JSW_PB,D,20110714,000000,1.9814,1.9987,1.9729,1.9987,0,0
JSW_PB,D,20110715,000000,1.9814,2.0074,1.9814,1.9987,0,0
JSW_PB,D,20110718,000000,1.9987,1.9987,1.9643,1.9814,0,0
JSW_PB,D,20110719,000000,1.9814,1.9987,1.9814,1.9814,0,0
JSW_PB,D,20110720,000000,1.9729,1.9729,1.9384,1.9471,0,0
JSW_PB,D,20110721,000000,1.9471,1.9557,1.9298,1.9384,0,0
JSW_PB,D,20110722,000000,1.9471,2.0418,1.9298,2.0418,0,0
JSW_PB,D,20110725,000000,2.0418,2.0418,2.0332,2.0332,0,0
JSW_PB,D,20110726,000000,2.0332,2.0418,2.0332,2.0418,0,0
JSW_PB,D,20110727,000000,2.0332,2.0332,2.0074,2.016,0,0
JSW_PB,D,20110728,000000,1.9901,2.0332,1.9901,2.0332,0,0
JSW_PB,D,20110729,000000,2.0074,2.0418,2.0074,2.0418,0,0
JSW_PB,D,20110801,000000,2.0418,2.059,2.0418,2.0504,0,0
JSW_PB,D,20110802,000000,2.0418,2.0418,2.0074,2.016,0,0
JSW_PB,D,20110803,000000,1.9729,2.016,1.8695,1.8867,0,0
JSW_PB,D,20110804,000000,1.8781,1.8954,1.7145,1.7317,0,0
JSW_PB,D,20110805,000000,1.6197,1.7403,1.6197,1.6972,0,0
JSW_PB,D,20110808,000000,1.6541,1.6714,1.5249,1.5249,0,0
JSW_PB,D,20110809,000000,1.5162,1.5508,1.3353,1.413,0,0
JSW_PB,D,20110810,000000,1.499,1.5249,1.2923,1.2923,0,0
JSW_PB,D,20110811,000000,1.344,1.499,1.2923,1.499,0,0
JSW_PB,D,20110812,000000,1.5508,1.611,1.499,1.5766,0,0
JSW_PB,D,20110816,000000,1.6197,1.6197,1.5679,1.5852,0,0
JSW_PB,D,20110817,000000,1.5852,1.6025,1.5593,1.6025,0,0
JSW_PB,D,20110818,000000,1.5766,1.5766,1.4042,1.4388,0,0
JSW_PB,D,20110819,000000,1.3956,1.5077,1.3699,1.499,0,0
JSW_PB,D,20110822,000000,1.4904,1.5421,1.4904,1.5077,0,0
JSW_PB,D,20110823,000000,1.5336,1.5766,1.5249,1.5766,0,0
JSW_PB,D,20110824,000000,1.5852,1.5852,1.5508,1.5679,0,0
JSW_PB,D,20110825,000000,1.5852,1.5939,1.5766,1.5939,0,0
JSW_PB,D,20110826,000000,1.5766,1.5939,1.5421,1.5766,0,0
JSW_PB,D,20110829,000000,1.5852,1.6368,1.5852,1.6282,0,0
JSW_PB,D,20110830,000000,1.6455,1.6886,1.6455,1.6628,0,0
JSW_PB,D,20110831,000000,1.5939,1.6368,1.5679,1.6197,0,0
JSW_PB,D,20110901,000000,1.611,1.6197,1.456,1.456,0,0
JSW_PB,D,20110902,000000,1.4388,1.4388,1.3699,1.4042,0,0
JSW_PB,D,20110905,000000,1.344,1.4042,1.3009,1.3009,0,0
JSW_PB,D,20110906,000000,1.3182,1.3612,1.2836,1.3009,0,0
JSW_PB,D,20110907,000000,1.344,1.3871,1.3009,1.3871,0,0
JSW_PB,D,20110908,000000,1.4042,1.4473,1.3956,1.4388,0,0
JSW_PB,D,20110909,000000,1.413,1.4388,1.3871,1.4042,0,0
JSW_PB,D,20110912,000000,1.3612,1.3784,1.3353,1.344,0,0
JSW_PB,D,20110913,000000,1.3871,1.3871,1.3267,1.3526,0,0
JSW_PB,D,20110914,000000,1.3699,1.3871,1.344,1.3871,0,0
JSW_PB,D,20110915,000000,1.4042,1.4215,1.3956,1.4042,0,0
JSW_PB,D,20110916,000000,1.4215,1.456,1.4042,1.456,0,0
JSW_PB,D,20110919,000000,1.4042,1.4301,1.4042,1.4301,0,0
JSW_PB,D,20110920,000000,1.4388,1.456,1.4215,1.4388,0,0
JSW_PB,D,20110921,000000,1.4388,1.4473,1.4042,1.413,0,0
JSW_PB,D,20110922,000000,1.3699,1.3699,1.2664,1.2664,0,0
JSW_PB,D,20110923,000000,1.2493,1.3009,1.1975,1.2923,0,0
JSW_PB,D,20110926,000000,1.2578,1.3353,1.2493,1.2923,0,0
JSW_PB,D,20110927,000000,1.3353,1.3353,1.2923,1.3095,0,0
JSW_PB,D,20110928,000000,1.3095,1.3267,1.2664,1.2923,0,0
JSW_PB,D,20110929,000000,1.2836,1.3009,1.2664,1.2664,0,0
JSW_PB,D,20110930,000000,1.2751,1.2751,1.232,1.232,0,0
JSW_PB,D,20111003,000000,1.2233,1.232,1.1975,1.2147,0,0
JSW_PB,D,20111004,000000,1.1889,1.1975,1.1372,1.1804,0,0
JSW_PB,D,20111005,000000,1.2062,1.2233,1.1975,1.2233,0,0
