<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KCH_MV,D,20071008,000000,56.973,56.973,56.973,56.973,0,0
KCH_MV,D,20071009,000000,56.696,56.696,56.696,56.696,0,0
KCH_MV,D,20071010,000000,54.199,54.199,54.199,54.199,0,0
KCH_MV,D,20071011,000000,54.569,54.569,54.569,54.569,0,0
KCH_MV,D,20071012,000000,53.644,53.644,53.644,53.644,0,0
KCH_MV,D,20071015,000000,53.274,53.274,53.274,53.274,0,0
KCH_MV,D,20071016,000000,53.644,53.644,53.644,53.644,0,0
KCH_MV,D,20071017,000000,54.569,54.569,54.569,54.569,0,0
KCH_MV,D,20071018,000000,54.106,54.106,54.106,54.106,0,0
KCH_MV,D,20071019,000000,54.014,54.014,54.014,54.014,0,0
KCH_MV,D,20071022,000000,52.626,52.626,52.626,52.626,0,0
KCH_MV,D,20071023,000000,53.644,53.644,53.644,53.644,0,0
KCH_MV,D,20071024,000000,54.014,54.014,54.014,54.014,0,0
KCH_MV,D,20071025,000000,53.921,53.921,53.921,53.921,0,0
KCH_MV,D,20071026,000000,53.829,53.829,53.829,53.829,0,0
KCH_MV,D,20071029,000000,52.441,52.441,52.441,52.441,0,0
KCH_MV,D,20071030,000000,53.736,53.736,53.736,53.736,0,0
KCH_MV,D,20071031,000000,55.031,55.031,55.031,55.031,0,0
KCH_MV,D,20071102,000000,55.031,55.031,55.031,55.031,0,0
KCH_MV,D,20071105,000000,54.939,54.939,54.939,54.939,0,0
KCH_MV,D,20071106,000000,53.089,53.089,53.089,53.089,0,0
KCH_MV,D,20071107,000000,49.574,49.574,49.574,49.574,0,0
KCH_MV,D,20071108,000000,49.574,49.574,49.574,49.574,0,0
KCH_MV,D,20071109,000000,50.869,51.054,47.262,48.094,0,0
KCH_MV,D,20071112,000000,46.337,48.094,45.782,46.985,0,0
KCH_MV,D,20071113,000000,45.32,45.967,44.395,45.782,0,0
KCH_MV,D,20071114,000000,45.967,45.967,43.932,45.32,0,0
KCH_MV,D,20071115,000000,45.967,45.967,40.788,41.158,0,0
KCH_MV,D,20071116,000000,41.158,41.158,37.921,39.955,0,0
KCH_MV,D,20071119,000000,39.955,42.453,37.921,38.661,0,0
KCH_MV,D,20071120,000000,37.921,38.106,34.961,37.828,0,0
KCH_MV,D,20071121,000000,37.088,37.921,34.129,35.053,0,0
KCH_MV,D,20071122,000000,35.053,35.516,31.724,35.146,0,0
KCH_MV,D,20071123,000000,39.77,39.77,33.759,33.759,0,0
KCH_MV,D,20071126,000000,33.574,35.793,32.834,32.834,0,0
KCH_MV,D,20071127,000000,32.834,36.071,32.371,36.071,0,0
KCH_MV,D,20071128,000000,36.718,37.828,35.146,37.828,0,0
KCH_MV,D,20071129,000000,38.938,38.938,36.441,37.921,0,0
KCH_MV,D,20071130,000000,37.921,39.4,36.996,38.846,0,0
