<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KER_PE,D,20071123,000000,26.095,26.095,26.095,26.095,0,0
KER_PE,D,20071126,000000,27.179,27.179,26.095,26.345,0,0
KER_PE,D,20071127,000000,26.345,26.345,26.095,26.095,0,0
KER_PE,D,20071128,000000,26.178,26.51,26.095,26.178,0,0
KER_PE,D,20071129,000000,26.095,26.345,26.095,26.345,0,0
KER_PE,D,20071130,000000,26.345,26.51,26.345,26.51,0,0
KER_PE,D,20071203,000000,26.429,26.429,26.261,26.261,0,0
KER_PE,D,20071204,000000,26.261,26.345,26.261,26.345,0,0
KER_PE,D,20071205,000000,26.345,27.595,26.345,27.595,0,0
KER_PE,D,20071206,000000,26.678,26.678,26.51,26.51,0,0
KER_PE,D,20071207,000000,26.929,27.846,26.929,27.512,0,0
KER_PE,D,20071210,000000,27.512,27.679,27.428,27.679,0,0
KER_PE,D,20071211,000000,27.679,30.596,27.595,30.596,0,0
KER_PE,D,20071212,000000,28.929,32.263,28.929,32.18,0,0
KER_PE,D,20071213,000000,31.43,34.432,30.513,33.265,0,0
KER_PE,D,20071214,000000,33.181,33.765,32.681,32.764,0,0
KER_PE,D,20071217,000000,32.764,33.181,32.514,32.514,0,0
KER_PE,D,20071218,000000,32.514,35.264,31.014,32.263,0,0
KER_PE,D,20071219,000000,32.263,33.347,32.263,33.347,0,0
KER_PE,D,20071220,000000,33.347,36.433,33.347,36.264,0,0
KER_PE,D,20071221,000000,38.516,38.516,35.348,36.349,0,0
KER_PE,D,20071227,000000,36.515,37.599,36.349,36.849,0,0
KER_PE,D,20071228,000000,36.766,37.434,36.349,37.434,0,0
KER_PE,D,20080102,000000,42.936,42.936,37.434,38.516,0,0
KER_PE,D,20080103,000000,38.433,38.433,36.349,37.349,0,0
KER_PE,D,20080104,000000,36.349,36.933,34.932,34.932,0,0
KER_PE,D,20080107,000000,33.265,36.349,33.265,34.181,0,0
KER_PE,D,20080108,000000,34.765,36.349,34.181,36.1,0,0
KER_PE,D,20080109,000000,36.1,36.1,34.181,35.348,0,0
KER_PE,D,20080110,000000,33.599,34.1,33.599,34.1,0,0
KER_PE,D,20080111,000000,33.68,35.682,33.431,35.682,0,0
KER_PE,D,20080114,000000,35.932,35.932,35.932,35.932,0,0
KER_PE,D,20080115,000000,36.598,36.598,35.85,35.85,0,0
KER_PE,D,20080116,000000,35.598,35.598,34.181,34.181,0,0
KER_PE,D,20080117,000000,36.1,36.1,34.013,34.013,0,0
KER_PE,D,20080118,000000,34.598,34.598,34.348,34.348,0,0
KER_PE,D,20080121,000000,33.599,33.599,31.597,32.098,0,0
KER_PE,D,20080122,000000,31.18,32.098,31.18,31.848,0,0
KER_PE,D,20080123,000000,31.93,33.181,31.014,33.181,0,0
KER_PE,D,20080124,000000,34.264,34.264,32.596,33.265,0,0
KER_PE,D,20080125,000000,33.014,33.599,33.014,33.599,0,0
KER_PE,D,20080128,000000,33.599,34.013,33.514,33.848,0,0
KER_PE,D,20080129,000000,34.013,34.013,33.431,33.68,0,0
KER_PE,D,20080130,000000,33.68,33.68,33.68,33.68,0,0
KER_PE,D,20080131,000000,33.431,35.85,33.431,33.765,0,0
KER_PE,D,20080201,000000,34.348,34.348,33.765,34.013,0,0
KER_PE,D,20080204,000000,35.682,35.682,34.013,34.264,0,0
KER_PE,D,20080205,000000,34.264,34.264,33.93,33.93,0,0
KER_PE,D,20080206,000000,33.93,34.515,33.93,34.1,0,0
KER_PE,D,20080207,000000,34.1,34.1,34.1,34.1,0,0
KER_PE,D,20080208,000000,34.515,34.682,34.013,34.1,0,0
KER_PE,D,20080211,000000,34.1,35.182,33.514,34.181,0,0
KER_PE,D,20080212,000000,34.181,34.264,34.181,34.264,0,0
KER_PE,D,20080213,000000,35.182,35.598,33.599,35.598,0,0
KER_PE,D,20080214,000000,35.598,35.598,35.015,35.598,0,0
KER_PE,D,20080215,000000,35.598,36.433,35.598,36.433,0,0
KER_PE,D,20080218,000000,35.348,36.433,19.842,19.842,0,0
KER_PE,D,20080219,000000,19.842,19.842,19.259,19.259,0,0
KER_PE,D,20080220,000000,19.259,20.007,19.259,20.007,0,0
KER_PE,D,20080221,000000,20.592,21.26,20.007,21.26,0,0
KER_PE,D,20080222,000000,21.26,22.009,21.26,21.76,0,0
KER_PE,D,20080225,000000,21.593,22.759,21.427,22.427,0,0
KER_PE,D,20080226,000000,22.427,24.677,22.009,24.26,0,0
KER_PE,D,20080227,000000,24.177,24.177,23.011,23.011,0,0
KER_PE,D,20080228,000000,23.344,23.344,23.092,23.261,0,0
KER_PE,D,20080229,000000,23.176,23.176,23.092,23.092,0,0
KER_PE,D,20080303,000000,23.011,23.011,21.76,23.011,0,0
KER_PE,D,20080304,000000,23.593,23.593,22.676,22.927,0,0
KER_PE,D,20080305,000000,22.093,22.093,21.593,22.093,0,0
KER_PE,D,20080306,000000,21.675,23.344,21.593,23.261,0,0
KER_PE,D,20080307,000000,21.842,22.676,21.842,22.427,0,0
KER_PE,D,20080310,000000,22.176,22.427,21.927,22.343,0,0
KER_PE,D,20080311,000000,22.093,22.427,21.842,22.427,0,0
KER_PE,D,20080312,000000,22.427,24.094,22.427,22.843,0,0
KER_PE,D,20080313,000000,22.843,23.511,22.676,23.511,0,0
KER_PE,D,20080314,000000,23.593,24.177,22.927,23.011,0,0
KER_PE,D,20080317,000000,22.759,22.759,21.76,21.76,0,0
KER_PE,D,20080318,000000,22.259,22.259,21.76,21.76,0,0
KER_PE,D,20080319,000000,21.76,22.508,21.76,22.427,0,0
KER_PE,D,20080320,000000,22.009,22.009,21.51,21.51,0,0
KER_PE,D,20080325,000000,21.51,22.427,21.51,22.093,0,0
KER_PE,D,20080326,000000,21.76,22.093,21.76,22.093,0,0
KER_PE,D,20080327,000000,21.842,22.676,21.842,22.427,0,0
