<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KGH_MV,D,20070813,000000,9940.99,9940.99,9940.99,9940.99,0,0
KGH_MV,D,20070814,000000,9727,9727,9727,9727,0,0
KGH_MV,D,20070816,000000,9183.13,9183.13,9183.13,9183.13,0,0
KGH_MV,D,20070817,000000,9539.77,9539.77,9539.77,9539.77,0,0
KGH_MV,D,20070820,000000,9432.8,9432.8,9432.8,9432.8,0,0
KGH_MV,D,20070821,000000,9102.91,9102.91,9102.91,9102.91,0,0
KGH_MV,D,20070822,000000,9593.28,9593.28,9593.28,9593.28,0,0
KGH_MV,D,20070823,000000,9851.81,9851.81,9851.81,9851.81,0,0
KGH_MV,D,20070824,000000,10074.7,10074.7,10074.7,10074.7,0,0
KGH_MV,D,20070827,000000,10119.3,10119.3,10119.3,10119.3,0,0
KGH_MV,D,20070828,000000,9967.7,9967.7,9967.7,9967.7,0,0
KGH_MV,D,20070829,000000,9994.46,9994.46,9994.46,9994.46,0,0
KGH_MV,D,20070830,000000,9923.17,9923.17,9923.17,9923.17,0,0
KGH_MV,D,20070831,000000,10324.3,10324.3,10324.3,10324.3,0,0
KGH_MV,D,20070903,000000,10306.5,10306.5,10306.5,10306.5,0,0
KGH_MV,D,20070904,000000,10208.4,10208.4,10208.4,10208.4,0,0
KGH_MV,D,20070905,000000,9940.99,9940.99,9940.99,9940.99,0,0
KGH_MV,D,20070906,000000,9816.14,9816.14,9816.14,9816.14,0,0
KGH_MV,D,20070907,000000,9584.36,9584.36,9584.36,9584.36,0,0
KGH_MV,D,20070910,000000,9628.95,9628.95,9628.95,9628.95,0,0
KGH_MV,D,20070911,000000,9762.68,9762.68,9762.68,9762.68,0,0
KGH_MV,D,20070912,000000,10074.7,10074.7,10074.7,10074.7,0,0
KGH_MV,D,20070913,000000,10253,10253,10253,10253,0,0
KGH_MV,D,20070914,000000,10199.5,10199.5,10199.5,10199.5,0,0
KGH_MV,D,20070917,000000,10386.8,10386.8,10386.8,10386.8,0,0
KGH_MV,D,20070918,000000,10565.1,10565.1,10565.1,10565.1,0,0
KGH_MV,D,20070919,000000,11287.2,11287.2,11287.2,11287.2,0,0
KGH_MV,D,20070920,000000,11055.5,11055.5,11055.5,11055.5,0,0
KGH_MV,D,20070921,000000,11144.6,11144.6,11144.6,11144.6,0,0
KGH_MV,D,20070924,000000,11224.9,11224.9,11224.9,11224.9,0,0
KGH_MV,D,20070925,000000,11037.6,11037.6,11037.6,11037.6,0,0
KGH_MV,D,20070926,000000,11126.8,11126.8,11126.8,11126.8,0,0
KGH_MV,D,20070927,000000,11064.4,11064.4,11064.4,11064.4,0,0
KGH_MV,D,20070928,000000,11010.9,11010.9,11010.9,11010.9,0,0
KGH_MV,D,20071001,000000,11180.3,11180.3,11180.3,11180.3,0,0
KGH_MV,D,20071002,000000,11492.3,11492.3,11492.3,11492.3,0,0
KGH_MV,D,20071003,000000,11331.8,11331.8,11331.8,11331.8,0,0
KGH_MV,D,20071004,000000,11474.5,11474.5,11474.5,11474.5,0,0
KGH_MV,D,20071005,000000,11501.2,11501.2,11501.2,11501.2,0,0
KGH_MV,D,20071008,000000,11358.6,11358.6,11358.6,11358.6,0,0
KGH_MV,D,20071009,000000,11590.4,11590.4,11590.4,11590.4,0,0
KGH_MV,D,20071010,000000,11590.4,11590.4,11590.4,11590.4,0,0
KGH_MV,D,20071011,000000,12312.6,12312.6,12312.6,12312.6,0,0
KGH_MV,D,20071012,000000,12294.7,12294.7,12294.7,12294.7,0,0
KGH_MV,D,20071015,000000,12749.4,12749.4,12749.4,12749.4,0,0
KGH_MV,D,20071016,000000,12464.1,12464.1,12464.1,12464.1,0,0
KGH_MV,D,20071017,000000,12392.8,12392.8,12392.8,12392.8,0,0
KGH_MV,D,20071018,000000,11831.1,11831.1,11831.1,11831.1,0,0
KGH_MV,D,20071019,000000,12036.1,12036.1,12036.1,12036.1,0,0
KGH_MV,D,20071022,000000,11840,11840,11840,11840,0,0
KGH_MV,D,20071023,000000,12098.6,12098.6,12098.6,12098.6,0,0
KGH_MV,D,20071024,000000,11991.6,11991.6,11991.6,11991.6,0,0
KGH_MV,D,20071025,000000,12214.4,12214.4,12214.4,12214.4,0,0
KGH_MV,D,20071026,000000,12383.9,12383.9,12383.9,12383.9,0,0
KGH_MV,D,20071029,000000,12437.4,12437.4,12437.4,12437.4,0,0
KGH_MV,D,20071030,000000,12196.6,12196.6,12196.6,12196.6,0,0
KGH_MV,D,20071031,000000,12054,12054,12054,12054,0,0
KGH_MV,D,20071102,000000,11590.4,11590.4,11590.4,11590.4,0,0
KGH_MV,D,20071105,000000,11233.8,11233.8,11233.8,11233.8,0,0
KGH_MV,D,20071106,000000,11331.8,11331.8,11331.8,11331.8,0,0
KGH_MV,D,20071107,000000,11162.4,11162.4,11162.4,11162.4,0,0
KGH_MV,D,20071108,000000,11153.5,11153.5,11153.5,11153.5,0,0
KGH_MV,D,20071109,000000,11233.8,11233.8,10404.6,10609.6,0,0
KGH_MV,D,20071112,000000,10449.1,10645.3,10342.2,10431.4,0,0
KGH_MV,D,20071113,000000,10966.3,10966.3,10368.9,10565.1,0,0
KGH_MV,D,20071114,000000,10698.8,10787.9,10609.6,10609.6,0,0
KGH_MV,D,20071115,000000,10698.8,10912.8,10360,10386.8,0,0
KGH_MV,D,20071116,000000,10342.2,10600.8,10163.9,10475.9,0,0
KGH_MV,D,20071119,000000,10582.9,10627.5,10333.3,10431.4,0,0
KGH_MV,D,20071120,000000,10253,10288.7,10065.8,10279.8,0,0
KGH_MV,D,20071121,000000,9985.54,10253,9985.54,10074.7,0,0
KGH_MV,D,20071122,000000,10163.9,10163.9,9753.75,9753.75,0,0
KGH_MV,D,20071123,000000,9896.41,9940.99,9807.21,9851.81,0,0
KGH_MV,D,20071126,000000,9940.99,10074.7,9798.3,9807.21,0,0
KGH_MV,D,20071127,000000,9762.68,9762.68,9361.45,9450.63,0,0
KGH_MV,D,20071128,000000,9459.55,9798.3,9174.2,9798.3,0,0
KGH_MV,D,20071129,000000,9985.54,9985.54,9789.44,9842.89,0,0
KGH_MV,D,20071130,000000,9940.99,10101.5,9940.99,10074.7,0,0
KGH_MV,D,20071203,000000,10181.7,10181.7,9727,9727,0,0
KGH_MV,D,20071204,000000,9673.5,9825.06,9611.12,9825.06,0,0
KGH_MV,D,20071205,000000,9905.33,10502.7,9905.33,10502.7,0,0
KGH_MV,D,20071206,000000,10502.7,10565.1,10297.6,10413.5,0,0
KGH_MV,D,20071207,000000,10502.7,10609.6,10493.7,10520.5,0,0
KGH_MV,D,20071210,000000,10591.8,10654.2,10386.8,10386.8,0,0
KGH_MV,D,20071211,000000,10440.2,10440.2,10181.7,10217.4,0,0
KGH_MV,D,20071212,000000,10048,10297.6,10048,10297.6,0,0
KGH_MV,D,20071213,000000,10190.6,10279.8,9958.78,10074.7,0,0
KGH_MV,D,20071214,000000,10030.1,10074.7,9566.51,9673.5,0,0
KGH_MV,D,20071217,000000,9539.77,9539.77,9094,9094,0,0
KGH_MV,D,20071218,000000,9263.4,9263.4,8897.83,9102.91,0,0
KGH_MV,D,20071219,000000,9102.91,9209.87,8960.26,9183.13,0,0
KGH_MV,D,20071220,000000,9227.72,9539.77,9227.72,9414.95,0,0
KGH_MV,D,20071221,000000,9486.25,9655.66,9486.25,9628.95,0,0
KGH_MV,D,20071227,000000,9833.96,10003.4,9673.5,9673.5,0,0
KGH_MV,D,20071228,000000,9539.77,9628.95,9406.04,9432.8,0,0
KGH_MV,D,20080102,000000,9477.39,9548.68,9272.31,9272.31,0,0
KGH_MV,D,20080103,000000,9334.69,9628.95,9290.15,9521.92,0,0
KGH_MV,D,20080104,000000,9807.21,9869.65,9539.77,9539.77,0,0
KGH_MV,D,20080107,000000,9468.49,9495.17,9414.95,9414.95,0,0
KGH_MV,D,20080108,000000,9495.17,9771.6,9414.95,9762.68,0,0
KGH_MV,D,20080109,000000,9807.21,9807.21,9486.25,9539.77,0,0
KGH_MV,D,20080110,000000,9548.68,9548.68,9272.31,9406.04,0,0
KGH_MV,D,20080111,000000,9432.8,9450.63,9290.15,9370.38,0,0
KGH_MV,D,20080114,000000,9361.45,9361.45,9361.45,9361.45,0,0
KGH_MV,D,20080115,000000,9299.08,9414.95,8924.59,8960.26,0,0
KGH_MV,D,20080116,000000,8505.56,8581.33,7952.79,8469.9,0,0
KGH_MV,D,20080117,000000,8625.92,8625.92,8371.8,8425.3,0,0
KGH_MV,D,20080118,000000,8300.5,8492.19,8157.86,8492.19,0,0
KGH_MV,D,20080121,000000,8246.99,8246.99,7734.32,7734.32,0,0
KGH_MV,D,20080122,000000,7257.32,7765.54,7257.32,7765.54,0,0
KGH_MV,D,20080123,000000,8024.13,8024.13,7386.66,7667.49,0,0
KGH_MV,D,20080124,000000,7756.61,7979.52,7747.69,7934.93,0,0
KGH_MV,D,20080125,000000,8086.5,8336.17,8086.5,8255.9,0,0
KGH_MV,D,20080128,000000,8006.28,8144.48,7899.26,8015.21,0,0
KGH_MV,D,20080129,000000,8113.27,8411.92,8113.27,8362.87,0,0
KGH_MV,D,20080130,000000,8425.3,8425.3,8140.02,8336.17,0,0
KGH_MV,D,20080131,000000,8282.66,8282.66,7943.85,8046.42,0,0
KGH_MV,D,20080201,000000,8313.86,8581.33,8313.86,8541.18,0,0
KGH_MV,D,20080204,000000,8924.59,8924.59,8648.22,8764.12,0,0
KGH_MV,D,20080205,000000,8764.12,8822.09,8376.25,8376.25,0,0
KGH_MV,D,20080206,000000,8211.36,8478.83,8157.86,8478.83,0,0
KGH_MV,D,20080207,000000,8487.75,8541.18,8171.23,8380.7,0,0
KGH_MV,D,20080208,000000,8657.15,8871.08,8536.74,8871.08,0,0
KGH_MV,D,20080211,000000,8857.7,8995.95,8826.54,8826.54,0,0
KGH_MV,D,20080212,000000,9022.63,9227.72,8978.11,9227.72,0,0
KGH_MV,D,20080213,000000,9129.66,9432.8,9094,9361.45,0,0
KGH_MV,D,20080214,000000,9539.77,9611.12,9379.28,9406.04,0,0
KGH_MV,D,20080215,000000,9361.45,9477.39,9299.08,9352.53,0,0
KGH_MV,D,20080218,000000,9450.63,9646.72,9450.63,9548.68,0,0
KGH_MV,D,20080219,000000,9673.5,9789.44,9539.77,9673.5,0,0
KGH_MV,D,20080220,000000,9682.42,9887.5,9557.61,9851.81,0,0
KGH_MV,D,20080221,000000,9985.54,10012.3,9807.21,9833.96,0,0
KGH_MV,D,20080222,000000,9833.96,9833.96,9575.45,9611.12,0,0
KGH_MV,D,20080225,000000,9851.81,10012.3,9851.81,9914.24,0,0
KGH_MV,D,20080226,000000,9816.14,9842.89,9664.57,9718.09,0,0
KGH_MV,D,20080227,000000,9780.52,9994.46,9780.52,9985.54,0,0
KGH_MV,D,20080228,000000,10030.1,10030.1,9682.42,9700.25,0,0
KGH_MV,D,20080229,000000,9727,9744.84,9521.92,9709.17,0,0
KGH_MV,D,20080303,000000,9495.17,9762.68,9414.95,9762.68,0,0
KGH_MV,D,20080304,000000,9807.21,9985.54,9620.04,9780.52,0,0
KGH_MV,D,20080305,000000,9709.17,9753.75,9495.17,9753.75,0,0
KGH_MV,D,20080306,000000,9851.81,9851.81,9575.45,9602.19,0,0
KGH_MV,D,20080307,000000,9477.39,9628.95,9423.88,9495.17,0,0
KGH_MV,D,20080310,000000,9450.63,9628.95,9245.56,9245.56,0,0
KGH_MV,D,20080311,000000,9040.49,9468.49,9040.49,9343.61,0,0
KGH_MV,D,20080312,000000,9459.55,9459.55,9316.9,9441.71,0,0
KGH_MV,D,20080313,000000,9281.24,9441.71,9049.41,9058.32,0,0
KGH_MV,D,20080314,000000,9129.66,9165.29,9004.81,9022.63,0,0
KGH_MV,D,20080317,000000,8915.67,8915.67,8514.5,8514.5,0,0
KGH_MV,D,20080318,000000,8563.49,8576.86,8438.69,8514.5,0,0
KGH_MV,D,20080319,000000,8612.54,8612.54,8380.7,8487.75,0,0
KGH_MV,D,20080320,000000,8282.66,8349.54,8131.1,8131.1,0,0
KGH_MV,D,20080325,000000,8487.75,8487.75,8300.5,8345.11,0,0
KGH_MV,D,20080326,000000,8380.7,8545.65,8380.7,8514.5,0,0
KGH_MV,D,20080327,000000,8608.08,9129.66,8514.5,9129.66,0,0
KGH_MV,D,20080328,000000,9085.07,9352.53,9085.07,9272.31,0,0
KGH_MV,D,20080331,000000,9129.66,9129.66,9129.66,9129.66,0,0
KGH_MV,D,20080401,000000,9094,9227.72,8960.26,9094,0,0
KGH_MV,D,20080402,000000,9183.13,9272.31,9085.07,9085.07,0,0
KGH_MV,D,20080403,000000,9085.07,9138.59,8924.59,8960.26,0,0
KGH_MV,D,20080404,000000,9004.81,9227.72,9004.81,9218.8,0,0
KGH_MV,D,20080407,000000,9361.45,9486.25,9361.45,9486.25,0,0
KGH_MV,D,20080408,000000,9406.04,9406.04,9227.72,9263.4,0,0
KGH_MV,D,20080409,000000,9138.59,9450.63,9138.59,9450.63,0,0
KGH_MV,D,20080410,000000,9432.8,9450.63,9316.9,9379.28,0,0
KGH_MV,D,20080411,000000,9432.8,9575.45,9013.72,9013.72,0,0
KGH_MV,D,20080414,000000,9004.81,9031.56,8826.54,8826.54,0,0
KGH_MV,D,20080415,000000,8871.08,9102.91,8871.08,9004.81,0,0
KGH_MV,D,20080416,000000,9147.5,9334.69,9004.81,9334.69,0,0
KGH_MV,D,20080417,000000,9272.31,9486.25,9254.48,9423.88,0,0
KGH_MV,D,20080418,000000,9406.04,9495.17,9316.9,9397.12,0,0
KGH_MV,D,20080421,000000,9441.71,9450.63,9299.08,9299.08,0,0
KGH_MV,D,20080422,000000,9370.38,9406.04,9254.48,9290.15,0,0
KGH_MV,D,20080423,000000,9290.15,9406.04,9004.81,9004.81,0,0
KGH_MV,D,20080424,000000,9102.91,9299.08,9102.91,9245.56,0,0
KGH_MV,D,20080425,000000,9290.15,9316.9,9174.2,9174.2,0,0
KGH_MV,D,20080428,000000,9272.31,9361.45,9174.2,9361.45,0,0
KGH_MV,D,20080429,000000,9379.28,9379.28,9165.29,9165.29,0,0
KGH_MV,D,20080430,000000,9183.13,9227.72,9067.23,9147.5,0,0
KGH_MV,D,20080505,000000,9361.45,9468.49,9183.13,9432.8,0,0
KGH_MV,D,20080506,000000,9530.84,9530.84,9388.2,9406.04,0,0
KGH_MV,D,20080507,000000,9495.17,9682.42,9495.17,9682.42,0,0
KGH_MV,D,20080508,000000,9566.51,9780.52,9513.01,9718.09,0,0
KGH_MV,D,20080509,000000,9735.92,9735.92,9379.28,9379.28,0,0
KGH_MV,D,20080512,000000,9521.92,9521.92,9379.28,9495.17,0,0
KGH_MV,D,20080513,000000,9566.51,9646.72,9486.25,9602.19,0,0
KGH_MV,D,20080514,000000,9673.5,9762.68,9673.5,9762.68,0,0
KGH_MV,D,20080515,000000,9700.25,9744.84,9673.5,9718.09,0,0
KGH_MV,D,20080516,000000,9753.75,9914.24,9753.75,9896.41,0,0
KGH_MV,D,20080519,000000,9923.17,10074.7,9896.41,9967.7,0,0
KGH_MV,D,20080520,000000,10065.8,10065.8,9825.06,9896.41,0,0
KGH_MV,D,20080521,000000,9896.41,9985.54,9878.56,9896.41,0,0
KGH_MV,D,20080523,000000,9905.33,9905.33,9620.04,9753.75,0,0
KGH_MV,D,20080526,000000,9762.68,9807.21,9664.57,9664.57,0,0
KGH_MV,D,20080527,000000,9798.3,9816.14,9548.68,9548.68,0,0
KGH_MV,D,20080528,000000,9646.72,9664.57,9459.55,9495.17,0,0
KGH_MV,D,20080529,000000,9566.51,9566.51,9031.56,9031.56,0,0
KGH_MV,D,20080530,000000,9192.04,9316.9,9183.13,9192.04,0,0
KGH_MV,D,20080602,000000,9254.48,9254.48,9094,9138.59,0,0
KGH_MV,D,20080603,000000,9138.59,9290.15,9138.59,9272.31,0,0
