<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KMP_PE,D,20080218,000000,4.18209,4.18209,4.18209,4.18209,0,0
KMP_PE,D,20080219,000000,4.09305,4.18209,4.09305,4.18209,0,0
KMP_PE,D,20080220,000000,4.18209,4.18209,4.00411,4.09305,0,0
KMP_PE,D,20080221,000000,4.18209,4.18209,4.00411,4.00411,0,0
KMP_PE,D,20080222,000000,4.00411,4.09305,4.00411,4.00411,0,0
KMP_PE,D,20080225,000000,4.00411,4.09305,3.82613,3.91517,0,0
KMP_PE,D,20080226,000000,4.00411,4.00411,3.82613,3.91517,0,0
KMP_PE,D,20080227,000000,3.91517,3.91517,3.82613,3.82613,0,0
KMP_PE,D,20080228,000000,3.7371,3.82613,3.7371,3.82613,0,0
KMP_PE,D,20080229,000000,3.7371,3.91517,3.55922,3.91517,0,0
KMP_PE,D,20080303,000000,3.82613,3.82613,3.64816,3.64816,0,0
KMP_PE,D,20080304,000000,3.64816,3.7371,3.64816,3.7371,0,0
KMP_PE,D,20080305,000000,3.82613,3.82613,3.7371,3.82613,0,0
KMP_PE,D,20080306,000000,3.82613,3.91517,3.7371,3.7371,0,0
KMP_PE,D,20080307,000000,3.64816,3.7371,3.64816,3.7371,0,0
KMP_PE,D,20080310,000000,3.7371,3.82613,3.7371,3.82613,0,0
KMP_PE,D,20080311,000000,3.82613,4.00411,3.82613,3.91517,0,0
KMP_PE,D,20080312,000000,4.00411,4.09305,3.91517,4.00411,0,0
KMP_PE,D,20080313,000000,4.00411,4.00411,3.91517,3.91517,0,0
KMP_PE,D,20080314,000000,3.91517,4.18209,3.91517,3.91517,0,0
KMP_PE,D,20080317,000000,3.91517,3.91517,3.91517,3.91517,0,0
KMP_PE,D,20080318,000000,3.91517,4.00411,3.82613,4.00411,0,0
KMP_PE,D,20080319,000000,4.00411,4.00411,3.91517,3.91517,0,0
KMP_PE,D,20080320,000000,3.91517,4.00411,3.7371,3.82613,0,0
KMP_PE,D,20080325,000000,3.91517,3.91517,3.82613,3.82613,0,0
KMP_PE,D,20080326,000000,3.91517,3.91517,3.82613,3.82613,0,0
KMP_PE,D,20080327,000000,3.82613,3.91517,3.82613,3.82613,0,0
KMP_PE,D,20080328,000000,3.82613,3.82613,3.82613,3.82613,0,0
KMP_PE,D,20080331,000000,3.82613,3.82613,3.82613,3.82613,0,0
KMP_PE,D,20080401,000000,3.7371,3.82613,3.7371,3.82613,0,0
KMP_PE,D,20080402,000000,3.91517,3.91517,3.7371,3.7371,0,0
KMP_PE,D,20080403,000000,3.7371,3.82613,3.7371,3.82613,0,0
KMP_PE,D,20080404,000000,3.82613,3.82613,3.82613,3.82613,0,0
KMP_PE,D,20080407,000000,3.82613,3.82613,3.82613,3.82613,0,0
KMP_PE,D,20080408,000000,3.82613,3.82613,3.7371,3.7371,0,0
KMP_PE,D,20080409,000000,3.7371,3.7371,3.64816,3.7371,0,0
KMP_PE,D,20080410,000000,3.7371,3.7371,3.7371,3.7371,0,0
KMP_PE,D,20080411,000000,3.64816,3.7371,3.55922,3.55922,0,0
KMP_PE,D,20080414,000000,3.38124,3.38124,3.20327,3.20327,0,0
KMP_PE,D,20080415,000000,3.20327,3.29221,3.20327,3.29221,0,0
KMP_PE,D,20080416,000000,3.29221,3.29221,2.93635,3.02529,0,0
KMP_PE,D,20080417,000000,3.11433,3.11433,3.02529,3.02529,0,0
KMP_PE,D,20080418,000000,3.02529,3.02529,3.02529,3.02529,0,0
KMP_PE,D,20080421,000000,3.02529,3.02529,2.93635,2.93635,0,0
KMP_PE,D,20080422,000000,2.93635,3.02529,2.75838,2.93635,0,0
KMP_PE,D,20080423,000000,2.93635,2.93635,2.75838,2.84732,0,0
KMP_PE,D,20080424,000000,2.75838,2.93635,2.75838,2.84732,0,0
KMP_PE,D,20080425,000000,2.84732,2.93635,2.75838,2.93635,0,0
KMP_PE,D,20080428,000000,2.93635,3.02529,2.93635,3.02529,0,0
KMP_PE,D,20080429,000000,3.11433,3.11433,2.84732,2.93635,0,0
KMP_PE,D,20080430,000000,2.93635,3.02529,2.93635,3.02529,0,0
KMP_PE,D,20080505,000000,3.11433,3.29221,3.11433,3.29221,0,0
KMP_PE,D,20080506,000000,3.29221,3.38124,2.93635,2.93635,0,0
KMP_PE,D,20080507,000000,2.84732,2.84732,2.84732,2.84732,0,0
KMP_PE,D,20080508,000000,2.75838,2.84732,2.75838,2.84732,0,0
KMP_PE,D,20080509,000000,2.84732,2.84732,2.75838,2.75838,0,0
KMP_PE,D,20080512,000000,2.75838,2.75838,2.66944,2.66944,0,0
KMP_PE,D,20080513,000000,2.5804,2.66944,2.5804,2.66944,0,0
KMP_PE,D,20080514,000000,2.5804,2.66944,2.5804,2.66944,0,0
KMP_PE,D,20080515,000000,2.66944,2.84732,2.66944,2.66944,0,0
KMP_PE,D,20080516,000000,2.75838,2.75838,2.66944,2.75838,0,0
KMP_PE,D,20080519,000000,2.5804,2.84732,2.5804,2.84732,0,0
