<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LKD_PE,D,20151215,000000,13.467,13.467,13.467,13.467,0,0
LKD_PE,D,20151217,000000,13.162,13.162,13.162,13.162,0,0
LKD_PE,D,20151218,000000,13.315,13.391,13.315,13.391,0,0
LKD_PE,D,20151221,000000,11.944,12.63,11.944,12.63,0,0
LKD_PE,D,20151222,000000,11.944,12.781,11.869,12.781,0,0
LKD_PE,D,20151223,000000,13.011,13.011,12.934,12.934,0,0
LKD_PE,D,20151228,000000,12.934,12.934,12.934,12.934,0,0
LKD_PE,D,20151229,000000,12.934,12.934,12.934,12.934,0,0
LKD_PE,D,20151230,000000,12.934,13.467,11.869,13.467,0,0
LKD_PE,D,20160113,000000,13.162,13.162,13.162,13.162,0,0
LKD_PE,D,20160120,000000,10.804,10.88,10.804,10.88,0,0
LKD_PE,D,20160121,000000,10.804,11.869,10.804,11.793,0,0
LKD_PE,D,20160127,000000,11.869,11.869,10.804,11.869,0,0
LKD_PE,D,20160129,000000,13.011,13.011,13.011,13.011,0,0
LKD_PE,D,20160203,000000,12.934,12.934,12.934,12.934,0,0
LKD_PE,D,20160212,000000,11.869,12.781,11.869,12.781,0,0
LKD_PE,D,20160216,000000,12.781,12.781,12.781,12.781,0,0
LKD_PE,D,20160224,000000,11.944,11.944,10.804,10.804,0,0
LKD_PE,D,20160225,000000,11.869,11.869,11.869,11.869,0,0
LKD_PE,D,20160229,000000,11.869,11.869,11.869,11.869,0,0
LKD_PE,D,20160304,000000,11.641,11.641,11.641,11.641,0,0
LKD_PE,D,20160309,000000,11.641,11.641,11.641,11.641,0,0
LKD_PE,D,20160310,000000,11.641,11.641,11.641,11.641,0,0
LKD_PE,D,20160311,000000,11.641,11.641,11.641,11.641,0,0
LKD_PE,D,20160316,000000,11.641,12.402,4.565,4.565,0,0
LKD_PE,D,20160317,000000,4.7932,4.7932,4.7932,4.7932,0,0
LKD_PE,D,20160318,000000,4.7172,4.7932,4.7172,4.7932,0,0
LKD_PE,D,20160321,000000,4.7932,5.0976,4.7932,5.0976,0,0
LKD_PE,D,20160322,000000,5.0215,5.0215,5.0215,5.0215,0,0
LKD_PE,D,20160323,000000,4.9454,4.9454,4.9454,4.9454,0,0
LKD_PE,D,20160329,000000,4.9454,4.9454,4.9454,4.9454,0,0
LKD_PE,D,20160330,000000,4.9454,4.9454,4.9454,4.9454,0,0
LKD_PE,D,20160331,000000,4.9454,4.9454,4.9454,4.9454,0,0
LKD_PE,D,20160401,000000,5.0215,5.0215,5.0215,5.0215,0,0
LKD_PE,D,20160405,000000,5.0215,5.0215,5.0215,5.0215,0,0
LKD_PE,D,20160406,000000,5.0215,5.0215,5.0215,5.0215,0,0
LKD_PE,D,20160407,000000,5.0215,5.0215,5.0215,5.0215,0,0
LKD_PE,D,20160411,000000,5.0215,5.0215,5.0215,5.0215,0,0
LKD_PE,D,20160412,000000,5.0215,5.0215,5.0215,5.0215,0,0
LKD_PE,D,20160413,000000,5.0215,5.0976,5.0215,5.0976,0,0
LKD_PE,D,20160414,000000,5.0215,5.0976,5.0215,5.0976,0,0
LKD_PE,D,20160415,000000,5.0976,5.1738,5.0976,5.0976,0,0
LKD_PE,D,20160418,000000,5.1162,5.1961,5.1162,5.1961,0,0
LKD_PE,D,20160419,000000,5.1961,5.276,5.0362,5.276,0,0
LKD_PE,D,20160422,000000,5.1961,5.1961,5.1961,5.1961,0,0
LKD_PE,D,20160425,000000,5.1162,5.1162,5.1162,5.1162,0,0
LKD_PE,D,20160426,000000,5.1162,5.1162,5.1162,5.1162,0,0
LKD_PE,D,20160427,000000,5.1961,5.276,5.1961,5.276,0,0
LKD_PE,D,20160428,000000,5.276,5.276,5.276,5.276,0,0
LKD_PE,D,20160429,000000,5.276,5.3559,5.276,5.3559,0,0
LKD_PE,D,20160502,000000,5.3559,5.3559,5.3559,5.3559,0,0
LKD_PE,D,20160504,000000,5.3559,5.3559,5.3559,5.3559,0,0
LKD_PE,D,20160505,000000,5.3559,5.3559,5.3559,5.3559,0,0
LKD_PE,D,20160506,000000,5.3559,5.3559,5.276,5.3559,0,0
LKD_PE,D,20160509,000000,5.3559,5.3559,5.3559,5.3559,0,0
LKD_PE,D,20160510,000000,5.3559,5.3559,5.3559,5.3559,0,0
LKD_PE,D,20160511,000000,5.3559,5.3559,5.1961,5.276,0,0
LKD_PE,D,20160512,000000,5.3559,5.3559,5.3559,5.3559,0,0
LKD_PE,D,20160513,000000,5.3559,5.3559,5.3559,5.3559,0,0
LKD_PE,D,20160516,000000,5.3559,5.3559,5.276,5.3559,0,0
LKD_PE,D,20160518,000000,5.276,5.276,5.276,5.276,0,0
LKD_PE,D,20160519,000000,5.1162,5.276,5.1162,5.276,0,0
LKD_PE,D,20160520,000000,5.1162,5.276,5.1162,5.276,0,0
LKD_PE,D,20160525,000000,4.4767,4.7165,4.4767,4.7165,0,0
LKD_PE,D,20160527,000000,4.7165,4.7165,4.7165,4.7165,0,0
LKD_PE,D,20160530,000000,4.7165,4.7965,4.7165,4.7965,0,0
LKD_PE,D,20160531,000000,4.7965,4.7965,4.7165,4.7965,0,0
LKD_PE,D,20160603,000000,4.7965,4.7965,4.7965,4.7965,0,0
LKD_PE,D,20160606,000000,4.7965,4.7965,4.7965,4.7965,0,0
LKD_PE,D,20160607,000000,4.7965,4.7965,4.7965,4.7965,0,0
LKD_PE,D,20160608,000000,4.6366,4.7965,4.6366,4.7965,0,0
LKD_PE,D,20160613,000000,4.5567,4.7965,4.5567,4.7965,0,0
LKD_PE,D,20160614,000000,4.7965,4.7965,4.5567,4.7965,0,0
LKD_PE,D,20160616,000000,4.5567,4.7165,4.4767,4.4767,0,0
LKD_PE,D,20160617,000000,4.7965,4.7965,4.7965,4.7965,0,0
LKD_PE,D,20160624,000000,4.3168,4.6366,4.2368,4.6366,0,0
LKD_PE,D,20160627,000000,4.6366,4.6366,4.6366,4.6366,0,0
LKD_PE,D,20160628,000000,4.4767,4.7965,4.4767,4.7965,0,0
LKD_PE,D,20160705,000000,4.7965,4.7965,4.7165,4.7965,0,0
LKD_PE,D,20160711,000000,4.6366,4.7965,4.6366,4.7165,0,0
LKD_PE,D,20160712,000000,4.4767,4.7165,4.4767,4.7165,0,0
LKD_PE,D,20160714,000000,4.6366,4.7165,4.5567,4.6366,0,0
LKD_PE,D,20160715,000000,4.6366,4.8763,4.5567,4.8763,0,0
LKD_PE,D,20160718,000000,4.9563,5.1961,4.9563,5.1961,0,0
LKD_PE,D,20160719,000000,5.1961,5.1961,5.0362,5.0362,0,0
LKD_PE,D,20160720,000000,5.1162,5.1961,5.1162,5.1961,0,0
LKD_PE,D,20160721,000000,5.1961,5.1961,5.1961,5.1961,0,0
LKD_PE,D,20160725,000000,5.1961,5.276,5.1961,5.1961,0,0
LKD_PE,D,20160726,000000,5.3559,5.3559,5.1162,5.3559,0,0
LKD_PE,D,20160727,000000,5.5158,5.5158,5.5158,5.5158,0,0
LKD_PE,D,20160728,000000,5.436,5.5158,5.436,5.5158,0,0
LKD_PE,D,20160729,000000,5.5158,5.5158,5.5158,5.5158,0,0
LKD_PE,D,20160801,000000,5.276,5.5158,5.276,5.436,0,0
LKD_PE,D,20160804,000000,5.276,5.436,5.276,5.436,0,0
LKD_PE,D,20160808,000000,5.276,5.436,5.276,5.436,0,0
LKD_PE,D,20160810,000000,5.436,5.436,5.436,5.436,0,0
LKD_PE,D,20160811,000000,5.276,5.436,5.276,5.3559,0,0
LKD_PE,D,20160812,000000,5.3559,5.3559,5.3559,5.3559,0,0
LKD_PE,D,20160816,000000,5.3559,5.3559,5.1961,5.3559,0,0
LKD_PE,D,20160817,000000,5.3559,5.3559,5.3559,5.3559,0,0
LKD_PE,D,20160823,000000,5.3559,5.3559,5.1961,5.3559,0,0
LKD_PE,D,20160824,000000,5.1961,5.3559,5.1961,5.3559,0,0
LKD_PE,D,20160825,000000,5.3559,5.3559,5.3559,5.3559,0,0
LKD_PE,D,20160829,000000,5.1961,5.3559,5.1961,5.3559,0,0
LKD_PE,D,20160830,000000,5.1961,5.3559,5.1961,5.276,0,0
LKD_PE,D,20160901,000000,5.1961,5.276,5.1961,5.276,0,0
LKD_PE,D,20160905,000000,5.276,5.276,5.0362,5.276,0,0
LKD_PE,D,20160906,000000,5.0362,5.276,5.0362,5.276,0,0
LKD_PE,D,20160907,000000,5.276,5.276,5.276,5.276,0,0
LKD_PE,D,20160908,000000,5.276,5.276,5.276,5.276,0,0
LKD_PE,D,20160909,000000,5.276,5.276,5.276,5.276,0,0
LKD_PE,D,20160912,000000,5.276,5.276,5.276,5.276,0,0
LKD_PE,D,20160913,000000,5.276,5.276,5.1162,5.1162,0,0
LKD_PE,D,20160914,000000,5.276,5.276,5.276,5.276,0,0
LKD_PE,D,20160919,000000,5.1162,5.1162,5.1162,5.1162,0,0
LKD_PE,D,20160921,000000,4.9563,5.1162,4.9563,5.1162,0,0
LKD_PE,D,20160922,000000,4.9563,5.1162,4.9563,4.9563,0,0
LKD_PE,D,20160923,000000,5.1162,5.1162,4.9563,4.9563,0,0
LKD_PE,D,20160926,000000,4.9563,4.9563,4.9563,4.9563,0,0
LKD_PE,D,20160927,000000,4.9563,4.9563,4.8763,4.9563,0,0
LKD_PE,D,20160929,000000,4.7165,5.1162,4.7165,4.8763,0,0
LKD_PE,D,20160930,000000,4.7165,4.9563,4.5567,4.5567,0,0
LKD_PE,D,20161003,000000,4.7165,4.7965,4.7165,4.7965,0,0
