<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LPP_PE,D,20070813,000000,43.2372,43.2372,43.2372,43.2372,0,0
LPP_PE,D,20070814,000000,28.2867,28.2867,28.2867,28.2867,0,0
LPP_PE,D,20070816,000000,27.5588,27.5588,27.5588,27.5588,0,0
LPP_PE,D,20070817,000000,27.9633,27.9633,27.9633,27.9633,0,0
LPP_PE,D,20070820,000000,28.1236,28.1236,28.1236,28.1236,0,0
LPP_PE,D,20070821,000000,28.6082,28.6082,28.6082,28.6082,0,0
LPP_PE,D,20070822,000000,29.2551,29.2551,29.2551,29.2551,0,0
LPP_PE,D,20070823,000000,31.0335,31.0335,31.0335,31.0335,0,0
LPP_PE,D,20070824,000000,31.1957,31.1957,31.1957,31.1957,0,0
LPP_PE,D,20070827,000000,31.6794,31.6794,31.6794,31.6794,0,0
LPP_PE,D,20070828,000000,33.1335,33.1335,33.1335,33.1335,0,0
LPP_PE,D,20070829,000000,31.0335,31.0335,31.0335,31.0335,0,0
LPP_PE,D,20070830,000000,31.8416,31.8416,31.8416,31.8416,0,0
LPP_PE,D,20070831,000000,33.539,33.539,33.539,33.539,0,0
LPP_PE,D,20070903,000000,33.7002,33.7002,33.7002,33.7002,0,0
LPP_PE,D,20070904,000000,34.266,34.266,34.266,34.266,0,0
LPP_PE,D,20070905,000000,34.5083,34.5083,34.5083,34.5083,0,0
LPP_PE,D,20070906,000000,33.3758,33.3758,33.3758,33.3758,0,0
LPP_PE,D,20070907,000000,32.4074,32.4074,32.4074,32.4074,0,0
LPP_PE,D,20070910,000000,31.1957,31.1957,31.1957,31.1957,0,0
LPP_PE,D,20070911,000000,30.4668,30.4668,30.4668,30.4668,0,0
LPP_PE,D,20070912,000000,29.9001,29.9001,29.9001,29.9001,0,0
LPP_PE,D,20070913,000000,28.6893,28.6893,28.6893,28.6893,0,0
LPP_PE,D,20070914,000000,27.9633,27.9633,27.9633,27.9633,0,0
LPP_PE,D,20070917,000000,28.447,28.447,28.447,28.447,0,0
LPP_PE,D,20070918,000000,29.5785,29.5785,29.5785,29.5785,0,0
LPP_PE,D,20070919,000000,29.9001,29.9001,29.9001,29.9001,0,0
LPP_PE,D,20070920,000000,29.3362,29.3362,29.3362,29.3362,0,0
LPP_PE,D,20070921,000000,28.2047,28.2047,28.2047,28.2047,0,0
LPP_PE,D,20070924,000000,28.2047,28.2047,28.2047,28.2047,0,0
LPP_PE,D,20070925,000000,27.721,27.721,27.721,27.721,0,0
LPP_PE,D,20070926,000000,28.2047,28.2047,28.2047,28.2047,0,0
LPP_PE,D,20070927,000000,28.8515,28.8515,28.8515,28.8515,0,0
LPP_PE,D,20070928,000000,28.9326,28.9326,28.9326,28.9326,0,0
LPP_PE,D,20071001,000000,28.8515,28.8515,28.8515,28.8515,0,0
LPP_PE,D,20071002,000000,29.9001,29.9001,29.9001,29.9001,0,0
LPP_PE,D,20071003,000000,30.4668,30.4668,30.4668,30.4668,0,0
LPP_PE,D,20071004,000000,31.0335,31.0335,31.0335,31.0335,0,0
LPP_PE,D,20071005,000000,31.1957,31.1957,31.1957,31.1957,0,0
LPP_PE,D,20071008,000000,31.439,31.439,31.439,31.439,0,0
LPP_PE,D,20071009,000000,31.7605,31.7605,31.7605,31.7605,0,0
LPP_PE,D,20071010,000000,32.4074,32.4074,32.4074,32.4074,0,0
LPP_PE,D,20071011,000000,33.4569,33.4569,33.4569,33.4569,0,0
LPP_PE,D,20071012,000000,33.4569,33.4569,33.4569,33.4569,0,0
LPP_PE,D,20071015,000000,34.4272,34.4272,34.4272,34.4272,0,0
LPP_PE,D,20071016,000000,34.1047,34.1047,34.1047,34.1047,0,0
LPP_PE,D,20071017,000000,34.0246,34.0246,34.0246,34.0246,0,0
LPP_PE,D,20071018,000000,34.4272,34.4272,34.4272,34.4272,0,0
LPP_PE,D,20071019,000000,34.3471,34.3471,34.3471,34.3471,0,0
LPP_PE,D,20071022,000000,33.539,33.539,33.539,33.539,0,0
LPP_PE,D,20071023,000000,33.7002,33.7002,33.7002,33.7002,0,0
LPP_PE,D,20071024,000000,34.0246,34.0246,34.0246,34.0246,0,0
LPP_PE,D,20071025,000000,34.3471,34.3471,34.3471,34.3471,0,0
LPP_PE,D,20071026,000000,34.4272,34.4272,34.4272,34.4272,0,0
LPP_PE,D,20071029,000000,34.3471,34.3471,34.3471,34.3471,0,0
LPP_PE,D,20071030,000000,34.0246,34.0246,34.0246,34.0246,0,0
LPP_PE,D,20071031,000000,33.9406,33.9406,33.9406,33.9406,0,0
LPP_PE,D,20071102,000000,33.2957,33.2957,33.2957,33.2957,0,0
LPP_PE,D,20071105,000000,32.4074,32.4074,32.4074,32.4074,0,0
LPP_PE,D,20071106,000000,32.81,32.81,32.81,32.81,0,0
LPP_PE,D,20071107,000000,30.7912,30.7912,30.7912,30.7912,0,0
LPP_PE,D,20071108,000000,30.7091,30.7091,30.7091,30.7091,0,0
LPP_PE,D,20071109,000000,30.629,32.6497,30.629,32.2452,0,0
LPP_PE,D,20071112,000000,30.7912,32.2452,30.7912,30.8723,0,0
LPP_PE,D,20071113,000000,31.9218,31.9218,30.8723,31.5192,0,0
LPP_PE,D,20071114,000000,31.9218,32.6497,31.1127,31.7605,0,0
LPP_PE,D,20071115,000000,31.7605,31.7605,23.5993,23.5993,0,0
LPP_PE,D,20071116,000000,23.5993,25.7803,23.5172,25.7012,0,0
LPP_PE,D,20071119,000000,26.1028,26.1028,24.1651,25.7012,0,0
LPP_PE,D,20071121,000000,25.6181,25.6181,24.9713,25.2146,0,0
LPP_PE,D,20071122,000000,25.2146,25.4579,24.8921,24.8921,0,0
LPP_PE,D,20071123,000000,25.6181,25.6181,24.9713,25.2146,0,0
LPP_PE,D,20071126,000000,25.2146,25.4579,24.9713,25.3758,0,0
LPP_PE,D,20071127,000000,25.3758,25.7012,25.2957,25.7012,0,0
LPP_PE,D,20071128,000000,25.7012,25.7012,25.2146,25.3758,0,0
LPP_PE,D,20071129,000000,25.4579,25.7803,25.4579,25.7012,0,0
LPP_PE,D,20071130,000000,24.7299,25.7012,24.7299,25.7012,0,0
LPP_PE,D,20071203,000000,25.7012,26.6686,25.2957,26.6686,0,0
LPP_PE,D,20071204,000000,25.8614,28.6082,25.8614,27.8812,0,0
LPP_PE,D,20071205,000000,28.7704,28.9326,28.3659,28.3659,0,0
LPP_PE,D,20071206,000000,28.3659,29.0128,28.3659,28.7704,0,0
LPP_PE,D,20071207,000000,28.7704,28.7704,28.447,28.6893,0,0
LPP_PE,D,20071210,000000,28.6893,29.0128,28.3659,28.6893,0,0
LPP_PE,D,20071211,000000,28.6082,28.6082,27.721,27.8812,0,0
LPP_PE,D,20071212,000000,27.3956,27.8812,26.992,27.8812,0,0
LPP_PE,D,20071213,000000,27.0731,27.3155,27.0731,27.1542,0,0
LPP_PE,D,20071214,000000,27.1542,27.2353,26.3461,27.1542,0,0
LPP_PE,D,20071217,000000,27.0731,27.3956,26.9119,27.1542,0,0
LPP_PE,D,20071218,000000,27.0731,27.8812,27.0731,27.8812,0,0
LPP_PE,D,20071219,000000,28.0444,28.1236,27.721,28.0444,0,0
LPP_PE,D,20071220,000000,28.1236,28.2047,27.8812,27.8812,0,0
LPP_PE,D,20071221,000000,27.8812,28.2867,27.8812,27.9633,0,0
LPP_PE,D,20071227,000000,27.9633,28.3659,27.8812,28.3659,0,0
LPP_PE,D,20071228,000000,28.3659,28.6082,28.3659,28.6082,0,0
LPP_PE,D,20080102,000000,27.8812,28.447,27.4777,27.8812,0,0
LPP_PE,D,20080103,000000,27.8812,28.2867,27.6389,28.2047,0,0
LPP_PE,D,20080104,000000,28.2047,28.2047,27.4777,27.5588,0,0
LPP_PE,D,20080107,000000,27.3956,27.3956,26.3461,26.4262,0,0
LPP_PE,D,20080108,000000,26.266,26.266,24.6498,26.266,0,0
LPP_PE,D,20080109,000000,25.3758,25.7012,25.3758,25.4579,0,0
LPP_PE,D,20080110,000000,25.8614,25.8614,24.083,24.6498,0,0
LPP_PE,D,20080111,000000,24.4074,24.5677,23.5993,23.5993,0,0
LPP_PE,D,20080114,000000,22.629,22.629,22.629,22.629,0,0
LPP_PE,D,20080115,000000,22.5479,22.8694,21.4173,21.4173,0,0
LPP_PE,D,20080116,000000,20.3669,21.4173,20.3669,21.3352,0,0
LPP_PE,D,20080117,000000,20.9326,21.5776,20.9326,21.4173,0,0
LPP_PE,D,20080118,000000,22.629,22.629,21.0128,21.0929,0,0
LPP_PE,D,20080121,000000,21.2541,21.3352,19.72,20.1236,0,0
LPP_PE,D,20080122,000000,19.2334,20.0415,18.9119,19.6379,0,0
LPP_PE,D,20080123,000000,20.0415,20.8506,20.0415,20.3669,0,0
LPP_PE,D,20080124,000000,21.3352,21.5776,20.3669,21.5776,0,0
LPP_PE,D,20080125,000000,21.5776,22.4668,21.174,21.4173,0,0
LPP_PE,D,20080128,000000,21.0128,21.4173,20.6092,21.4173,0,0
LPP_PE,D,20080129,000000,21.8209,21.8209,21.4173,21.6577,0,0
LPP_PE,D,20080130,000000,21.6577,22.3046,21.5776,22.3046,0,0
LPP_PE,D,20080131,000000,22.3046,22.3046,21.7388,21.9831,0,0
LPP_PE,D,20080201,000000,21.9831,22.3857,21.9831,22.3857,0,0
LPP_PE,D,20080204,000000,22.629,22.629,22.1434,22.1434,0,0
LPP_PE,D,20080205,000000,22.629,23.0326,22.2245,22.9515,0,0
LPP_PE,D,20080206,000000,22.3857,23.4361,22.3857,23.4361,0,0
LPP_PE,D,20080207,000000,23.0326,23.4361,22.629,23.4361,0,0
LPP_PE,D,20080208,000000,23.4361,24.1651,22.7091,24.083,0,0
LPP_PE,D,20080211,000000,23.7605,23.9208,23.5993,23.9208,0,0
LPP_PE,D,20080212,000000,24.3254,24.6498,23.2739,23.2739,0,0
LPP_PE,D,20080213,000000,23.355,24.0029,23.1938,23.5993,0,0
LPP_PE,D,20080214,000000,24.4074,24.4074,23.7605,23.7605,0,0
LPP_PE,D,20080215,000000,23.7605,24.083,23.5993,23.7605,0,0
LPP_PE,D,20080218,000000,23.6804,24.0029,23.5993,23.5993,0,0
LPP_PE,D,20080219,000000,23.8407,23.8407,23.1938,23.8407,0,0
LPP_PE,D,20080220,000000,23.8407,24.083,23.8407,24.083,0,0
LPP_PE,D,20080221,000000,24.1651,24.1651,23.355,23.5993,0,0
LPP_PE,D,20080222,000000,23.5172,24.5677,23.5172,24.5677,0,0
LPP_PE,D,20080225,000000,24.81,26.0227,24.81,25.538,0,0
LPP_PE,D,20080226,000000,25.538,26.0227,25.538,25.7012,0,0
LPP_PE,D,20080227,000000,25.7012,25.7012,25.1325,25.3758,0,0
LPP_PE,D,20080228,000000,25.1325,25.1325,23.5172,23.5172,0,0
LPP_PE,D,20080229,000000,23.5172,23.5172,23.0326,23.0326,0,0
LPP_PE,D,20080303,000000,22.1434,22.1434,22.1434,22.1434,0,0
LPP_PE,D,20080304,000000,22.2245,22.5479,22.1434,22.4668,0,0
LPP_PE,D,20080305,000000,23.5172,23.5993,22.4668,22.4668,0,0
LPP_PE,D,20080306,000000,22.4668,22.4668,22.1434,22.4668,0,0
LPP_PE,D,20080307,000000,22.5479,22.629,22.5479,22.629,0,0
LPP_PE,D,20080310,000000,22.629,22.9515,22.4668,22.9515,0,0
LPP_PE,D,20080311,000000,22.9515,22.9515,22.8694,22.9515,0,0
LPP_PE,D,20080312,000000,23.355,23.355,22.9515,23.0326,0,0
LPP_PE,D,20080313,000000,23.0326,23.4361,22.7091,23.4361,0,0
LPP_PE,D,20080314,000000,23.5172,23.9208,23.5172,23.9208,0,0
LPP_PE,D,20080317,000000,23.5993,23.7605,22.7091,23.7605,0,0
LPP_PE,D,20080318,000000,23.1137,23.4361,23.0326,23.0326,0,0
