<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MAK_PB,D,20070813,000000,2.98481,2.98481,2.98481,2.98481,0,0
MAK_PB,D,20070814,000000,2.98481,2.98481,2.98481,2.98481,0,0
MAK_PB,D,20070816,000000,2.94962,2.94962,2.94962,2.94962,0,0
MAK_PB,D,20070817,000000,2.94962,2.94962,2.94962,2.94962,0,0
MAK_PB,D,20070820,000000,2.96365,2.96365,2.96365,2.96365,0,0
MAK_PB,D,20070821,000000,2.9075,2.9075,2.9075,2.9075,0,0
MAK_PB,D,20070822,000000,0.983269,0.983269,0.983269,0.983269,0,0
MAK_PB,D,20070823,000000,1.00413,1.00413,1.00413,1.00413,0,0
MAK_PB,D,20070824,000000,0.990288,0.990288,0.990288,0.990288,0,0
MAK_PB,D,20070827,000000,0.983269,0.983269,0.983269,0.983269,0,0
MAK_PB,D,20070828,000000,0.962115,0.962115,0.962115,0.962115,0,0
MAK_PB,D,20070829,000000,0.962115,0.962115,0.962115,0.962115,0,0
MAK_PB,D,20070830,000000,0.955192,0.955192,0.955192,0.955192,0,0
MAK_PB,D,20070831,000000,0.948173,0.948173,0.948173,0.948173,0,0
MAK_PB,D,20070903,000000,0.962115,0.962115,0.962115,0.962115,0,0
MAK_PB,D,20070904,000000,0.962115,0.962115,0.962115,0.962115,0,0
MAK_PB,D,20070905,000000,0.948173,0.948173,0.948173,0.948173,0,0
MAK_PB,D,20070906,000000,0.92,0.92,0.92,0.92,0,0
MAK_PB,D,20070907,000000,0.92,0.92,0.92,0.92,0,0
MAK_PB,D,20070910,000000,0.877885,0.877885,0.877885,0.877885,0,0
MAK_PB,D,20070911,000000,0.885096,0.885096,0.885096,0.885096,0,0
MAK_PB,D,20070912,000000,0.849712,0.849712,0.849712,0.849712,0,0
MAK_PB,D,20070913,000000,0.849712,0.849712,0.849712,0.849712,0,0
MAK_PB,D,20070914,000000,0.842788,0.842788,0.842788,0.842788,0,0
MAK_PB,D,20070917,000000,0.849712,0.849712,0.849712,0.849712,0,0
MAK_PB,D,20070918,000000,0.849712,0.849712,0.849712,0.849712,0,0
MAK_PB,D,20070919,000000,0.849712,0.849712,0.849712,0.849712,0,0
MAK_PB,D,20070920,000000,0.842788,0.842788,0.842788,0.842788,0,0
MAK_PB,D,20070921,000000,0.849712,0.849712,0.849712,0.849712,0,0
MAK_PB,D,20070924,000000,0.842788,0.842788,0.842788,0.842788,0,0
MAK_PB,D,20070925,000000,0.821731,0.821731,0.821731,0.821731,0,0
MAK_PB,D,20070926,000000,0.821731,0.821731,0.821731,0.821731,0,0
MAK_PB,D,20070927,000000,0.835769,0.835769,0.835769,0.835769,0,0
MAK_PB,D,20070928,000000,0.821731,0.821731,0.821731,0.821731,0,0
MAK_PB,D,20071001,000000,0.870865,0.870865,0.870865,0.870865,0,0
MAK_PB,D,20071002,000000,0.877885,0.877885,0.877885,0.877885,0,0
MAK_PB,D,20071003,000000,0.877885,0.877885,0.877885,0.877885,0,0
MAK_PB,D,20071004,000000,0.870865,0.870865,0.870865,0.870865,0,0
MAK_PB,D,20071005,000000,0.898846,0.898846,0.898846,0.898846,0,0
MAK_PB,D,20071008,000000,0.927019,0.927019,0.927019,0.927019,0,0
MAK_PB,D,20071009,000000,0.92,0.92,0.92,0.92,0,0
MAK_PB,D,20071010,000000,0.92,0.92,0.92,0.92,0,0
MAK_PB,D,20071011,000000,0.92,0.92,0.92,0.92,0,0
MAK_PB,D,20071012,000000,0.92,0.92,0.92,0.92,0,0
MAK_PB,D,20071015,000000,0.905962,0.905962,0.905962,0.905962,0,0
MAK_PB,D,20071016,000000,0.828654,0.828654,0.828654,0.828654,0,0
MAK_PB,D,20071017,000000,0.772596,0.772596,0.772596,0.772596,0,0
MAK_PB,D,20071018,000000,0.779519,0.779519,0.779519,0.779519,0,0
MAK_PB,D,20071019,000000,0.814615,0.814615,0.814615,0.814615,0,0
MAK_PB,D,20071022,000000,0.793654,0.793654,0.793654,0.793654,0,0
MAK_PB,D,20071023,000000,0.793654,0.793654,0.793654,0.793654,0,0
MAK_PB,D,20071024,000000,0.793654,0.793654,0.793654,0.793654,0,0
MAK_PB,D,20071025,000000,0.765577,0.765577,0.765577,0.765577,0,0
MAK_PB,D,20071026,000000,0.765577,0.765577,0.765577,0.765577,0,0
MAK_PB,D,20071029,000000,0.765577,0.765577,0.765577,0.765577,0,0
MAK_PB,D,20071030,000000,0.772596,0.772596,0.772596,0.772596,0,0
MAK_PB,D,20071031,000000,0.779519,0.779519,0.779519,0.779519,0,0
MAK_PB,D,20071102,000000,0.772596,0.772596,0.772596,0.772596,0,0
MAK_PB,D,20071105,000000,0.737308,0.737308,0.737308,0.737308,0,0
MAK_PB,D,20071106,000000,0.737308,0.737308,0.737308,0.737308,0,0
MAK_PB,D,20071107,000000,0.737308,0.737308,0.737308,0.737308,0,0
MAK_PB,D,20071108,000000,0.730385,0.730385,0.730385,0.730385,0,0
MAK_PB,D,20071109,000000,0.716442,0.716442,0.653077,0.653077,0,0
MAK_PB,D,20071112,000000,0.632019,0.653077,0.625,0.625,0,0
MAK_PB,D,20071113,000000,0.603942,0.653077,0.603942,0.646154,0,0
MAK_PB,D,20071114,000000,0.653077,0.695288,0.646154,0.646154,0,0
MAK_PB,D,20071115,000000,0.653077,0.660192,0.632019,0.653077,0,0
MAK_PB,D,20071116,000000,0.660192,0.660192,0.611154,0.639135,0,0
MAK_PB,D,20071119,000000,0.639135,0.646154,0.611154,0.618077,0,0
MAK_PB,D,20071120,000000,0.603942,0.603942,0.582885,0.582885,0,0
MAK_PB,D,20071121,000000,0.596923,0.596923,0.53375,0.540769,0,0
MAK_PB,D,20071122,000000,0.540769,0.540769,0.491538,0.53375,0,0
MAK_PB,D,20071123,000000,0.540769,0.540769,0.512692,0.519712,0,0
MAK_PB,D,20071126,000000,0.53375,0.540769,0.526731,0.53375,0,0
MAK_PB,D,20071127,000000,0.53375,0.540769,0.526731,0.53375,0,0
MAK_PB,D,20071128,000000,0.540769,0.56875,0.53375,0.56875,0,0
MAK_PB,D,20071129,000000,0.575865,0.575865,0.547981,0.554808,0,0
MAK_PB,D,20071130,000000,0.56875,0.56875,0.561827,0.561827,0,0
MAK_PB,D,20071203,000000,0.56875,0.56875,0.561827,0.561827,0,0
MAK_PB,D,20071204,000000,0.561827,0.56875,0.554808,0.561827,0,0
MAK_PB,D,20071205,000000,0.56875,0.56875,0.547981,0.547981,0,0
MAK_PB,D,20071206,000000,0.561827,0.561827,0.554808,0.554808,0,0
MAK_PB,D,20071207,000000,0.561827,0.561827,0.547981,0.561827,0,0
MAK_PB,D,20071210,000000,0.561827,0.56875,0.554808,0.561827,0,0
MAK_PB,D,20071211,000000,0.561827,0.561827,0.547981,0.561827,0,0
MAK_PB,D,20071212,000000,0.547981,0.547981,0.526731,0.526731,0,0
MAK_PB,D,20071213,000000,0.53375,0.53375,0.512692,0.519712,0,0
MAK_PB,D,20071214,000000,0.519712,0.519712,0.505769,0.505769,0,0
MAK_PB,D,20071217,000000,0.505769,0.505769,0.491538,0.498654,0,0
MAK_PB,D,20071218,000000,0.498654,0.498654,0.484519,0.484519,0,0
MAK_PB,D,20071219,000000,0.498654,0.498654,0.477519,0.484519,0,0
MAK_PB,D,20071220,000000,0.477519,0.477519,0.463596,0.463596,0,0
MAK_PB,D,20071221,000000,0.463596,0.484519,0.456558,0.484519,0,0
MAK_PB,D,20071227,000000,0.512692,0.512692,0.484519,0.505769,0,0
MAK_PB,D,20071228,000000,0.498654,0.547981,0.498654,0.540769,0,0
MAK_PB,D,20080102,000000,0.540769,0.561827,0.540769,0.554808,0,0
MAK_PB,D,20080103,000000,0.561827,0.589904,0.547981,0.575865,0,0
MAK_PB,D,20080104,000000,0.596923,0.625,0.596923,0.603942,0,0
MAK_PB,D,20080107,000000,0.639135,0.639135,0.582885,0.589904,0,0
MAK_PB,D,20080108,000000,0.596923,0.596923,0.56875,0.582885,0,0
MAK_PB,D,20080109,000000,0.554808,0.561827,0.540769,0.540769,0,0
MAK_PB,D,20080110,000000,0.547981,0.561827,0.53375,0.53375,0,0
MAK_PB,D,20080111,000000,0.540769,0.540769,0.53375,0.540769,0,0
MAK_PB,D,20080114,000000,0.519712,0.519712,0.519712,0.519712,0,0
MAK_PB,D,20080115,000000,0.519712,0.53375,0.505769,0.505769,0,0
MAK_PB,D,20080116,000000,0.491538,0.512692,0.477519,0.512692,0,0
MAK_PB,D,20080117,000000,0.53375,0.53375,0.512692,0.526731,0,0
MAK_PB,D,20080118,000000,0.53375,0.53375,0.512692,0.53375,0,0
MAK_PB,D,20080121,000000,0.53375,0.53375,0.512692,0.526731,0,0
MAK_PB,D,20080122,000000,0.512692,0.53375,0.428452,0.505769,0,0
MAK_PB,D,20080123,000000,0.526731,0.526731,0.505769,0.505769,0,0
MAK_PB,D,20080124,000000,0.512692,0.540769,0.512692,0.540769,0,0
MAK_PB,D,20080125,000000,0.554808,0.561827,0.540769,0.554808,0,0
MAK_PB,D,20080128,000000,0.540769,0.554808,0.540769,0.554808,0,0
MAK_PB,D,20080129,000000,0.540769,0.547981,0.540769,0.540769,0,0
MAK_PB,D,20080130,000000,0.561827,0.561827,0.512692,0.519712,0,0
MAK_PB,D,20080131,000000,0.526731,0.526731,0.519712,0.526731,0,0
MAK_PB,D,20080201,000000,0.526731,0.540769,0.519712,0.540769,0,0
MAK_PB,D,20080204,000000,0.540769,0.540769,0.519712,0.519712,0,0
MAK_PB,D,20080205,000000,0.519712,0.526731,0.512692,0.519712,0,0
MAK_PB,D,20080206,000000,0.512692,0.512692,0.498654,0.512692,0,0
MAK_PB,D,20080207,000000,0.519712,0.519712,0.498654,0.512692,0,0
MAK_PB,D,20080208,000000,0.512692,0.519712,0.498654,0.498654,0,0
MAK_PB,D,20080211,000000,0.498654,0.512692,0.498654,0.512692,0,0
MAK_PB,D,20080212,000000,0.512692,0.53375,0.512692,0.53375,0,0
MAK_PB,D,20080213,000000,0.53375,0.53375,0.53375,0.53375,0,0
MAK_PB,D,20080214,000000,0.519712,0.547981,0.519712,0.547981,0,0
MAK_PB,D,20080215,000000,0.547981,0.547981,0.547981,0.547981,0,0
MAK_PB,D,20080218,000000,0.547981,0.547981,0.540769,0.540769,0,0
MAK_PB,D,20080219,000000,0.53375,0.547981,0.53375,0.540769,0,0
MAK_PB,D,20080220,000000,0.53375,0.53375,0.53375,0.53375,0,0
MAK_PB,D,20080221,000000,0.53375,0.53375,0.526731,0.53375,0,0
MAK_PB,D,20080222,000000,0.526731,0.526731,0.526731,0.526731,0,0
MAK_PB,D,20080225,000000,0.526731,0.526731,0.512692,0.512692,0,0
MAK_PB,D,20080226,000000,0.526731,0.526731,0.519712,0.519712,0,0
MAK_PB,D,20080227,000000,0.519712,0.519712,0.512692,0.519712,0,0
MAK_PB,D,20080228,000000,0.519712,0.53375,0.519712,0.53375,0,0
MAK_PB,D,20080229,000000,0.53375,0.53375,0.484519,0.484519,0,0
MAK_PB,D,20080303,000000,0.477519,0.491538,0.463596,0.463596,0,0
MAK_PB,D,20080304,000000,0.463596,0.477519,0.463596,0.477519,0,0
MAK_PB,D,20080305,000000,0.477519,0.484519,0.47051,0.484519,0,0
MAK_PB,D,20080306,000000,0.484519,0.484519,0.47051,0.477519,0,0
MAK_PB,D,20080307,000000,0.477519,0.477519,0.442423,0.47051,0,0
MAK_PB,D,20080310,000000,0.435394,0.47051,0.435394,0.47051,0,0
MAK_PB,D,20080311,000000,0.47051,0.47051,0.456558,0.47051,0,0
MAK_PB,D,20080312,000000,0.47051,0.47051,0.44949,0.44949,0,0
MAK_PB,D,20080313,000000,0.456558,0.463596,0.44949,0.463596,0,0
MAK_PB,D,20080314,000000,0.456558,0.463596,0.456558,0.463596,0,0
MAK_PB,D,20080317,000000,0.44949,0.463596,0.44949,0.463596,0,0
MAK_PB,D,20080318,000000,0.44949,0.47051,0.44949,0.456558,0,0
MAK_PB,D,20080319,000000,0.463596,0.477519,0.44949,0.477519,0,0
MAK_PB,D,20080320,000000,0.47051,0.47051,0.47051,0.47051,0,0
MAK_PB,D,20080325,000000,0.47051,0.47051,0.463596,0.463596,0,0
MAK_PB,D,20080326,000000,0.463596,0.463596,0.463596,0.463596,0,0
MAK_PB,D,20080327,000000,0.47051,0.484519,0.463596,0.477519,0,0
MAK_PB,D,20080328,000000,0.484519,0.484519,0.47051,0.47051,0,0
MAK_PB,D,20080331,000000,0.456558,0.456558,0.456558,0.456558,0,0
