<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MBK_MV,D,20070813,000000,13829.65,13829.65,13829.65,13829.65,0,0
MBK_MV,D,20070814,000000,13706.28,13706.28,13706.28,13706.28,0,0
MBK_MV,D,20070816,000000,13295.15,13295.15,13295.15,13295.15,0,0
MBK_MV,D,20070817,000000,13212.91,13212.91,13212.91,13212.91,0,0
MBK_MV,D,20070820,000000,13322.53,13322.53,13322.53,13322.53,0,0
MBK_MV,D,20070821,000000,13048.41,13048.41,13048.41,13048.41,0,0
MBK_MV,D,20070822,000000,13193.69,13193.69,13193.69,13193.69,0,0
MBK_MV,D,20070823,000000,13366.45,13366.45,13366.45,13366.45,0,0
MBK_MV,D,20070824,000000,13267.77,13267.77,13267.77,13267.77,0,0
MBK_MV,D,20070827,000000,13240.28,13240.28,13240.28,13240.28,0,0
MBK_MV,D,20070828,000000,12864.79,12864.79,12864.79,12864.79,0,0
MBK_MV,D,20070829,000000,12966.16,12966.16,12966.16,12966.16,0,0
MBK_MV,D,20070830,000000,13212.91,13212.91,13212.91,13212.91,0,0
MBK_MV,D,20070831,000000,13678.9,13678.9,13678.9,13678.9,0,0
MBK_MV,D,20070903,000000,13898.26,13898.26,13898.26,13898.26,0,0
MBK_MV,D,20070904,000000,13898.26,13898.26,13898.26,13898.26,0,0
MBK_MV,D,20070905,000000,13761.15,13761.15,13761.15,13761.15,0,0
MBK_MV,D,20070906,000000,14007.89,14007.89,14007.89,14007.89,0,0
MBK_MV,D,20070907,000000,13980.41,13980.41,13980.41,13980.41,0,0
MBK_MV,D,20070910,000000,13569.28,13569.28,13569.28,13569.28,0,0
MBK_MV,D,20070911,000000,13569.28,13569.28,13569.28,13569.28,0,0
MBK_MV,D,20070912,000000,13473.28,13473.28,13473.28,13473.28,0,0
MBK_MV,D,20070913,000000,13678.9,13678.9,13678.9,13678.9,0,0
MBK_MV,D,20070914,000000,13607.61,13607.61,13607.61,13607.61,0,0
MBK_MV,D,20070917,000000,13591.17,13591.17,13591.17,13591.17,0,0
MBK_MV,D,20070918,000000,14007.89,14007.89,14007.89,14007.89,0,0
MBK_MV,D,20070919,000000,14610.89,14610.89,14610.89,14610.89,0,0
MBK_MV,D,20070920,000000,14775.39,14775.39,14775.39,14775.39,0,0
MBK_MV,D,20070921,000000,15022.13,15022.13,15022.13,15022.13,0,0
MBK_MV,D,20070924,000000,14336.78,14336.78,14336.78,14336.78,0,0
MBK_MV,D,20070925,000000,14007.89,14007.89,14007.89,14007.89,0,0
MBK_MV,D,20070926,000000,14269.48,14269.48,14269.48,14269.48,0,0
MBK_MV,D,20070927,000000,14461.54,14461.54,14461.54,14461.54,0,0
MBK_MV,D,20070928,000000,14022.45,14022.45,14022.45,14022.45,0,0
MBK_MV,D,20071001,000000,14270.78,14270.78,14270.78,14270.78,0,0
MBK_MV,D,20071002,000000,14531.53,14531.53,14531.53,14531.53,0,0
MBK_MV,D,20071003,000000,14641.25,14641.25,14641.25,14641.25,0,0
MBK_MV,D,20071004,000000,14943.13,14943.13,14943.13,14943.13,0,0
MBK_MV,D,20071005,000000,14984.35,14984.35,14984.35,14984.35,0,0
MBK_MV,D,20071008,000000,15094.07,15094.07,15094.07,15094.07,0,0
MBK_MV,D,20071009,000000,15780.16,15780.16,15780.16,15780.16,0,0
MBK_MV,D,20071010,000000,16191.86,16191.86,16191.86,16191.86,0,0
MBK_MV,D,20071011,000000,16109.52,16109.52,16109.52,16109.52,0,0
MBK_MV,D,20071012,000000,15780.16,15780.16,15780.16,15780.16,0,0
MBK_MV,D,20071015,000000,16287.84,16287.84,16287.84,16287.84,0,0
MBK_MV,D,20071016,000000,16219.24,16219.24,16219.24,16219.24,0,0
MBK_MV,D,20071017,000000,16466.25,16466.25,16466.25,16466.25,0,0
MBK_MV,D,20071018,000000,15917.37,15917.37,15917.37,15917.37,0,0
MBK_MV,D,20071019,000000,16274.2,16274.2,16274.2,16274.2,0,0
MBK_MV,D,20071022,000000,16095.78,16095.78,16095.78,16095.78,0,0
MBK_MV,D,20071023,000000,16301.58,16301.58,16301.58,16301.58,0,0
MBK_MV,D,20071024,000000,16082.05,16082.05,16082.05,16082.05,0,0
MBK_MV,D,20071025,000000,16013.44,16013.44,16013.44,16013.44,0,0
MBK_MV,D,20071026,000000,15807.64,15807.64,15807.64,15807.64,0,0
MBK_MV,D,20071029,000000,15917.37,15917.37,15917.37,15917.37,0,0
MBK_MV,D,20071030,000000,15972.32,15972.32,15972.32,15972.32,0,0
MBK_MV,D,20071031,000000,15702.47,15702.47,15702.47,15702.47,0,0
MBK_MV,D,20071102,000000,15318.16,15318.16,15318.16,15318.16,0,0
MBK_MV,D,20071105,000000,14906.36,14906.36,14906.36,14906.36,0,0
MBK_MV,D,20071106,000000,14961.23,14961.23,14961.23,14961.23,0,0
MBK_MV,D,20071107,000000,14714.21,14714.21,14714.21,14714.21,0,0
MBK_MV,D,20071108,000000,14412.25,14412.25,14412.25,14412.25,0,0
MBK_MV,D,20071109,000000,14329.81,14329.81,14041.58,14192.61,0,0
MBK_MV,D,20071112,000000,14165.14,14192.61,14069.06,14096.53,0,0
MBK_MV,D,20071113,000000,14000.46,14247.48,14000.46,14192.61,0,0
MBK_MV,D,20071114,000000,14467.1,14686.74,14000.46,14020.23,0,0
MBK_MV,D,20071115,000000,14075.28,14253.97,14020.23,14020.23,0,0
MBK_MV,D,20071116,000000,14006.49,14528.84,14006.49,14198.92,0,0
MBK_MV,D,20071119,000000,14432.66,14432.66,14157.71,14295.2,0,0
MBK_MV,D,20071120,000000,14405.11,14446.41,14006.49,14295.2,0,0
MBK_MV,D,20071121,000000,14240.14,14583.8,14075.28,14281.45,0,0
MBK_MV,D,20071122,000000,14432.66,14432.66,14185.19,14295.2,0,0
MBK_MV,D,20071123,000000,14377.62,14405.11,14253.97,14295.2,0,0
MBK_MV,D,20071126,000000,14391.35,14391.35,13992.76,13992.76,0,0
MBK_MV,D,20071127,000000,13992.76,13992.76,13566.67,13635.36,0,0
MBK_MV,D,20071128,000000,13525.45,13739.89,13195.54,13739.89,0,0
MBK_MV,D,20071129,000000,14198.92,14198.92,13503.46,13503.46,0,0
MBK_MV,D,20071130,000000,13607.88,14157.71,13580.41,13607.88,0,0
MBK_MV,D,20071203,000000,13613.37,13635.36,13525.45,13528.15,0,0
MBK_MV,D,20071204,000000,13511.71,13745.36,13511.71,13745.36,0,0
MBK_MV,D,20071205,000000,14185.19,14185.19,13910.32,13924.06,0,0
MBK_MV,D,20071206,000000,14061.44,14198.92,13882.85,13951.54,0,0
MBK_MV,D,20071207,000000,14171.45,14171.45,13800.31,13814.24,0,0
MBK_MV,D,20071210,000000,13937.99,14625.29,13937.99,14240.42,0,0
MBK_MV,D,20071211,000000,14474.07,14693.98,14006.67,14020.42,0,0
MBK_MV,D,20071212,000000,13773.03,14542.76,13773.03,14254.16,0,0
MBK_MV,D,20071213,000000,14267.9,14432.85,13910.51,13910.51,0,0
MBK_MV,D,20071214,000000,13965.47,14020.42,13443.11,13470.59,0,0
MBK_MV,D,20071217,000000,13470.59,13470.59,12920.77,12920.77,0,0
MBK_MV,D,20071218,000000,13113.2,13470.59,12920.77,13058.25,0,0
MBK_MV,D,20071219,000000,13058.25,13085.73,12761.39,12962.08,0,0
MBK_MV,D,20071220,000000,12783.39,13434.85,12783.39,13360.68,0,0
MBK_MV,D,20071221,000000,13580.59,13580.59,13253.47,13498.17,0,0
MBK_MV,D,20071227,000000,13333.21,13841.72,13333.21,13773.03,0,0
MBK_MV,D,20071228,000000,13745.55,13883.03,13511.91,13883.03,0,0
MBK_MV,D,20080102,000000,13827.98,13841.72,13745.55,13746.76,0,0
MBK_MV,D,20080103,000000,13455.28,13455.28,13227.1,13334.33,0,0
MBK_MV,D,20080104,000000,13199.63,13521.27,12968.67,13086.84,0,0
MBK_MV,D,20080107,000000,13018.15,13086.84,12921.89,12921.89,0,0
MBK_MV,D,20080108,000000,12792.68,12792.68,12649.72,12649.72,0,0
MBK_MV,D,20080109,000000,12647.02,12647.02,12234.58,12311.55,0,0
MBK_MV,D,20080110,000000,12097.11,12097.11,11624.24,11624.24,0,0
MBK_MV,D,20080111,000000,11657.19,11657.19,11272.34,11559.27,0,0
MBK_MV,D,20080114,000000,11696.84,11696.84,11696.84,11696.84,0,0
MBK_MV,D,20080115,000000,11696.84,11999.64,11091.4,11096.88,0,0
MBK_MV,D,20080116,000000,10417.1,10871.21,10417.1,10623.45,0,0
MBK_MV,D,20080117,000000,10761.12,10926.26,10540.93,10733.56,0,0
MBK_MV,D,20080118,000000,10623.45,10761.12,10403.36,10458.41,0,0
MBK_MV,D,20080121,000000,9662.96,10295.97,9662.96,10004.29,0,0
MBK_MV,D,20080122,000000,9632.71,10430.85,9632.71,10295.97,0,0
MBK_MV,D,20080123,000000,10733.56,10733.56,9869.42,10045.52,0,0
MBK_MV,D,20080124,000000,10595.98,10706.07,10238.22,10706.07,0,0
MBK_MV,D,20080125,000000,10788.61,10788.61,10348.31,10375.8,0,0
MBK_MV,D,20080128,000000,10045.52,10155.6,9993.24,9993.24,0,0
MBK_MV,D,20080129,000000,10183.17,10623.45,10183.17,10370.32,0,0
MBK_MV,D,20080130,000000,10659.28,10692.33,10483.11,10568.5,0,0
MBK_MV,D,20080131,000000,10158.39,10403.36,10051.08,10128.13,0,0
MBK_MV,D,20080201,000000,10348.31,10692.33,10331.8,10678.5,0,0
MBK_MV,D,20080204,000000,10739.12,10868.43,10733.56,10761.12,0,0
MBK_MV,D,20080205,000000,10651.03,10651.03,10323.53,10323.53,0,0
MBK_MV,D,20080206,000000,10196.92,10540.93,10196.92,10540.93,0,0
MBK_MV,D,20080207,000000,10540.93,10678.5,10403.36,10627.92,0,0
MBK_MV,D,20080208,000000,10815.15,10870.2,10385.63,10870.2,0,0
MBK_MV,D,20080211,000000,10738.1,11101.53,10710.54,11095.95,0,0
MBK_MV,D,20080212,000000,11040.91,11701.76,11040.91,11412.59,0,0
MBK_MV,D,20080213,000000,11288.76,12114.74,11288.76,11847.67,0,0
MBK_MV,D,20080214,000000,12197.37,12197.37,11847.67,12021.08,0,0
MBK_MV,D,20080215,000000,12169.79,12169.79,11858.63,11866.99,0,0
MBK_MV,D,20080218,000000,11977.08,12390.08,11977.08,12312.93,0,0
MBK_MV,D,20080219,000000,12351.55,12445.12,12087.18,12087.18,0,0
MBK_MV,D,20080220,000000,11847.67,12555.31,11740.28,12087.18,0,0
MBK_MV,D,20080221,000000,12279.99,12362.51,12087.18,12219.37,0,0
MBK_MV,D,20080222,000000,12087.18,12266.15,11963.34,11977.08,0,0
MBK_MV,D,20080225,000000,12087.18,12087.18,11701.76,11944.03,0,0
MBK_MV,D,20080226,000000,11866.99,12307.46,11453.9,11481.47,0,0
MBK_MV,D,20080227,000000,11564.09,11564.09,11016.12,11528.26,0,0
MBK_MV,D,20080228,000000,11564.09,11564.09,11261.19,11415.38,0,0
MBK_MV,D,20080229,000000,11222.66,11426.42,11123.52,11426.42,0,0
MBK_MV,D,20080303,000000,11073.95,11156.57,11013.43,11068.47,0,0
MBK_MV,D,20080304,000000,11071.17,11071.17,10057.95,10077.25,0,0
MBK_MV,D,20080305,000000,10118.57,10118.57,9856.98,10047,0,0
MBK_MV,D,20080306,000000,10077.25,10077.25,9799.14,9799.14,0,0
MBK_MV,D,20080307,000000,9499.02,9636.7,9361.37,9636.7,0,0
MBK_MV,D,20080310,000000,9691.82,9953.33,9691.82,9884.55,0,0
MBK_MV,D,20080311,000000,9884.55,10126.83,9884.55,10049.69,0,0
MBK_MV,D,20080312,000000,10187.44,10187.44,9967.17,10104.82,0,0
MBK_MV,D,20080313,000000,10022.21,10104.82,9598.17,9766.1,0,0
