<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MOC_PB,D,20180419,000000,11.23,11.23,11.23,11.23,0,0
MOC_PB,D,20180420,000000,11.23,11.23,11.23,11.23,0,0
MOC_PB,D,20180423,000000,11.23,11.23,11.17,11.17,0,0
MOC_PB,D,20180424,000000,11.17,11.17,10.5,10.81,0,0
MOC_PB,D,20180425,000000,10.73,11.17,10.44,10.51,0,0
MOC_PB,D,20180426,000000,11.17,11.17,10.46,10.46,0,0
MOC_PB,D,20180427,000000,11.17,11.17,10.42,10.6,0,0
MOC_PB,D,20180430,000000,10.6,11.23,9.82,9.82,0,0
MOC_PB,D,20180502,000000,9.82,10.64,9.82,10.33,0,0
MOC_PB,D,20180504,000000,10.64,10.64,10.15,10.6,0,0
MOC_PB,D,20180507,000000,10.59,12.42,10.59,12.42,0,0
MOC_PB,D,20180508,000000,12.38,12.38,12.19,12.19,0,0
MOC_PB,D,20180509,000000,12.32,12.32,12.31,12.31,0,0
MOC_PB,D,20180510,000000,12.31,12.42,12.05,12.42,0,0
MOC_PB,D,20180511,000000,12.41,12.41,12.28,12.28,0,0
MOC_PB,D,20180514,000000,12.27,13.11,12.24,12.51,0,0
MOC_PB,D,20180515,000000,13.1,13.75,12.39,13.75,0,0
MOC_PB,D,20180516,000000,13.79,14.95,13.6,14.17,0,0
MOC_PB,D,20180517,000000,14.17,14.17,13.57,13.73,0,0
MOC_PB,D,20180518,000000,13.73,13.73,13.11,13.45,0,0
MOC_PB,D,20180521,000000,13.45,13.75,13.34,13.6,0,0
MOC_PB,D,20180522,000000,13.7,13.7,13.1,13.19,0,0
MOC_PB,D,20180523,000000,13.19,13.19,12.76,13.13,0,0
MOC_PB,D,20180524,000000,13.57,13.57,12.88,13.57,0,0
MOC_PB,D,20180525,000000,13.57,13.57,13.11,13.11,0,0
MOC_PB,D,20180528,000000,13.56,13.56,12.43,12.88,0,0
MOC_PB,D,20180529,000000,13.34,13.34,12.88,12.88,0,0
MOC_PB,D,20180530,000000,12.88,13.34,12.42,13.21,0,0
MOC_PB,D,20180601,000000,13.53,14.34,12.97,14.34,0,0
MOC_PB,D,20180604,000000,14.32,14.32,13.55,13.86,0,0
MOC_PB,D,20180605,000000,14.13,14.13,13.58,13.86,0,0
MOC_PB,D,20180606,000000,14.13,14.13,13.58,13.81,0,0
MOC_PB,D,20180607,000000,13.39,13.39,12.97,12.97,0,0
MOC_PB,D,20180608,000000,13.37,13.44,12.97,13.07,0,0
MOC_PB,D,20180611,000000,13.62,13.62,13.21,13.21,0,0
MOC_PB,D,20180612,000000,13.34,13.34,13.08,13.34,0,0
MOC_PB,D,20180613,000000,13.34,13.62,13.34,13.62,0,0
MOC_PB,D,20180614,000000,13.62,13.62,13.62,13.62,0,0
MOC_PB,D,20180615,000000,13.62,13.62,12.79,12.97,0,0
MOC_PB,D,20180618,000000,13.44,13.44,12.97,12.97,0,0
MOC_PB,D,20180619,000000,12.08,12.65,12.08,12.65,0,0
MOC_PB,D,20180620,000000,12.28,12.8,12.28,12.73,0,0
MOC_PB,D,20180621,000000,12.65,12.65,12.65,12.65,0,0
MOC_PB,D,20180622,000000,13.43,13.43,12.8,12.8,0,0
MOC_PB,D,20180625,000000,12.74,12.74,12.28,12.74,0,0
MOC_PB,D,20180626,000000,12.74,12.74,12.74,12.74,0,0
MOC_PB,D,20180627,000000,13.21,13.21,11.45,11.91,0,0
MOC_PB,D,20180628,000000,12.28,12.28,11.35,11.68,0,0
MOC_PB,D,20180629,000000,11.58,12.23,11.58,11.82,0,0
MOC_PB,D,20180702,000000,11.96,12.28,11.96,12.05,0,0
MOC_PB,D,20180703,000000,12.05,12.51,11.93,12.28,0,0
MOC_PB,D,20180704,000000,12.05,12.05,12,12.05,0,0
MOC_PB,D,20180705,000000,11.82,11.82,11.82,11.82,0,0
MOC_PB,D,20180706,000000,12.05,12.05,11.35,12.05,0,0
MOC_PB,D,20180709,000000,13.2,13.2,11.91,12.05,0,0
MOC_PB,D,20180710,000000,12.05,12.23,12.05,12.23,0,0
MOC_PB,D,20180711,000000,13.16,13.16,11.86,12.05,0,0
MOC_PB,D,20180712,000000,12.05,12.97,12.05,12.97,0,0
MOC_PB,D,20180713,000000,13.2,13.2,12.51,12.93,0,0
MOC_PB,D,20180716,000000,12.88,13.19,12.64,13.19,0,0
MOC_PB,D,20180717,000000,13.19,13.19,13.16,13.16,0,0
MOC_PB,D,20180718,000000,13.16,13.16,12.97,13.15,0,0
MOC_PB,D,20180719,000000,13.15,13.15,13.15,13.15,0,0
MOC_PB,D,20180720,000000,13.15,13.15,12.58,13.09,0,0
MOC_PB,D,20180723,000000,13.09,13.09,12.21,12.21,0,0
MOC_PB,D,20180724,000000,12.74,12.77,12.42,12.77,0,0
MOC_PB,D,20180725,000000,13.09,13.09,12.88,13.09,0,0
MOC_PB,D,20180726,000000,13.15,13.15,12.97,12.97,0,0
MOC_PB,D,20180727,000000,13.11,13.11,12.51,12.69,0,0
MOC_PB,D,20180730,000000,12.68,13.21,12.05,12.88,0,0
MOC_PB,D,20180731,000000,13.2,13.2,13.19,13.19,0,0
MOC_PB,D,20180801,000000,13.2,13.2,12.79,12.97,0,0
MOC_PB,D,20180802,000000,12.97,13.09,12.97,13.09,0,0
MOC_PB,D,20180803,000000,13.09,13.12,13.09,13.12,0,0
MOC_PB,D,20180806,000000,13.12,13.12,13.12,13.12,0,0
MOC_PB,D,20180807,000000,13.12,13.12,13.1,13.1,0,0
MOC_PB,D,20180808,000000,13.1,13.1,13.09,13.09,0,0
MOC_PB,D,20180809,000000,13.09,13.1,12.74,12.74,0,0
MOC_PB,D,20180810,000000,12.97,12.97,12.05,12.05,0,0
MOC_PB,D,20180813,000000,12.05,12.65,12.05,12.37,0,0
MOC_PB,D,20180814,000000,12.65,12.65,12.42,12.6,0,0
MOC_PB,D,20180816,000000,12.6,12.6,12.6,12.6,0,0
MOC_PB,D,20180817,000000,12.6,12.6,12.56,12.6,0,0
MOC_PB,D,20180820,000000,12.6,12.6,12.05,12.6,0,0
MOC_PB,D,20180821,000000,12.6,13.16,12.6,13.16,0,0
MOC_PB,D,20180822,000000,13.39,13.39,13.35,13.35,0,0
MOC_PB,D,20180823,000000,13.35,13.35,13.35,13.35,0,0
MOC_PB,D,20180824,000000,13.35,13.35,13.3,13.3,0,0
MOC_PB,D,20180827,000000,13.35,13.35,12.6,13.18,0,0
MOC_PB,D,20180828,000000,13.18,13.18,13.18,13.18,0,0
MOC_PB,D,20180829,000000,13.18,13.18,12.51,13.18,0,0
MOC_PB,D,20180830,000000,12.97,13.16,12.97,13.16,0,0
MOC_PB,D,20180831,000000,13.18,13.18,13.11,13.11,0,0
MOC_PB,D,20180903,000000,13.18,13.18,12.63,13.18,0,0
MOC_PB,D,20180904,000000,13.32,13.32,12.63,12.63,0,0
MOC_PB,D,20180905,000000,13.09,13.09,12.09,12.59,0,0
MOC_PB,D,20180906,000000,12.59,12.59,11.49,12.04,0,0
MOC_PB,D,20180907,000000,11.96,11.96,9.82,10.43,0,0
MOC_PB,D,20180910,000000,10.89,10.89,9.27,9.73,0,0
MOC_PB,D,20180911,000000,9.73,9.73,9.13,9.27,0,0
MOC_PB,D,20180912,000000,9.73,10.19,8.76,8.8,0,0
MOC_PB,D,20180913,000000,9.27,9.27,8.8,8.8,0,0
MOC_PB,D,20180914,000000,8.8,8.8,8.71,8.8,0,0
MOC_PB,D,20180917,000000,8.8,8.8,7.92,8.8,0,0
MOC_PB,D,20180918,000000,8.92,9.24,8.8,8.8,0,0
MOC_PB,D,20180919,000000,9.26,9.26,9,9,0,0
MOC_PB,D,20180920,000000,8.9,8.99,8.8,8.8,0,0
MOC_PB,D,20180921,000000,8.93,8.93,8.8,8.8,0,0
MOC_PB,D,20180924,000000,9.27,9.36,8.58,8.58,0,0
MOC_PB,D,20180925,000000,8.99,9.17,8.8,8.81,0,0
MOC_PB,D,20180926,000000,9.17,9.17,3.12,3.12,0,0
MOC_PB,D,20180927,000000,3.12,3.27,3.12,3.27,0,0
MOC_PB,D,20180928,000000,3.27,3.27,3.23,3.27,0,0
MOC_PB,D,20181001,000000,3.4,3.4,3.25,3.25,0,0
MOC_PB,D,20181002,000000,3.31,3.31,3.25,3.27,0,0
MOC_PB,D,20181003,000000,3.4,3.4,3.31,3.31,0,0
MOC_PB,D,20181004,000000,3.31,3.31,3.28,3.28,0,0
MOC_PB,D,20181005,000000,3.4,3.4,3.12,3.18,0,0
MOC_PB,D,20181008,000000,3.18,3.26,3.12,3.12,0,0
MOC_PB,D,20181009,000000,3.26,3.26,3.25,3.25,0,0
MOC_PB,D,20181010,000000,3.25,3.25,3.1,3.1,0,0
MOC_PB,D,20181011,000000,3.13,3.13,2.99,3.02,0,0
MOC_PB,D,20181012,000000,3.05,3.26,2.94,3.26,0,0
MOC_PB,D,20181015,000000,3.4,3.4,3.1,3.27,0,0
MOC_PB,D,20181016,000000,3.27,3.27,3.02,3.1,0,0
MOC_PB,D,20181017,000000,3.27,3.27,3.09,3.18,0,0
MOC_PB,D,20181018,000000,3.27,3.27,3.1,3.1,0,0
MOC_PB,D,20181019,000000,3.02,3.02,2.96,3.02,0,0
MOC_PB,D,20181022,000000,3.02,3.02,2.92,2.92,0,0
MOC_PB,D,20181023,000000,3,3,2.86,3,0,0
MOC_PB,D,20181024,000000,3,3,2.84,2.99,0,0
MOC_PB,D,20181025,000000,3.02,3.02,2.78,2.85,0,0
MOC_PB,D,20181026,000000,2.85,2.85,2.78,2.78,0,0
MOC_PB,D,20181029,000000,2.86,2.86,2.7,2.7,0,0
MOC_PB,D,20181030,000000,2.7,2.84,2.7,2.74,0,0
MOC_PB,D,20181031,000000,2.83,2.88,2.74,2.78,0,0
MOC_PB,D,20181102,000000,2.79,3.02,2.79,2.94,0,0
MOC_PB,D,20181105,000000,3.07,3.07,3.07,3.07,0,0
MOC_PB,D,20181106,000000,3.17,3.17,3.1,3.1,0,0
MOC_PB,D,20181107,000000,3.1,3.14,2.96,3.14,0,0
MOC_PB,D,20181108,000000,3.14,3.14,3.14,3.14,0,0
MOC_PB,D,20181109,000000,3.14,3.14,3.14,3.14,0,0
MOC_PB,D,20181113,000000,3.26,3.26,3.13,3.17,0,0
MOC_PB,D,20181114,000000,3.25,3.57,3.13,3.13,0,0
MOC_PB,D,20181115,000000,3.13,3.13,3.13,3.13,0,0
MOC_PB,D,20181116,000000,3.18,3.18,3.1,3.18,0,0
MOC_PB,D,20181119,000000,3.18,3.18,3.18,3.18,0,0
MOC_PB,D,20181120,000000,3.1,3.1,3.04,3.04,0,0
MOC_PB,D,20181121,000000,3.1,3.1,3.1,3.1,0,0
MOC_PB,D,20181122,000000,3.25,3.25,3.25,3.25,0,0
