<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MRB_PE,D,20081229,000000,4.69432,4.69432,4.69432,4.69432,0,0
MRB_PE,D,20081230,000000,7.08255,8.48255,3.70599,3.70599,0,0
MRB_PE,D,20081231,000000,3.62366,4.69432,3.62366,4.69432,0,0
MRB_PE,D,20090105,000000,4.52946,4.69432,4.20011,4.36478,0,0
MRB_PE,D,20090106,000000,4.20011,4.28245,3.9531,3.9531,0,0
MRB_PE,D,20090107,000000,3.78833,4.28245,3.70599,3.87067,0,0
MRB_PE,D,20090108,000000,4.11777,4.11777,3.9531,3.9531,0,0
MRB_PE,D,20090109,000000,3.9531,3.9531,3.87067,3.9531,0,0
MRB_PE,D,20090112,000000,3.9531,3.9531,3.62366,3.62366,0,0
MRB_PE,D,20090113,000000,3.62366,3.62366,3.21188,3.45898,0,0
MRB_PE,D,20090114,000000,3.54123,3.54123,3.04711,3.21188,0,0
MRB_PE,D,20090115,000000,2.88244,3.21188,2.88244,2.88244,0,0
MRB_PE,D,20090116,000000,3.12945,3.12945,2.96478,3.12945,0,0
MRB_PE,D,20090119,000000,3.12945,3.21188,3.04711,3.04711,0,0
MRB_PE,D,20090120,000000,3.12945,3.12945,2.88244,2.96478,0,0
MRB_PE,D,20090121,000000,2.96478,3.12945,2.88244,3.12945,0,0
MRB_PE,D,20090122,000000,3.12945,3.12945,3.04711,3.04711,0,0
MRB_PE,D,20090123,000000,3.12945,3.12945,2.88244,3.12945,0,0
MRB_PE,D,20090126,000000,3.21188,3.21188,3.04711,3.21188,0,0
MRB_PE,D,20090127,000000,3.21188,3.29412,3.21188,3.21188,0,0
MRB_PE,D,20090128,000000,3.21188,3.29412,3.12945,3.21188,0,0
MRB_PE,D,20090129,000000,3.21188,3.21188,3.12945,3.21188,0,0
MRB_PE,D,20090130,000000,3.29412,3.29412,3.21188,3.21188,0,0
MRB_PE,D,20090202,000000,3.21188,3.21188,3.04711,3.21188,0,0
