<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVA_MV,D,20070827,000000,290.31,290.31,290.31,290.31,0,0
NVA_MV,D,20070828,000000,290.31,290.31,290.31,290.31,0,0
NVA_MV,D,20070829,000000,290.31,290.31,290.31,290.31,0,0
NVA_MV,D,20070830,000000,293.78,293.78,293.78,293.78,0,0
NVA_MV,D,20070831,000000,293.08,293.08,293.08,293.08,0,0
NVA_MV,D,20070903,000000,295.5,295.5,295.5,295.5,0,0
NVA_MV,D,20070904,000000,290.31,290.31,290.31,290.31,0,0
NVA_MV,D,20070905,000000,293.78,293.78,293.78,293.78,0,0
NVA_MV,D,20070906,000000,293.78,293.78,293.78,293.78,0,0
NVA_MV,D,20070907,000000,293.78,293.78,293.78,293.78,0,0
NVA_MV,D,20070910,000000,283.41,283.41,283.41,283.41,0,0
NVA_MV,D,20070911,000000,283.41,283.41,283.41,283.41,0,0
NVA_MV,D,20070912,000000,292.04,292.04,292.04,292.04,0,0
NVA_MV,D,20070913,000000,293.7,293.7,293.7,293.7,0,0
NVA_MV,D,20070914,000000,290.31,290.31,290.31,290.31,0,0
NVA_MV,D,20070917,000000,279.95,279.95,279.95,279.95,0,0
NVA_MV,D,20070918,000000,279.87,279.87,279.87,279.87,0,0
NVA_MV,D,20070919,000000,282.02,282.02,282.02,282.02,0,0
NVA_MV,D,20070920,000000,283.41,283.41,283.41,283.41,0,0
NVA_MV,D,20070921,000000,283.33,283.33,283.33,283.33,0,0
NVA_MV,D,20070924,000000,280.29,280.29,280.29,280.29,0,0
NVA_MV,D,20070925,000000,279.95,279.95,279.95,279.95,0,0
NVA_MV,D,20070926,000000,275.79,275.79,275.79,275.79,0,0
NVA_MV,D,20070927,000000,276.48,276.48,276.48,276.48,0,0
NVA_MV,D,20070928,000000,269.57,269.57,269.57,269.57,0,0
NVA_MV,D,20071001,000000,266.87,266.87,266.87,266.87,0,0
NVA_MV,D,20071002,000000,263.01,263.01,263.01,263.01,0,0
NVA_MV,D,20071003,000000,262.66,262.66,262.66,262.66,0,0
NVA_MV,D,20071004,000000,259.2,259.2,259.2,259.2,0,0
NVA_MV,D,20071005,000000,266.82,266.82,266.82,266.82,0,0
NVA_MV,D,20071008,000000,269.57,269.57,269.57,269.57,0,0
NVA_MV,D,20071009,000000,269.57,269.57,269.57,269.57,0,0
NVA_MV,D,20071010,000000,275.66,275.66,275.66,275.66,0,0
NVA_MV,D,20071011,000000,272.34,272.34,272.34,272.34,0,0
NVA_MV,D,20071012,000000,276.41,276.41,276.41,276.41,0,0
NVA_MV,D,20071015,000000,283.41,283.41,283.41,283.41,0,0
NVA_MV,D,20071016,000000,283.41,283.41,283.41,283.41,0,0
