<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PBF_PE,D,20070813,000000,35.1,35.1,35.1,35.1,0,0
PBF_PE,D,20070814,000000,34.3,34.3,34.3,34.3,0,0
PBF_PE,D,20070816,000000,32.8,32.8,32.8,32.8,0,0
PBF_PE,D,20070817,000000,34.8,34.8,34.8,34.8,0,0
PBF_PE,D,20070820,000000,33.7,33.7,33.7,33.7,0,0
PBF_PE,D,20070821,000000,33.7,33.7,33.7,33.7,0,0
PBF_PE,D,20070822,000000,34.7,34.7,34.7,34.7,0,0
PBF_PE,D,20070823,000000,34.8,34.8,34.8,34.8,0,0
PBF_PE,D,20070824,000000,77.3,77.3,77.3,77.3,0,0
PBF_PE,D,20070827,000000,78.4,78.4,78.4,78.4,0,0
PBF_PE,D,20070828,000000,78.4,78.4,78.4,78.4,0,0
PBF_PE,D,20070829,000000,78.6,78.6,78.6,78.6,0,0
PBF_PE,D,20070830,000000,80.5,80.5,80.5,80.5,0,0
PBF_PE,D,20070831,000000,80.7,80.7,80.7,80.7,0,0
PBF_PE,D,20070903,000000,80.5,80.5,80.5,80.5,0,0
PBF_PE,D,20070904,000000,80.5,80.5,80.5,80.5,0,0
PBF_PE,D,20070905,000000,78.4,78.4,78.4,78.4,0,0
PBF_PE,D,20070906,000000,78.4,78.4,78.4,78.4,0,0
PBF_PE,D,20070907,000000,78.4,78.4,78.4,78.4,0,0
PBF_PE,D,20070910,000000,78,78,78,78,0,0
PBF_PE,D,20070911,000000,77.5,77.5,77.5,77.5,0,0
PBF_PE,D,20070912,000000,77.1,77.1,77.1,77.1,0,0
PBF_PE,D,20070913,000000,77.5,77.5,77.5,77.5,0,0
PBF_PE,D,20070914,000000,76,76,76,76,0,0
PBF_PE,D,20070917,000000,76.3,76.3,76.3,76.3,0,0
PBF_PE,D,20070918,000000,77.1,77.1,77.1,77.1,0,0
PBF_PE,D,20070919,000000,77.3,77.3,77.3,77.3,0,0
PBF_PE,D,20070920,000000,76.3,76.3,76.3,76.3,0,0
