<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCE_PE,D,20080303,000000,5.5467,5.5467,5.5467,5.5467,0,0
PCE_PE,D,20080304,000000,5.4589,5.5467,5.1947,5.3707,0,0
PCE_PE,D,20080305,000000,5.4589,5.4589,5.2827,5.2827,0,0
PCE_PE,D,20080306,000000,5.2827,5.2827,5.1947,5.1947,0,0
PCE_PE,D,20080307,000000,5.1065,5.2827,5.1065,5.1065,0,0
PCE_PE,D,20080310,000000,5.1065,5.3707,5.1065,5.1947,0,0
PCE_PE,D,20080311,000000,5.1947,5.4589,5.1947,5.3707,0,0
PCE_PE,D,20080312,000000,5.3707,5.3707,5.2827,5.2827,0,0
PCE_PE,D,20080313,000000,5.2827,5.2827,5.1947,5.2827,0,0
PCE_PE,D,20080314,000000,5.2827,5.4589,5.2827,5.3707,0,0
PCE_PE,D,20080317,000000,5.2827,5.2827,5.1065,5.1947,0,0
PCE_PE,D,20080318,000000,5.1947,5.2827,5.1947,5.2827,0,0
PCE_PE,D,20080319,000000,5.3707,5.3707,5.2827,5.3707,0,0
PCE_PE,D,20080320,000000,5.2827,5.3707,5.2827,5.2827,0,0
PCE_PE,D,20080325,000000,5.4589,5.4589,5.3707,5.4589,0,0
PCE_PE,D,20080326,000000,5.5467,5.5467,5.4589,5.5467,0,0
PCE_PE,D,20080327,000000,5.5467,5.7229,5.5467,5.6348,0,0
PCE_PE,D,20080328,000000,5.7229,5.8989,5.7229,5.8989,0,0
PCE_PE,D,20080331,000000,5.8109,5.8109,5.8109,5.8109,0,0
PCE_PE,D,20080401,000000,5.7229,5.8109,5.7229,5.8109,0,0
PCE_PE,D,20080402,000000,5.8109,5.8989,5.8109,5.8989,0,0
PCE_PE,D,20080403,000000,5.8989,5.8989,5.8109,5.8109,0,0
PCE_PE,D,20080404,000000,5.8109,6.1632,5.8109,6.1632,0,0
PCE_PE,D,20080407,000000,6.1632,6.1632,6.075,6.1632,0,0
PCE_PE,D,20080408,000000,6.1632,6.1632,5.987,6.075,0,0
PCE_PE,D,20080409,000000,5.987,6.1632,5.987,6.075,0,0
PCE_PE,D,20080410,000000,6.075,6.1632,6.075,6.075,0,0
PCE_PE,D,20080411,000000,6.1632,6.3393,6.075,6.1632,0,0
PCE_PE,D,20080414,000000,6.1632,6.7794,6.1632,6.7794,0,0
PCE_PE,D,20080415,000000,6.7794,6.8674,6.6033,6.7794,0,0
PCE_PE,D,20080416,000000,6.6912,6.7794,6.6033,6.7794,0,0
PCE_PE,D,20080417,000000,6.7794,7.1317,6.7794,7.1317,0,0
PCE_PE,D,20080418,000000,7.2196,7.3077,7.2196,7.2196,0,0
PCE_PE,D,20080421,000000,7.2196,7.6598,7.2196,7.5717,0,0
PCE_PE,D,20080422,000000,7.5717,7.5717,7.1317,7.2196,0,0
PCE_PE,D,20080423,000000,7.1317,7.5717,7.1317,7.5717,0,0
PCE_PE,D,20080424,000000,7.6598,7.836,7.6598,7.6598,0,0
PCE_PE,D,20080425,000000,7.7479,7.7479,7.4837,7.5717,0,0
PCE_PE,D,20080428,000000,7.5717,7.836,7.3077,7.836,0,0
PCE_PE,D,20080429,000000,7.924,8.012,7.836,7.836,0,0
PCE_PE,D,20080430,000000,7.6598,7.836,7.6598,7.836,0,0
PCE_PE,D,20080505,000000,7.924,7.924,7.7479,7.7479,0,0
PCE_PE,D,20080506,000000,7.836,7.836,7.7479,7.836,0,0
PCE_PE,D,20080507,000000,7.7479,7.836,7.3957,7.7479,0,0
PCE_PE,D,20080508,000000,7.5717,7.7479,7.5717,7.7479,0,0
PCE_PE,D,20080509,000000,7.7479,7.836,7.5717,7.836,0,0
PCE_PE,D,20080512,000000,7.836,7.836,7.6598,7.7479,0,0
PCE_PE,D,20080513,000000,7.7479,7.836,7.7479,7.7479,0,0
PCE_PE,D,20080514,000000,7.7479,7.836,7.7479,7.836,0,0
PCE_PE,D,20080515,000000,7.924,8.012,7.836,7.836,0,0
PCE_PE,D,20080516,000000,7.924,7.924,5.3707,5.3707,0,0
PCE_PE,D,20080519,000000,5.2827,5.2827,5.0186,5.0186,0,0
PCE_PE,D,20080520,000000,5.0186,5.0186,4.8424,4.8424,0,0
PCE_PE,D,20080521,000000,4.8424,4.9305,4.8424,4.9305,0,0
PCE_PE,D,20080523,000000,4.9305,5.1065,4.9305,5.0186,0,0
PCE_PE,D,20080526,000000,5.0186,5.0186,4.8424,4.9305,0,0
PCE_PE,D,20080527,000000,4.9305,4.9305,4.5782,4.5782,0,0
PCE_PE,D,20080528,000000,4.5782,4.8424,4.5782,4.8424,0,0
PCE_PE,D,20080529,000000,4.9305,5.0186,4.6664,4.6664,0,0
PCE_PE,D,20080530,000000,4.5782,4.7544,4.4903,4.7544,0,0
PCE_PE,D,20080602,000000,4.7544,4.7544,4.5782,4.5782,0,0
PCE_PE,D,20080603,000000,4.5782,4.7544,4.5782,4.7544,0,0
PCE_PE,D,20080604,000000,4.8424,4.8424,4.7544,4.7544,0,0
PCE_PE,D,20080605,000000,4.6664,4.8424,4.6664,4.8424,0,0
PCE_PE,D,20080606,000000,4.8424,5.0186,4.8424,5.0186,0,0
PCE_PE,D,20080609,000000,4.9305,5.0186,4.7544,4.7544,0,0
PCE_PE,D,20080610,000000,4.6664,4.7544,4.5782,4.6664,0,0
PCE_PE,D,20080611,000000,4.6664,4.6664,4.5782,4.5782,0,0
PCE_PE,D,20080612,000000,4.4903,4.8424,4.4903,4.8424,0,0
PCE_PE,D,20080613,000000,4.7544,4.8424,4.6664,4.8424,0,0
PCE_PE,D,20080616,000000,4.9305,4.9305,4.7544,4.7544,0,0
PCE_PE,D,20080617,000000,4.7544,4.8424,4.7544,4.7544,0,0
PCE_PE,D,20080618,000000,4.6664,4.8424,4.6664,4.8424,0,0
PCE_PE,D,20080619,000000,4.7544,4.8424,4.7544,4.8424,0,0
PCE_PE,D,20080620,000000,4.8424,4.8424,4.6664,4.8424,0,0
PCE_PE,D,20080623,000000,4.7544,4.8424,4.6664,4.6664,0,0
PCE_PE,D,20080624,000000,4.5782,4.6664,4.4022,4.4903,0,0
PCE_PE,D,20080625,000000,4.5782,4.5782,4.2261,4.2261,0,0
PCE_PE,D,20080626,000000,4.2261,4.2261,3.962,4.05,0,0
PCE_PE,D,20080627,000000,3.962,4.1381,3.962,4.05,0,0
PCE_PE,D,20080630,000000,4.05,4.05,3.874,3.962,0,0
PCE_PE,D,20080701,000000,3.962,3.962,3.6979,3.7859,0,0
PCE_PE,D,20080702,000000,3.874,3.874,3.6098,3.6979,0,0
PCE_PE,D,20080703,000000,3.6979,3.6979,3.5217,3.6098,0,0
PCE_PE,D,20080704,000000,3.6098,3.7859,3.5217,3.5217,0,0
PCE_PE,D,20080707,000000,3.4337,3.5217,3.2576,3.3458,0,0
PCE_PE,D,20080708,000000,3.2576,3.4337,3.2576,3.4337,0,0
PCE_PE,D,20080709,000000,3.4337,3.6098,3.4337,3.5217,0,0
PCE_PE,D,20080710,000000,3.5217,3.7859,3.4337,3.5217,0,0
PCE_PE,D,20080711,000000,3.6098,3.7859,3.6098,3.7859,0,0
PCE_PE,D,20080714,000000,3.6979,3.874,3.6979,3.7859,0,0
PCE_PE,D,20080715,000000,3.6979,3.6979,3.5217,3.6098,0,0
PCE_PE,D,20080716,000000,3.6098,3.6098,3.5217,3.5217,0,0
PCE_PE,D,20080717,000000,3.6098,3.6979,3.5217,3.5217,0,0
PCE_PE,D,20080718,000000,3.5217,3.6979,3.5217,3.6098,0,0
PCE_PE,D,20080721,000000,3.6098,3.7859,3.6098,3.6979,0,0
PCE_PE,D,20080722,000000,3.6979,4.05,3.6979,3.962,0,0
PCE_PE,D,20080723,000000,4.05,4.3142,3.962,4.2261,0,0
PCE_PE,D,20080724,000000,4.4022,4.4022,3.962,3.962,0,0
PCE_PE,D,20080725,000000,3.874,3.874,3.7859,3.874,0,0
PCE_PE,D,20080728,000000,3.962,4.1381,3.962,3.962,0,0
PCE_PE,D,20080729,000000,3.874,3.962,3.874,3.962,0,0
PCE_PE,D,20080730,000000,4.05,4.05,3.874,3.962,0,0
PCE_PE,D,20080731,000000,3.962,4.05,3.962,3.962,0,0
PCE_PE,D,20080801,000000,3.962,3.962,3.962,3.962,0,0
PCE_PE,D,20080804,000000,3.962,4.05,3.962,3.962,0,0
PCE_PE,D,20080805,000000,4.05,4.05,3.962,3.962,0,0
PCE_PE,D,20080806,000000,3.962,4.05,3.962,3.962,0,0
PCE_PE,D,20080807,000000,4.05,4.05,3.6979,3.6979,0,0
PCE_PE,D,20080808,000000,3.6979,3.6979,3.6098,3.6979,0,0
PCE_PE,D,20080811,000000,3.6979,3.7859,3.6979,3.7859,0,0
PCE_PE,D,20080812,000000,3.7859,3.874,3.6979,3.7859,0,0
PCE_PE,D,20080813,000000,4.05,4.1381,4.05,4.1381,0,0
PCE_PE,D,20080814,000000,4.2261,4.3142,4.1381,4.1381,0,0
PCE_PE,D,20080818,000000,4.2261,4.2261,3.1696,3.1696,0,0
PCE_PE,D,20080819,000000,3.1696,3.1696,3.0816,3.1696,0,0
PCE_PE,D,20080820,000000,3.1696,3.1696,3.1696,3.1696,0,0
PCE_PE,D,20080821,000000,3.2576,3.2576,3.0816,3.0816,0,0
PCE_PE,D,20080822,000000,3.1696,3.1696,3.0816,3.0816,0,0
PCE_PE,D,20080825,000000,3.0816,3.1696,3.0816,3.1696,0,0
PCE_PE,D,20080826,000000,3.1696,3.1696,2.9935,2.9935,0,0
PCE_PE,D,20080827,000000,2.9935,2.9935,2.9055,2.9935,0,0
PCE_PE,D,20080828,000000,2.9935,2.9935,2.9055,2.9055,0,0
PCE_PE,D,20080829,000000,2.9055,3.0816,2.9055,2.9935,0,0
PCE_PE,D,20080901,000000,2.9055,2.9935,2.9055,2.9935,0,0
PCE_PE,D,20080902,000000,2.9935,3.0816,2.9935,3.0816,0,0
PCE_PE,D,20080903,000000,3.0816,3.0816,2.9935,3.0816,0,0
PCE_PE,D,20080904,000000,3.1696,3.1696,2.9935,2.9935,0,0
PCE_PE,D,20080905,000000,2.9055,2.9935,2.9055,2.9935,0,0
PCE_PE,D,20080908,000000,2.9935,3.0816,2.9935,2.9935,0,0
PCE_PE,D,20080909,000000,2.9935,3.0816,2.9935,2.9935,0,0
PCE_PE,D,20080910,000000,2.9935,2.9935,2.9055,2.9055,0,0
PCE_PE,D,20080911,000000,2.9055,2.9055,2.8174,2.8174,0,0
PCE_PE,D,20080912,000000,2.8174,2.9055,2.8174,2.8174,0,0
PCE_PE,D,20080915,000000,2.7292,2.7292,2.6413,2.6413,0,0
PCE_PE,D,20080916,000000,2.6413,2.7292,2.5533,2.6413,0,0
PCE_PE,D,20080917,000000,2.7292,2.7292,2.6413,2.7292,0,0
PCE_PE,D,20080918,000000,2.6413,2.7292,2.6413,2.6413,0,0
PCE_PE,D,20080919,000000,2.7292,2.8174,2.6413,2.8174,0,0
PCE_PE,D,20080922,000000,2.9055,2.9055,2.8174,2.8174,0,0
PCE_PE,D,20080923,000000,2.8174,2.8174,2.7292,2.8174,0,0
PCE_PE,D,20080924,000000,2.9055,2.9055,2.7292,2.7292,0,0
PCE_PE,D,20080925,000000,2.7292,2.7292,2.7292,2.7292,0,0
PCE_PE,D,20080926,000000,2.6413,2.7292,2.6413,2.7292,0,0
PCE_PE,D,20080929,000000,2.7292,2.7292,2.5533,2.5533,0,0
PCE_PE,D,20080930,000000,2.4652,2.6413,2.4652,2.6413,0,0
PCE_PE,D,20081001,000000,2.6413,2.7292,2.6413,2.7292,0,0
PCE_PE,D,20081002,000000,2.7292,2.7292,2.6413,2.6413,0,0
PCE_PE,D,20081003,000000,2.6413,2.6413,2.3773,2.3773,0,0
PCE_PE,D,20081006,000000,2.2892,2.2892,2.2012,2.2012,0,0
PCE_PE,D,20081007,000000,2.2012,2.2012,1.8489,1.9369,0,0
PCE_PE,D,20081008,000000,1.7609,2.025,1.7609,1.9369,0,0
PCE_PE,D,20081009,000000,1.9369,2.025,1.9369,2.025,0,0
PCE_PE,D,20081010,000000,1.8489,1.9369,1.8489,1.8489,0,0
PCE_PE,D,20081013,000000,1.9369,1.9369,1.8489,1.9369,0,0
PCE_PE,D,20081014,000000,2.1131,2.1131,2.025,2.1131,0,0
PCE_PE,D,20081015,000000,2.2012,2.2012,2.025,2.025,0,0
PCE_PE,D,20081016,000000,1.8489,1.9369,1.8489,1.8489,0,0
PCE_PE,D,20081017,000000,1.9369,1.9369,1.6728,1.7609,0,0
PCE_PE,D,20081020,000000,1.7609,1.8489,1.7609,1.7609,0,0
PCE_PE,D,20081021,000000,1.7609,1.7609,1.6728,1.6728,0,0
PCE_PE,D,20081022,000000,1.6728,1.6728,1.4968,1.5847,0,0
PCE_PE,D,20081023,000000,1.5847,1.5847,1.4087,1.4087,0,0
PCE_PE,D,20081024,000000,1.4087,1.4087,1.3207,1.3207,0,0
PCE_PE,D,20081027,000000,1.3207,1.4087,1.2327,1.3207,0,0
PCE_PE,D,20081028,000000,1.3207,1.4087,1.3207,1.4087,0,0
PCE_PE,D,20081029,000000,1.4968,1.5847,1.4087,1.4968,0,0
PCE_PE,D,20081030,000000,1.5847,1.5847,1.4968,1.5847,0,0
PCE_PE,D,20081031,000000,1.5847,1.5847,1.5847,1.5847,0,0
PCE_PE,D,20081103,000000,1.5847,1.7609,1.5847,1.7609,0,0
PCE_PE,D,20081104,000000,1.7609,1.8489,1.7609,1.7609,0,0
PCE_PE,D,20081105,000000,1.7609,1.7609,1.6728,1.7609,0,0
PCE_PE,D,20081106,000000,1.7609,1.7609,1.5847,1.5847,0,0
PCE_PE,D,20081107,000000,1.4968,1.5847,1.4968,1.5847,0,0
PCE_PE,D,20081110,000000,1.5847,1.5847,1.4968,1.4968,0,0
PCE_PE,D,20081112,000000,1.4087,1.4968,1.3207,1.3207,0,0
PCE_PE,D,20081113,000000,1.3207,1.3207,1.2327,1.2327,0,0
PCE_PE,D,20081114,000000,1.3207,1.3207,1.1445,1.2327,0,0
PCE_PE,D,20081117,000000,1.2327,1.2327,0.9685,0.9685,0,0
PCE_PE,D,20081118,000000,0.9685,0.9685,0.7924,0.8804,0,0
PCE_PE,D,20081119,000000,0.8804,0.8804,0.8804,0.8804,0,0
PCE_PE,D,20081120,000000,0.7924,0.8804,0.7924,0.7924,0,0
PCE_PE,D,20081121,000000,0.8804,0.8804,0.7924,0.8804,0,0
PCE_PE,D,20081124,000000,0.8804,0.9685,0.8804,0.9685,0,0
PCE_PE,D,20081125,000000,0.9685,0.9685,0.9685,0.9685,0,0
PCE_PE,D,20081126,000000,0.9685,0.9685,0.8804,0.8804,0,0
PCE_PE,D,20081127,000000,0.8804,0.9685,0.8804,0.9685,0,0
PCE_PE,D,20081128,000000,0.9685,0.9685,0.8804,0.8804,0,0
PCE_PE,D,20081201,000000,0.8804,0.8804,0.7924,0.8804,0,0
PCE_PE,D,20081202,000000,0.8804,0.9685,0.8804,0.8804,0,0
PCE_PE,D,20081203,000000,0.8804,0.8804,0.8804,0.8804,0,0
PCE_PE,D,20081204,000000,0.8804,0.8804,0.8804,0.8804,0,0
PCE_PE,D,20081205,000000,0.8804,0.8804,0.8804,0.8804,0,0
PCE_PE,D,20081208,000000,0.8804,0.9685,0.8804,0.9685,0,0
PCE_PE,D,20081209,000000,0.9685,0.9685,0.9685,0.9685,0,0
PCE_PE,D,20081210,000000,0.9685,1.0565,0.9685,0.9685,0,0
