<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PEP_PE,D,20070813,000000,38.495,38.495,38.495,38.495,0,0
PEP_PE,D,20070814,000000,38.302,38.302,38.302,38.302,0,0
PEP_PE,D,20070816,000000,36.174,36.174,36.174,36.174,0,0
PEP_PE,D,20070817,000000,36.27,36.27,36.27,36.27,0,0
PEP_PE,D,20070820,000000,35.593,35.593,35.593,35.593,0,0
PEP_PE,D,20070821,000000,33.949,33.949,33.949,33.949,0,0
PEP_PE,D,20070822,000000,35.303,35.303,35.303,35.303,0,0
PEP_PE,D,20070823,000000,34.82,34.82,34.82,34.82,0,0
PEP_PE,D,20070824,000000,35.303,35.303,35.303,35.303,0,0
PEP_PE,D,20070827,000000,35.4,35.4,35.4,35.4,0,0
PEP_PE,D,20070828,000000,35.11,35.11,35.11,35.11,0,0
PEP_PE,D,20070829,000000,34.433,34.433,34.433,34.433,0,0
PEP_PE,D,20070830,000000,34.336,34.336,34.336,34.336,0,0
PEP_PE,D,20070831,000000,34.723,34.723,34.723,34.723,0,0
PEP_PE,D,20070903,000000,34.336,34.336,34.336,34.336,0,0
PEP_PE,D,20070904,000000,34.239,34.239,34.239,34.239,0,0
PEP_PE,D,20070905,000000,34.143,34.143,34.143,34.143,0,0
PEP_PE,D,20070906,000000,34.239,34.239,34.239,34.239,0,0
PEP_PE,D,20070907,000000,34.046,34.046,34.046,34.046,0,0
PEP_PE,D,20070910,000000,34.046,34.046,34.046,34.046,0,0
PEP_PE,D,20070911,000000,34.53,34.53,34.53,34.53,0,0
PEP_PE,D,20070912,000000,35.303,35.303,35.303,35.303,0,0
PEP_PE,D,20070913,000000,37.044,37.044,37.044,37.044,0,0
PEP_PE,D,20070914,000000,36.561,36.561,36.561,36.561,0,0
PEP_PE,D,20070917,000000,37.044,37.044,37.044,37.044,0,0
PEP_PE,D,20070918,000000,37.044,37.044,37.044,37.044,0,0
PEP_PE,D,20070919,000000,37.044,37.044,37.044,37.044,0,0
PEP_PE,D,20070920,000000,36.561,36.561,36.561,36.561,0,0
PEP_PE,D,20070921,000000,37.044,37.044,37.044,37.044,0,0
PEP_PE,D,20070924,000000,36.754,36.754,36.754,36.754,0,0
PEP_PE,D,20070925,000000,36.077,36.077,36.077,36.077,0,0
PEP_PE,D,20070926,000000,35.787,35.787,35.787,35.787,0,0
PEP_PE,D,20070927,000000,35.497,35.497,35.497,35.497,0,0
PEP_PE,D,20070928,000000,34.336,34.336,34.336,34.336,0,0
PEP_PE,D,20071001,000000,34.046,34.046,34.046,34.046,0,0
PEP_PE,D,20071002,000000,34.046,34.046,34.046,34.046,0,0
PEP_PE,D,20071003,000000,33.949,33.949,33.949,33.949,0,0
PEP_PE,D,20071004,000000,33.562,33.562,33.562,33.562,0,0
PEP_PE,D,20071005,000000,33.175,33.175,33.175,33.175,0,0
PEP_PE,D,20071008,000000,33.562,33.562,33.562,33.562,0,0
PEP_PE,D,20071009,000000,35.013,35.013,35.013,35.013,0,0
PEP_PE,D,20071010,000000,36.851,36.851,36.851,36.851,0,0
PEP_PE,D,20071011,000000,36.851,36.851,36.851,36.851,0,0
PEP_PE,D,20071012,000000,37.528,37.528,37.528,37.528,0,0
PEP_PE,D,20071015,000000,37.528,37.528,37.528,37.528,0,0
PEP_PE,D,20071016,000000,37.528,37.528,37.528,37.528,0,0
PEP_PE,D,20071017,000000,37.818,37.818,37.818,37.818,0,0
PEP_PE,D,20071018,000000,37.915,37.915,37.915,37.915,0,0
PEP_PE,D,20071019,000000,38.785,38.785,38.785,38.785,0,0
PEP_PE,D,20071022,000000,38.495,38.495,38.495,38.495,0,0
PEP_PE,D,20071023,000000,39.172,39.172,39.172,39.172,0,0
PEP_PE,D,20071024,000000,40.043,40.043,40.043,40.043,0,0
PEP_PE,D,20071025,000000,41.3,41.3,41.3,41.3,0,0
PEP_PE,D,20071026,000000,41.01,41.01,41.01,41.01,0,0
PEP_PE,D,20071029,000000,40.526,40.526,40.526,40.526,0,0
PEP_PE,D,20071030,000000,40.139,40.139,40.139,40.139,0,0
PEP_PE,D,20071031,000000,40.139,40.139,40.139,40.139,0,0
PEP_PE,D,20071102,000000,39.462,39.462,39.462,39.462,0,0
PEP_PE,D,20071105,000000,38.495,38.495,38.495,38.495,0,0
PEP_PE,D,20071106,000000,37.141,37.141,37.141,37.141,0,0
PEP_PE,D,20071107,000000,35.69,35.69,35.69,35.69,0,0
PEP_PE,D,20071108,000000,34.53,34.53,34.53,34.53,0,0
PEP_PE,D,20071109,000000,34.53,37.528,34.336,37.528,0,0
PEP_PE,D,20071112,000000,36.657,37.528,36.174,37.044,0,0
PEP_PE,D,20071113,000000,36.948,37.431,36.174,36.561,0,0
PEP_PE,D,20071114,000000,37.334,37.528,36.077,36.561,0,0
PEP_PE,D,20071115,000000,36.077,36.561,32.982,35.593,0,0
PEP_PE,D,20071116,000000,34.723,35.593,33.756,34.239,0,0
PEP_PE,D,20071119,000000,34.239,35.497,33.562,33.756,0,0
PEP_PE,D,20071120,000000,33.949,34.723,32.595,34.723,0,0
PEP_PE,D,20071121,000000,34.53,34.53,33.079,33.079,0,0
PEP_PE,D,20071122,000000,33.079,33.562,30.564,33.562,0,0
PEP_PE,D,20071123,000000,33.466,34.336,33.466,33.562,0,0
PEP_PE,D,20071126,000000,34.143,34.143,32.789,32.982,0,0
PEP_PE,D,20071127,000000,32.402,32.402,31.338,32.208,0,0
PEP_PE,D,20071128,000000,32.111,34.046,20.311,20.311,0,0
PEP_PE,D,20071129,000000,20.505,20.505,19.925,20.311,0,0
PEP_PE,D,20071130,000000,20.408,20.602,20.021,20.602,0,0
PEP_PE,D,20071203,000000,20.698,21.182,20.215,21.085,0,0
PEP_PE,D,20071204,000000,20.892,21.472,20.698,21.375,0,0
PEP_PE,D,20071205,000000,21.182,21.762,21.182,21.762,0,0
PEP_PE,D,20071206,000000,22.052,22.246,21.375,22.052,0,0
PEP_PE,D,20071207,000000,22.052,22.343,22.052,22.052,0,0
PEP_PE,D,20071210,000000,22.343,22.343,22.052,22.246,0,0
PEP_PE,D,20071211,000000,22.052,22.923,21.762,22.923,0,0
PEP_PE,D,20071212,000000,22.052,22.826,22.052,22.633,0,0
PEP_PE,D,20071213,000000,22.343,22.343,21.762,21.956,0,0
PEP_PE,D,20071214,000000,21.762,21.859,21.279,21.859,0,0
PEP_PE,D,20071217,000000,21.182,21.472,20.602,21.472,0,0
PEP_PE,D,20071218,000000,21.569,21.569,20.505,21.472,0,0
PEP_PE,D,20071219,000000,20.989,21.182,20.989,21.182,0,0
PEP_PE,D,20071220,000000,20.989,21.472,20.892,21.472,0,0
PEP_PE,D,20071221,000000,21.472,21.472,21.279,21.279,0,0
PEP_PE,D,20071227,000000,21.279,22.149,21.182,21.956,0,0
PEP_PE,D,20071228,000000,22.149,22.633,21.762,21.762,0,0
