<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PGV_PE,D,20070827,000000,34.3,34.3,34.3,34.3,0,0
PGV_PE,D,20070828,000000,31.3,31.3,31.3,31.3,0,0
PGV_PE,D,20070829,000000,30.9,30.9,30.9,30.9,0,0
PGV_PE,D,20070830,000000,28.3,28.3,28.3,28.3,0,0
PGV_PE,D,20070831,000000,29,29,29,29,0,0
PGV_PE,D,20070903,000000,28.3,28.3,28.3,28.3,0,0
PGV_PE,D,20070904,000000,27.5,27.5,27.5,27.5,0,0
PGV_PE,D,20070905,000000,26.6,26.6,26.6,26.6,0,0
PGV_PE,D,20070906,000000,27,27,27,27,0,0
PGV_PE,D,20070907,000000,26.8,26.8,26.8,26.8,0,0
PGV_PE,D,20070910,000000,25.8,25.8,25.8,25.8,0,0
PGV_PE,D,20070911,000000,26.2,26.2,26.2,26.2,0,0
PGV_PE,D,20070912,000000,26,26,26,26,0,0
PGV_PE,D,20070913,000000,25.7,25.7,25.7,25.7,0,0
PGV_PE,D,20070914,000000,25.6,25.6,25.6,25.6,0,0
PGV_PE,D,20070917,000000,24.5,24.5,24.5,24.5,0,0
PGV_PE,D,20070918,000000,24.8,24.8,24.8,24.8,0,0
PGV_PE,D,20070919,000000,25.7,25.7,25.7,25.7,0,0
PGV_PE,D,20070920,000000,26.5,26.5,26.5,26.5,0,0
PGV_PE,D,20070921,000000,26.3,26.3,26.3,26.3,0,0
PGV_PE,D,20070924,000000,26,26,26,26,0,0
PGV_PE,D,20070925,000000,24.9,24.9,24.9,24.9,0,0
PGV_PE,D,20070926,000000,25.3,25.3,25.3,25.3,0,0
PGV_PE,D,20070927,000000,25.3,25.3,25.3,25.3,0,0
PGV_PE,D,20070928,000000,25.3,25.3,25.3,25.3,0,0
PGV_PE,D,20071001,000000,24.4,24.4,24.4,24.4,0,0
PGV_PE,D,20071002,000000,24.2,24.2,24.2,24.2,0,0
PGV_PE,D,20071003,000000,23.9,23.9,23.9,23.9,0,0
PGV_PE,D,20071004,000000,32.1,32.1,32.1,32.1,0,0
