<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PHR_PE,D,20080825,000000,279.28,279.28,279.28,279.28,0,0
PHR_PE,D,20080826,000000,280.43,280.53,280.43,280.53,0,0
PHR_PE,D,20080827,000000,275.62,275.72,275.62,275.72,0,0
PHR_PE,D,20080828,000000,280.14,280.34,280.14,280.34,0,0
PHR_PE,D,20080902,000000,281.78,281.78,271.3,279.85,0,0
PHR_PE,D,20080904,000000,274.66,274.66,274.66,274.66,0,0
PHR_PE,D,20080905,000000,281.78,281.78,281.78,281.78,0,0
PHR_PE,D,20080911,000000,276.68,276.68,276.21,276.21,0,0
PHR_PE,D,20080915,000000,277.26,277.26,277.26,277.26,0,0
PHR_PE,D,20080916,000000,278.22,278.22,278.22,278.22,0,0
PHR_PE,D,20080929,000000,278.41,278.41,278.41,278.41,0,0
PHR_PE,D,20081001,000000,278.41,279.28,278.41,279.28,0,0
PHR_PE,D,20081003,000000,278.89,279.76,278.89,279.76,0,0
PHR_PE,D,20081006,000000,274.76,277.75,267.55,267.55,0,0
PHR_PE,D,20081007,000000,267.55,267.55,259.76,259.76,0,0
PHR_PE,D,20081008,000000,261.5,261.5,261.5,261.5,0,0
PHR_PE,D,20081010,000000,255.34,255.34,255.34,255.34,0,0
PHR_PE,D,20081013,000000,257.37,257.37,257.37,257.37,0,0
PHR_PE,D,20081014,000000,257.37,257.37,257.37,257.37,0,0
PHR_PE,D,20081024,000000,246.98,246.98,246.78,246.78,0,0
PHR_PE,D,20081029,000000,247.16,247.74,247.16,247.74,0,0
PHR_PE,D,20081030,000000,247.84,248.04,247.84,248.04,0,0
PHR_PE,D,20081031,000000,248.22,248.22,248.22,248.22,0,0
PHR_PE,D,20081103,000000,249.28,250.82,249.28,250.82,0,0
PHR_PE,D,20081106,000000,252.36,256.39,252.36,256.39,0,0
PHR_PE,D,20081107,000000,256.39,256.39,256.39,256.39,0,0
PHR_PE,D,20081110,000000,256.88,257.27,256.88,257.27,0,0
PHR_PE,D,20081112,000000,259.37,259.96,253.32,253.32,0,0
PHR_PE,D,20081113,000000,245.14,255.14,245.14,255.14,0,0
PHR_PE,D,20081114,000000,255.14,255.14,255.14,255.14,0,0
PHR_PE,D,20081117,000000,244.18,256.39,244.18,256.39,0,0
PHR_PE,D,20081118,000000,248.12,256.68,244.48,256.68,0,0
PHR_PE,D,20081119,000000,251.3,251.3,251.02,251.02,0,0
