<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PKN_PE,D,20070813,000000,8.80538,8.80538,8.80538,8.80538,0,0
PKN_PE,D,20070814,000000,7.64544,7.64544,7.64544,7.64544,0,0
PKN_PE,D,20070816,000000,7.30221,7.30221,7.30221,7.30221,0,0
PKN_PE,D,20070817,000000,7.30221,7.30221,7.30221,7.30221,0,0
PKN_PE,D,20070820,000000,7.57425,7.57425,7.57425,7.57425,0,0
PKN_PE,D,20070821,000000,7.50994,7.50994,7.50994,7.50994,0,0
PKN_PE,D,20070822,000000,7.91872,7.91872,7.91872,7.91872,0,0
PKN_PE,D,20070823,000000,7.91872,7.91872,7.91872,7.91872,0,0
PKN_PE,D,20070824,000000,8.18943,8.18943,8.18943,8.18943,0,0
PKN_PE,D,20070827,000000,7.98838,7.98838,7.98838,7.98838,0,0
PKN_PE,D,20070828,000000,7.78179,7.78179,7.78179,7.78179,0,0
PKN_PE,D,20070829,000000,8.32541,8.32541,8.32541,8.32541,0,0
PKN_PE,D,20070830,000000,8.60394,8.60394,8.60394,8.60394,0,0
PKN_PE,D,20070831,000000,8.80538,8.80538,8.80538,8.80538,0,0
PKN_PE,D,20070903,000000,9.0134,9.0134,9.0134,9.0134,0,0
PKN_PE,D,20070904,000000,8.94068,8.94068,8.94068,8.94068,0,0
PKN_PE,D,20070905,000000,8.74087,8.74087,8.74087,8.74087,0,0
PKN_PE,D,20070906,000000,8.66826,8.66826,8.66826,8.66826,0,0
PKN_PE,D,20070907,000000,8.60394,8.60394,8.60394,8.60394,0,0
PKN_PE,D,20070910,000000,8.39688,8.39688,8.39688,8.39688,0,0
PKN_PE,D,20070911,000000,8.46148,8.46148,8.46148,8.46148,0,0
PKN_PE,D,20070912,000000,8.60394,8.60394,8.60394,8.60394,0,0
PKN_PE,D,20070913,000000,8.80538,8.80538,8.80538,8.80538,0,0
PKN_PE,D,20070914,000000,8.66826,8.66826,8.66826,8.66826,0,0
PKN_PE,D,20070917,000000,8.46148,8.46148,8.46148,8.46148,0,0
PKN_PE,D,20070918,000000,8.60394,8.60394,8.60394,8.60394,0,0
PKN_PE,D,20070919,000000,9.0134,9.0134,9.0134,9.0134,0,0
PKN_PE,D,20070920,000000,9.0134,9.0134,9.0134,9.0134,0,0
PKN_PE,D,20070921,000000,9.0134,9.0134,9.0134,9.0134,0,0
PKN_PE,D,20070924,000000,8.80538,8.80538,8.80538,8.80538,0,0
PKN_PE,D,20070925,000000,8.80538,8.80538,8.80538,8.80538,0,0
PKN_PE,D,20070926,000000,9.0134,9.0134,9.0134,9.0134,0,0
PKN_PE,D,20070927,000000,8.66826,8.66826,8.66826,8.66826,0,0
PKN_PE,D,20070928,000000,8.53161,8.53161,8.53161,8.53161,0,0
PKN_PE,D,20071001,000000,8.46148,8.46148,8.46148,8.46148,0,0
PKN_PE,D,20071002,000000,8.74087,8.74087,8.74087,8.74087,0,0
PKN_PE,D,20071003,000000,8.60394,8.60394,8.60394,8.60394,0,0
PKN_PE,D,20071004,000000,8.60394,8.60394,8.60394,8.60394,0,0
PKN_PE,D,20071005,000000,8.53161,8.53161,8.53161,8.53161,0,0
PKN_PE,D,20071008,000000,8.53161,8.53161,8.53161,8.53161,0,0
PKN_PE,D,20071009,000000,8.66826,8.66826,8.66826,8.66826,0,0
PKN_PE,D,20071010,000000,8.46148,8.46148,8.46148,8.46148,0,0
PKN_PE,D,20071011,000000,8.66826,8.66826,8.66826,8.66826,0,0
PKN_PE,D,20071012,000000,8.60394,8.60394,8.60394,8.60394,0,0
PKN_PE,D,20071015,000000,8.60394,8.60394,8.60394,8.60394,0,0
PKN_PE,D,20071016,000000,8.60394,8.60394,8.60394,8.60394,0,0
PKN_PE,D,20071017,000000,8.74087,8.74087,8.74087,8.74087,0,0
PKN_PE,D,20071018,000000,8.66826,8.66826,8.66826,8.66826,0,0
PKN_PE,D,20071019,000000,8.60394,8.60394,8.60394,8.60394,0,0
PKN_PE,D,20071022,000000,8.46148,8.46148,8.46148,8.46148,0,0
PKN_PE,D,20071023,000000,8.74087,8.74087,8.74087,8.74087,0,0
PKN_PE,D,20071024,000000,8.66826,8.66826,8.66826,8.66826,0,0
PKN_PE,D,20071025,000000,8.74087,8.74087,8.74087,8.74087,0,0
PKN_PE,D,20071026,000000,8.80538,8.80538,8.80538,8.80538,0,0
PKN_PE,D,20071029,000000,9.0134,9.0134,9.0134,9.0134,0,0
PKN_PE,D,20071030,000000,8.94068,8.94068,8.94068,8.94068,0,0
PKN_PE,D,20071031,000000,8.87628,8.87628,8.87628,8.87628,0,0
PKN_PE,D,20071102,000000,8.66826,8.66826,8.66826,8.66826,0,0
PKN_PE,D,20071105,000000,8.60394,8.60394,8.60394,8.60394,0,0
PKN_PE,D,20071106,000000,8.46148,8.46148,8.46148,8.46148,0,0
PKN_PE,D,20071107,000000,8.12455,8.12455,8.12455,8.12455,0,0
PKN_PE,D,20071108,000000,7.85384,7.85384,7.85384,7.85384,0,0
PKN_PE,D,20071109,000000,7.91872,7.91872,7.50994,7.57425,0,0
PKN_PE,D,20071112,000000,7.57425,7.7107,7.50994,7.57425,0,0
PKN_PE,D,20071113,000000,7.7107,7.98838,7.7107,7.85384,0,0
PKN_PE,D,20071114,000000,7.98838,8.12455,7.85384,7.85384,0,0
PKN_PE,D,20071115,000000,7.85384,9.96102,7.7107,9.96102,0,0
PKN_PE,D,20071116,000000,9.82934,10.171,9.82934,9.899,0,0
PKN_PE,D,20071119,000000,10.0355,10.171,9.899,10.0355,0,0
PKN_PE,D,20071120,000000,10.171,10.171,10.171,10.171,0,0
PKN_PE,D,20071121,000000,9.96102,10.378,9.96102,10.378,0,0
PKN_PE,D,20071122,000000,10.2416,10.378,10.171,10.171,0,0
PKN_PE,D,20071123,000000,10.2416,10.378,10.171,10.2416,0,0
PKN_PE,D,20071126,000000,10.4429,10.4429,9.96102,9.96102,0,0
PKN_PE,D,20071127,000000,10.0355,10.0355,9.7635,9.7635,0,0
PKN_PE,D,20071128,000000,9.899,9.899,9.7635,9.82934,0,0
PKN_PE,D,20071129,000000,10.0355,10.0355,9.82934,9.82934,0,0
PKN_PE,D,20071130,000000,10.0355,10.3064,10.0355,10.3064,0,0
PKN_PE,D,20071203,000000,10.107,10.171,9.96102,9.96102,0,0
PKN_PE,D,20071204,000000,10.107,10.378,10.107,10.378,0,0
PKN_PE,D,20071205,000000,10.4429,10.7139,10.4429,10.7139,0,0
PKN_PE,D,20071206,000000,10.7139,10.857,10.5774,10.7139,0,0
