<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PKO_PB,D,20070813,000000,3.48452,3.48452,3.48452,3.48452,0,0
PKO_PB,D,20070814,000000,3.41433,3.41433,3.41433,3.41433,0,0
PKO_PB,D,20070816,000000,3.18252,3.18252,3.18252,3.18252,0,0
PKO_PB,D,20070817,000000,3.30187,3.30187,3.30187,3.30187,0,0
PKO_PB,D,20070820,000000,3.30895,3.30895,3.30895,3.30895,0,0
PKO_PB,D,20070821,000000,3.23158,3.23158,3.23158,3.23158,0,0
PKO_PB,D,20070822,000000,3.44942,3.44942,3.44942,3.44942,0,0
PKO_PB,D,20070823,000000,3.44942,3.44942,3.44942,3.44942,0,0
PKO_PB,D,20070824,000000,3.47745,3.47745,3.47745,3.47745,0,0
PKO_PB,D,20070827,000000,3.48452,3.48452,3.48452,3.48452,0,0
PKO_PB,D,20070828,000000,3.47745,3.47745,3.47745,3.47745,0,0
PKO_PB,D,20070829,000000,3.54056,3.54056,3.54056,3.54056,0,0
PKO_PB,D,20070830,000000,3.44254,3.44254,3.44254,3.44254,0,0
PKO_PB,D,20070831,000000,3.57575,3.57575,3.57575,3.57575,0,0
PKO_PB,D,20070903,000000,3.5266,3.5266,3.5266,3.5266,0,0
PKO_PB,D,20070904,000000,3.5617,3.5617,3.5617,3.5617,0,0
PKO_PB,D,20070905,000000,3.47745,3.47745,3.47745,3.47745,0,0
PKO_PB,D,20070906,000000,3.42848,3.42848,3.42848,3.42848,0,0
PKO_PB,D,20070907,000000,3.37206,3.37206,3.37206,3.37206,0,0
PKO_PB,D,20070910,000000,3.29498,3.29498,3.29498,3.29498,0,0
PKO_PB,D,20070911,000000,3.33697,3.33697,3.33697,3.33697,0,0
PKO_PB,D,20070912,000000,3.4565,3.4565,3.4565,3.4565,0,0
PKO_PB,D,20070913,000000,3.51962,3.51962,3.51962,3.51962,0,0
PKO_PB,D,20070914,000000,3.47745,3.47745,3.47745,3.47745,0,0
PKO_PB,D,20070917,000000,3.54056,3.54056,3.54056,3.54056,0,0
PKO_PB,D,20070918,000000,3.5617,3.5617,3.5617,3.5617,0,0
PKO_PB,D,20070919,000000,3.73737,3.73737,3.73737,3.73737,0,0
PKO_PB,D,20070920,000000,3.74435,3.74435,3.74435,3.74435,0,0
PKO_PB,D,20070921,000000,3.68132,3.68132,3.68132,3.68132,0,0
PKO_PB,D,20070924,000000,3.64613,3.64613,3.64613,3.64613,0,0
PKO_PB,D,20070925,000000,3.57575,3.57575,3.57575,3.57575,0,0
PKO_PB,D,20070926,000000,3.61094,3.61094,3.61094,3.61094,0,0
PKO_PB,D,20070927,000000,3.625,3.625,3.625,3.625,0,0
