<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLW_PE,D,20161019,000000,47.8026,47.8026,47.8026,47.8026,0,0
PLW_PE,D,20161020,000000,46.0737,47.8026,44.431,47.8026,0,0
PLW_PE,D,20161021,000000,46.9386,47.8026,46.9386,47.8026,0,0
PLW_PE,D,20161024,000000,47.8879,50.7413,47.8026,50.1369,0,0
PLW_PE,D,20161025,000000,50.2231,50.2231,49.0124,49.9626,0,0
PLW_PE,D,20161026,000000,49.7902,49.7902,48.3208,48.3208,0,0
PLW_PE,D,20161027,000000,48.84,48.84,47.3697,48.7538,0,0
PLW_PE,D,20161028,000000,47.8879,48.5804,47.8879,48.5804,0,0
PLW_PE,D,20161031,000000,47.8026,49.704,47.8026,49.704,0,0
PLW_PE,D,20161102,000000,49.704,49.704,48.6676,49.6168,0,0
PLW_PE,D,20161103,000000,49.6168,49.6168,48.5804,49.271,0,0
PLW_PE,D,20161104,000000,49.1858,49.1858,48.0613,48.7538,0,0
PLW_PE,D,20161107,000000,48.7538,48.7538,48.2346,48.7538,0,0
PLW_PE,D,20161108,000000,48.7538,48.7538,48.0613,48.4071,0,0
PLW_PE,D,20161109,000000,48.6676,48.7538,48.1475,48.7538,0,0
PLW_PE,D,20161110,000000,48.7538,48.7538,47.6293,48.4942,0,0
PLW_PE,D,20161114,000000,48.7538,48.7538,48.6676,48.6676,0,0
PLW_PE,D,20161115,000000,48.6676,48.6676,47.6293,48.3208,0,0
PLW_PE,D,20161116,000000,48.3208,48.3208,46.9386,48.3208,0,0
PLW_PE,D,20161117,000000,48.6676,48.6676,46.6781,46.6781,0,0
PLW_PE,D,20161118,000000,46.8524,46.8524,44.9501,44.9501,0,0
PLW_PE,D,20161121,000000,44.863,44.863,43.1341,43.999,0,0
PLW_PE,D,20161122,000000,43.2212,47.544,43.2212,47.544,0,0
PLW_PE,D,20161123,000000,47.544,47.544,47.2835,47.544,0,0
PLW_PE,D,20161124,000000,47.6293,47.6293,44.2576,46.8524,0,0
PLW_PE,D,20161125,000000,47.6293,49.4453,47.6293,49.4453,0,0
PLW_PE,D,20161128,000000,49.4453,49.4453,47.544,47.544,0,0
PLW_PE,D,20161129,000000,47.544,49.3573,46.6781,49.1858,0,0
PLW_PE,D,20161130,000000,49.1858,50.7413,48.1475,50.7413,0,0
PLW_PE,D,20161201,000000,50.7413,50.7413,48.4942,50.7413,0,0
PLW_PE,D,20161202,000000,50.7413,50.7413,49.0986,50.6551,0,0
PLW_PE,D,20161205,000000,50.6551,50.6551,49.271,49.271,0,0
PLW_PE,D,20161206,000000,50.7413,50.7413,49.0986,50.3093,0,0
PLW_PE,D,20161207,000000,50.3093,50.3093,49.0124,50.3093,0,0
PLW_PE,D,20161208,000000,49.0986,50.2231,49.0986,50.2231,0,0
PLW_PE,D,20161209,000000,50.3093,50.3093,49.0986,50.2231,0,0
PLW_PE,D,20161212,000000,50.2231,50.3093,49.0986,49.0986,0,0
PLW_PE,D,20161213,000000,49.0986,50.7413,49.0986,50.2231,0,0
PLW_PE,D,20161214,000000,50.3956,50.3956,49.704,49.704,0,0
PLW_PE,D,20161215,000000,49.704,49.704,49.0986,49.704,0,0
PLW_PE,D,20161216,000000,49.704,49.704,47.9751,48.6676,0,0
PLW_PE,D,20161219,000000,46.9386,49.4453,46.8524,49.0986,0,0
PLW_PE,D,20161220,000000,47.544,49.1858,47.544,48.6676,0,0
PLW_PE,D,20161221,000000,48.6676,48.6676,46.7643,46.7643,0,0
PLW_PE,D,20161222,000000,48.1475,48.1475,46.6781,46.6781,0,0
PLW_PE,D,20161223,000000,47.1973,47.1973,46.6781,46.9386,0,0
PLW_PE,D,20161227,000000,47.0249,47.9751,46.3333,47.8879,0,0
PLW_PE,D,20161228,000000,47.6293,47.6293,46.2461,47.0249,0,0
PLW_PE,D,20161229,000000,47.8026,49.704,47.6293,49.1858,0,0
PLW_PE,D,20161230,000000,48.6676,50.3093,48.6676,50.3093,0,0
PLW_PE,D,20170102,000000,50.4818,50.4818,48.3208,50.1369,0,0
PLW_PE,D,20170103,000000,50.4818,50.4818,47.6293,47.6293,0,0
PLW_PE,D,20170104,000000,48.6676,48.6676,47.6293,47.6293,0,0
PLW_PE,D,20170105,000000,47.6293,48.4942,46.5919,46.6781,0,0
PLW_PE,D,20170109,000000,46.6781,47.1973,46.6781,46.6781,0,0
PLW_PE,D,20170110,000000,46.6781,46.7643,46.0737,46.6781,0,0
PLW_PE,D,20170111,000000,46.6781,46.6781,46.0737,46.0737,0,0
PLW_PE,D,20170112,000000,46.5057,46.5057,45.1226,45.9004,0,0
PLW_PE,D,20170113,000000,46.5057,46.5057,45.1226,45.6417,0,0
PLW_PE,D,20170116,000000,45.1226,45.5555,44.6044,45.1226,0,0
PLW_PE,D,20170117,000000,45.1226,45.1226,44.2576,44.3457,0,0
PLW_PE,D,20170118,000000,44.3457,44.5172,44.1714,44.5172,0,0
PLW_PE,D,20170119,000000,44.6044,44.6044,43.5661,44.3457,0,0
PLW_PE,D,20170120,000000,44.6044,44.6044,43.5661,44.5172,0,0
PLW_PE,D,20170123,000000,44.6044,44.6044,43.6532,44.5172,0,0
PLW_PE,D,20170124,000000,44.6906,44.6906,43.6532,44.0852,0,0
PLW_PE,D,20170125,000000,43.5661,44.0852,43.5661,43.6532,0,0
PLW_PE,D,20170126,000000,44.6906,45.1226,43.7404,45.1226,0,0
PLW_PE,D,20170127,000000,45.1226,45.1226,43.9128,44.2576,0,0
PLW_PE,D,20170130,000000,43.7404,45.4684,43.7404,45.4684,0,0
PLW_PE,D,20170131,000000,45.4684,49.6168,45.4684,47.7164,0,0
PLW_PE,D,20170201,000000,47.6293,48.6676,47.6293,48.6676,0,0
PLW_PE,D,20170202,000000,48.6676,49.0124,48.3208,48.6676,0,0
PLW_PE,D,20170203,000000,48.6676,48.6676,48.1475,48.1475,0,0
PLW_PE,D,20170206,000000,48.1475,48.6676,48.1475,48.6676,0,0
PLW_PE,D,20170207,000000,48.6676,48.6676,48.4942,48.4942,0,0
PLW_PE,D,20170208,000000,48.4942,48.5804,48.2346,48.5804,0,0
PLW_PE,D,20170209,000000,48.5804,49.5316,48.0613,49.3573,0,0
PLW_PE,D,20170210,000000,48.6676,49.3573,48.6676,48.6676,0,0
PLW_PE,D,20170213,000000,48.6676,49.7902,48.6676,49.704,0,0
PLW_PE,D,20170214,000000,50.0507,50.0507,48.9271,49.271,0,0
PLW_PE,D,20170215,000000,49.704,49.9626,48.6676,49.9626,0,0
PLW_PE,D,20170216,000000,49.9626,49.9626,48.84,49.7902,0,0
PLW_PE,D,20170217,000000,49.704,49.704,48.7538,48.84,0,0
PLW_PE,D,20170220,000000,49.9626,50.0507,49.704,50.0507,0,0
PLW_PE,D,20170221,000000,50.0507,51.2586,49.1858,50.8275,0,0
PLW_PE,D,20170222,000000,50.8275,51.3467,50.1369,50.8275,0,0
PLW_PE,D,20170223,000000,51.2586,51.2586,50.568,50.7413,0,0
PLW_PE,D,20170224,000000,50.7413,50.7413,50.0507,50.7413,0,0
PLW_PE,D,20170227,000000,51.8649,53.7672,51.8649,52.816,0,0
PLW_PE,D,20170228,000000,53.3352,58.089,52.7289,56.7921,0,0
