<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRI_PE,D,20080528,000000,8.7407,8.7407,8.7407,8.7407,0,0
PRI_PE,D,20080529,000000,8.7407,8.7407,8.3121,8.6186,0,0
PRI_PE,D,20080602,000000,8.3743,8.7407,8.1899,8.7407,0,0
PRI_PE,D,20080603,000000,8.2514,8.2514,8.2514,8.2514,0,0
PRI_PE,D,20080604,000000,8.2514,8.6186,8.0063,8.6186,0,0
PRI_PE,D,20080605,000000,8.1285,8.6186,8.1285,8.6186,0,0
PRI_PE,D,20080606,000000,8.6186,8.6186,8.6186,8.6186,0,0
PRI_PE,D,20080609,000000,8.6186,8.6186,8.1285,8.5571,0,0
PRI_PE,D,20080610,000000,8.6186,8.6186,8.5571,8.5571,0,0
PRI_PE,D,20080611,000000,8.5571,8.5571,8.1899,8.3121,0,0
PRI_PE,D,20080612,000000,8.2514,8.2514,7.8842,8.2514,0,0
PRI_PE,D,20080613,000000,8.2514,8.2514,7.8842,8.2514,0,0
PRI_PE,D,20080616,000000,8.2514,8.2514,8.2514,8.2514,0,0
PRI_PE,D,20080617,000000,8.2514,8.2514,8.2514,8.2514,0,0
PRI_PE,D,20080618,000000,7.8842,8.3121,7.8842,8.3121,0,0
PRI_PE,D,20080619,000000,8.0063,8.3743,8.0063,8.3743,0,0
PRI_PE,D,20080620,000000,8.0063,8.3743,8.0063,8.3743,0,0
PRI_PE,D,20080623,000000,8.3743,8.3743,8.0678,8.3743,0,0
PRI_PE,D,20080624,000000,8.3743,8.3743,8.0063,8.2514,0,0
PRI_PE,D,20080625,000000,8.3121,8.3121,8.3121,8.3121,0,0
PRI_PE,D,20080626,000000,7.8842,7.8842,7.8842,7.8842,0,0
PRI_PE,D,20080627,000000,7.8842,7.8842,7.3963,7.8842,0,0
PRI_PE,D,20080630,000000,7.8235,8.2514,7.5185,8.2514,0,0
PRI_PE,D,20080701,000000,7.9456,7.9456,7.5185,7.8842,0,0
PRI_PE,D,20080702,000000,7.8842,7.8842,7.3963,7.6406,0,0
PRI_PE,D,20080703,000000,7.6406,7.6406,7.6406,7.6406,0,0
PRI_PE,D,20080704,000000,7.6406,7.6406,7.2737,7.6406,0,0
PRI_PE,D,20080708,000000,7.3963,7.5185,7.3963,7.5185,0,0
PRI_PE,D,20080709,000000,7.5185,7.5185,7.0285,7.2737,0,0
PRI_PE,D,20080710,000000,7.5185,7.762,6.7236,7.5792,0,0
PRI_PE,D,20080711,000000,7.2123,7.5185,7.2123,7.3341,0,0
PRI_PE,D,20080714,000000,7.5185,7.5792,7.5185,7.5792,0,0
PRI_PE,D,20080716,000000,7.2737,7.2737,7.09,7.2737,0,0
PRI_PE,D,20080717,000000,7.2737,7.2737,7.09,7.1507,0,0
PRI_PE,D,20080718,000000,7.09,7.3963,7.09,7.3963,0,0
PRI_PE,D,20080721,000000,7.3963,7.6406,7.3963,7.3963,0,0
PRI_PE,D,20080722,000000,7.2737,7.2737,7.2737,7.2737,0,0
PRI_PE,D,20080723,000000,7.5185,7.5185,7.5185,7.5185,0,0
PRI_PE,D,20080724,000000,7.762,7.762,7.762,7.762,0,0
PRI_PE,D,20080725,000000,7.8235,7.8235,7.8235,7.8235,0,0
PRI_PE,D,20080728,000000,7.8235,7.8235,7.8235,7.8235,0,0
PRI_PE,D,20080729,000000,7.8235,7.8235,7.8235,7.8235,0,0
PRI_PE,D,20080730,000000,7.8235,8.0063,7.8235,8.0063,0,0
PRI_PE,D,20080731,000000,8.2514,8.3121,8.2514,8.3121,0,0
PRI_PE,D,20080801,000000,8.6186,8.8621,8.435,8.435,0,0
PRI_PE,D,20080805,000000,8.8621,8.9235,8.8621,8.9235,0,0
PRI_PE,D,20080811,000000,8.9235,8.9235,8.8621,8.8621,0,0
PRI_PE,D,20080812,000000,8.8621,8.8621,8.8621,8.8621,0,0
PRI_PE,D,20080813,000000,8.8621,8.8621,8.8621,8.8621,0,0
PRI_PE,D,20080814,000000,8.8621,8.8621,8.8621,8.8621,0,0
PRI_PE,D,20080818,000000,8.6186,8.6793,8.6186,8.6793,0,0
PRI_PE,D,20080825,000000,8.8014,8.8014,8.6186,8.6186,0,0
PRI_PE,D,20080826,000000,8.6186,8.6186,8.6186,8.6186,0,0
PRI_PE,D,20080827,000000,8.6186,8.6186,8.6186,8.6186,0,0
PRI_PE,D,20080904,000000,8.6186,8.6186,8.6186,8.6186,0,0
PRI_PE,D,20080905,000000,8.7407,8.8621,8.7407,8.8014,0,0
PRI_PE,D,20080908,000000,8.8014,8.8014,8.8014,8.8014,0,0
PRI_PE,D,20080909,000000,8.8014,8.8014,8.8014,8.8014,0,0
PRI_PE,D,20080910,000000,8.8014,8.8014,8.8014,8.8014,0,0
PRI_PE,D,20080911,000000,8.8014,8.8014,8.8014,8.8014,0,0
PRI_PE,D,20080912,000000,8.8014,8.8014,8.8014,8.8014,0,0
PRI_PE,D,20080915,000000,8.8014,8.8014,8.8014,8.8014,0,0
PRI_PE,D,20080916,000000,8.8014,8.8014,8.8014,8.8014,0,0
PRI_PE,D,20080917,000000,8.8014,8.8014,8.8014,8.8014,0,0
PRI_PE,D,20080918,000000,8.9842,8.9842,8.9842,8.9842,0,0
PRI_PE,D,20080919,000000,8.9842,8.9842,8.9842,8.9842,0,0
PRI_PE,D,20080922,000000,9.0457,9.1064,9.0457,9.1064,0,0
PRI_PE,D,20080923,000000,8.7407,8.7407,8.7407,8.7407,0,0
PRI_PE,D,20080924,000000,9.1678,9.1678,9.1678,9.1678,0,0
PRI_PE,D,20080926,000000,9.2285,9.4129,9.2285,9.4129,0,0
PRI_PE,D,20080929,000000,9.0457,9.0457,9.0457,9.0457,0,0
PRI_PE,D,20080930,000000,9.3522,9.4129,9.3522,9.4129,0,0
PRI_PE,D,20081001,000000,9.4129,9.4129,9.4129,9.4129,0,0
PRI_PE,D,20081002,000000,9.29,9.29,9.29,9.29,0,0
PRI_PE,D,20081003,000000,9.29,9.29,9.29,9.29,0,0
PRI_PE,D,20081006,000000,9.29,9.29,8.8621,8.8621,0,0
PRI_PE,D,20081007,000000,8.6793,8.7407,8.6793,8.7407,0,0
PRI_PE,D,20081008,000000,8.3743,8.6186,8.3743,8.6186,0,0
PRI_PE,D,20081009,000000,8.3743,8.3743,8.3743,8.3743,0,0
PRI_PE,D,20081010,000000,8.2514,8.2514,8.2514,8.2514,0,0
PRI_PE,D,20081013,000000,8.2514,8.2514,8.2514,8.2514,0,0
PRI_PE,D,20081014,000000,8.6186,8.6186,8.6186,8.6186,0,0
PRI_PE,D,20081015,000000,8.4964,8.4964,8.4964,8.4964,0,0
PRI_PE,D,20081016,000000,8.8621,8.8621,8.8014,8.8014,0,0
PRI_PE,D,20081020,000000,8.8621,8.8621,8.8621,8.8621,0,0
PRI_PE,D,20081021,000000,8.8621,8.9235,8.8621,8.9235,0,0
PRI_PE,D,20081022,000000,8.1899,9.29,8.1899,8.3121,0,0
PRI_PE,D,20081023,000000,7.762,8.8014,7.09,8.8014,0,0
PRI_PE,D,20081027,000000,8.8014,8.8014,8.8014,8.8014,0,0
PRI_PE,D,20081028,000000,8.8014,8.8014,8.8014,8.8014,0,0
PRI_PE,D,20081029,000000,8.8014,8.8014,8.3121,8.3743,0,0
PRI_PE,D,20081030,000000,8.8621,8.8621,8.8014,8.8014,0,0
PRI_PE,D,20081031,000000,8.8014,8.8014,8.8014,8.8014,0,0
PRI_PE,D,20081103,000000,8.8014,8.8014,8.8014,8.8014,0,0
PRI_PE,D,20081104,000000,8.8014,8.8014,8.3743,8.3743,0,0
PRI_PE,D,20081106,000000,8.8621,8.8621,8.8014,8.8014,0,0
PRI_PE,D,20081107,000000,8.8014,8.8014,8.2514,8.2514,0,0
PRI_PE,D,20081112,000000,8.2514,8.2514,8.2514,8.2514,0,0
PRI_PE,D,20081113,000000,8.8014,8.8014,8.2514,8.2514,0,0
PRI_PE,D,20081114,000000,8.2514,8.3121,8.1899,8.1899,0,0
PRI_PE,D,20081117,000000,8.2514,8.2514,8.2514,8.2514,0,0
PRI_PE,D,20081118,000000,8.2514,8.2514,8.1899,8.2514,0,0
PRI_PE,D,20081119,000000,8.2514,8.2514,8.2514,8.2514,0,0
PRI_PE,D,20081120,000000,8.2514,8.2514,8.2514,8.2514,0,0
PRI_PE,D,20081121,000000,8.2514,8.2514,8.2514,8.2514,0,0
PRI_PE,D,20081124,000000,8.8621,8.8621,8.1285,8.1285,0,0
PRI_PE,D,20081126,000000,8.1285,8.1285,8.1285,8.1285,0,0
PRI_PE,D,20081128,000000,8.1285,8.1285,8.1285,8.1285,0,0
PRI_PE,D,20081201,000000,8.1285,8.1285,8.1285,8.1285,0,0
PRI_PE,D,20081209,000000,8.6186,8.6186,8.2514,8.2514,0,0
PRI_PE,D,20081210,000000,8.6186,8.6186,8.5571,8.5571,0,0
PRI_PE,D,20081211,000000,8.5571,8.5571,8.5571,8.5571,0,0
PRI_PE,D,20081212,000000,8.5571,8.5571,8.5571,8.5571,0,0
PRI_PE,D,20081215,000000,8.5571,8.6186,8.5571,8.6186,0,0
PRI_PE,D,20081217,000000,8.8621,8.8621,8.8014,8.8014,0,0
PRI_PE,D,20081218,000000,8.4964,8.4964,8.2514,8.2514,0,0
PRI_PE,D,20081219,000000,8.2514,8.2514,8.2514,8.2514,0,0
