<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRM_MV,D,20070813,000000,300.07,300.07,300.07,300.07,0,0
PRM_MV,D,20070814,000000,301.74,301.74,301.74,301.74,0,0
PRM_MV,D,20070816,000000,268.06,268.06,268.06,268.06,0,0
PRM_MV,D,20070817,000000,283.41,283.41,283.41,283.41,0,0
PRM_MV,D,20070820,000000,296.75,296.75,296.75,296.75,0,0
PRM_MV,D,20070821,000000,293.4,293.4,293.4,293.4,0,0
PRM_MV,D,20070822,000000,330.09,330.09,330.09,330.09,0,0
PRM_MV,D,20070823,000000,321.42,321.42,321.42,321.42,0,0
PRM_MV,D,20070824,000000,310.75,310.75,310.75,310.75,0,0
PRM_MV,D,20070827,000000,308.25,308.25,308.25,308.25,0,0
PRM_MV,D,20070828,000000,313.4,313.4,313.4,313.4,0,0
PRM_MV,D,20070829,000000,310.07,310.07,310.07,310.07,0,0
PRM_MV,D,20070830,000000,316.75,316.75,316.75,316.75,0,0
PRM_MV,D,20070831,000000,316.75,316.75,316.75,316.75,0,0
PRM_MV,D,20070903,000000,316.75,316.75,316.75,316.75,0,0
PRM_MV,D,20070904,000000,316.41,316.41,316.41,316.41,0,0
PRM_MV,D,20070905,000000,316.07,316.07,316.07,316.07,0,0
PRM_MV,D,20070906,000000,313.4,313.4,313.4,313.4,0,0
PRM_MV,D,20070907,000000,313.4,313.4,313.4,313.4,0,0
PRM_MV,D,20070910,000000,303.4,303.4,303.4,303.4,0,0
PRM_MV,D,20070911,000000,304.41,304.41,304.41,304.41,0,0
PRM_MV,D,20070912,000000,304.41,304.41,304.41,304.41,0,0
PRM_MV,D,20070913,000000,307.23,307.23,307.23,307.23,0,0
PRM_MV,D,20070914,000000,303.74,303.74,303.74,303.74,0,0
PRM_MV,D,20070917,000000,301.74,301.74,301.74,301.74,0,0
PRM_MV,D,20070918,000000,295.73,295.73,295.73,295.73,0,0
PRM_MV,D,20070919,000000,294.24,294.24,294.24,294.24,0,0
PRM_MV,D,20070920,000000,299.74,299.74,299.74,299.74,0,0
PRM_MV,D,20070921,000000,287.89,287.89,287.89,287.89,0,0
PRM_MV,D,20070924,000000,279.57,279.57,279.57,279.57,0,0
PRM_MV,D,20070925,000000,276.56,276.56,276.56,276.56,0,0
PRM_MV,D,20070926,000000,276.4,276.4,276.4,276.4,0,0
PRM_MV,D,20070927,000000,282.9,282.9,282.9,282.9,0,0
PRM_MV,D,20070928,000000,273.07,273.07,273.07,273.07,0,0
PRM_MV,D,20071001,000000,266.06,266.06,266.06,266.06,0,0
PRM_MV,D,20071002,000000,257.39,257.39,257.39,257.39,0,0
PRM_MV,D,20071003,000000,249.55,249.55,249.55,249.55,0,0
PRM_MV,D,20071004,000000,233.39,233.39,233.39,233.39,0,0
PRM_MV,D,20071005,000000,243.39,243.39,243.39,243.39,0,0
PRM_MV,D,20071008,000000,233.39,233.39,233.39,233.39,0,0
PRM_MV,D,20071009,000000,236.72,236.72,236.72,236.72,0,0
PRM_MV,D,20071010,000000,239.89,239.89,239.89,239.89,0,0
PRM_MV,D,20071011,000000,240.73,240.73,240.73,240.73,0,0
PRM_MV,D,20071012,000000,246.06,246.06,246.06,246.06,0,0
PRM_MV,D,20071015,000000,260.05,260.05,260.05,260.05,0,0
PRM_MV,D,20071016,000000,260.05,260.05,260.05,260.05,0,0
PRM_MV,D,20071017,000000,260.05,260.05,260.05,260.05,0,0
PRM_MV,D,20071018,000000,259.72,259.72,259.72,259.72,0,0
PRM_MV,D,20071019,000000,253.4,253.4,253.4,253.4,0,0
PRM_MV,D,20071022,000000,253.4,253.4,253.4,253.4,0,0
PRM_MV,D,20071023,000000,246.74,246.74,246.74,246.74,0,0
PRM_MV,D,20071024,000000,240.06,240.06,240.06,240.06,0,0
