<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
R22_MV,D,20171229,000000,188.459,188.459,188.459,188.459,0,0
R22_MV,D,20180103,000000,185.722,185.722,181.459,182.67,0,0
R22_MV,D,20180104,000000,183.182,183.182,176.084,178.103,0,0
R22_MV,D,20180105,000000,186.736,186.736,178.103,185.624,0,0
R22_MV,D,20180108,000000,187.75,192.721,182.67,182.67,0,0
R22_MV,D,20180109,000000,180.642,180.642,178.201,178.201,0,0
R22_MV,D,20180110,000000,179.53,182.572,179.53,182.572,0,0
R22_MV,D,20180111,000000,185.21,185.21,178.624,182.67,0,0
R22_MV,D,20180112,000000,178.103,185.722,178.103,185.722,0,0
R22_MV,D,20180115,000000,191.806,191.806,186.736,189.266,0,0
R22_MV,D,20180116,000000,192.721,192.721,186.135,189.483,0,0
R22_MV,D,20180117,000000,189.483,247.928,185.309,247.928,0,0
R22_MV,D,20180118,000000,247.928,249.139,237.828,249.139,0,0
R22_MV,D,20180119,000000,249.139,249.139,246.579,247.928,0,0
R22_MV,D,20180122,000000,249.139,249.277,247.928,249.277,0,0
R22_MV,D,20180123,000000,247.928,250.891,246.579,249.277,0,0
R22_MV,D,20180124,000000,249.277,250.635,247.131,250.084,0,0
R22_MV,D,20180125,000000,250.084,269.487,247.662,267.331,0,0
R22_MV,D,20180126,000000,256.02,266.258,256.02,264.092,0,0
R22_MV,D,20180129,000000,257.083,264.092,257.083,264.092,0,0
R22_MV,D,20180130,000000,265.175,265.175,257.083,261.395,0,0
R22_MV,D,20180131,000000,258.442,267.331,258.442,261.395,0,0
R22_MV,D,20180201,000000,267.075,269.487,261.139,269.487,0,0
R22_MV,D,20180202,000000,269.487,269.487,269.487,269.487,0,0
R22_MV,D,20180205,000000,262.753,262.753,253.323,262.753,0,0
R22_MV,D,20180206,000000,256.02,260.056,242.543,260.056,0,0
R22_MV,D,20180207,000000,268.148,268.148,260.056,262.488,0,0
R22_MV,D,20180208,000000,259.79,262.753,249.277,262.753,0,0
R22_MV,D,20180209,000000,256.276,262.753,251.974,261.395,0,0
R22_MV,D,20180212,000000,262.488,262.753,262.212,262.753,0,0
R22_MV,D,20180213,000000,263.561,274.882,263.561,267.075,0,0
R22_MV,D,20180214,000000,270.845,273.533,269.487,272.194,0,0
R22_MV,D,20180215,000000,274.212,275.551,272.864,275.551,0,0
R22_MV,D,20180216,000000,275.551,276.24,272.194,274.882,0,0
R22_MV,D,20180219,000000,276.24,282.294,276.24,280.266,0,0
R22_MV,D,20180220,000000,280.266,280.266,274.882,280.266,0,0
R22_MV,D,20180221,000000,278.928,280.266,269.487,273.533,0,0
R22_MV,D,20180222,000000,275.551,275.551,265.726,273.533,0,0
R22_MV,D,20180223,000000,271.515,271.515,262.753,262.753,0,0
R22_MV,D,20180226,000000,265.451,272.194,265.451,269.487,0,0
R22_MV,D,20180227,000000,269.487,269.487,269.487,269.487,0,0
R22_MV,D,20180228,000000,263.561,269.487,256.837,268.148,0,0
R22_MV,D,20180301,000000,265.451,265.451,258.717,258.717,0,0
R22_MV,D,20180302,000000,260.056,261.395,254.13,261.395,0,0
R22_MV,D,20180305,000000,264.092,264.092,257.369,261.395,0,0
R22_MV,D,20180306,000000,261.395,269.487,261.395,269.221,0,0
R22_MV,D,20180307,000000,268.68,269.221,262.753,266.79,0,0
R22_MV,D,20180308,000000,263.029,266.79,261.395,262.753,0,0
R22_MV,D,20180309,000000,261.395,269.221,261.395,269.221,0,0
R22_MV,D,20180312,000000,269.221,269.221,258.717,263.836,0,0
R22_MV,D,20180313,000000,265.451,265.451,260.056,260.056,0,0
R22_MV,D,20180314,000000,265.451,265.451,260.056,260.056,0,0
R22_MV,D,20180315,000000,260.056,260.056,260.056,260.056,0,0
R22_MV,D,20180316,000000,258.717,258.717,257.369,257.369,0,0
R22_MV,D,20180319,000000,257.369,257.369,254.937,256.02,0,0
R22_MV,D,20180320,000000,253.323,260.056,253.323,260.056,0,0
R22_MV,D,20180321,000000,260.056,262.753,260.056,261.395,0,0
R22_MV,D,20180322,000000,261.395,261.395,260.056,260.056,0,0
R22_MV,D,20180323,000000,260.056,261.395,258.717,260.863,0,0
R22_MV,D,20180326,000000,260.863,260.863,260.863,260.863,0,0
R22_MV,D,20180327,000000,257.369,260.863,257.369,260.863,0,0
R22_MV,D,20180328,000000,260.863,261.395,256.02,261.395,0,0
R22_MV,D,20180329,000000,261.395,264.092,253.323,264.092,0,0
R22_MV,D,20180403,000000,263.561,274.882,256.276,272.864,0,0
R22_MV,D,20180404,000000,274.882,274.882,264.909,273.533,0,0
R22_MV,D,20180405,000000,273.533,273.533,269.487,272.864,0,0
R22_MV,D,20180406,000000,269.487,272.864,269.487,272.864,0,0
R22_MV,D,20180409,000000,272.864,276.9,269.487,276.9,0,0
R22_MV,D,20180410,000000,276.24,276.24,265.451,267.075,0,0
R22_MV,D,20180411,000000,275.551,275.551,265.726,273.533,0,0
R22_MV,D,20180412,000000,273.533,276.24,269.487,276.24,0,0
R22_MV,D,20180413,000000,276.24,296.441,270.845,294.413,0,0
R22_MV,D,20180416,000000,296.441,301.835,285.661,299.138,0,0
R22_MV,D,20180417,000000,296.441,296.441,289.707,291.735,0,0
R22_MV,D,20180418,000000,296.441,296.441,278.248,280.266,0,0
R22_MV,D,20180419,000000,277.569,282.964,269.487,269.487,0,0
R22_MV,D,20180420,000000,278.248,278.248,265.175,269.487,0,0
R22_MV,D,20180423,000000,276.9,276.9,269.487,276.9,0,0
R22_MV,D,20180424,000000,281.615,281.615,265.451,274.212,0,0
R22_MV,D,20180425,000000,273.533,273.533,264.092,273.533,0,0
R22_MV,D,20180426,000000,270.845,272.194,265.726,272.194,0,0
R22_MV,D,20180427,000000,272.194,278.928,266.79,269.487,0,0
R22_MV,D,20180430,000000,276.24,280.266,269.487,280.266,0,0
R22_MV,D,20180502,000000,282.964,282.964,272.194,272.194,0,0
R22_MV,D,20180504,000000,282.964,282.964,263.029,269.487,0,0
R22_MV,D,20180507,000000,269.487,269.487,268.148,268.955,0,0
R22_MV,D,20180508,000000,268.955,268.955,250.891,265.175,0,0
R22_MV,D,20180509,000000,268.955,268.955,254.396,262.753,0,0
R22_MV,D,20180510,000000,262.753,262.753,258.717,261.395,0,0
R22_MV,D,20180511,000000,261.395,261.395,253.047,261.395,0,0
R22_MV,D,20180514,000000,261.395,265.451,250.635,261.68,0,0
R22_MV,D,20180515,000000,251.974,261.395,251.974,261.395,0,0
R22_MV,D,20180516,000000,261.395,261.395,253.323,261.395,0,0
R22_MV,D,20180517,000000,261.395,261.395,250.891,258.442,0,0
R22_MV,D,20180518,000000,261.395,261.395,257.083,260.863,0,0
R22_MV,D,20180521,000000,260.863,260.863,251.167,260.598,0,0
R22_MV,D,20180522,000000,260.332,274.882,256.276,258.166,0,0
R22_MV,D,20180523,000000,268.955,268.955,258.717,258.717,0,0
R22_MV,D,20180524,000000,266.79,266.79,240.653,258.717,0,0
R22_MV,D,20180525,000000,260.056,262.753,237.158,261.395,0,0
R22_MV,D,20180528,000000,260.056,267.331,260.056,262.753,0,0
R22_MV,D,20180529,000000,260.056,266.79,256.276,266.79,0,0
R22_MV,D,20180530,000000,266.79,269.487,258.717,269.487,0,0
R22_MV,D,20180601,000000,269.487,269.487,258.442,262.753,0,0
R22_MV,D,20180604,000000,262.753,262.753,257.369,262.753,0,0
R22_MV,D,20180605,000000,273.533,273.533,257.634,261.395,0,0
R22_MV,D,20180606,000000,262.753,262.753,262.753,262.753,0,0
R22_MV,D,20180607,000000,261.395,261.395,256.02,258.717,0,0
R22_MV,D,20180608,000000,260.863,260.863,258.717,258.717,0,0
R22_MV,D,20180611,000000,262.753,262.753,249.818,258.717,0,0
R22_MV,D,20180612,000000,256.02,260.056,256.02,260.056,0,0
R22_MV,D,20180613,000000,268.148,268.148,251.167,251.167,0,0
R22_MV,D,20180614,000000,262.488,262.488,257.369,257.369,0,0
R22_MV,D,20180615,000000,258.717,260.056,256.02,256.02,0,0
R22_MV,D,20180618,000000,256.02,256.02,256.02,256.02,0,0
R22_MV,D,20180619,000000,256.02,256.02,242.543,256.02,0,0
R22_MV,D,20180620,000000,256.02,256.02,249.277,256.02,0,0
R22_MV,D,20180621,000000,258.717,258.717,251.698,256.02,0,0
R22_MV,D,20180622,000000,256.02,256.02,256.02,256.02,0,0
R22_MV,D,20180625,000000,251.698,256.02,251.698,256.02,0,0
R22_MV,D,20180626,000000,255.479,256.02,249.277,256.02,0,0
R22_MV,D,20180627,000000,260.056,260.056,256.02,256.02,0,0
R22_MV,D,20180628,000000,256.02,256.02,256.02,256.02,0,0
R22_MV,D,20180629,000000,259.79,259.79,258.717,258.717,0,0
R22_MV,D,20180702,000000,259.79,259.79,259.79,259.79,0,0
R22_MV,D,20180703,000000,259.79,259.79,250.635,257.369,0,0
R22_MV,D,20180704,000000,259.79,259.79,249.277,249.277,0,0
R22_MV,D,20180705,000000,249.277,249.277,245.24,249.277,0,0
R22_MV,D,20180706,000000,256.02,256.02,250.36,250.36,0,0
R22_MV,D,20180709,000000,249.277,249.277,242.799,242.799,0,0
R22_MV,D,20180710,000000,256.02,256.02,256.02,256.02,0,0
R22_MV,D,20180711,000000,253.323,253.323,253.323,253.323,0,0
R22_MV,D,20180712,000000,253.323,253.323,253.323,253.323,0,0
R22_MV,D,20180713,000000,253.323,253.323,253.047,253.047,0,0
R22_MV,D,20180716,000000,253.047,253.323,243.892,253.323,0,0
R22_MV,D,20180717,000000,256.02,256.02,256.02,256.02,0,0
R22_MV,D,20180718,000000,256.02,256.02,237.158,237.158,0,0
R22_MV,D,20180719,000000,245.24,245.24,236.873,245.24,0,0
