<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEL_MV,D,20080520,000000,524.83,524.83,524.83,524.83,0,0
SEL_MV,D,20080521,000000,524.83,577.31,509.48,561.58,0,0
SEL_MV,D,20080523,000000,557.88,561.58,557.88,557.88,0,0
SEL_MV,D,20080526,000000,507.34,557.68,507.34,507.91,0,0
SEL_MV,D,20080527,000000,556.12,556.12,509.28,550.68,0,0
SEL_MV,D,20080528,000000,511.42,543.89,511.42,515.11,0,0
SEL_MV,D,20080529,000000,549.13,550.09,507.53,524.06,0,0
SEL_MV,D,20080530,000000,518.42,518.42,502.49,517.84,0,0
SEL_MV,D,20080602,000000,514.16,514.16,476.43,512.38,0,0
SEL_MV,D,20080603,000000,516.09,516.09,516.09,516.09,0,0
SEL_MV,D,20080604,000000,517.07,517.07,489.84,505.4,0,0
SEL_MV,D,20080605,000000,517.07,517.07,465.35,505.19,0,0
SEL_MV,D,20080606,000000,501.31,503.46,471.38,503.07,0,0
SEL_MV,D,20080609,000000,483.83,503.07,456.8,482.08,0,0
SEL_MV,D,20080610,000000,520.94,520.94,476.25,492.76,0,0
SEL_MV,D,20080611,000000,495.3,495.3,456.99,456.99,0,0
SEL_MV,D,20080612,000000,466.52,509.28,457.58,457.78,0,0
SEL_MV,D,20080613,000000,503.07,503.07,456.8,483.04,0,0
SEL_MV,D,20080616,000000,502.49,502.49,502.49,502.49,0,0
SEL_MV,D,20080617,000000,501.12,502.49,458.74,497.43,0,0
SEL_MV,D,20080618,000000,502.87,502.87,461.66,501.31,0,0
SEL_MV,D,20080619,000000,502.29,502.29,458.74,481.87,0,0
SEL_MV,D,20080620,000000,501.5,501.5,458.74,490.82,0,0
SEL_MV,D,20080623,000000,499.56,499.56,435.42,450.98,0,0
SEL_MV,D,20080624,000000,484.99,484.99,400.41,400.41,0,0
SEL_MV,D,20080625,000000,483.04,483.04,409.37,442.21,0,0
SEL_MV,D,20080626,000000,447.09,447.09,402.75,408.21,0,0
SEL_MV,D,20080627,000000,437.18,437.18,388.76,391.69,0,0
SEL_MV,D,20080630,000000,435.42,435.42,377.1,412.08,0,0
SEL_MV,D,20080701,000000,408.21,408.21,383.52,384.89,0,0
SEL_MV,D,20080702,000000,375.15,390.71,367.39,367.39,0,0
SEL_MV,D,20080703,000000,368.36,404.13,338.23,357.46,0,0
SEL_MV,D,20080704,000000,359.6,359.6,338.23,344.05,0,0
SEL_MV,D,20080707,000000,349.89,349.89,315.11,315.11,0,0
SEL_MV,D,20080708,000000,317.83,317.83,286.13,291.57,0,0
SEL_MV,D,20080709,000000,297.4,311.99,291.57,311.99,0,0
SEL_MV,D,20080710,000000,298.39,310.04,281.85,309.08,0,0
SEL_MV,D,20080711,000000,312.97,312.97,299.35,301.3,0,0
SEL_MV,D,20080714,000000,312.97,312.97,305.18,312.97,0,0
SEL_MV,D,20080715,000000,291.57,291.57,290.41,291.57,0,0
