<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEL_PB,D,20080520,000000,4.9784,4.9784,4.9784,4.9784,0,0
SEL_PB,D,20080521,000000,4.9784,5.4746,4.833,5.3292,0,0
SEL_PB,D,20080523,000000,5.295,5.3292,5.295,5.295,0,0
SEL_PB,D,20080526,000000,4.816,5.295,4.816,4.816,0,0
SEL_PB,D,20080527,000000,5.2778,5.2778,4.833,5.2266,0,0
SEL_PB,D,20080528,000000,4.8502,5.1581,4.8502,4.8845,0,0
SEL_PB,D,20080529,000000,5.2094,5.218,4.816,4.9699,0,0
SEL_PB,D,20080530,000000,4.9186,4.9186,4.7646,4.9101,0,0
SEL_PB,D,20080602,000000,4.8759,4.8759,4.5165,4.8587,0,0
SEL_PB,D,20080603,000000,4.893,4.893,4.893,4.893,0,0
SEL_PB,D,20080604,000000,4.9101,4.9101,4.6447,4.7988,0,0
SEL_PB,D,20080605,000000,4.9101,4.9101,4.414,4.7903,0,0
SEL_PB,D,20080606,000000,4.7562,4.7731,4.4739,4.7731,0,0
SEL_PB,D,20080609,000000,4.5935,4.7731,4.3369,4.5765,0,0
SEL_PB,D,20080610,000000,4.9442,4.9442,4.5165,4.6789,0,0
SEL_PB,D,20080611,000000,4.6962,4.6962,4.3369,4.3369,0,0
SEL_PB,D,20080612,000000,4.4224,4.833,4.3454,4.3454,0,0
SEL_PB,D,20080613,000000,4.7731,4.7731,4.3369,4.5849,0,0
SEL_PB,D,20080616,000000,4.7646,4.7646,4.7646,4.7646,0,0
SEL_PB,D,20080617,000000,4.7562,4.7646,4.3541,4.7218,0,0
SEL_PB,D,20080618,000000,4.7731,4.7731,3.4301,3.4301,0,0
SEL_PB,D,20080619,000000,3.4301,3.4301,3.1393,3.2934,0,0
SEL_PB,D,20080620,000000,3.4301,3.4301,3.1393,3.3532,0,0
SEL_PB,D,20080623,000000,3.4131,3.4131,2.9769,3.0795,0,0
SEL_PB,D,20080624,000000,3.3189,3.3189,2.7374,2.7374,0,0
SEL_PB,D,20080625,000000,3.3018,3.3018,2.7972,3.0196,0,0
SEL_PB,D,20080626,000000,3.0539,3.0539,2.7544,2.7886,0,0
SEL_PB,D,20080627,000000,2.9853,2.9853,2.6603,2.6775,0,0
SEL_PB,D,20080630,000000,2.9769,2.9769,2.5747,2.8143,0,0
SEL_PB,D,20080701,000000,2.7886,2.7886,2.6175,2.6347,0,0
SEL_PB,D,20080702,000000,2.5662,2.6688,2.5149,2.5149,0,0
SEL_PB,D,20080703,000000,2.5149,2.7631,2.3096,2.4465,0,0
SEL_PB,D,20080704,000000,2.455,2.455,2.3096,2.3523,0,0
SEL_PB,D,20080707,000000,2.395,2.395,2.1558,2.1558,0,0
SEL_PB,D,20080708,000000,2.1727,2.1727,1.959,1.9931,0,0
SEL_PB,D,20080709,000000,2.0359,2.13,1.9931,2.13,0,0
SEL_PB,D,20080710,000000,2.0359,2.1215,1.9247,2.1128,0,0
SEL_PB,D,20080711,000000,2.1385,2.1385,2.0444,2.0616,0,0
SEL_PB,D,20080714,000000,2.1385,2.1385,2.0872,2.1385,0,0
SEL_PB,D,20080715,000000,1.9931,1.9931,1.9844,1.9931,0,0
SEL_PB,D,20080716,000000,2.0103,2.0103,1.9247,1.9247,0,0
SEL_PB,D,20080717,000000,1.9419,2.0616,1.9247,2.0616,0,0
SEL_PB,D,20080718,000000,2.0872,2.0872,1.9931,2.0616,0,0
SEL_PB,D,20080721,000000,1.9931,2.0616,1.9931,2.0616,0,0
SEL_PB,D,20080722,000000,2.0872,2.0872,1.9931,2.0616,0,0
SEL_PB,D,20080723,000000,1.9931,2.0616,1.9931,1.9931,0,0
SEL_PB,D,20080724,000000,1.9931,2.0272,1.9332,1.9931,0,0
SEL_PB,D,20080725,000000,1.899,1.9931,1.899,1.899,0,0
SEL_PB,D,20080728,000000,1.9503,1.9503,1.8904,1.8904,0,0
SEL_PB,D,20080729,000000,1.8563,1.8904,1.8563,1.8904,0,0
SEL_PB,D,20080730,000000,1.9247,2.0444,1.9247,1.9503,0,0
SEL_PB,D,20080731,000000,1.9931,2.0359,1.9503,2.0359,0,0
SEL_PB,D,20080801,000000,2.0701,2.0701,1.9931,1.9931,0,0
SEL_PB,D,20080804,000000,2.455,2.455,1.9503,1.9503,0,0
SEL_PB,D,20080805,000000,1.9503,1.9931,1.8563,1.8563,0,0
SEL_PB,D,20080806,000000,1.8477,1.9503,1.8305,1.8305,0,0
SEL_PB,D,20080807,000000,1.899,1.899,1.788,1.788,0,0
SEL_PB,D,20080808,000000,1.7621,1.8904,1.7621,1.8904,0,0
SEL_PB,D,20080811,000000,1.9247,1.9247,1.8904,1.8904,0,0
SEL_PB,D,20080812,000000,1.8904,1.8904,1.8563,1.8563,0,0
SEL_PB,D,20080813,000000,1.8563,1.8733,1.8563,1.8733,0,0
SEL_PB,D,20080814,000000,1.8391,1.899,1.8391,1.8391,0,0
SEL_PB,D,20080818,000000,1.8391,1.8904,0.8469,0.8469,0,0
SEL_PB,D,20080819,000000,0.8383,0.8383,0.8212,0.8212,0,0
SEL_PB,D,20080820,000000,0.8212,0.8469,0.804,0.8469,0,0
SEL_PB,D,20080821,000000,0.8553,0.8553,0.8212,0.8553,0,0
SEL_PB,D,20080822,000000,0.8553,0.8553,0.8126,0.8212,0,0
SEL_PB,D,20080825,000000,0.8126,0.8126,0.7698,0.7956,0,0
SEL_PB,D,20080826,000000,0.7956,0.7956,0.7698,0.7698,0,0
SEL_PB,D,20080827,000000,0.7871,0.7871,0.7612,0.7612,0,0
SEL_PB,D,20080828,000000,0.7527,0.7871,0.7527,0.7871,0,0
SEL_PB,D,20080829,000000,0.7871,0.7871,0.7527,0.7527,0,0
SEL_PB,D,20080901,000000,0.7871,0.7871,0.7527,0.7871,0,0
SEL_PB,D,20080902,000000,0.7527,0.7871,0.7527,0.7871,0,0
SEL_PB,D,20080903,000000,0.7871,0.8469,0.7871,0.7871,0,0
SEL_PB,D,20080904,000000,0.804,0.8383,0.7871,0.7871,0,0
SEL_PB,D,20080905,000000,0.804,0.804,0.7612,0.804,0,0
SEL_PB,D,20080908,000000,0.804,0.8299,0.804,0.8299,0,0
SEL_PB,D,20080909,000000,0.8126,0.8469,0.8126,0.8469,0,0
SEL_PB,D,20080910,000000,0.804,0.8212,0.804,0.8212,0,0
SEL_PB,D,20080911,000000,0.8383,0.8383,0.7956,0.7956,0,0
SEL_PB,D,20080912,000000,0.7785,0.7956,0.7785,0.7956,0,0
SEL_PB,D,20080915,000000,0.7612,0.7612,0.7527,0.7527,0,0
SEL_PB,D,20080916,000000,0.7185,0.7443,0.7185,0.7443,0,0
SEL_PB,D,20080917,000000,0.7185,0.7185,0.6843,0.7185,0,0
SEL_PB,D,20080918,000000,0.7185,0.7185,0.7185,0.7185,0,0
SEL_PB,D,20080919,000000,0.7356,0.7356,0.7185,0.7356,0,0
SEL_PB,D,20080922,000000,0.7527,0.7527,0.7101,0.7527,0,0
SEL_PB,D,20080923,000000,0.7101,0.7101,0.7015,0.7101,0,0
SEL_PB,D,20080924,000000,0.7015,0.7185,0.7015,0.7185,0,0
SEL_PB,D,20080925,000000,0.7015,0.7271,0.7015,0.7271,0,0
SEL_PB,D,20080926,000000,0.7101,0.7271,0.7101,0.7271,0,0
SEL_PB,D,20080929,000000,0.7015,0.7015,0.6501,0.6501,0,0
SEL_PB,D,20080930,000000,0.6245,0.6501,0.6245,0.6417,0,0
SEL_PB,D,20081001,000000,0.6673,0.6673,0.633,0.6673,0,0
SEL_PB,D,20081002,000000,0.6843,0.6843,0.6587,0.6587,0,0
SEL_PB,D,20081003,000000,0.6843,0.6843,0.6758,0.6758,0,0
SEL_PB,D,20081006,000000,0.6417,0.6843,0.6417,0.6758,0,0
SEL_PB,D,20081007,000000,0.6587,0.6843,0.6245,0.633,0,0
SEL_PB,D,20081008,000000,0.6501,0.6501,0.5817,0.6158,0,0
SEL_PB,D,20081009,000000,0.6673,0.6673,0.5901,0.6074,0,0
SEL_PB,D,20081010,000000,0.6158,0.6158,0.49616,0.49616,0,0
SEL_PB,D,20081013,000000,0.5218,0.5475,0.49616,0.5047,0,0
SEL_PB,D,20081014,000000,0.5304,0.5646,0.5304,0.5475,0,0
SEL_PB,D,20081015,000000,0.5388,0.5646,0.5304,0.556,0,0
SEL_PB,D,20081016,000000,0.556,0.556,0.556,0.556,0,0
SEL_PB,D,20081017,000000,0.556,0.556,0.5133,0.5475,0,0
SEL_PB,D,20081020,000000,0.5646,0.5988,0.5646,0.5731,0,0
SEL_PB,D,20081021,000000,0.5901,0.5901,0.5388,0.5817,0,0
SEL_PB,D,20081022,000000,0.5388,0.556,0.5304,0.5475,0,0
SEL_PB,D,20081023,000000,0.5901,0.5901,0.5047,0.5218,0,0
SEL_PB,D,20081024,000000,0.49616,0.5304,0.49616,0.5304,0,0
SEL_PB,D,20081027,000000,0.49616,0.5218,0.43625,0.43625,0,0
SEL_PB,D,20081028,000000,0.47038,0.49616,0.4277,0.49616,0,0
SEL_PB,D,20081029,000000,0.5388,0.5388,0.4448,0.49616,0,0
SEL_PB,D,20081030,000000,0.5388,0.5388,0.49616,0.5047,0,0
SEL_PB,D,20081031,000000,0.5133,0.5133,0.45336,0.47899,0,0
SEL_PB,D,20081103,000000,0.5218,0.5218,0.47899,0.47899,0,0
SEL_PB,D,20081104,000000,0.45336,0.47038,0.45336,0.47038,0,0
SEL_PB,D,20081105,000000,0.47899,0.47899,0.46181,0.46181,0,0
SEL_PB,D,20081106,000000,0.48758,0.48758,0.45336,0.47038,0,0
SEL_PB,D,20081107,000000,0.47038,0.47038,0.43625,0.47038,0,0
SEL_PB,D,20081110,000000,0.49616,0.49616,0.49616,0.49616,0,0
SEL_PB,D,20081112,000000,0.47038,0.49616,0.47038,0.48758,0,0
SEL_PB,D,20081113,000000,0.5133,0.5133,0.48758,0.48758,0,0
SEL_PB,D,20081114,000000,0.48758,0.48758,0.45336,0.48758,0,0
SEL_PB,D,20081117,000000,0.47038,0.7356,0.47038,0.7356,0,0
SEL_PB,D,20081118,000000,0.7612,0.7612,0.7356,0.7356,0,0
SEL_PB,D,20081119,000000,0.7698,0.7698,0.7356,0.7698,0,0
