<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SFG_MV,D,20070813,000000,313.09,313.09,313.09,313.09,0,0
SFG_MV,D,20070814,000000,312.27,312.27,312.27,312.27,0,0
SFG_MV,D,20070816,000000,283.56,283.56,283.56,283.56,0,0
SFG_MV,D,20070817,000000,282.07,282.07,282.07,282.07,0,0
SFG_MV,D,20070820,000000,282.57,282.57,282.57,282.57,0,0
SFG_MV,D,20070821,000000,275.38,275.38,275.38,275.38,0,0
SFG_MV,D,20070822,000000,282.07,282.07,282.07,282.07,0,0
SFG_MV,D,20070823,000000,286.23,286.23,286.23,286.23,0,0
SFG_MV,D,20070824,000000,288.73,288.73,288.73,288.73,0,0
SFG_MV,D,20070827,000000,307.59,307.59,307.59,307.59,0,0
SFG_MV,D,20070828,000000,317.13,317.13,317.13,317.13,0,0
SFG_MV,D,20070829,000000,333.79,333.79,333.79,333.79,0,0
SFG_MV,D,20070830,000000,333.79,333.79,333.79,333.79,0,0
SFG_MV,D,20070831,000000,340.48,340.48,340.48,340.48,0,0
SFG_MV,D,20070903,000000,343.48,343.48,343.48,343.48,0,0
SFG_MV,D,20070904,000000,356.33,356.33,356.33,356.33,0,0
SFG_MV,D,20070905,000000,360.65,360.65,360.65,360.65,0,0
SFG_MV,D,20070906,000000,362.41,362.41,362.41,362.41,0,0
SFG_MV,D,20070907,000000,371.22,371.22,371.22,371.22,0,0
SFG_MV,D,20070910,000000,353.44,353.44,353.44,353.44,0,0
SFG_MV,D,20070911,000000,395.84,395.84,395.84,395.84,0,0
SFG_MV,D,20070912,000000,374.74,374.74,374.74,374.74,0,0
SFG_MV,D,20070913,000000,387.05,387.05,387.05,387.05,0,0
SFG_MV,D,20070914,000000,369.44,369.44,369.44,369.44,0,0
SFG_MV,D,20070917,000000,360.65,360.65,360.65,360.65,0,0
SFG_MV,D,20070918,000000,372.96,372.96,372.96,372.96,0,0
SFG_MV,D,20070919,000000,369.44,369.44,369.44,369.44,0,0
SFG_MV,D,20070920,000000,360.65,360.65,360.65,360.65,0,0
SFG_MV,D,20070921,000000,348.16,348.16,348.16,348.16,0,0
SFG_MV,D,20070924,000000,356.96,356.96,356.96,356.96,0,0
SFG_MV,D,20070925,000000,387.05,387.05,387.05,387.05,0,0
SFG_MV,D,20070926,000000,378.25,378.25,378.25,378.25,0,0
SFG_MV,D,20070927,000000,395.84,395.84,395.84,395.84,0,0
SFG_MV,D,20070928,000000,369.44,369.44,369.44,369.44,0,0
SFG_MV,D,20071001,000000,362.41,362.41,362.41,362.41,0,0
SFG_MV,D,20071002,000000,358.18,358.18,358.18,358.18,0,0
SFG_MV,D,20071003,000000,369.27,369.27,369.27,369.27,0,0
SFG_MV,D,20071004,000000,381.76,381.76,381.76,381.76,0,0
SFG_MV,D,20071005,000000,378.25,378.25,378.25,378.25,0,0
SFG_MV,D,20071008,000000,376.49,376.49,376.49,376.49,0,0
SFG_MV,D,20071009,000000,369.44,369.44,369.44,369.44,0,0
SFG_MV,D,20071010,000000,360.65,360.65,360.65,360.65,0,0
SFG_MV,D,20071011,000000,368.76,368.76,368.76,368.76,0,0
SFG_MV,D,20071012,000000,351.86,351.86,351.86,351.86,0,0
SFG_MV,D,20071015,000000,348.16,348.16,348.16,348.16,0,0
SFG_MV,D,20071016,000000,356.26,356.26,356.26,356.26,0,0
SFG_MV,D,20071017,000000,354.5,354.5,354.5,354.5,0,0
SFG_MV,D,20071018,000000,343.77,343.77,343.77,343.77,0,0
SFG_MV,D,20071019,000000,346.39,346.39,346.39,346.39,0,0
SFG_MV,D,20071022,000000,351.86,351.86,351.86,351.86,0,0
SFG_MV,D,20071023,000000,346.59,346.59,346.59,346.59,0,0
SFG_MV,D,20071024,000000,343.07,343.07,343.07,343.07,0,0
SFG_MV,D,20071025,000000,339.38,339.38,339.38,339.38,0,0
SFG_MV,D,20071026,000000,325.48,325.48,325.48,325.48,0,0
SFG_MV,D,20071029,000000,329,329,329,329,0,0
SFG_MV,D,20071030,000000,320.2,320.2,320.2,320.2,0,0
SFG_MV,D,20071031,000000,313.16,313.16,313.16,313.16,0,0
SFG_MV,D,20071102,000000,313.16,313.16,313.16,313.16,0,0
SFG_MV,D,20071105,000000,299.07,299.07,299.07,299.07,0,0
SFG_MV,D,20071106,000000,297.32,297.32,297.32,297.32,0,0
SFG_MV,D,20071107,000000,276.21,276.21,276.21,276.21,0,0
SFG_MV,D,20071108,000000,277.97,277.97,277.97,277.97,0,0
SFG_MV,D,20071109,000000,281.49,281.49,263.89,263.89,0,0
SFG_MV,D,20071112,000000,256.86,267.42,256.86,267.42,0,0
SFG_MV,D,20071113,000000,256.86,283.25,256.86,283.25,0,0
SFG_MV,D,20071114,000000,293.8,293.8,281.49,281.49,0,0
SFG_MV,D,20071115,000000,293.8,293.8,255.1,255.1,0,0
SFG_MV,D,20071116,000000,263.89,272.7,255.1,270.58,0,0
SFG_MV,D,20071119,000000,272.7,276.21,268.3,276.21,0,0
SFG_MV,D,20071120,000000,272.7,272.7,255.1,267.42,0,0
SFG_MV,D,20071121,000000,263.89,263.89,263.89,263.89,0,0
SFG_MV,D,20071122,000000,263.89,289.22,256.86,289.22,0,0
SFG_MV,D,20071123,000000,299.07,299.07,270.22,270.22,0,0
SFG_MV,D,20071126,000000,272.7,272.7,260.38,260.38,0,0
SFG_MV,D,20071127,000000,263.89,263.89,263.72,263.72,0,0
SFG_MV,D,20071128,000000,265.65,274.46,262.13,262.13,0,0
SFG_MV,D,20071129,000000,274.46,274.46,263.89,266.87,0,0
SFG_MV,D,20071130,000000,276.21,281.49,263.89,276.21,0,0
SFG_MV,D,20071203,000000,286.76,286.76,277.1,277.1,0,0
SFG_MV,D,20071204,000000,283.25,306.12,282.9,282.9,0,0
SFG_MV,D,20071205,000000,293.8,293.8,287.64,293.8,0,0
SFG_MV,D,20071206,000000,299.07,306.12,293.8,306.12,0,0
SFG_MV,D,20071207,000000,299.07,305.94,290.29,299.07,0,0
SFG_MV,D,20071210,000000,300.84,309.64,299.07,309.64,0,0
SFG_MV,D,20071211,000000,309.64,311.39,304.36,307.88,0,0
SFG_MV,D,20071212,000000,307.88,317.56,307.88,317.56,0,0
SFG_MV,D,20071213,000000,307.88,307.88,300.84,307.88,0,0
SFG_MV,D,20071214,000000,302.61,302.61,292.04,298.56,0,0
SFG_MV,D,20071217,000000,290.29,292.41,288.53,290.29,0,0
SFG_MV,D,20071218,000000,283.25,284.82,281.49,284.82,0,0
SFG_MV,D,20071219,000000,288.53,288.53,288.53,288.53,0,0
SFG_MV,D,20071220,000000,293.8,293.8,272.7,289.41,0,0
SFG_MV,D,20071221,000000,286.76,290.29,285.02,290.29,0,0
SFG_MV,D,20071227,000000,290.29,290.29,290.29,290.29,0,0
SFG_MV,D,20071228,000000,289.93,298.73,289.93,295.56,0,0
SFG_MV,D,20080102,000000,290.29,302.61,290.29,302.61,0,0
SFG_MV,D,20080103,000000,302.61,302.61,286.76,286.76,0,0
SFG_MV,D,20080104,000000,295.56,295.56,290.29,290.29,0,0
SFG_MV,D,20080107,000000,293.27,293.27,283.25,283.25,0,0
SFG_MV,D,20080108,000000,286.76,286.76,277.1,286.76,0,0
SFG_MV,D,20080109,000000,292.04,292.04,269.18,281.49,0,0
SFG_MV,D,20080110,000000,272.7,272.7,253.33,255.1,0,0
