<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPH_PB,D,20111128,000000,1.1333,1.1333,1.1333,1.1333,0,0
SPH_PB,D,20111129,000000,1.0757,1.1333,1.0676,1.0921,0,0
SPH_PB,D,20111201,000000,1.0594,1.0594,1.0594,1.0594,0,0
SPH_PB,D,20111202,000000,1.0594,1.0594,1.0594,1.0594,0,0
SPH_PB,D,20111205,000000,1.0921,1.0921,1.0921,1.0921,0,0
SPH_PB,D,20111206,000000,1.1333,1.1333,1.0841,1.0841,0,0
SPH_PB,D,20111207,000000,1.1333,1.1333,1.0841,1.1333,0,0
SPH_PB,D,20111212,000000,1.1005,1.1005,1.0757,1.0757,0,0
SPH_PB,D,20111223,000000,1.0102,1.0757,0.9854,0.9854,0,0
SPH_PB,D,20111227,000000,0.9117,0.9854,0.9117,0.9117,0,0
SPH_PB,D,20111229,000000,0.9117,0.9854,0.9117,0.9854,0,0
SPH_PB,D,20120113,000000,0.9854,0.9854,0.9854,0.9854,0,0
SPH_PB,D,20120120,000000,1.1744,1.1744,1.1744,1.1744,0,0
SPH_PB,D,20120124,000000,1.1662,1.1662,1.1662,1.1662,0,0
SPH_PB,D,20120125,000000,1.0266,1.1662,1.0266,1.0266,0,0
SPH_PB,D,20120126,000000,1.043,1.043,1.0266,1.0266,0,0
SPH_PB,D,20120131,000000,0.9857,1.0282,0.9857,0.9941,0,0
SPH_PB,D,20120206,000000,0.9854,0.9937,0.9197,0.9197,0,0
SPH_PB,D,20120208,000000,0.9445,0.9445,0.9281,0.9445,0,0
SPH_PB,D,20120209,000000,0.9854,0.9854,0.9197,0.9197,0,0
SPH_PB,D,20120214,000000,0.9117,0.9117,0.9117,0.9117,0,0
SPH_PB,D,20120216,000000,0.9117,0.9117,0.8952,0.8952,0,0
SPH_PB,D,20120223,000000,0.8211,0.8211,0.8211,0.8211,0,0
SPH_PB,D,20120227,000000,0.8788,0.8788,0.8788,0.8788,0,0
SPH_PB,D,20120315,000000,0.7883,0.7883,0.7883,0.7883,0,0
SPH_PB,D,20120319,000000,0.8376,0.8376,0.7883,0.8376,0,0
SPH_PB,D,20120327,000000,0.7554,0.8376,0.7554,0.7554,0,0
SPH_PB,D,20120328,000000,0.7554,0.7554,0.6898,0.6898,0,0
SPH_PB,D,20120507,000000,0.657,0.657,0.657,0.657,0,0
SPH_PB,D,20120508,000000,0.6324,0.6324,0.6324,0.6324,0,0
SPH_PB,D,20120514,000000,0.657,0.657,0.6324,0.657,0,0
SPH_PB,D,20120517,000000,0.657,0.657,0.657,0.657,0,0
SPH_PB,D,20120523,000000,0.772,0.772,0.772,0.772,0,0
SPH_PB,D,20120627,000000,0.6543,0.6543,0.6033,0.6033,0,0
SPH_PB,D,20120730,000000,0.5865,0.5865,0.5865,0.5865,0,0
SPH_PB,D,20120820,000000,0.5268,0.5693,0.5268,0.5693,0,0
SPH_PB,D,20120822,000000,0.5693,0.5693,0.5693,0.5693,0,0
SPH_PB,D,20120907,000000,0.4928,0.5523,0.47586,0.47586,0,0
SPH_PB,D,20120913,000000,0.47586,0.5183,0.47586,0.5183,0,0
SPH_PB,D,20120914,000000,0.5183,0.5183,0.5183,0.5183,0,0
SPH_PB,D,20121015,000000,0.5439,0.5439,0.5439,0.5439,0,0
SPH_PB,D,20121016,000000,0.5439,0.5439,0.5439,0.5439,0,0
SPH_PB,D,20121112,000000,0.5439,0.5439,0.5439,0.5439,0,0
SPH_PB,D,20121116,000000,0.5439,0.5439,0.5439,0.5439,0,0
SPH_PB,D,20121213,000000,0.6203,0.6203,0.6203,0.6203,0,0
SPH_PB,D,20130207,000000,0.5609,0.5609,0.5439,0.5609,0,0
SPH_PB,D,20130528,000000,0.7989,0.7989,0.7989,0.7989,0,0
SPH_PB,D,20130529,000000,0.795,0.795,0.795,0.795,0,0
SPH_PB,D,20130531,000000,0.7426,0.76,0.7426,0.7513,0,0
SPH_PB,D,20130603,000000,0.7477,0.7477,0.7477,0.7477,0,0
SPH_PB,D,20130611,000000,0.795,0.795,0.795,0.795,0,0
SPH_PB,D,20130808,000000,0.7164,0.7164,0.6465,0.6552,0,0
SPH_PB,D,20130829,000000,0.7251,0.8473,0.7251,0.8473,0,0
SPH_PB,D,20130830,000000,0.8473,0.8649,0.8473,0.8473,0,0
SPH_PB,D,20130903,000000,0.8125,0.8125,0.8125,0.8125,0,0
SPH_PB,D,20130909,000000,0.8561,0.8561,0.8561,0.8561,0,0
SPH_PB,D,20130912,000000,0.8386,0.8561,0.8386,0.8386,0,0
SPH_PB,D,20130919,000000,0.8386,0.8386,0.8386,0.8386,0,0
SPH_PB,D,20130930,000000,0.9959,0.9959,0.9959,0.9959,0,0
SPH_PB,D,20131002,000000,0.9959,0.9959,0.9959,0.9959,0,0
SPH_PB,D,20131003,000000,0.9959,0.9959,0.9959,0.9959,0,0
SPH_PB,D,20131127,000000,0.8823,0.8823,0.8823,0.8823,0,0
SPH_PB,D,20131128,000000,0.8823,0.8823,0.8823,0.8823,0,0
SPH_PB,D,20131216,000000,0.8998,0.8998,0.8998,0.8998,0,0
SPH_PB,D,20140110,000000,0.9872,0.9872,0.9872,0.9872,0,0
SPH_PB,D,20140211,000000,1.3192,1.3192,1.127,1.3192,0,0
SPH_PB,D,20140213,000000,1.3192,1.3192,1.3192,1.3192,0,0
SPH_PB,D,20140217,000000,1.3716,1.3716,1.3716,1.3716,0,0
SPH_PB,D,20140303,000000,1.3542,1.3542,1.2056,1.2056,0,0
SPH_PB,D,20140401,000000,1.2056,1.2056,1.2056,1.2056,0,0
SPH_PB,D,20140404,000000,1.2056,1.2056,1.2056,1.2056,0,0
SPH_PB,D,20140407,000000,1.2056,1.2056,1.2056,1.2056,0,0
SPH_PB,D,20140411,000000,1.2056,1.2056,1.2056,1.2056,0,0
SPH_PB,D,20140605,000000,1.3017,1.3017,1.3017,1.3017,0,0
SPH_PB,D,20140805,000000,1.3321,1.3321,1.3321,1.3321,0,0
SPH_PB,D,20141106,000000,1.3233,1.3233,1.3233,1.3233,0,0
SPH_PB,D,20141121,000000,1.3321,1.3321,1.3321,1.3321,0,0
SPH_PB,D,20141219,000000,1.2255,1.2255,1.2166,1.2166,0,0
