<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TOA_PB,D,20110909,000000,3.1565,3.1565,3.1565,3.1565,0,0
TOA_PB,D,20110912,000000,2.9793,3.0926,2.9793,3.0926,0,0
TOA_PB,D,20110913,000000,2.9863,3.0926,2.9508,3.0926,0,0
TOA_PB,D,20110916,000000,2.9793,3.0926,2.9508,2.9508,0,0
TOA_PB,D,20110919,000000,3.0076,3.0643,3.0076,3.0643,0,0
TOA_PB,D,20110920,000000,3.0573,3.0643,3.0573,3.0643,0,0
TOA_PB,D,20110921,000000,2.8516,3.0643,2.8516,3.0643,0,0
TOA_PB,D,20110923,000000,2.9508,3.0643,2.9508,3.0643,0,0
TOA_PB,D,20110926,000000,3.0784,3.1211,2.8941,3.1211,0,0
TOA_PB,D,20110927,000000,3.1353,3.2133,3.1211,3.2133,0,0
TOA_PB,D,20110928,000000,3.2417,3.2984,3.1211,3.2133,0,0
TOA_PB,D,20110929,000000,3.2133,3.3055,3.2133,3.2984,0,0
TOA_PB,D,20110930,000000,3.2842,3.3552,3.2842,3.341,0,0
TOA_PB,D,20111003,000000,3.0218,3.2417,3.0218,3.2417,0,0
TOA_PB,D,20111004,000000,3.1849,3.1849,3.1849,3.1849,0,0
TOA_PB,D,20111005,000000,3.1849,3.2984,3.1849,3.2984,0,0
TOA_PB,D,20111006,000000,3.27,3.2984,3.27,3.27,0,0
TOA_PB,D,20111011,000000,3.2629,3.2629,3.2629,3.2629,0,0
TOA_PB,D,20111012,000000,3.1849,3.2417,3.1211,3.2417,0,0
TOA_PB,D,20111013,000000,3.2629,3.2629,3.1849,3.1849,0,0
TOA_PB,D,20111017,000000,3.1849,3.2629,3.1849,3.1849,0,0
TOA_PB,D,20111018,000000,3.1849,3.2417,3.114,3.2417,0,0
TOA_PB,D,20111026,000000,3.0784,3.2417,3.0784,3.1849,0,0
TOA_PB,D,20111028,000000,3.0784,3.1849,3.0784,3.1849,0,0
TOA_PB,D,20111031,000000,3.1849,3.1849,3.1849,3.1849,0,0
TOA_PB,D,20111103,000000,3.1211,3.1211,3.1211,3.1211,0,0
TOA_PB,D,20111104,000000,3.0076,3.1849,3.0076,3.1849,0,0
TOA_PB,D,20111107,000000,3.1849,3.1849,3.1849,3.1849,0,0
TOA_PB,D,20111108,000000,3.1849,3.1849,3.1849,3.1849,0,0
TOA_PB,D,20111109,000000,3.0643,3.1849,3.0643,3.1849,0,0
TOA_PB,D,20111110,000000,2.9651,3.2487,2.9651,3.2417,0,0
TOA_PB,D,20111114,000000,3.2276,3.2984,3.2276,3.2984,0,0
TOA_PB,D,20111115,000000,3.2984,3.2984,3.1849,3.1849,0,0
TOA_PB,D,20111116,000000,3.2487,3.2842,1.9081,1.9081,0,0
TOA_PB,D,20111117,000000,1.9152,1.9152,1.9081,1.9081,0,0
TOA_PB,D,20111118,000000,1.8442,1.8868,1.8442,1.8868,0,0
TOA_PB,D,20111121,000000,1.8514,1.8514,1.7946,1.8442,0,0
TOA_PB,D,20111122,000000,1.8231,1.8514,1.8231,1.8514,0,0
TOA_PB,D,20111124,000000,1.9081,1.9081,1.8231,1.8231,0,0
TOA_PB,D,20111128,000000,1.8939,1.8939,1.8939,1.8939,0,0
TOA_PB,D,20111129,000000,1.7874,1.8939,1.7874,1.8796,0,0
TOA_PB,D,20111130,000000,1.8655,1.9081,1.8655,1.9081,0,0
TOA_PB,D,20111202,000000,1.9081,1.9081,1.8868,1.8868,0,0
TOA_PB,D,20111206,000000,1.752,1.8868,1.752,1.8868,0,0
TOA_PB,D,20111209,000000,1.8726,1.8796,1.8373,1.8796,0,0
TOA_PB,D,20111214,000000,1.8231,1.8231,1.8017,1.8017,0,0
TOA_PB,D,20111216,000000,1.6954,1.8373,1.6954,1.8088,0,0
TOA_PB,D,20111222,000000,1.6669,1.8088,1.6527,1.752,0,0
TOA_PB,D,20111223,000000,1.7095,1.752,1.5818,1.5818,0,0
TOA_PB,D,20111227,000000,1.6527,1.6527,1.5818,1.5818,0,0
TOA_PB,D,20111228,000000,1.4329,1.6244,1.4329,1.6244,0,0
TOA_PB,D,20111229,000000,1.589,1.6244,1.4825,1.6244,0,0
TOA_PB,D,20111230,000000,1.5393,1.6173,1.5393,1.6173,0,0
TOA_PB,D,20120102,000000,1.6173,1.6173,1.589,1.589,0,0
TOA_PB,D,20120103,000000,1.6882,1.7236,1.6882,1.7236,0,0
TOA_PB,D,20120104,000000,1.7236,1.8301,1.7236,1.8301,0,0
TOA_PB,D,20120109,000000,1.7874,1.7874,1.6527,1.6527,0,0
TOA_PB,D,20120110,000000,1.6598,1.7025,1.6244,1.6527,0,0
TOA_PB,D,20120111,000000,1.6244,1.6315,1.6244,1.6315,0,0
TOA_PB,D,20120112,000000,1.6244,1.6244,1.6244,1.6244,0,0
TOA_PB,D,20120113,000000,1.6244,1.6244,1.6244,1.6244,0,0
TOA_PB,D,20120116,000000,1.596,1.596,1.596,1.596,0,0
TOA_PB,D,20120117,000000,1.596,1.8159,1.596,1.8159,0,0
TOA_PB,D,20120118,000000,1.8301,1.8373,1.8301,1.8373,0,0
TOA_PB,D,20120119,000000,1.8301,1.8301,1.7236,1.7874,0,0
