<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UNI_PE,D,20080512,000000,24.2296,24.2296,24.2296,24.2296,0,0
UNI_PE,D,20080513,000000,24.2296,24.3011,23.7246,24.3011,0,0
UNI_PE,D,20080514,000000,24.3011,24.5173,24.0152,24.5173,0,0
UNI_PE,D,20080515,000000,24.7345,25.0232,24.5173,25.0232,0,0
UNI_PE,D,20080516,000000,25.2386,26.5381,25.2386,25.5997,0,0
UNI_PE,D,20080519,000000,26.2494,26.7544,26.2494,26.681,0,0
UNI_PE,D,20080520,000000,26.9697,27.4766,26.8983,26.8983,0,0
UNI_PE,D,20080521,000000,26.9697,26.9697,26.2494,26.3209,0,0
UNI_PE,D,20080523,000000,25.8169,26.8259,25.8169,26.7544,0,0
UNI_PE,D,20080526,000000,26.8983,26.9697,25.8883,26.7544,0,0
UNI_PE,D,20080527,000000,26.7544,26.7544,26.681,26.681,0,0
UNI_PE,D,20080528,000000,26.6086,26.681,26.6086,26.681,0,0
UNI_PE,D,20080529,000000,26.681,26.681,26.681,26.681,0,0
UNI_PE,D,20080530,000000,26.8983,26.8983,26.4657,26.4657,0,0
UNI_PE,D,20080602,000000,26.4657,26.4657,15.2155,15.2155,0,0
UNI_PE,D,20080603,000000,15.2155,15.2155,15.2155,15.2155,0,0
UNI_PE,D,20080604,000000,15.2155,15.2155,14.7821,14.7821,0,0
UNI_PE,D,20080605,000000,14.9278,15.2155,14.9278,15.0002,0,0
UNI_PE,D,20080606,000000,15.1431,15.1431,15.0717,15.0717,0,0
UNI_PE,D,20080609,000000,14.6382,15.2155,14.2066,15.2155,0,0
UNI_PE,D,20080610,000000,15.2155,15.2155,15.2155,15.2155,0,0
UNI_PE,D,20080611,000000,15.0717,15.0717,15.0717,15.0717,0,0
UNI_PE,D,20080612,000000,15.0717,15.0717,15.0717,15.0717,0,0
UNI_PE,D,20080613,000000,15.0717,15.0717,15.0717,15.0717,0,0
UNI_PE,D,20080616,000000,15.0002,15.0717,15.0002,15.0717,0,0
UNI_PE,D,20080617,000000,14.5667,15.0717,14.5667,15.0002,0,0
UNI_PE,D,20080618,000000,14.9278,14.9278,14.9278,14.9278,0,0
UNI_PE,D,20080619,000000,14.3514,14.4943,14.3514,14.4943,0,0
UNI_PE,D,20080620,000000,14.4943,14.7821,14.4943,14.7821,0,0
UNI_PE,D,20080623,000000,14.4943,15.0002,14.4943,14.9278,0,0
UNI_PE,D,20080624,000000,14.9278,14.9278,14.8545,14.8545,0,0
UNI_PE,D,20080625,000000,14.7821,14.7821,14.7115,14.7821,0,0
UNI_PE,D,20080626,000000,14.6382,14.7821,14.5667,14.7821,0,0
UNI_PE,D,20080627,000000,14.6382,14.6382,14.6382,14.6382,0,0
UNI_PE,D,20080630,000000,14.7821,14.7821,14.7821,14.7821,0,0
UNI_PE,D,20080701,000000,14.7821,14.7821,14.7821,14.7821,0,0
UNI_PE,D,20080702,000000,14.7821,14.7821,14.7821,14.7821,0,0
UNI_PE,D,20080703,000000,14.8545,14.8545,14.8545,14.8545,0,0
UNI_PE,D,20080704,000000,14.7821,14.7821,14.7821,14.7821,0,0
UNI_PE,D,20080707,000000,14.7821,14.7821,14.7821,14.7821,0,0
UNI_PE,D,20080708,000000,14.4943,14.7821,14.4943,14.7821,0,0
UNI_PE,D,20080709,000000,14.7821,14.7821,14.2066,14.7821,0,0
UNI_PE,D,20080710,000000,14.6382,14.6382,14.6382,14.6382,0,0
UNI_PE,D,20080711,000000,14.6382,14.6382,14.2066,14.6382,0,0
UNI_PE,D,20080714,000000,14.2066,14.4943,14.2066,14.4943,0,0
UNI_PE,D,20080715,000000,14.0627,14.5667,14.0627,14.5667,0,0
UNI_PE,D,20080716,000000,14.7821,14.7821,14.6382,14.6382,0,0
