<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VTL_PE,D,20140326,000000,11.24,11.24,11.24,11.24,0,0
VTL_PE,D,20140327,000000,11.24,11.24,11.146,11.24,0,0
VTL_PE,D,20140328,000000,11.24,11.24,10.959,11.146,0,0
VTL_PE,D,20140331,000000,11.24,11.24,11.053,11.053,0,0
VTL_PE,D,20140401,000000,11.146,11.146,11.053,11.053,0,0
VTL_PE,D,20140402,000000,11.053,11.146,10.865,11.146,0,0
VTL_PE,D,20140403,000000,11.146,11.146,10.772,11.146,0,0
VTL_PE,D,20140404,000000,11.053,11.146,11.053,11.146,0,0
VTL_PE,D,20140407,000000,11.053,11.146,10.865,11.053,0,0
VTL_PE,D,20140408,000000,10.865,11.053,10.772,11.053,0,0
VTL_PE,D,20140409,000000,11.053,11.146,10.772,11.146,0,0
VTL_PE,D,20140410,000000,11.053,11.146,11.053,11.146,0,0
VTL_PE,D,20140411,000000,10.959,11.053,10.865,11.053,0,0
VTL_PE,D,20140414,000000,11.053,11.053,10.491,10.865,0,0
VTL_PE,D,20140415,000000,10.584,10.772,10.491,10.678,0,0
VTL_PE,D,20140416,000000,10.491,10.584,10.303,10.491,0,0
VTL_PE,D,20140417,000000,10.491,10.772,10.491,10.678,0,0
VTL_PE,D,20140422,000000,10.303,10.772,10.303,10.678,0,0
VTL_PE,D,20140423,000000,10.678,10.865,10.584,10.772,0,0
VTL_PE,D,20140424,000000,10.772,10.865,10.209,10.491,0,0
VTL_PE,D,20140425,000000,10.303,10.491,10.303,10.491,0,0
VTL_PE,D,20140428,000000,10.397,10.397,10.303,10.303,0,0
VTL_PE,D,20140429,000000,10.209,10.491,10.209,10.397,0,0
VTL_PE,D,20140430,000000,10.397,10.491,10.303,10.303,0,0
VTL_PE,D,20140502,000000,10.491,10.491,10.303,10.303,0,0
VTL_PE,D,20140505,000000,10.303,10.491,10.303,10.491,0,0
VTL_PE,D,20140506,000000,10.491,10.491,10.209,10.491,0,0
VTL_PE,D,20140507,000000,10.397,10.397,9.836,9.836,0,0
VTL_PE,D,20140508,000000,9.929,10.116,9.929,10.116,0,0
VTL_PE,D,20140509,000000,10.116,10.116,9.836,9.929,0,0
VTL_PE,D,20140512,000000,9.929,10.116,9.929,10.116,0,0
VTL_PE,D,20140513,000000,10.116,10.116,9.929,10.022,0,0
VTL_PE,D,20140514,000000,9.836,10.116,9.836,10.116,0,0
VTL_PE,D,20140515,000000,10.116,10.397,10.022,10.303,0,0
VTL_PE,D,20140516,000000,10.397,10.397,10.022,10.116,0,0
VTL_PE,D,20140519,000000,10.303,10.303,9.742,9.742,0,0
VTL_PE,D,20140520,000000,9.742,10.209,9.742,10.116,0,0
VTL_PE,D,20140521,000000,10.116,10.303,10.116,10.303,0,0
VTL_PE,D,20140522,000000,10.116,10.397,10.022,10.397,0,0
VTL_PE,D,20140523,000000,10.397,10.397,10.209,10.303,0,0
VTL_PE,D,20140526,000000,10.116,10.303,10.116,10.209,0,0
VTL_PE,D,20140527,000000,10.209,10.397,9.2727,9.2727,0,0
VTL_PE,D,20140528,000000,9.3667,9.3667,9.1797,9.2727,0,0
VTL_PE,D,20140529,000000,9.2727,9.2727,9.1797,9.1797,0,0
VTL_PE,D,20140530,000000,9.1797,9.3667,9.1797,9.2727,0,0
VTL_PE,D,20140602,000000,9.2727,9.2727,8.9921,9.2727,0,0
