<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WPL_MV,D,20150507,000000,800.904,800.904,800.904,800.904,0,0
WPL_MV,D,20150508,000000,814.169,814.624,802.051,803.88,0,0
WPL_MV,D,20150511,000000,812.331,812.331,800.904,800.904,0,0
WPL_MV,D,20150512,000000,803.188,803.188,798.611,798.611,0,0
WPL_MV,D,20150513,000000,796.545,799.758,784.882,784.882,0,0
WPL_MV,D,20150514,000000,787.165,797.465,779.159,797.465,0,0
WPL_MV,D,20150515,000000,789.459,805.481,789.459,805.481,0,0
WPL_MV,D,20150518,000000,808.901,812.331,796.783,796.783,0,0
WPL_MV,D,20150519,000000,794.035,796.545,794.035,796.318,0,0
WPL_MV,D,20150520,000000,795.172,810.057,795.172,796.318,0,0
WPL_MV,D,20150521,000000,812.331,812.331,801.132,801.132,0,0
WPL_MV,D,20150522,000000,794.49,811.876,794.49,796.783,0,0
WPL_MV,D,20150525,000000,809.593,809.593,809.593,809.593,0,0
WPL_MV,D,20150526,000000,797.465,797.465,797.465,797.465,0,0
WPL_MV,D,20150527,000000,789.696,901.762,789.696,901.762,0,0
WPL_MV,D,20150528,000000,900.468,904.115,896.583,901.762,0,0
WPL_MV,D,20150529,000000,892.946,905.41,892.946,903.077,0,0
WPL_MV,D,20150601,000000,900.468,904.362,896.583,901.762,0,0
WPL_MV,D,20150602,000000,900.468,901.762,895.288,901.762,0,0
WPL_MV,D,20150603,000000,895.288,903.077,895.288,899.954,0,0
WPL_MV,D,20150605,000000,899.183,899.183,897.888,897.888,0,0
WPL_MV,D,20150608,000000,897.364,903.077,897.364,903.077,0,0
WPL_MV,D,20150609,000000,897.888,897.888,897.888,897.888,0,0
WPL_MV,D,20150610,000000,897.888,900.468,895.812,896.85,0,0
WPL_MV,D,20150611,000000,900.468,900.468,895.812,896.583,0,0
WPL_MV,D,20150612,000000,899.183,899.183,896.583,896.583,0,0
WPL_MV,D,20150615,000000,903.077,903.077,897.888,897.888,0,0
WPL_MV,D,20150616,000000,897.888,901.762,894.774,901.762,0,0
WPL_MV,D,20150617,000000,903.077,903.077,899.183,900.468,0,0
WPL_MV,D,20150618,000000,901.762,904.362,901.762,902.563,0,0
WPL_MV,D,20150619,000000,901.762,905.667,894.774,894.774,0,0
WPL_MV,D,20150622,000000,895.545,900.468,895.545,897.888,0,0
WPL_MV,D,20150623,000000,903.077,903.077,897.888,897.888,0,0
WPL_MV,D,20150624,000000,898.155,905.667,898.155,902.286,0,0
WPL_MV,D,20150625,000000,900.468,903.077,900.468,900.468,0,0
WPL_MV,D,20150626,000000,897.888,897.888,896.326,897.364,0,0
WPL_MV,D,20150629,000000,882.31,882.31,834.56,874.532,0,0
WPL_MV,D,20150630,000000,869.599,874.532,869.599,873.751,0,0
WPL_MV,D,20150701,000000,873.751,905.153,873.751,904.629,0,0
WPL_MV,D,20150702,000000,905.153,906.181,887.509,904.362,0,0
WPL_MV,D,20150703,000000,904.362,906.181,887.243,895.288,0,0
WPL_MV,D,20150706,000000,888.814,905.667,883.615,905.667,0,0
WPL_MV,D,20150707,000000,895.288,900.468,895.288,895.288,0,0
WPL_MV,D,20150708,000000,903.077,903.077,895.288,895.288,0,0
WPL_MV,D,20150709,000000,897.888,897.888,887.509,895.288,0,0
WPL_MV,D,20150710,000000,895.288,902.8,893.994,895.288,0,0
WPL_MV,D,20150713,000000,900.468,900.468,882.31,889.585,0,0
WPL_MV,D,20150714,000000,891.127,891.918,882.31,888.814,0,0
WPL_MV,D,20150715,000000,888.814,897.888,888.814,897.888,0,0
WPL_MV,D,20150716,000000,900.468,931.87,897.888,926.433,0,0
WPL_MV,D,20150717,000000,921.501,950.561,921.501,950.314,0,0
WPL_MV,D,20150720,000000,947.19,947.19,939.411,947.19,0,0
WPL_MV,D,20150721,000000,947.19,957.035,939.411,957.035,0,0
WPL_MV,D,20150722,000000,957.559,957.559,952.636,957.559,0,0
WPL_MV,D,20150723,000000,954.969,957.559,950.037,952.379,0,0
WPL_MV,D,20150724,000000,957.559,960.158,954.969,960.158,0,0
WPL_MV,D,20150727,000000,964.062,964.062,954.969,955.236,0,0
WPL_MV,D,20150728,000000,955.493,964.833,955.493,960.158,0,0
WPL_MV,D,20150729,000000,960.158,964.062,959.654,959.654,0,0
WPL_MV,D,20150730,000000,959.654,960.158,959.654,960.158,0,0
WPL_MV,D,20150731,000000,960.158,975.726,960.158,975.726,0,0
WPL_MV,D,20150803,000000,975.726,986.114,975.726,986.114,0,0
WPL_MV,D,20150804,000000,986.114,986.114,960.158,960.158,0,0
WPL_MV,D,20150805,000000,960.158,978.335,960.158,974.441,0,0
WPL_MV,D,20150806,000000,974.441,979.62,962.758,971.831,0,0
WPL_MV,D,20150807,000000,971.831,971.831,960.158,964.062,0,0
WPL_MV,D,20150810,000000,964.062,964.062,960.158,960.158,0,0
WPL_MV,D,20150811,000000,960.158,962.758,954.969,960.158,0,0
