<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZWC_PB,D,20070813,000000,2.3562,2.3562,2.3562,2.3562,0,0
ZWC_PB,D,20070814,000000,2.7892,2.7892,2.7892,2.7892,0,0
ZWC_PB,D,20070816,000000,2.6491,2.6491,2.6491,2.6491,0,0
ZWC_PB,D,20070817,000000,2.7638,2.7638,2.7638,2.7638,0,0
ZWC_PB,D,20070820,000000,2.7892,2.7892,2.7892,2.7892,0,0
ZWC_PB,D,20070821,000000,2.7892,2.7892,2.7892,2.7892,0,0
ZWC_PB,D,20070822,000000,2.7129,2.7129,2.7129,2.7129,0,0
ZWC_PB,D,20070823,000000,2.7892,2.7892,2.7892,2.7892,0,0
ZWC_PB,D,20070824,000000,2.7977,2.7977,2.7977,2.7977,0,0
ZWC_PB,D,20070827,000000,2.9718,2.9718,2.9718,2.9718,0,0
ZWC_PB,D,20070828,000000,2.9378,2.9378,2.9378,2.9378,0,0
ZWC_PB,D,20070829,000000,2.9802,2.9802,2.9802,2.9802,0,0
ZWC_PB,D,20070830,000000,3.2351,3.2351,3.2351,3.2351,0,0
ZWC_PB,D,20070831,000000,3.4939,3.4939,3.4939,3.4939,0,0
ZWC_PB,D,20070903,000000,3.702,3.702,3.702,3.702,0,0
ZWC_PB,D,20070904,000000,3.7785,3.7785,3.7785,3.7785,0,0
ZWC_PB,D,20070905,000000,3.4939,3.4939,3.4939,3.4939,0,0
ZWC_PB,D,20070906,000000,3.4133,3.4133,3.4133,3.4133,0,0
ZWC_PB,D,20070907,000000,3.392,3.392,3.392,3.392,0,0
ZWC_PB,D,20070910,000000,3.3537,3.3537,3.3537,3.3537,0,0
ZWC_PB,D,20070911,000000,3.443,3.443,3.443,3.443,0,0
ZWC_PB,D,20070912,000000,3.392,3.392,3.392,3.392,0,0
ZWC_PB,D,20070913,000000,3.392,3.392,3.392,3.392,0,0
ZWC_PB,D,20070914,000000,3.3199,3.3199,3.3199,3.3199,0,0
ZWC_PB,D,20070917,000000,3.3027,3.3027,3.3027,3.3027,0,0
ZWC_PB,D,20070918,000000,3.2861,3.2861,3.2861,3.2861,0,0
ZWC_PB,D,20070919,000000,3.3072,3.3072,3.3072,3.3072,0,0
ZWC_PB,D,20070920,000000,3.3962,3.3962,3.3962,3.3962,0,0
ZWC_PB,D,20070921,000000,3.4939,3.4939,3.4939,3.4939,0,0
ZWC_PB,D,20070924,000000,3.4939,3.4939,3.4939,3.4939,0,0
ZWC_PB,D,20070925,000000,3.5195,3.5195,3.5195,3.5195,0,0
ZWC_PB,D,20070926,000000,3.566,3.566,3.566,3.566,0,0
ZWC_PB,D,20070927,000000,3.5195,3.5195,3.5195,3.5195,0,0
ZWC_PB,D,20070928,000000,3.4599,3.4599,3.4599,3.4599,0,0
ZWC_PB,D,20071001,000000,3.3623,3.3623,3.3623,3.3623,0,0
ZWC_PB,D,20071002,000000,3.4133,3.4133,3.4133,3.4133,0,0
ZWC_PB,D,20071003,000000,3.5195,3.5195,3.5195,3.5195,0,0
ZWC_PB,D,20071004,000000,3.5195,3.5195,3.5195,3.5195,0,0
ZWC_PB,D,20071005,000000,3.4684,3.4684,3.4684,3.4684,0,0
ZWC_PB,D,20071008,000000,3.4133,3.4133,3.4133,3.4133,0,0
ZWC_PB,D,20071009,000000,3.4642,3.4642,3.4642,3.4642,0,0
ZWC_PB,D,20071010,000000,3.3623,3.3623,3.3623,3.3623,0,0
ZWC_PB,D,20071011,000000,3.409,3.409,3.409,3.409,0,0
ZWC_PB,D,20071012,000000,3.392,3.392,3.392,3.392,0,0
ZWC_PB,D,20071015,000000,3.409,3.409,3.409,3.409,0,0
ZWC_PB,D,20071016,000000,3.3623,3.3623,3.3623,3.3623,0,0
ZWC_PB,D,20071017,000000,3.4007,3.4007,3.4007,3.4007,0,0
ZWC_PB,D,20071018,000000,3.392,3.392,3.392,3.392,0,0
ZWC_PB,D,20071019,000000,3.3623,3.3623,3.3623,3.3623,0,0
ZWC_PB,D,20071022,000000,3.3792,3.3792,3.3792,3.3792,0,0
ZWC_PB,D,20071023,000000,3.3369,3.3369,3.3369,3.3369,0,0
ZWC_PB,D,20071024,000000,3.3369,3.3369,3.3369,3.3369,0,0
ZWC_PB,D,20071025,000000,3.3623,3.3623,3.3623,3.3623,0,0
ZWC_PB,D,20071026,000000,3.3453,3.3453,3.3453,3.3453,0,0
ZWC_PB,D,20071029,000000,3.3623,3.3623,3.3623,3.3623,0,0
