<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
1AT,D,20150615,000000,13.4191,13.4191,13.1753,13.1753,71508.0659319072,0
1AT,D,20150616,000000,13.1624,13.1753,12.9314,13.0765,66586.6373606272,0
1AT,D,20150617,000000,13.0533,13.359,12.8087,13.2302,42881.0769217824,0
1AT,D,20150618,000000,13.1753,13.2302,13.1143,13.2053,45528.7472513728,0
1AT,D,20150619,000000,13.2302,13.2302,12.9915,13.0533,13632.0659336544,0
1AT,D,20150622,000000,13.1504,13.1504,13.0654,13.0722,4380.9450548128,0
1AT,D,20150623,000000,13.0722,13.1452,12.9005,13.1143,42055.2087899392,0
1AT,D,20150624,000000,13.1143,13.1143,12.2481,13.0345,26053.8681310816,0
1AT,D,20150625,000000,13.0302,13.1074,12.8087,13.1074,5246.4175822592,0
1AT,D,20150626,000000,12.8087,13.0765,12.5108,13.0413,36525.736262633596,0
1AT,D,20150629,000000,12.5348,12.8087,12.5348,12.8087,347.1208791104,0
1AT,D,20150630,000000,12.7477,12.7477,12.5048,12.7477,13639.0549446432,0
1AT,D,20150701,000000,12.8087,13.0224,12.8087,13.0224,3279.010988912,0
1AT,D,20150702,000000,13.0104,13.0224,13.0104,13.0224,41151.296702054395,0
1AT,D,20150703,000000,13.0302,13.1383,13.0224,13.0224,16626.8571423552,0
1AT,D,20150706,000000,13.1014,13.1452,13.1014,13.1452,18162.109889561598,0
1AT,D,20150707,000000,13.1452,13.5418,13.1452,13.1452,26752.7692299616,0
1AT,D,20150708,000000,13.4191,13.4191,13.1452,13.4191,7425.8241756,0
1AT,D,20150709,000000,13.4191,13.45,13.4122,13.4122,654.6373626175999,0
1AT,D,20150710,000000,13.4191,13.4191,13.1753,13.4122,1626.1098900608,0
1AT,D,20150713,000000,13.45,13.45,13.298,13.4122,979.6263735967999,0
1AT,D,20150714,000000,13.3281,13.4122,13.1143,13.4122,4426.37362624,0
