<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABE,D,20060921,000000,10.359,10.943,10.324,10.502,940854,0
ABE,D,20060922,000000,10.494,10.494,10.1,10.414,59074,0
ABE,D,20060925,000000,10.315,10.62,10.315,10.62,139913,0
ABE,D,20060926,000000,10.683,10.818,10.683,10.809,116913,0
ABE,D,20060927,000000,10.854,10.854,10.502,10.728,76929,0
ABE,D,20060928,000000,10.502,10.773,10.458,10.773,41734,0
ABE,D,20060929,000000,10.799,10.799,10.593,10.773,39855,0
ABE,D,20061002,000000,10.773,10.773,10.512,10.773,72901,0
ABE,D,20061003,000000,10.692,10.773,10.692,10.765,23620,0
ABE,D,20061004,000000,10.683,10.791,10.683,10.791,73935,0
ABE,D,20061005,000000,10.773,10.845,10.773,10.818,119569,0
ABE,D,20061006,000000,10.854,11.176,10.818,11.176,78222,0
ABE,D,20061009,000000,11.176,11.248,11.131,11.248,22525,0
ABE,D,20061010,000000,11.267,11.267,11.131,11.267,72987,0
ABE,D,20061011,000000,11.312,11.401,11.285,11.312,44483,0
ABE,D,20061012,000000,11.357,11.626,11.357,11.591,18334,0
ABE,D,20061013,000000,11.671,11.716,11.5,11.599,126351,0
ABE,D,20061016,000000,11.653,11.653,11.491,11.581,26013,0
ABE,D,20061017,000000,11.221,11.312,11.069,11.141,29780,0
ABE,D,20061018,000000,11.088,11.491,11.088,11.176,28139,0
ABE,D,20061019,000000,11.131,11.32,11.131,11.176,14926,0
ABE,D,20061020,000000,11.141,11.257,10.998,10.998,18140,0
ABE,D,20061023,000000,11.042,11.131,11.042,11.131,7314,0
ABE,D,20061024,000000,11.221,11.221,11.131,11.221,17228,0
ABE,D,20061025,000000,11.131,11.205,11.007,11.088,12118,0
ABE,D,20061026,000000,11.016,11.131,10.952,10.952,16822,0
ABE,D,20061027,000000,10.952,10.952,10.791,10.908,8934,0
ABE,D,20061030,000000,10.952,10.952,10.683,10.818,14230,0
ABE,D,20061031,000000,10.952,11.095,10.765,10.818,2236,0
ABE,D,20061102,000000,11.088,11.088,10.773,10.818,27067,0
ABE,D,20061103,000000,11.078,11.078,10.782,10.782,13600,0
ABE,D,20061106,000000,10.818,10.952,10.818,10.952,4940,0
ABE,D,20061107,000000,11.32,12.12,11.32,12.12,231525,0
ABE,D,20061108,000000,12.488,13.018,12.434,12.478,126659,0
ABE,D,20061109,000000,12.928,12.928,12.21,12.344,26854,0
ABE,D,20061110,000000,12.389,12.389,12.092,12.164,27926,0
ABE,D,20061113,000000,12.191,12.2,11.805,11.94,11116,0
ABE,D,20061114,000000,11.671,12.164,11.581,12.164,32405,0
ABE,D,20061115,000000,12.21,12.21,11.797,11.797,24479,0
ABE,D,20061116,000000,11.94,11.94,11.681,11.922,2357,0
ABE,D,20061117,000000,11.849,11.849,11.681,11.681,8558,0
ABE,D,20061120,000000,11.922,11.922,11.769,11.894,1340,0
ABE,D,20061121,000000,11.841,12.46,11.841,12.389,51598,0
ABE,D,20061122,000000,12.478,12.613,12.227,12.568,47329,0
ABE,D,20061123,000000,12.568,12.765,12.568,12.748,25822,0
ABE,D,20061124,000000,12.838,13.018,12.838,13.018,49029,0
ABE,D,20061127,000000,13.018,13.196,13.018,13.152,27538,0
ABE,D,20061128,000000,13.368,13.368,13.018,13.108,30974,0
ABE,D,20061129,000000,13.241,13.557,13.241,13.511,24118,0
ABE,D,20061130,000000,13.511,13.781,13.394,13.467,65078,0
ABE,D,20061201,000000,13.691,13.691,13.34,13.691,39024,0
ABE,D,20061204,000000,13.726,13.726,13.421,13.664,12300,0
ABE,D,20061205,000000,14.094,14.813,14.094,14.542,90611,0
ABE,D,20061206,000000,14.805,14.805,14.319,14.364,23388,0
ABE,D,20061207,000000,14.238,15.082,14.238,15.082,72794,0
ABE,D,20061208,000000,15.038,16.429,15.038,15.711,106536,0
ABE,D,20061211,000000,15.8,17.371,15.8,17.318,73598,0
ABE,D,20061212,000000,17.326,17.326,16.339,16.94,99530,0
ABE,D,20061213,000000,16.859,16.859,16.151,16.248,23794,0
ABE,D,20061214,000000,16.248,16.248,15.261,15.8,47079,0
ABE,D,20061215,000000,15.701,15.711,14.364,15.711,51299,0
ABE,D,20061218,000000,15.261,15.755,15.261,15.711,13372,0
ABE,D,20061219,000000,16.114,16.151,15.038,15.261,42733,0
ABE,D,20061220,000000,14.813,15.701,14.813,15.261,73419,0
ABE,D,20061221,000000,15.001,15.261,14.588,14.777,4853,0
ABE,D,20061222,000000,14.813,15.216,14.813,15.172,6887,0
ABE,D,20061227,000000,15.181,15.531,15.172,15.351,6659,0
ABE,D,20061228,000000,15.692,15.692,15.082,15.351,18682,0
ABE,D,20061229,000000,15.261,15.441,14.813,15.351,5420,0
ABE,D,20070102,000000,15.261,15.261,15.216,15.216,2142,0
ABE,D,20070103,000000,15.261,15.261,14.552,15.172,13395,0
ABE,D,20070104,000000,15.082,15.216,14.813,15.216,14580,0
ABE,D,20070105,000000,14.723,15.216,14.633,14.813,45799,0
ABE,D,20070108,000000,14.562,14.895,14.562,14.813,7906,0
ABE,D,20070109,000000,14.813,15.199,14.813,15.199,28306,0
ABE,D,20070110,000000,15.216,15.487,15.172,15.351,18763,0
ABE,D,20070111,000000,15.351,15.979,15.261,15.97,70721,0
ABE,D,20070112,000000,16.186,16.186,15.845,15.889,41164,0
ABE,D,20070115,000000,16.141,16.151,15.889,16.016,18598,0
ABE,D,20070116,000000,16.114,16.141,15.531,15.889,11867,0
ABE,D,20070117,000000,15.621,15.979,15.621,15.979,16970,0
ABE,D,20070118,000000,15.558,16.6,15.558,16.519,22735,0
ABE,D,20070119,000000,16.608,16.608,16.16,16.16,6679,0
ABE,D,20070122,000000,16.169,16.429,16.16,16.16,6654,0
ABE,D,20070123,000000,16.114,16.582,15.665,16.582,24507,0
ABE,D,20070124,000000,16.608,17.058,16.608,17.058,20158,0
ABE,D,20070125,000000,17.64,17.775,17.058,17.058,7984,0
ABE,D,20070126,000000,16.248,17.147,16.248,17.058,10510,0
ABE,D,20070129,000000,17.058,17.058,16.886,17.058,22393,0
ABE,D,20070130,000000,16.878,17.058,16.878,17.058,9535,0
ABE,D,20070131,000000,17.147,17.326,17.058,17.326,8570,0
ABE,D,20070201,000000,17.417,18.359,17.417,18.224,40085,0
ABE,D,20070202,000000,18.313,18.763,17.686,18.404,11936,0
ABE,D,20070205,000000,18.404,18.763,18.404,18.745,597565,0
ABE,D,20070206,000000,18.853,18.853,18.404,18.763,4365,0
ABE,D,20070207,000000,17.973,18.753,17.973,18.313,2968,0
ABE,D,20070208,000000,17.973,18.261,17.686,17.775,18756,0
ABE,D,20070209,000000,17.686,17.775,16.788,17.507,16901,0
ABE,D,20070212,000000,17.058,17.595,16.959,17.507,67485,0
ABE,D,20070213,000000,17.516,18.763,17.281,18.583,6919,0
ABE,D,20070214,000000,19.229,19.229,18.449,18.672,20634,0
ABE,D,20070215,000000,18.493,18.672,17.999,18.009,2973,0
ABE,D,20070216,000000,17.954,18.206,17.775,17.954,6388,0
ABE,D,20070219,000000,17.954,18.808,17.954,18.583,9793,0
ABE,D,20070220,000000,18.753,18.753,18.583,18.592,2444,0
ABE,D,20070221,000000,18.672,18.672,18.196,18.224,2044,0
ABE,D,20070222,000000,17.954,18.313,17.865,18.313,5421,0
ABE,D,20070223,000000,17.954,18.493,17.775,18.493,11337,0
ABE,D,20070226,000000,18.313,18.404,18.313,18.404,1187,0
ABE,D,20070227,000000,18.574,18.574,17.281,17.354,14364,0
ABE,D,20070228,000000,16.878,17.237,16.339,17.058,14516,0
ABE,D,20070301,000000,17.326,17.326,16.16,16.248,11033,0
ABE,D,20070302,000000,16.608,16.608,15.989,16.509,3274,0
ABE,D,20070305,000000,16.07,16.07,15.441,15.783,2999,0
ABE,D,20070306,000000,15.621,16.608,15.621,16.608,15150,0
ABE,D,20070307,000000,17.012,17.227,16.921,17.227,3908,0
ABE,D,20070308,000000,17.417,17.766,17.417,17.748,3501,0
ABE,D,20070309,000000,17.937,17.937,17.326,17.91,11504,0
ABE,D,20070312,000000,17.865,18.359,17.865,18.313,16223,0
ABE,D,20070313,000000,18.359,18.395,18.313,18.313,24151,0
ABE,D,20070314,000000,17.686,18.134,17.407,18.134,4645,0
ABE,D,20070315,000000,17.954,17.954,17.47,17.954,24847,0
ABE,D,20070316,000000,17.954,17.954,17.507,17.954,12949,0
ABE,D,20070319,000000,17.954,18.134,17.551,18.134,4287,0
ABE,D,20070320,000000,17.954,18.134,17.954,18.134,16020,0
ABE,D,20070321,000000,18.134,18.493,17.954,18.493,8925,0
ABE,D,20070322,000000,18.601,19.302,18.601,19.212,42703,0
ABE,D,20070323,000000,19.302,19.823,19.212,19.795,13087,0
ABE,D,20070326,000000,19.84,20.154,19.571,19.795,14820,0
ABE,D,20070327,000000,19.751,19.751,19.257,19.257,7304,0
ABE,D,20070328,000000,19.302,19.302,18.672,18.808,4429,0
ABE,D,20070329,000000,18.808,18.898,18.511,18.539,4125,0
ABE,D,20070330,000000,18.583,19.751,18.548,19.751,7841,0
ABE,D,20070402,000000,20.154,20.2,19.66,19.66,4109,0
ABE,D,20070403,000000,19.751,20.2,19.751,20.11,11226,0
ABE,D,20070404,000000,20.649,20.649,20.2,20.2,19104,0
ABE,D,20070405,000000,20.289,20.649,19.84,20.649,8412,0
ABE,D,20070410,000000,21.447,21.94,20.98,21.94,117075,0
ABE,D,20070411,000000,21.995,21.995,21.366,21.724,7266,0
ABE,D,20070412,000000,21.457,21.546,20.649,21.546,9488,0
ABE,D,20070413,000000,21.151,21.457,21.151,21.322,34656,0
ABE,D,20070416,000000,21.097,21.672,21.097,21.546,3363,0
ABE,D,20070417,000000,21.537,21.537,21.097,21.366,4241,0
ABE,D,20070418,000000,21.366,21.537,20.737,21.277,7116,0
ABE,D,20070419,000000,21.519,21.519,20.836,21.501,239200,0
ABE,D,20070420,000000,21.546,23.071,21.546,22.174,21341,0
ABE,D,20070423,000000,22.579,22.623,21.914,22.083,6258,0
ABE,D,20070424,000000,21.995,22.093,21.457,22.083,1912,0
ABE,D,20070425,000000,21.546,21.995,21.187,21.995,3868,0
ABE,D,20070426,000000,22.309,22.309,21.366,21.546,6996,0
ABE,D,20070427,000000,21.546,21.546,21.537,21.546,4429,0
ABE,D,20070430,000000,21.986,21.986,21.546,21.724,12251,0
ABE,D,20070502,000000,22.083,22.083,21.554,21.724,5813,0
ABE,D,20070504,000000,21.815,22.174,21.815,21.995,3502,0
ABE,D,20070507,000000,22.255,22.264,21.815,22.264,112678,0
ABE,D,20070508,000000,22.524,23.521,22.264,22.264,27371,0
ABE,D,20070509,000000,22.623,22.893,21.724,22.443,233140,0
ABE,D,20070510,000000,22.713,22.893,21.115,21.537,9477,0
ABE,D,20070511,000000,20.649,21.995,18.861,21.995,16968,0
