<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARH,D,20160322,000000,8.83334,8.83334,8.31666,8.61703,10966.081632814701,0
ARH,D,20160323,000000,8.67284,8.67284,7.8663,8.5061,11836.6297377838,0
ARH,D,20160324,000000,8.47765,8.56102,8.47765,8.56102,3127.1137026700003,0
ARH,D,20160329,000000,8.39448,8.39993,8.33867,8.39993,3328.8629738100003,0
ARH,D,20160330,000000,8.39993,8.61703,8.39993,8.61168,6260.279883474201,0
ARH,D,20160331,000000,8.34491,8.57797,8.34491,8.57797,37.323615160900005,0
ARH,D,20160401,000000,8.53445,8.53445,8.53445,8.53445,189.64431487160002,0
ARH,D,20160404,000000,8.53445,8.53445,8.53445,8.53445,296.5714285758,0
ARH,D,20160405,000000,8.53445,8.53445,8.47765,8.47765,1992.2740525075,0
ARH,D,20160406,000000,8.53445,8.53445,8.39448,8.39448,1267.9941691149002,0
ARH,D,20160407,000000,8.47765,8.47765,8.36623,8.36623,213.85422740840002,0
ARH,D,20160408,000000,8.36623,8.61703,8.36623,8.37247,4220.5947522488,0
ARH,D,20160411,000000,8.60633,8.60633,8.60633,8.60633,1.0087463557,0
ARH,D,20160412,000000,8.37247,8.54417,8.36623,8.54417,603.2303207086001,0
ARH,D,20160413,000000,8.52831,8.52831,8.37247,8.52831,473.1020408233,0
ARH,D,20160414,000000,8.45108,8.5061,8.45108,8.5061,1447.5510204295,0
ARH,D,20160415,000000,8.33867,8.484,8.28355,8.484,3202.7696793475,0
ARH,D,20160418,000000,8.34491,8.34491,8.33391,8.33391,1519.1720116842,0
ARH,D,20160419,000000,8.29465,8.29465,8.27334,8.27334,1471.7609329663,0
ARH,D,20160420,000000,8.25609,8.25609,7.89376,7.90556,2860.8046647652,0
ARH,D,20160421,000000,8.06119,8.1171,8.06119,8.06119,1246.8104956452,0
ARH,D,20160422,000000,8.06119,8.28355,8.06119,8.28355,198.7230320729,0
ARH,D,20160425,000000,8.1171,8.1171,7.9009,7.9009,1815.7434402600002,0
ARH,D,20160426,000000,8.08875,8.45108,8.08875,8.45108,5243.4635569286,0
ARH,D,20160427,000000,8.45108,8.72866,8.45108,8.45554,14282.8396503563,0
