<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATS,D,19970605,000000,1650,1650,1650,1650,996,0
ATS,D,19970606,000000,1540,1540,1540,1540,561,0
ATS,D,19970609,000000,1584,1584,1584,1584,411,0
ATS,D,19970610,000000,1540,1540,1540,1540,137,0
ATS,D,19970611,000000,1584,1584,1584,1584,373,0
ATS,D,19970612,000000,1738,1738,1738,1738,796,0
ATS,D,19970613,000000,1738,1738,1738,1738,335,0
ATS,D,19970616,000000,1694,1694,1694,1694,165,0
ATS,D,19970617,000000,1628,1628,1628,1628,342,0
ATS,D,19970618,000000,1540,1540,1540,1540,417,0
ATS,D,19970619,000000,1540,1540,1540,1540,261,0
ATS,D,19970620,000000,1584,1584,1584,1584,122,0
ATS,D,19970623,000000,1430,1430,1430,1430,296,0
ATS,D,19970624,000000,1419,1419,1419,1419,379,0
ATS,D,19970625,000000,1430,1430,1430,1430,132,0
ATS,D,19970626,000000,1364,1364,1364,1364,124,0
ATS,D,19970627,000000,1364,1364,1364,1364,149,0
ATS,D,19970630,000000,1386,1386,1386,1386,221,0
ATS,D,19970701,000000,1364,1364,1364,1364,140,0
ATS,D,19970702,000000,1364,1364,1364,1364,99,0
ATS,D,19970703,000000,1342,1342,1342,1342,170,0
ATS,D,19970704,000000,1430,1430,1430,1430,69,0
ATS,D,19970707,000000,1474,1474,1474,1474,205,0
ATS,D,19970708,000000,1474,1474,1474,1474,96,0
ATS,D,19970709,000000,1540,1540,1540,1540,130,0
ATS,D,19970710,000000,1584,1584,1584,1584,145,0
ATS,D,19970711,000000,1507,1507,1507,1507,60,0
ATS,D,19970714,000000,1364,1364,1364,1364,316,0
ATS,D,19970715,000000,1386,1386,1386,1386,140,0
ATS,D,19970716,000000,1419,1419,1419,1419,206,0
ATS,D,19970717,000000,1386,1386,1386,1386,172,0
ATS,D,19970718,000000,1430,1430,1430,1430,162,0
ATS,D,19970721,000000,1375,1375,1375,1375,93,0
ATS,D,19970722,000000,1397,1397,1397,1397,83,0
ATS,D,19970723,000000,1397,1397,1397,1397,55,0
ATS,D,19970724,000000,1364,1364,1364,1364,86,0
ATS,D,19970725,000000,1342,1342,1342,1342,99,0
ATS,D,19970728,000000,1298,1298,1298,1298,103,0
ATS,D,19970729,000000,1342,1342,1342,1342,123,0
ATS,D,19970730,000000,1386,1386,1386,1386,277,0
ATS,D,19970731,000000,1397,1397,1397,1397,100,0
ATS,D,19970801,000000,1375,1375,1375,1375,33,0
ATS,D,19970804,000000,1397,1397,1397,1397,70,0
ATS,D,19970805,000000,1364,1364,1364,1364,36,0
ATS,D,19970806,000000,1397,1397,1397,1397,111,0
ATS,D,19970807,000000,1397,1397,1397,1397,116,0
ATS,D,19970808,000000,1430,1430,1430,1430,222,0
ATS,D,19970811,000000,1430,1430,1430,1430,143,0
ATS,D,19970812,000000,1408,1408,1408,1408,122,0
ATS,D,19970813,000000,1408,1408,1408,1408,143,0
ATS,D,19970814,000000,1386,1386,1386,1386,70,0
ATS,D,19970818,000000,1298,1298,1298,1298,106,0
ATS,D,19970819,000000,1320,1320,1320,1320,96,0
ATS,D,19970820,000000,1364,1364,1364,1364,79,0
ATS,D,19970821,000000,1375,1375,1375,1375,68,0
ATS,D,19970822,000000,1342,1342,1342,1342,88,0
ATS,D,19970825,000000,1364,1364,1364,1364,188,0
ATS,D,19970826,000000,1364,1364,1364,1364,429,0
ATS,D,19970827,000000,1397,1397,1397,1397,288,0
ATS,D,19970828,000000,1430,1430,1430,1430,484,0
ATS,D,19970829,000000,1507,1507,1507,1507,365,0
ATS,D,19970901,000000,1452,1452,1452,1452,305,0
ATS,D,19970902,000000,1430,1430,1430,1430,190,0
ATS,D,19970903,000000,1452,1452,1452,1452,481,0
ATS,D,19970904,000000,1496,1496,1496,1496,655,0
ATS,D,19970905,000000,1474,1474,1474,1474,193,0
ATS,D,19970908,000000,1518,1518,1518,1518,477,0
ATS,D,19970909,000000,1540,1540,1540,1540,341,0
ATS,D,19970910,000000,1540,1540,1540,1540,698,0
ATS,D,19970911,000000,1518,1518,1518,1518,488,0
ATS,D,19970912,000000,1518,1518,1518,1518,81,0
ATS,D,19970915,000000,1496,1496,1496,1496,911,0
ATS,D,19970916,000000,1518,1518,1518,1518,218,0
ATS,D,19970917,000000,1474,1474,1474,1474,104,0
ATS,D,19970918,000000,1474,1474,1474,1474,220,0
ATS,D,19970919,000000,1474,1474,1474,1474,210,0
ATS,D,19970922,000000,1496,1496,1496,1496,120,0
ATS,D,19970923,000000,1485,1485,1485,1485,35,0
ATS,D,19970924,000000,1441,1441,1441,1441,80,0
ATS,D,19970925,000000,1430,1430,1430,1430,35,0
ATS,D,19970926,000000,1397,1397,1397,1397,99,0
ATS,D,19970929,000000,1386,1386,1386,1386,46,0
ATS,D,19970930,000000,1386,1386,1386,1386,89,0
ATS,D,19971001,000000,1375,1375,1375,1375,88,0
ATS,D,19971002,000000,1386,1386,1386,1386,28,0
ATS,D,19971003,000000,1342,1342,1342,1342,148,0
ATS,D,19971006,000000,1331,1331,1331,1331,121,0
ATS,D,19971007,000000,1342,1342,1342,1342,155,0
ATS,D,19971008,000000,1386,1386,1386,1386,129,0
ATS,D,19971009,000000,1364,1364,1364,1364,139,0
ATS,D,19971010,000000,1342,1342,1342,1342,46,0
ATS,D,19971013,000000,1397,1397,1397,1397,134,0
ATS,D,19971014,000000,1397,1397,1397,1397,90,0
ATS,D,19971015,000000,1364,1364,1364,1364,245,0
ATS,D,19971016,000000,1364,1364,1364,1364,236,0
ATS,D,19971017,000000,1342,1342,1342,1342,159,0
ATS,D,19971020,000000,1419,1419,1419,1419,98,0
ATS,D,19971021,000000,1419,1419,1419,1419,129,0
ATS,D,19971022,000000,1397,1397,1397,1397,63,0
ATS,D,19971023,000000,1386,1386,1386,1386,85,0
ATS,D,19971024,000000,1353,1353,1353,1353,200,0
ATS,D,19971027,000000,1320,1320,1320,1320,150,0
ATS,D,19971028,000000,1188,1188,1188,1188,0,0
ATS,D,19971029,000000,1243,1243,1243,1243,190,0
ATS,D,19971030,000000,1199,1199,1199,1199,91,0
ATS,D,19971031,000000,1144,1144,1144,1144,90,0
ATS,D,19971103,000000,1210,1210,1210,1210,141,0
ATS,D,19971104,000000,1210,1210,1210,1210,126,0
ATS,D,19971105,000000,1232,1232,1232,1232,101,0
ATS,D,19971106,000000,1188,1188,1188,1188,423,0
ATS,D,19971107,000000,1166,1166,1166,1166,76,0
ATS,D,19971112,000000,1144,1144,1144,1144,50,0
ATS,D,19971113,000000,1111,1111,1111,1111,86,0
ATS,D,19971114,000000,1133,1133,1133,1133,54,0
ATS,D,19971117,000000,1199,1199,1199,1199,67,0
ATS,D,19971118,000000,1210,1210,1210,1210,93,0
ATS,D,19971119,000000,1122,1122,1122,1122,27,0
ATS,D,19971120,000000,1144,1144,1144,1144,9,0
ATS,D,19971121,000000,1199,1199,1199,1199,73,0
ATS,D,19971124,000000,1144,1144,1144,1144,71,0
ATS,D,19971125,000000,1188,1188,1188,1188,139,0
ATS,D,19971126,000000,1210,1210,1210,1210,77,0
ATS,D,19971127,000000,1199,1199,1199,1199,29,0
ATS,D,19971128,000000,1188,1188,1188,1188,16,0
ATS,D,19971201,000000,1232,1232,1232,1232,108,0
ATS,D,19971202,000000,1276,1276,1276,1276,102,0
ATS,D,19971203,000000,1243,1243,1243,1243,140,0
ATS,D,19971204,000000,1232,1232,1232,1232,39,0
ATS,D,19971205,000000,1232,1232,1232,1232,74,0
ATS,D,19971208,000000,1210,1210,1210,1210,30,0
ATS,D,19971209,000000,1188,1188,1188,1188,35,0
ATS,D,19971210,000000,1166,1166,1166,1166,51,0
ATS,D,19971211,000000,1100,1100,1100,1100,63,0
ATS,D,19971212,000000,1078,1078,1078,1078,102,0
ATS,D,19971215,000000,1100,1100,1100,1100,100,0
ATS,D,19971216,000000,1100,1100,1100,1100,84,0
ATS,D,19971217,000000,1056,1056,1056,1056,145,0
ATS,D,19971218,000000,1078,1078,1078,1078,20,0
ATS,D,19971219,000000,1012,1012,1012,1012,277,0
ATS,D,19971222,000000,1001,1001,1001,1001,94,0
ATS,D,19971223,000000,1023,1023,1023,1023,92,0
ATS,D,19971229,000000,1056,1056,1056,1056,153,0
ATS,D,19971230,000000,1100,1100,1100,1100,128,0
ATS,D,19971231,000000,1122,1122,1122,1122,522,0
ATS,D,19980105,000000,1100,1100,1100,1100,82,0
ATS,D,19980106,000000,1078,1078,1078,1078,91,0
ATS,D,19980107,000000,1012,1012,1012,1012,170,0
ATS,D,19980108,000000,1023,1023,1023,1023,85,0
ATS,D,19980109,000000,1001,1001,1001,1001,104,0
ATS,D,19980112,000000,924,924,924,924,91,0
ATS,D,19980113,000000,946,946,946,946,95,0
