<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DBC,D,19941124,000000,6.0494,6.0494,6.0494,6.0494,166022,0
DBC,D,19941125,000000,6.0494,6.0494,6.0494,6.0494,337789,0
DBC,D,19941128,000000,6.6473,6.6473,6.6473,6.6473,0,0
DBC,D,19941129,000000,7.2882,7.2882,7.2882,7.2882,241406,0
DBC,D,19941130,000000,7.9772,7.9772,7.9772,7.9772,231534,0
DBC,D,19941201,000000,8.7541,8.7541,8.7541,8.7541,145129,0
DBC,D,19941202,000000,8.8941,8.8941,8.8941,8.8941,306833,0
DBC,D,19941205,000000,8.2528,8.2528,8.2528,8.2528,239787,0
DBC,D,19941206,000000,8.4782,8.4782,8.4782,8.4782,212530,0
DBC,D,19941207,000000,8.1126,8.1126,8.1126,8.1126,262756,0
DBC,D,19941208,000000,7.3367,7.3367,7.3367,7.3367,591467,0
DBC,D,19941209,000000,7.5627,7.5627,7.5627,7.5627,121295,0
DBC,D,19941212,000000,8.2967,8.2967,8.2967,8.2967,204001,0
DBC,D,19941213,000000,8.0204,8.0204,8.0204,8.0204,137034,0
DBC,D,19941214,000000,7.612,7.612,7.612,7.612,64558,0
DBC,D,19941215,000000,7.7038,7.7038,7.7038,7.7038,58979,0
DBC,D,19941216,000000,8.2045,8.2045,8.2045,8.2045,80300,0
DBC,D,19941219,000000,8.2045,8.2045,8.2045,8.2045,81469,0
DBC,D,19941220,000000,7.8865,7.8865,7.8865,7.8865,44828,0
DBC,D,19941221,000000,7.9772,7.9772,7.9772,7.9772,30018,0
DBC,D,19941222,000000,8.0204,8.0204,8.0204,8.0204,46435,0
DBC,D,19941223,000000,8.1607,8.1607,8.1607,8.1607,51441,0
DBC,D,19941227,000000,8.1607,8.1607,8.1607,8.1607,59183,0
DBC,D,19941228,000000,7.8376,7.8376,7.8376,7.8376,32596,0
DBC,D,19941229,000000,8.0204,8.0204,8.0204,8.0204,45136,0
DBC,D,19950102,000000,8.4782,8.4782,8.4782,8.4782,96403,0
DBC,D,19950103,000000,8.7105,8.7105,8.7105,8.7105,136579,0
DBC,D,19950104,000000,8.4782,8.4782,8.4782,8.4782,58608,0
DBC,D,19950105,000000,8.4782,8.4782,8.4782,8.4782,47051,0
DBC,D,19950106,000000,8.0702,8.0702,8.0702,8.0702,75360,0
DBC,D,19950109,000000,8.2528,8.2528,8.2528,8.2528,49027,0
DBC,D,19950110,000000,8.2528,8.2528,8.2528,8.2528,68046,0
DBC,D,19950111,000000,8.2045,8.2045,8.2045,8.2045,82997,0
DBC,D,19950112,000000,7.9772,7.9772,7.9772,7.9772,50652,0
DBC,D,19950113,000000,8.2528,8.2528,8.2528,8.2528,45934,0
DBC,D,19950116,000000,8.437,8.437,8.437,8.437,132613,0
DBC,D,19950117,000000,8.2528,8.2528,8.2528,8.2528,82779,0
DBC,D,19950118,000000,8.2045,8.2045,8.2045,8.2045,89394,0
DBC,D,19950119,000000,8.2045,8.2045,8.2045,8.2045,18097,0
DBC,D,19950120,000000,8.1126,8.1126,8.1126,8.1126,42893,0
DBC,D,19950123,000000,7.8376,7.8376,7.8376,7.8376,83242,0
DBC,D,19950124,000000,7.7951,7.7951,7.7951,7.7951,125891,0
DBC,D,19950125,000000,7.7951,7.7951,7.7951,7.7951,37856,0
DBC,D,19950126,000000,7.5207,7.5207,7.5207,7.5207,72632,0
DBC,D,19950127,000000,7.1485,7.1485,7.1485,7.1485,26012,0
DBC,D,19950130,000000,7.1485,7.1485,7.1485,7.1485,48245,0
DBC,D,19950131,000000,6.83,6.83,6.83,6.83,46193,0
DBC,D,19950201,000000,7.3367,7.3367,7.3367,7.3367,70902,0
DBC,D,19950202,000000,7.1485,7.1485,7.1485,7.1485,76776,0
DBC,D,19950203,000000,6.8737,6.8737,6.8737,6.8737,110825,0
DBC,D,19950206,000000,7.38,7.38,7.38,7.38,17006,0
DBC,D,19950207,000000,7.7951,7.7951,7.7951,7.7951,82131,0
DBC,D,19950208,000000,7.7951,7.7951,7.7951,7.7951,177477,0
DBC,D,19950209,000000,7.8376,7.8376,7.8376,7.8376,79352,0
DBC,D,19950210,000000,7.7951,7.7951,7.7951,7.7951,120821,0
DBC,D,19950213,000000,7.5627,7.5627,7.5627,7.5627,26247,0
DBC,D,19950214,000000,7.7951,7.7951,7.7951,7.7951,62365,0
DBC,D,19950215,000000,7.7951,7.7951,7.7951,7.7951,56271,0
DBC,D,19950216,000000,7.7951,7.7951,7.7951,7.7951,43500,0
DBC,D,19950217,000000,8.2045,8.2045,8.2045,8.2045,144975,0
