<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EHG,D,20111215,000000,2.3319,2.4124,2.2113,2.4124,8388,0
EHG,D,20111216,000000,2.5732,2.5732,2.4124,2.5732,4193,0
EHG,D,20111219,000000,2.4526,2.4928,2.3722,2.4928,2487,0
EHG,D,20111220,000000,2.4687,2.4687,2.4607,2.4607,1630,0
EHG,D,20111221,000000,2.4526,2.4526,2.3319,2.4124,6378,0
EHG,D,20111222,000000,2.5249,2.5249,2.5249,2.5249,372,0
EHG,D,20111223,000000,2.5329,2.5329,2.4526,2.4526,3108,0
EHG,D,20111227,000000,2.4928,2.5329,2.4928,2.5329,1244,0
EHG,D,20111228,000000,2.5329,2.5329,2.4928,2.4928,2487,0
EHG,D,20111229,000000,2.4526,2.4526,2.3319,2.3319,3732,0
EHG,D,20111230,000000,2.3319,2.5892,2.1068,2.5892,40771,0
EHG,D,20120102,000000,2.8146,2.8146,2.8146,2.8146,12,0
EHG,D,20120103,000000,3.0155,3.0155,2.5732,2.5732,1380,0
EHG,D,20120104,000000,2.5732,2.5732,2.5732,2.5732,1510,0
EHG,D,20120105,000000,2.3319,2.3319,2.3319,2.3319,622,0
EHG,D,20120109,000000,2.2113,2.3319,2.2113,2.3319,1253,0
EHG,D,20120206,000000,2.0104,2.2113,2.0104,2.2113,8209,0
EHG,D,20120207,000000,2.1792,2.3239,2.147,2.2033,4476,0
EHG,D,20120208,000000,2.147,2.2033,2.0185,2.0747,7236,0
EHG,D,20120209,000000,1.9299,2.2355,1.8896,2.0104,8190,0
EHG,D,20120210,000000,1.9139,1.9139,1.9058,1.9058,2455,0
EHG,D,20120213,000000,1.9299,1.9299,1.9299,1.9299,1119,0
EHG,D,20120214,000000,1.7691,1.9058,1.7691,1.8978,3980,0
EHG,D,20120220,000000,1.761,1.8414,1.761,1.8414,1011,0
EHG,D,20120221,000000,1.6967,1.8334,1.6967,1.8334,2384,0
EHG,D,20120223,000000,1.8253,1.8253,1.8253,1.8253,622,0
EHG,D,20120302,000000,1.8174,1.8816,1.8174,1.8816,275,0
EHG,D,20120305,000000,1.8816,1.9942,1.8816,1.9942,4430,0
EHG,D,20120306,000000,1.962,1.962,1.962,1.962,36,0
EHG,D,20120308,000000,1.9541,2.131,1.9541,2.0104,3653,0
EHG,D,20120312,000000,2.2274,2.2274,2.2033,2.2274,3519,0
EHG,D,20120313,000000,2.2676,2.4124,2.2676,2.4124,1311,0
