<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FEE,D,20130510,000000,8.2567,8.3516,7.9719,8.0669,79723,0
FEE,D,20130513,000000,8.2092,8.5224,8.2092,8.5224,6420,0
FEE,D,20130514,000000,8.5414,8.6363,8.4465,8.6268,2392,0
FEE,D,20130515,000000,8.6363,8.8736,8.5888,8.8641,4573,0
FEE,D,20130516,000000,8.8641,8.921,8.8641,8.921,4996,0
FEE,D,20130517,000000,8.921,8.921,8.8261,8.8261,142,0
FEE,D,20130520,000000,8.8261,8.9875,8.8261,8.9875,2940,0
FEE,D,20130521,000000,9.0159,9.3952,8.921,9.2062,3536,0
FEE,D,20130522,000000,9.377,10.231,9.377,9.965,7965,0
FEE,D,20130523,000000,9.965,10.487,9.87,10.06,4121,0
FEE,D,20130524,000000,10.249,10.534,10.154,10.344,17110,0
FEE,D,20130527,000000,10.344,10.344,10.022,10.249,2585,0
FEE,D,20130528,000000,10.335,10.344,9.3098,9.3952,5186,0
FEE,D,20130529,000000,9.956,9.956,9.4998,9.822,3205,0
FEE,D,20130531,000000,9.965,9.965,9.965,9.965,1,0
FEE,D,20130605,000000,9.832,9.832,9.2062,9.68,584,0
FEE,D,20130606,000000,9.671,9.841,9.671,9.775,2114,0
FEE,D,20130612,000000,9.1208,9.671,9.1208,9.671,57,0
FEE,D,20130613,000000,9.0159,9.4903,9.0159,9.4903,159,0
FEE,D,20130614,000000,9.4903,9.4903,9.4711,9.4903,1055,0
FEE,D,20130617,000000,9.4903,9.4903,9.1108,9.2062,15469,0
FEE,D,20130618,000000,9.2916,9.719,9.2916,9.719,4524,0
FEE,D,20130619,000000,9.538,9.633,9.4903,9.633,6865,0
FEE,D,20130620,000000,9.509,9.566,9.4903,9.529,7855,0
FEE,D,20130621,000000,9.4432,9.651,9.4432,9.651,2456,0
FEE,D,20130624,000000,9.509,9.719,9.4903,9.719,1655,0
FEE,D,20130625,000000,9.68,9.861,9.4903,9.719,7465,0
FEE,D,20130626,000000,9.87,9.87,9.727,9.775,2108,0
FEE,D,20130627,000000,9.775,9.775,9.671,9.775,2665,0
FEE,D,20130628,000000,9.775,9.87,9.775,9.87,257,0
FEE,D,20130701,000000,9.87,10.107,9.87,10.06,836,0
FEE,D,20130702,000000,10.012,10.012,9.841,10.012,532,0
FEE,D,20130703,000000,10.012,10.012,9.87,10.012,452,0
FEE,D,20130704,000000,10.012,10.439,10.012,10.439,3409,0
FEE,D,20130705,000000,10.439,10.439,10.439,10.439,25,0
FEE,D,20130708,000000,10.154,10.154,10.154,10.154,23,0
FEE,D,20130709,000000,10.154,10.154,9.917,10.154,1559,0
FEE,D,20130710,000000,10.154,10.154,9.927,10.154,1289,0
FEE,D,20130711,000000,9.927,10.154,9.927,10.154,234,0
FEE,D,20130712,000000,10.249,10.344,10.154,10.344,2838,0
FEE,D,20130715,000000,10.249,10.344,10.249,10.344,1968,0
FEE,D,20130716,000000,10.344,10.914,10.344,10.724,3037,0
FEE,D,20130717,000000,10.715,11.711,10.715,10.819,689,0
FEE,D,20130718,000000,11.579,12.243,11.388,11.863,1730,0
FEE,D,20130719,000000,12.091,12.091,11.398,11.711,1837,0
