<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INP,D,20110217,000000,4.10936,4.19697,4.00917,4.19697,1025506.8823107708,0
INP,D,20110218,000000,4.18448,4.29105,4.1595,4.29105,125011.666661526,0
INP,D,20110221,000000,4.29105,4.41631,4.24082,4.38505,348036.3823386294,0
INP,D,20110222,000000,4.41631,4.41631,4.35359,4.38505,91706.34313348381,0
INP,D,20110223,000000,4.41002,4.42251,4.35359,4.36608,61958.2450954914,0
INP,D,20110224,000000,4.38505,4.38505,4.17199,4.27218,19482.3921560616,0
INP,D,20110225,000000,4.18448,4.2472,4.17199,4.2472,8646.0196074876,0
INP,D,20110228,000000,4.2473,4.36341,4.2473,4.3247,22564.411763778,0
INP,D,20110301,000000,4.23453,4.33481,4.23453,4.33481,92578.0784275656,0
INP,D,20110302,000000,4.33481,4.44768,4.33481,4.39115,90572.352937452,0
INP,D,20110303,000000,4.41002,4.42251,4.39115,4.41631,102823.8529369482,0
INP,D,20110304,000000,4.41631,4.41631,4.39753,4.41631,22184.6666657544,0
INP,D,20110307,000000,4.41002,4.4288,4.40373,4.4288,21460.8431363724,0
INP,D,20110308,000000,4.4288,4.435,4.39753,4.435,9466.352940787201,0
INP,D,20110309,000000,4.435,4.45387,4.435,4.45387,20597.499999153002,0
INP,D,20110310,000000,4.44768,4.46636,4.39753,4.46016,9468.4509800028,0
INP,D,20110311,000000,4.45387,4.45387,4.44768,4.44768,2.0980392156,0
INP,D,20110314,000000,4.435,4.435,4.35359,4.41002,4415.3235292302,0
INP,D,20110315,000000,4.40373,4.40373,4.29725,4.39115,35792.549018136,0
INP,D,20110316,000000,4.39115,4.39115,4.38505,4.39115,6973.8823526544,0
INP,D,20110317,000000,4.41631,4.4288,4.38505,4.4288,6079.068627201,0
INP,D,20110318,000000,4.4288,4.45387,4.38505,4.39753,45632.3529393,0
INP,D,20110321,000000,4.44768,4.44768,4.38505,4.44129,16442.3333326572,0
INP,D,20110322,000000,4.44768,4.46636,4.41631,4.46016,6922.4803918722,0
INP,D,20110323,000000,4.46636,4.46636,4.39115,4.44129,4331.4019606062,0
INP,D,20110324,000000,4.44129,4.44129,4.35359,4.38505,2970.8235292896,0
INP,D,20110325,000000,4.38505,4.38505,4.27218,4.32223,710.1862744806,0
INP,D,20110328,000000,4.25969,4.37246,4.13443,4.37246,19449.8725482198,0
INP,D,20110329,000000,4.38505,4.38505,4.25969,4.38505,23659.5882343212,0
INP,D,20110330,000000,4.435,4.435,4.27218,4.4288,58151.3529387852,0
INP,D,20110331,000000,4.42785,4.43443,4.35693,4.43443,15401.705881719601,0
INP,D,20110401,000000,4.435,4.435,4.32861,4.4288,15999.647058165601,0
INP,D,20110404,000000,4.27847,4.41631,4.27847,4.41631,7524.617646749401,0
INP,D,20110405,000000,4.41631,4.44768,4.32223,4.44129,36192.2254887078,0
INP,D,20110406,000000,4.435,4.45387,4.41631,4.41631,30865.3039202994,0
INP,D,20110407,000000,4.44768,4.6919,4.37885,4.6105,66486.862742364,0
INP,D,20110408,000000,4.61669,4.61669,4.41631,4.57275,6555.323529142201,0
INP,D,20110411,000000,4.57275,4.57275,4.44129,4.54148,1227.3529411260001,0
INP,D,20110412,000000,4.51021,4.51021,4.44129,4.49763,9214.5882349152,0
INP,D,20110413,000000,4.49763,4.49763,4.44768,4.44768,715.4313725196,0
INP,D,20110414,000000,4.44768,4.44768,4.44768,4.44768,131772.598033797,0
INP,D,20110415,000000,4.44768,4.46636,4.44129,4.46636,6055.9901958294,0
INP,D,20110418,000000,4.46636,4.46636,4.39753,4.46636,14107.2156856944,0
INP,D,20110419,000000,4.46636,4.46636,4.39115,4.46016,1313.3725489656001,0
INP,D,20110420,000000,4.41631,4.46636,4.41002,4.46636,5412.941176248,0
INP,D,20110421,000000,4.46636,4.46636,4.39115,4.44768,801.4509803592,0
INP,D,20110426,000000,4.44768,4.45387,4.44768,4.45387,2832.35294106,0
INP,D,20110427,000000,4.45387,4.46636,4.44768,4.46636,7640.0098036074005,0
INP,D,20110428,000000,4.44768,4.46636,4.44768,4.44768,4464.6274507968,0
INP,D,20110429,000000,4.46655,4.46655,4.38915,4.46016,386.03921567040004,0
INP,D,20110502,000000,4.44768,4.44768,4.44768,4.44768,641.9999999736,0
INP,D,20110504,000000,4.44768,4.44768,4.35359,4.44768,9450.6176466702,0
INP,D,20110505,000000,4.38505,4.44129,4.38505,4.44129,801.4509803592,0
INP,D,20110506,000000,4.44129,4.44129,4.41631,4.41631,2.0980392156,0
INP,D,20110509,000000,4.22204,4.44768,4.22204,4.44768,15929.362744443,0
INP,D,20110510,000000,4.46016,4.46016,4.32861,4.44768,4416.3725488380005,0
INP,D,20110511,000000,4.45387,4.45387,4.4288,4.4288,2.0980392156,0
INP,D,20110512,000000,4.41631,4.41631,4.35359,4.35359,282.1862744982,0
INP,D,20110513,000000,4.41631,4.435,4.38505,4.435,3423.9999998592,0
INP,D,20110516,000000,4.44129,4.44129,4.32223,4.37246,1783.33333326,0
INP,D,20110517,000000,4.38505,4.41631,4.35359,4.41631,319326.813712359,0
INP,D,20110518,000000,4.41631,4.41631,4.41631,4.41631,67.1372548992,0
INP,D,20110519,000000,4.41631,4.41631,4.41002,4.41002,2.0980392156,0
INP,D,20110520,000000,4.41002,4.41631,4.30345,4.41002,2664.509803812,0
INP,D,20110523,000000,4.41002,4.41002,4.41002,4.41002,2.0980392156,0
INP,D,20110524,000000,4.38505,4.38505,4.32223,4.38505,1209.5196077934,0
